Date,Open,High,Low,Close,Volume
28-Apr-17,142.97,142.97,140.12,142.14,1458997
27-Apr-17,145.75,148.28,140.96,143.19,2079744
26-Apr-17,146.29,146.91,145.40,145.78,1112945
25-Apr-17,147.00,147.00,144.20,145.67,1030394
24-Apr-17,147.88,148.35,145.92,147.10,905172
21-Apr-17,146.47,147.02,145.03,146.84,1021629
20-Apr-17,143.56,146.82,143.09,146.56,1278897
19-Apr-17,141.53,144.77,141.53,142.42,1230053
18-Apr-17,140.33,141.60,140.33,140.91,646351
17-Apr-17,141.26,141.48,140.15,140.84,646328
13-Apr-17,141.92,142.84,140.89,140.89,476659
12-Apr-17,142.91,142.91,141.07,141.74,596053
11-Apr-17,142.49,143.92,141.49,143.46,763668
10-Apr-17,141.88,143.76,141.87,142.84,739370
7-Apr-17,142.51,143.54,141.93,142.05,928087
6-Apr-17,143.66,144.65,142.36,142.56,765329
5-Apr-17,143.76,144.69,142.54,142.74,741494
4-Apr-17,144.93,145.22,142.67,143.04,1072160
3-Apr-17,148.40,149.20,143.56,145.50,2029797
31-Mar-17,148.26,149.40,147.38,148.26,981765
30-Mar-17,149.24,149.64,148.35,148.67,699640
29-Mar-17,148.61,150.07,147.61,149.67,739014
28-Mar-17,147.19,148.88,146.36,148.36,1119285
27-Mar-17,148.50,148.77,146.18,147.80,769881
24-Mar-17,150.78,151.00,149.35,149.73,615648
23-Mar-17,151.30,152.38,150.12,150.78,653079
22-Mar-17,151.60,152.06,150.46,151.27,661744
21-Mar-17,152.54,152.83,150.64,151.22,1061888
20-Mar-17,152.95,154.23,151.86,152.44,1051411
17-Mar-17,152.42,153.25,150.90,152.40,1135226
16-Mar-17,152.74,153.77,151.83,153.41,583526
15-Mar-17,153.58,153.60,151.15,152.92,1593712
14-Mar-17,154.30,154.64,152.90,153.71,896586
13-Mar-17,152.76,154.96,151.99,154.35,978870
10-Mar-17,155.52,155.81,153.39,153.97,1064539
9-Mar-17,155.48,155.48,154.21,155.15,1024584
8-Mar-17,153.51,155.74,152.82,155.21,1415557
7-Mar-17,154.26,154.80,151.62,151.99,1102655
6-Mar-17,155.35,156.10,154.19,154.25,1057931
3-Mar-17,157.30,158.14,154.30,155.35,1252168
2-Mar-17,156.68,158.09,156.45,157.36,1158091
1-Mar-17,158.59,158.59,155.64,156.68,1037787
28-Feb-17,155.64,158.69,155.18,156.61,1087279
27-Feb-17,156.85,157.39,155.36,156.94,1443682
24-Feb-17,156.46,158.23,155.45,157.33,1599603
23-Feb-17,159.32,159.66,156.66,157.72,1396171
22-Feb-17,160.74,161.99,155.27,159.68,3443098
21-Feb-17,164.50,169.55,160.68,161.15,3286425
17-Feb-17,160.61,161.88,159.75,161.58,1561644
16-Feb-17,164.21,164.46,160.32,160.99,1357842
15-Feb-17,163.29,165.30,163.00,163.88,694726
14-Feb-17,161.86,164.79,161.85,164.37,935270
13-Feb-17,165.00,165.00,162.15,162.39,986197
10-Feb-17,165.23,165.87,163.19,164.05,735041
9-Feb-17,162.26,165.17,161.31,164.83,1101988
8-Feb-17,158.29,163.65,158.26,162.73,1921974
7-Feb-17,161.21,162.06,157.78,159.18,1191286
6-Feb-17,161.73,163.03,159.93,160.27,944739
3-Feb-17,162.98,163.70,161.92,162.75,850541
2-Feb-17,160.09,163.05,160.00,162.34,1485466
1-Feb-17,164.02,164.89,159.70,160.59,1595047
31-Jan-17,163.90,164.68,162.27,164.24,1056018
30-Jan-17,165.35,165.35,162.89,164.63,727006
27-Jan-17,166.15,166.28,163.94,164.37,768677
26-Jan-17,167.75,169.42,165.34,165.50,1301606
25-Jan-17,169.40,170.31,167.00,167.50,969050
24-Jan-17,168.80,170.98,167.78,168.29,882432
23-Jan-17,167.08,168.63,164.27,167.78,1416776
20-Jan-17,172.24,172.91,170.41,171.50,731320
19-Jan-17,174.21,174.82,171.22,171.72,606596
18-Jan-17,173.01,174.18,171.76,173.98,791460
17-Jan-17,174.34,177.50,172.94,173.00,1048921
13-Jan-17,174.42,175.86,173.52,174.79,1196160
12-Jan-17,172.42,174.61,172.00,174.47,747356
11-Jan-17,173.51,174.99,170.92,173.43,889019
10-Jan-17,168.70,171.92,168.63,169.92,621328
9-Jan-17,170.06,170.28,168.32,169.53,560162
6-Jan-17,171.32,171.99,169.30,169.63,827978
5-Jan-17,170.87,173.06,170.23,171.88,860980
4-Jan-17,170.37,173.17,170.37,172.00,642367
3-Jan-17,170.78,171.36,169.31,170.60,691526
30-Dec-16,171.32,172.00,168.60,169.12,513003
29-Dec-16,170.08,171.08,169.46,170.28,431392
28-Dec-16,172.01,172.92,170.35,170.42,360259
27-Dec-16,170.72,172.75,170.72,171.84,508693
23-Dec-16,170.69,172.08,170.00,170.89,334299
22-Dec-16,172.70,173.41,169.69,170.39,946108
21-Dec-16,174.76,175.47,173.31,173.51,454730
20-Dec-16,174.26,176.33,172.22,175.63,1246277
19-Dec-16,171.61,175.55,171.61,173.82,549230
16-Dec-16,173.36,173.99,171.17,171.91,891704
15-Dec-16,171.62,173.45,171.01,172.92,663537
14-Dec-16,173.03,174.29,169.89,171.51,1458012
13-Dec-16,173.26,174.94,171.15,171.87,1015188
12-Dec-16,174.21,175.65,171.76,173.00,1089596
9-Dec-16,176.05,177.32,173.96,175.58,521612
8-Dec-16,176.41,177.83,175.18,176.52,796781
7-Dec-16,172.38,177.00,172.38,176.78,774460
6-Dec-16,170.18,173.76,169.85,173.31,753400
5-Dec-16,171.44,171.96,169.96,170.53,740266
2-Dec-16,170.46,171.98,169.88,170.14,487012
1-Dec-16,169.18,171.57,167.32,170.76,858744
30-Nov-16,169.48,170.67,168.41,169.72,827542
29-Nov-16,172.34,173.49,169.70,169.80,639718
28-Nov-16,171.15,174.31,170.55,170.77,1023076
25-Nov-16,171.69,172.02,170.13,170.86,405559
23-Nov-16,170.26,171.51,168.65,171.04,982068
22-Nov-16,167.63,170.98,167.07,170.29,1387858
21-Nov-16,162.75,167.39,162.00,166.90,764665
18-Nov-16,166.12,166.73,162.22,162.57,1226554
17-Nov-16,163.44,166.97,162.34,166.32,1496419
16-Nov-16,163.21,163.74,160.95,162.98,1880936
15-Nov-16,164.00,166.90,161.53,164.33,7352943
14-Nov-16,145.28,147.00,142.20,142.90,3409800
11-Nov-16,145.11,147.23,143.63,145.02,1740079
10-Nov-16,140.85,146.45,140.85,145.82,2272028
9-Nov-16,134.79,140.54,134.08,140.33,1349866
8-Nov-16,137.45,139.00,136.10,137.67,921046
7-Nov-16,137.54,137.83,136.22,137.54,859341
4-Nov-16,138.85,140.00,135.76,136.19,1095257
3-Nov-16,138.80,140.29,138.23,138.85,1020029
2-Nov-16,139.66,140.00,137.12,138.14,731766
1-Nov-16,139.88,140.92,138.54,139.79,802128
31-Oct-16,140.33,140.82,138.83,140.08,1277771
28-Oct-16,138.45,141.41,138.19,140.20,1014898
27-Oct-16,143.44,144.54,138.98,139.22,1363172
26-Oct-16,143.52,144.66,142.69,143.96,871532
25-Oct-16,140.43,144.26,140.09,143.81,1117820
24-Oct-16,142.92,143.54,140.64,141.10,1013288
21-Oct-16,140.68,142.20,139.76,141.93,502215
20-Oct-16,142.09,142.73,140.87,141.30,924079
19-Oct-16,142.06,145.00,138.02,142.23,2178405
18-Oct-16,144.15,144.89,140.58,142.99,1504869
17-Oct-16,146.39,146.72,143.14,143.27,804436
14-Oct-16,147.58,148.56,146.30,146.64,565059
13-Oct-16,147.26,147.61,145.10,146.78,767281
12-Oct-16,146.63,149.07,146.57,147.96,512988
11-Oct-16,147.96,148.47,146.45,146.76,628592
10-Oct-16,149.00,149.82,147.80,148.06,436449
7-Oct-16,149.39,149.67,147.23,148.13,396775
6-Oct-16,148.67,149.09,147.42,148.71,608382
5-Oct-16,147.62,149.40,147.50,148.93,699115
4-Oct-16,147.32,148.09,146.11,146.54,592457
3-Oct-16,148.53,149.26,146.56,146.94,627750
30-Sep-16,147.11,149.50,146.26,149.12,1065495
29-Sep-16,148.92,148.93,146.08,146.74,812395
28-Sep-16,151.25,151.34,148.69,149.00,1120639
27-Sep-16,151.58,152.70,150.59,151.01,1151257
26-Sep-16,148.73,150.24,147.80,150.10,997320
23-Sep-16,149.00,149.82,148.23,149.24,1375943
22-Sep-16,147.62,149.74,147.00,149.15,1569427
21-Sep-16,145.58,146.57,145.15,146.33,1116964
20-Sep-16,149.05,149.26,145.28,145.89,1197144
19-Sep-16,148.11,148.97,147.44,148.44,972161
16-Sep-16,148.26,148.99,147.73,148.11,961250
15-Sep-16,150.49,150.85,148.71,148.94,1122025
14-Sep-16,151.54,152.49,150.14,150.72,701007
13-Sep-16,152.93,154.01,150.66,151.18,1177339
12-Sep-16,152.72,153.88,151.42,153.37,2165299
9-Sep-16,156.86,157.74,152.96,152.96,1497791
8-Sep-16,160.67,161.14,157.21,158.87,1739903
7-Sep-16,160.30,162.28,160.02,161.88,908623
6-Sep-16,158.81,160.86,158.73,160.14,724611
2-Sep-16,158.79,159.65,158.05,158.57,635310
1-Sep-16,158.20,159.62,157.75,158.76,721680
31-Aug-16,156.79,157.86,155.89,157.38,699473
30-Aug-16,157.98,157.98,156.08,156.66,723077
29-Aug-16,156.83,158.39,156.71,157.67,550106
26-Aug-16,159.69,160.62,156.20,156.83,958592
25-Aug-16,160.05,160.92,158.94,160.18,784070
24-Aug-16,158.93,163.97,158.93,160.36,1747569
23-Aug-16,159.37,159.91,157.76,157.94,996185
22-Aug-16,158.97,160.96,158.04,158.47,1151205
19-Aug-16,156.97,159.72,156.97,158.04,1140458
18-Aug-16,158.50,158.80,156.63,157.43,1370640
17-Aug-16,160.00,160.42,156.93,158.05,1986783
16-Aug-16,162.00,165.40,160.34,160.40,3030792
15-Aug-16,166.75,169.90,165.55,167.76,1854564
12-Aug-16,166.09,166.50,163.49,166.00,1165191
11-Aug-16,167.80,170.42,166.66,166.71,829368
10-Aug-16,166.57,167.48,165.57,166.65,838730
9-Aug-16,168.75,169.56,166.29,166.50,513993
8-Aug-16,170.49,171.31,168.75,168.88,1111884
5-Aug-16,170.50,171.95,170.20,170.49,1090294
4-Aug-16,168.38,170.38,168.31,170.18,1102690
3-Aug-16,166.44,168.66,164.99,168.65,594501
2-Aug-16,168.17,168.48,165.35,166.61,881808
1-Aug-16,169.26,169.57,168.07,168.50,844906
29-Jul-16,170.00,170.29,168.50,169.86,1369218
28-Jul-16,164.67,172.87,164.41,170.34,1756217
27-Jul-16,167.02,167.66,164.47,164.73,836093
26-Jul-16,166.94,168.12,165.67,166.23,877996
25-Jul-16,165.99,166.77,165.38,166.67,502959
22-Jul-16,164.71,166.23,164.20,166.03,586043
21-Jul-16,163.49,164.36,162.99,164.09,420509
20-Jul-16,164.61,164.61,163.42,163.75,444976
19-Jul-16,163.17,163.77,161.66,163.70,855883
18-Jul-16,164.92,164.92,163.95,164.40,516779
15-Jul-16,165.45,165.79,164.39,164.59,677140
14-Jul-16,163.46,165.46,162.44,164.96,575344
13-Jul-16,164.15,164.73,160.54,162.91,906140
12-Jul-16,164.50,164.92,162.55,163.55,860218
11-Jul-16,164.85,166.32,163.58,163.69,679249
8-Jul-16,162.29,165.26,161.68,164.85,911119
7-Jul-16,161.54,162.61,160.05,161.13,672446
6-Jul-16,161.06,161.94,160.40,161.45,1162018
5-Jul-16,162.46,163.64,160.32,161.19,754153
1-Jul-16,162.16,164.70,161.78,164.33,876525
30-Jun-16,161.02,161.70,159.50,161.63,792319
29-Jun-16,158.03,161.78,158.03,161.01,1560800
28-Jun-16,154.87,157.16,154.28,156.98,1533726
27-Jun-16,153.74,155.70,152.20,153.78,2242523
24-Jun-16,151.00,155.97,150.92,154.52,1750826
23-Jun-16,154.44,155.11,153.71,154.93,831097
22-Jun-16,154.57,155.25,153.09,153.16,716795
21-Jun-16,155.56,156.31,153.89,154.44,806759
20-Jun-16,155.74,157.27,155.34,155.58,704923
17-Jun-16,153.57,155.00,152.41,154.55,1036016
16-Jun-16,152.41,154.22,151.74,153.94,942392
15-Jun-16,152.88,155.18,152.68,153.64,867130
14-Jun-16,152.75,153.59,151.10,152.63,1039566
13-Jun-16,152.49,155.07,152.49,152.55,886365
10-Jun-16,154.90,155.64,152.70,153.02,966140
9-Jun-16,153.89,157.46,153.89,156.78,2680412
8-Jun-16,151.50,154.19,151.48,153.52,1850323
7-Jun-16,150.32,152.06,149.44,151.71,1136119
6-Jun-16,150.71,150.72,148.51,150.24,855163
3-Jun-16,151.67,152.67,149.73,150.71,895847
2-Jun-16,151.39,153.16,150.58,152.15,1319927
1-Jun-16,153.84,153.89,151.93,153.34,1373740
31-May-16,156.99,156.99,153.71,153.84,1689865
27-May-16,156.81,157.76,155.90,156.31,1075590
26-May-16,154.55,156.79,153.50,156.66,2191670
25-May-16,149.28,154.34,148.80,153.53,1680935
24-May-16,144.90,149.95,144.90,149.34,1126806
23-May-16,145.58,147.50,145.10,145.87,1069800
20-May-16,143.36,147.16,142.78,146.39,1948496
19-May-16,134.12,144.22,132.98,143.54,5396029
18-May-16,144.01,145.49,141.88,143.81,1604124
17-May-16,146.93,146.93,143.31,144.08,1615996
16-May-16,145.55,148.61,145.45,148.14,965291
13-May-16,149.57,150.02,145.19,145.56,989310
12-May-16,148.99,151.03,147.99,150.00,842456
11-May-16,151.74,152.17,148.06,148.13,613233
10-May-16,152.39,153.58,151.37,152.29,678486
9-May-16,150.00,152.06,149.41,151.53,546788
6-May-16,150.15,151.06,147.26,150.52,1011083
5-May-16,152.99,153.11,148.20,148.74,1548496
4-May-16,154.26,156.30,153.69,155.84,356250
3-May-16,155.23,156.97,153.91,156.01,529474
2-May-16,156.34,156.76,152.69,155.46,861612
29-Apr-16,155.98,156.50,154.14,156.10,454751
28-Apr-16,157.58,158.43,155.43,155.87,635336
27-Apr-16,158.07,160.07,156.95,159.27,369819
26-Apr-16,157.89,158.76,156.19,158.28,656470
25-Apr-16,157.59,158.31,155.63,157.39,618651
22-Apr-16,157.38,158.96,155.18,158.40,540472
21-Apr-16,158.40,158.83,156.38,157.13,686186
20-Apr-16,161.02,161.34,158.39,158.39,682975
19-Apr-16,161.87,162.72,160.30,160.79,529449
18-Apr-16,160.38,163.29,159.27,160.94,749058
15-Apr-16,161.02,162.02,160.02,161.19,410965
14-Apr-16,160.23,161.51,159.74,160.94,498998
13-Apr-16,157.68,160.90,157.46,160.49,696699
12-Apr-16,154.66,156.60,153.50,156.50,674564
11-Apr-16,156.25,157.28,154.75,154.77,363975
8-Apr-16,157.00,157.29,155.00,156.11,504139
7-Apr-16,158.86,159.53,155.13,155.83,579230
6-Apr-16,160.90,161.07,158.18,159.88,694976
5-Apr-16,158.50,160.90,158.10,160.47,724779
4-Apr-16,161.21,164.14,157.56,159.23,1039782
1-Apr-16,160.41,160.98,159.33,160.42,684809
31-Mar-16,162.48,162.71,160.25,160.34,1037253
30-Mar-16,162.36,165.99,162.36,163.79,788464
29-Mar-16,161.59,163.08,160.43,163.03,663319
28-Mar-16,161.43,162.88,159.39,161.76,638214
24-Mar-16,160.99,162.04,159.95,161.82,845993
23-Mar-16,158.23,161.92,157.53,161.09,775601
22-Mar-16,157.98,159.27,157.47,158.19,403282
21-Mar-16,157.48,158.75,157.38,158.61,389380
18-Mar-16,158.27,158.50,156.66,157.47,853999
17-Mar-16,157.78,158.84,156.30,157.94,580280
16-Mar-16,158.46,160.16,157.02,158.96,485938
15-Mar-16,158.33,160.12,157.35,158.58,830338
14-Mar-16,157.53,160.14,157.35,159.34,665987
11-Mar-16,156.84,159.16,155.97,158.57,963394
10-Mar-16,153.80,156.29,153.54,156.15,765248
9-Mar-16,150.98,154.09,149.75,153.77,627984
8-Mar-16,150.59,152.65,149.17,149.68,1015104
7-Mar-16,151.37,152.87,150.38,151.52,480132
4-Mar-16,154.07,154.27,151.17,152.37,725121
3-Mar-16,151.34,154.20,149.87,153.88,785641
2-Mar-16,152.44,153.82,151.32,152.17,659355
1-Mar-16,149.92,153.54,149.30,153.35,622094
29-Feb-16,150.00,151.06,148.38,148.44,859999
26-Feb-16,150.60,151.38,148.41,150.05,589465
25-Feb-16,150.80,151.49,147.05,150.08,639872
24-Feb-16,147.34,150.62,145.47,150.42,624873
23-Feb-16,148.44,151.34,147.37,147.55,696636
22-Feb-16,145.25,148.47,145.02,147.87,894476
19-Feb-16,143.52,145.09,141.35,143.63,949274
18-Feb-16,142.35,144.84,140.56,143.32,1068026
17-Feb-16,147.17,149.01,142.99,143.41,1439411
16-Feb-16,142.04,148.97,141.18,146.00,1307874
12-Feb-16,139.54,141.40,137.19,140.77,963210
11-Feb-16,137.04,142.77,131.59,138.41,2571012
10-Feb-16,141.13,143.50,138.41,138.57,2197775
9-Feb-16,141.15,143.64,139.13,141.50,1226828
8-Feb-16,142.77,143.10,136.06,141.45,2103484
