Date,Open,High,Low,Close,Volume
28-Apr-17,82.17,82.40,81.61,82.05,1477044
27-Apr-17,81.38,82.19,81.30,82.12,1671300
26-Apr-17,81.50,82.17,81.20,81.25,1219388
25-Apr-17,80.82,81.57,79.40,81.49,1988130
24-Apr-17,82.03,82.10,80.81,80.94,2300122
21-Apr-17,82.20,82.29,81.11,81.26,1138873
20-Apr-17,82.23,82.93,81.62,82.37,2058848
19-Apr-17,82.64,83.09,81.62,81.85,1904924
18-Apr-17,83.17,83.44,81.13,82.56,4384149
17-Apr-17,86.64,86.72,86.21,86.64,1284425
13-Apr-17,86.64,87.29,86.36,86.67,787500
12-Apr-17,87.15,87.59,86.14,86.82,1887694
11-Apr-17,88.28,88.35,86.82,87.87,1449626
10-Apr-17,87.75,89.25,87.59,88.44,1007847
7-Apr-17,87.57,88.07,87.29,87.62,933399
6-Apr-17,87.26,87.69,86.85,87.64,1586146
5-Apr-17,87.44,88.26,86.99,87.18,1187096
4-Apr-17,87.06,87.99,86.71,86.93,1372429
3-Apr-17,88.41,88.63,86.80,87.33,1379461
31-Mar-17,88.87,89.65,88.47,88.50,1793069
30-Mar-17,89.35,89.88,89.03,89.14,1395100
29-Mar-17,87.40,89.77,87.40,89.51,2281057
28-Mar-17,87.12,87.97,87.12,87.50,1199881
27-Mar-17,86.14,87.54,86.12,87.48,1558617
24-Mar-17,85.99,86.83,85.72,86.56,1241019
23-Mar-17,85.86,86.75,85.79,85.99,1440204
22-Mar-17,86.12,86.28,85.22,85.88,1189688
21-Mar-17,87.00,87.29,85.77,85.91,1988779
20-Mar-17,87.65,87.89,86.25,86.91,1618707
17-Mar-17,87.91,88.32,86.88,87.53,2296128
16-Mar-17,89.58,89.76,87.89,88.00,1520046
15-Mar-17,88.85,89.57,88.14,89.48,1800390
14-Mar-17,88.96,89.20,88.04,88.81,1243545
13-Mar-17,88.76,89.25,88.22,89.14,1673888
10-Mar-17,88.99,89.00,87.76,88.31,1545634
9-Mar-17,89.40,89.40,88.08,88.61,1125654
8-Mar-17,88.32,89.97,88.32,89.08,1847565
7-Mar-17,89.23,89.80,87.92,88.48,2612066
6-Mar-17,91.58,91.87,89.74,89.99,1807994
3-Mar-17,92.22,92.67,91.47,92.23,1405380
2-Mar-17,91.89,92.73,91.45,91.94,1438448
1-Mar-17,92.19,92.81,91.69,92.23,1394379
28-Feb-17,91.90,91.93,90.98,91.51,1916323
27-Feb-17,92.31,92.74,91.30,91.73,1140061
24-Feb-17,91.51,92.16,90.53,92.16,1001677
23-Feb-17,91.45,92.40,90.96,91.61,2169821
22-Feb-17,91.19,92.20,91.01,91.34,1152878
21-Feb-17,90.74,91.15,89.56,91.01,2061161
17-Feb-17,90.24,90.88,89.72,90.76,1441214
16-Feb-17,91.00,91.54,89.00,90.32,2282876
15-Feb-17,90.65,91.47,89.66,91.18,1944692
14-Feb-17,90.00,91.09,89.73,90.82,2066338
13-Feb-17,91.53,94.50,89.42,90.48,3038167
10-Feb-17,91.54,91.75,90.27,91.17,1527574
9-Feb-17,91.05,91.78,90.16,91.65,1630654
8-Feb-17,90.18,91.11,89.68,91.07,1469758
7-Feb-17,89.85,91.64,89.71,90.33,2108481
6-Feb-17,89.17,91.65,88.93,89.98,2869751
3-Feb-17,88.57,89.61,87.74,89.28,2990323
2-Feb-17,88.05,88.78,86.57,88.05,3836359
1-Feb-17,87.71,88.70,86.09,88.61,3361963
31-Jan-17,86.62,87.84,83.00,87.28,5827271
30-Jan-17,82.55,83.75,80.82,83.62,2650040
27-Jan-17,83.68,83.68,82.07,82.43,1865412
26-Jan-17,81.04,85.20,81.04,83.39,3482915
25-Jan-17,84.90,85.92,84.58,85.83,1858179
24-Jan-17,84.70,85.19,84.06,84.41,1513452
23-Jan-17,83.72,85.10,83.31,84.88,1420144
20-Jan-17,85.86,86.27,83.21,83.75,3780132
19-Jan-17,85.28,85.78,84.82,85.47,1574505
18-Jan-17,85.95,86.18,85.19,85.51,2094559
17-Jan-17,84.92,86.47,84.09,85.99,2103556
13-Jan-17,84.08,85.12,83.51,84.62,1397850
12-Jan-17,82.28,84.94,81.95,83.86,2771249
11-Jan-17,85.15,86.32,79.94,81.53,3994919
10-Jan-17,85.10,86.14,84.30,84.83,1860866
9-Jan-17,84.60,86.07,84.60,85.48,2081568
6-Jan-17,83.53,85.78,83.53,84.80,2131961
5-Jan-17,84.38,84.83,82.62,83.68,2136224
4-Jan-17,82.60,85.14,82.47,84.66,2561906
