Date,Open,High,Low,Close,Volume
28-Apr-17,43.67,43.75,43.50,43.64,6014062
27-Apr-17,43.96,44.01,43.60,43.65,7487495
26-Apr-17,43.93,44.15,43.71,43.80,5591151
25-Apr-17,44.21,44.39,43.76,43.76,6793106
24-Apr-17,44.07,44.26,43.84,44.13,6727012
21-Apr-17,43.94,43.98,43.43,43.53,7519813
20-Apr-17,43.69,44.15,43.52,43.98,5871911
19-Apr-17,43.78,44.00,43.12,43.59,13454621
18-Apr-17,43.09,43.59,42.96,43.43,10131161
17-Apr-17,42.67,43.38,42.31,43.31,8068503
13-Apr-17,42.40,42.96,42.39,42.67,11426957
12-Apr-17,43.32,43.59,43.19,43.48,4778945
11-Apr-17,43.22,43.60,43.15,43.58,4871886
10-Apr-17,43.83,43.96,43.54,43.59,4321303
7-Apr-17,43.62,43.95,43.57,43.83,5327817
6-Apr-17,43.81,43.81,43.35,43.67,6067344
5-Apr-17,44.17,44.54,43.70,43.80,7762250
4-Apr-17,44.53,44.55,44.01,44.18,5399161
3-Apr-17,44.42,44.61,44.08,44.47,7955821
31-Mar-17,44.33,44.82,44.33,44.41,7146506
30-Mar-17,44.63,44.66,44.36,44.55,4411647
29-Mar-17,44.67,44.84,44.37,44.67,4186949
28-Mar-17,44.74,44.78,44.26,44.70,5377379
27-Mar-17,44.53,44.80,44.39,44.70,6914657
24-Mar-17,44.76,45.15,44.60,44.73,4753163
23-Mar-17,44.71,44.99,44.59,44.77,3953148
22-Mar-17,44.94,45.07,44.59,44.81,5198940
21-Mar-17,45.15,45.38,44.60,44.80,5567081
20-Mar-17,45.19,45.23,44.87,44.98,3521597
17-Mar-17,45.10,45.27,44.77,45.19,12277435
16-Mar-17,45.17,45.37,44.62,44.98,6704220
15-Mar-17,44.96,45.40,44.86,45.32,6844368
14-Mar-17,45.19,45.25,44.77,44.80,7504525
13-Mar-17,45.65,45.78,45.23,45.53,7040547
10-Mar-17,45.77,45.84,45.51,45.72,6105876
9-Mar-17,45.36,45.74,45.34,45.63,5691017
8-Mar-17,45.03,45.46,44.92,45.36,6398621
7-Mar-17,44.81,45.16,44.67,45.00,6476612
6-Mar-17,44.99,45.38,44.86,45.13,6001280
3-Mar-17,45.42,45.56,45.11,45.25,6790781
2-Mar-17,45.50,45.84,45.35,45.69,11164608
1-Mar-17,45.37,45.70,45.18,45.59,8886276
28-Feb-17,45.41,45.43,44.83,45.08,14211439
27-Feb-17,45.51,45.56,45.18,45.46,6142610
24-Feb-17,45.29,45.68,45.23,45.68,7608646
23-Feb-17,45.02,45.51,44.85,45.40,9459424
22-Feb-17,44.88,45.11,44.81,45.01,7534641
21-Feb-17,44.65,45.15,44.54,45.01,11387762
17-Feb-17,44.17,44.70,44.09,44.69,9632008
16-Feb-17,44.00,44.21,43.74,44.20,8975535
15-Feb-17,43.50,44.08,43.42,44.00,7946389
14-Feb-17,43.01,43.73,42.96,43.65,8458818
13-Feb-17,43.00,43.22,42.86,43.22,5672370
10-Feb-17,42.74,42.80,42.48,42.74,3692381
9-Feb-17,42.50,42.78,42.32,42.54,5138389
8-Feb-17,42.66,42.73,42.28,42.40,6731375
7-Feb-17,42.57,42.98,42.50,42.89,8697290
6-Feb-17,42.57,42.75,42.23,42.43,8735171
3-Feb-17,42.94,43.13,42.54,42.78,11642218
2-Feb-17,42.18,42.79,41.85,42.75,11836897
1-Feb-17,41.51,42.37,41.44,42.33,11948793
31-Jan-17,40.73,41.79,40.60,41.77,12318224
30-Jan-17,40.86,41.14,40.77,41.01,13811560
27-Jan-17,41.11,41.31,40.90,41.00,7033637
26-Jan-17,40.46,41.12,40.45,40.96,9410238
25-Jan-17,39.76,40.46,39.25,40.31,16890214
24-Jan-17,40.32,40.50,40.12,40.31,7773693
23-Jan-17,40.32,40.54,40.20,40.34,7351854
20-Jan-17,40.51,40.77,40.34,40.46,5908000
19-Jan-17,40.64,40.73,40.24,40.40,7160171
18-Jan-17,41.05,41.10,40.51,40.76,7195205
17-Jan-17,40.67,41.04,40.53,40.90,8272727
13-Jan-17,40.75,41.36,40.69,40.93,9533780
12-Jan-17,40.79,40.79,40.31,40.72,8633354
11-Jan-17,41.05,41.42,40.48,41.08,10699446
10-Jan-17,40.81,41.62,40.78,41.29,9256298
9-Jan-17,40.79,41.06,40.62,40.74,10992496
6-Jan-17,39.70,40.99,39.66,40.78,14628910
5-Jan-17,39.24,39.75,38.98,39.70,12080148
4-Jan-17,39.06,39.72,39.06,39.36,22644542
3-Jan-17,38.63,39.08,38.34,39.05,9677316
30-Dec-16,38.33,38.87,38.25,38.41,10445631
29-Dec-16,38.30,38.51,38.11,38.31,7050816
28-Dec-16,38.63,38.77,38.08,38.22,6828535
27-Dec-16,38.48,38.94,38.47,38.60,6633668
23-Dec-16,38.33,38.65,38.22,38.42,4625616
22-Dec-16,38.15,38.34,37.91,38.29,7980888
21-Dec-16,38.19,38.28,37.90,38.24,9190942
20-Dec-16,38.40,38.51,38.02,38.19,6992899
19-Dec-16,38.23,38.63,38.06,38.34,10153529
16-Dec-16,39.02,39.33,37.98,38.10,15107518
15-Dec-16,38.76,39.05,38.27,38.93,9229364
14-Dec-16,39.42,39.79,38.67,38.82,11284054
13-Dec-16,39.31,39.67,39.17,39.44,7483281
12-Dec-16,39.20,39.51,39.06,39.20,7772266
9-Dec-16,38.82,39.34,38.78,39.20,7802493
8-Dec-16,38.33,38.79,38.01,38.68,7046942
7-Dec-16,38.13,38.49,37.42,38.48,10888596
6-Dec-16,38.44,38.65,38.22,38.42,6136078
5-Dec-16,38.11,38.45,37.99,38.43,9514677
2-Dec-16,37.68,38.08,37.60,37.90,7252818
1-Dec-16,38.12,38.30,37.38,37.60,9008519
30-Nov-16,38.75,38.75,38.06,38.07,14916757
29-Nov-16,38.86,39.02,38.66,38.73,7338493
28-Nov-16,39.22,39.22,38.70,38.74,5727767
25-Nov-16,39.08,39.21,38.94,39.16,2733423
23-Nov-16,38.04,39.13,37.90,38.98,9570229
22-Nov-16,39.42,39.61,37.81,38.10,16242514
21-Nov-16,39.85,40.13,39.64,39.76,8614699
18-Nov-16,40.31,40.42,39.80,39.84,7015102
17-Nov-16,40.00,40.50,40.00,40.39,6579320
16-Nov-16,39.80,40.25,39.65,39.95,8894057
15-Nov-16,39.29,39.94,39.05,39.81,9264702
14-Nov-16,40.11,40.17,39.10,39.20,11193384
11-Nov-16,40.38,40.48,39.90,40.14,5728958
10-Nov-16,40.52,40.86,40.32,40.61,9716401
9-Nov-16,41.50,41.53,39.17,40.07,13102893
8-Nov-16,39.62,40.08,39.24,39.83,6654531
7-Nov-16,39.64,39.96,39.54,39.86,6458823
4-Nov-16,38.45,39.44,38.41,39.09,8748052
3-Nov-16,38.86,39.15,38.30,38.38,7529419
2-Nov-16,39.05,39.22,38.70,38.70,6323159
1-Nov-16,39.24,39.36,38.64,39.05,8078902
31-Oct-16,39.43,39.54,39.22,39.24,8241729
28-Oct-16,40.25,40.60,39.51,39.54,12520066
27-Oct-16,40.09,40.53,40.06,40.29,6583166
26-Oct-16,40.00,40.28,39.76,39.96,7196700
25-Oct-16,40.42,40.61,40.15,40.19,6598577
24-Oct-16,40.79,40.92,40.31,40.41,6998807
21-Oct-16,40.41,40.61,40.16,40.50,7276420
20-Oct-16,40.01,40.81,40.00,40.74,8725859
19-Oct-16,40.52,41.38,39.94,40.01,19300013
18-Oct-16,40.85,41.41,40.50,41.17,9604947
17-Oct-16,40.73,40.95,40.55,40.59,7252727
14-Oct-16,41.17,41.53,40.77,40.79,8818965
13-Oct-16,40.74,41.24,40.41,40.98,6544653
12-Oct-16,41.05,41.42,40.82,40.98,6403932
11-Oct-16,43.20,43.27,41.02,41.16,23896101
10-Oct-16,43.15,43.78,43.06,43.50,8285075
7-Oct-16,43.00,43.19,42.57,42.97,7249757
6-Oct-16,42.69,43.05,42.32,42.97,7250220
5-Oct-16,42.34,42.81,42.33,42.74,7218730
4-Oct-16,42.48,42.79,41.86,42.10,5870725
3-Oct-16,42.06,42.58,41.88,42.55,5947395
30-Sep-16,41.74,42.47,41.69,42.29,7451020
29-Sep-16,42.11,42.25,41.26,41.44,6785740
28-Sep-16,42.25,42.53,41.91,42.29,5228267
27-Sep-16,41.71,42.34,41.56,42.33,5964927
26-Sep-16,42.01,42.02,41.61,41.68,6378154
23-Sep-16,42.25,42.42,42.05,42.19,6912285
22-Sep-16,42.16,42.49,42.04,42.22,5829666
21-Sep-16,41.62,42.01,41.26,41.92,5461266
20-Sep-16,41.95,42.00,41.58,41.58,4867018
19-Sep-16,42.04,42.36,41.59,41.68,7552674
16-Sep-16,40.95,42.03,40.83,41.87,15790211
15-Sep-16,40.79,41.26,40.65,41.12,6100131
14-Sep-16,40.69,41.04,40.55,40.81,7707838
13-Sep-16,41.23,41.24,40.48,40.64,6929986
12-Sep-16,40.85,41.52,40.77,41.42,7759551
9-Sep-16,41.56,41.58,41.00,41.01,10977898
8-Sep-16,42.12,42.12,41.64,41.85,7694303
7-Sep-16,42.15,42.29,41.77,41.90,11063629
6-Sep-16,42.10,42.32,41.80,42.16,7079106
2-Sep-16,42.36,42.45,41.89,42.09,7191302
1-Sep-16,41.92,42.34,41.74,42.30,10739240
31-Aug-16,42.87,42.98,41.93,42.02,12445790
30-Aug-16,43.01,43.36,42.56,42.83,12176249
29-Aug-16,43.00,43.57,42.95,43.25,9223169
26-Aug-16,42.72,43.28,42.09,42.98,18670546
25-Aug-16,43.17,44.00,42.27,42.84,38568594
24-Aug-16,43.96,44.10,43.07,43.17,7578510
23-Aug-16,44.37,44.42,43.90,43.90,7401381
22-Aug-16,44.08,44.36,43.79,44.17,6518441
19-Aug-16,44.17,44.31,43.64,44.24,9439877
18-Aug-16,44.68,44.74,44.25,44.36,6548777
17-Aug-16,45.14,45.14,44.44,44.68,8630316
16-Aug-16,45.02,45.08,44.82,44.92,7584409
15-Aug-16,45.20,45.23,44.85,45.15,6525830
12-Aug-16,44.82,45.10,44.55,45.04,6686348
11-Aug-16,44.85,45.14,44.75,45.05,5756248
10-Aug-16,45.08,45.29,44.68,44.81,6026022
9-Aug-16,45.07,45.18,44.99,45.08,6486199
8-Aug-16,45.06,45.41,44.88,45.02,7657947
5-Aug-16,45.00,45.41,44.87,45.26,6555269
4-Aug-16,45.06,45.09,44.78,44.81,6583457
3-Aug-16,45.07,45.09,44.83,44.95,7783077
2-Aug-16,45.72,45.79,44.86,45.07,10352748
1-Aug-16,44.75,45.58,44.72,45.29,12152584
29-Jul-16,44.38,45.12,44.26,44.75,13423155
28-Jul-16,44.02,45.16,43.93,44.45,18284740
27-Jul-16,43.57,43.90,43.24,43.67,15188217
26-Jul-16,43.39,43.62,43.36,43.60,8664793
25-Jul-16,43.08,43.44,43.06,43.41,11525920
22-Jul-16,43.05,43.26,42.81,43.17,10205059
21-Jul-16,42.88,43.42,42.81,43.04,11491486
20-Jul-16,42.80,42.92,42.10,42.65,13686493
19-Jul-16,41.94,41.99,41.60,41.80,8462772
18-Jul-16,42.05,42.23,41.81,42.09,7524201
15-Jul-16,42.40,42.53,42.02,42.10,7693538
14-Jul-16,42.34,42.42,42.02,42.28,9011856
13-Jul-16,42.24,42.52,41.85,41.97,7920234
12-Jul-16,42.34,42.65,42.14,42.47,8268794
11-Jul-16,42.03,42.31,42.00,42.12,9053078
8-Jul-16,41.60,42.27,41.56,41.89,11071768
7-Jul-16,40.83,41.57,40.80,41.36,17624412
6-Jul-16,39.27,40.88,39.25,40.83,13177175
5-Jul-16,39.31,39.56,39.21,39.44,10029256
1-Jul-16,39.31,39.71,39.16,39.54,6904578
30-Jun-16,38.65,39.31,38.57,39.31,10425042
29-Jun-16,37.95,38.75,37.95,38.57,8366480
28-Jun-16,37.28,37.58,37.06,37.56,8379696
27-Jun-16,37.51,37.58,36.76,36.95,12814945
24-Jun-16,38.37,38.56,37.91,37.91,16525037
23-Jun-16,39.04,39.63,38.99,39.63,10755509
22-Jun-16,37.72,38.85,37.72,38.74,10868100
21-Jun-16,38.00,38.18,37.70,37.73,8841062
20-Jun-16,37.88,38.07,37.75,37.75,7707311
17-Jun-16,37.40,37.58,37.23,37.39,9899994
16-Jun-16,37.36,37.54,36.88,37.50,10267861
15-Jun-16,37.75,37.87,37.40,37.43,7716278
14-Jun-16,37.87,37.89,37.44,37.66,9613240
13-Jun-16,38.32,38.56,37.85,37.86,11108222
10-Jun-16,38.67,38.70,38.23,38.40,7926099
9-Jun-16,38.87,39.08,38.77,38.87,10093110
8-Jun-16,38.90,39.06,38.65,38.91,9133984
7-Jun-16,39.12,39.28,38.92,38.93,10202655
6-Jun-16,39.25,39.38,39.05,39.17,9157051
3-Jun-16,39.52,39.54,39.02,39.18,10841185
2-Jun-16,39.50,39.64,39.34,39.53,12758510
1-Jun-16,39.37,39.62,39.30,39.50,11554986
31-May-16,39.33,39.67,39.14,39.63,15887012
27-May-16,39.04,39.40,38.92,39.30,12338691
26-May-16,38.65,38.95,38.54,38.89,12441811
25-May-16,38.06,38.77,38.03,38.68,16140052
24-May-16,37.49,38.07,37.43,37.98,8678313
23-May-16,37.72,37.75,37.27,37.37,7125623
20-May-16,37.55,37.78,37.48,37.60,7807640
19-May-16,37.56,37.68,36.89,37.24,8219532
18-May-16,37.75,38.10,37.49,37.75,10629597
17-May-16,38.22,38.30,37.55,37.71,8356498
16-May-16,37.60,38.41,37.60,38.25,10177975
13-May-16,37.86,38.06,37.47,37.60,9317677
12-May-16,38.14,38.17,37.52,38.00,10389501
11-May-16,38.20,38.29,37.90,38.01,10578987
10-May-16,38.30,38.30,37.78,38.10,11224738
9-May-16,38.11,38.58,37.88,37.98,11154375
6-May-16,38.22,38.40,37.71,37.97,11398820
5-May-16,38.28,38.73,38.10,38.50,16529151
4-May-16,38.35,38.46,38.00,38.10,13973326
3-May-16,38.80,38.83,38.21,38.55,17874290
2-May-16,38.85,39.12,38.42,38.85,21291431
29-Apr-16,40.36,40.38,38.58,38.90,30642635
28-Apr-16,40.08,41.69,39.99,40.42,54510563
27-Apr-16,43.93,44.00,43.69,43.83,5034283
26-Apr-16,44.16,44.25,43.76,43.88,3372874
25-Apr-16,44.01,44.20,43.81,44.01,4136421
22-Apr-16,43.72,44.17,43.72,44.08,4691432
21-Apr-16,43.78,44.32,43.59,43.88,6171302
20-Apr-16,44.48,44.58,43.51,43.97,8693114
19-Apr-16,44.00,44.01,43.49,43.85,7786596
18-Apr-16,43.18,44.01,43.18,43.95,4268571
15-Apr-16,43.53,43.55,43.18,43.41,3611595
14-Apr-16,43.38,43.66,43.28,43.51,3118424
13-Apr-16,42.87,43.42,42.68,43.35,4139512
12-Apr-16,42.36,43.07,42.36,42.82,5099916
11-Apr-16,42.47,42.88,42.46,42.48,3938738
8-Apr-16,42.78,42.93,42.12,42.37,4603679
7-Apr-16,42.67,42.91,42.24,42.61,4887650
6-Apr-16,41.98,43.16,41.98,43.05,6258991
5-Apr-16,42.01,42.26,41.89,42.04,6582670
4-Apr-16,42.34,42.67,42.16,42.32,4404821
1-Apr-16,41.53,42.26,41.36,42.19,3972236
31-Mar-16,41.65,42.00,41.51,41.83,5146893
30-Mar-16,41.60,41.94,41.49,41.65,3432984
29-Mar-16,40.75,41.53,40.71,41.47,4120549
28-Mar-16,40.77,41.00,40.61,40.88,3327613
24-Mar-16,40.64,40.90,40.36,40.75,4261307
23-Mar-16,40.84,41.34,40.69,40.78,3848303
22-Mar-16,40.50,41.16,40.34,41.03,6637132
