Date,Open,High,Low,Close,Volume
28-Apr-17,120.19,121.35,120.03,121.30,2476577
27-Apr-17,119.12,120.62,119.12,120.49,2008174
26-Apr-17,118.73,119.46,118.40,118.98,1581421
25-Apr-17,119.38,119.94,118.68,118.69,1947238
24-Apr-17,119.94,120.51,119.11,119.36,2106761
21-Apr-17,119.74,119.98,119.03,119.23,2639048
20-Apr-17,117.65,119.86,117.38,119.21,3743523
19-Apr-17,116.37,117.36,116.00,116.95,2185363
18-Apr-17,115.50,116.36,115.39,116.24,1978691
17-Apr-17,114.88,115.73,114.88,115.72,1168262
13-Apr-17,115.36,115.89,114.82,114.86,1838948
12-Apr-17,116.05,116.40,115.47,115.58,2087832
11-Apr-17,116.18,116.80,115.79,116.08,2295270
10-Apr-17,117.50,118.56,117.37,117.84,2308255
7-Apr-17,117.00,117.74,116.50,117.44,2408028
6-Apr-17,117.68,117.93,116.76,116.81,2049602
5-Apr-17,118.24,119.09,117.49,117.64,1902105
4-Apr-17,117.28,118.07,117.28,118.04,1690734
3-Apr-17,118.00,118.17,117.00,117.64,3918099
31-Mar-17,120.71,121.21,119.84,119.88,2102781
30-Mar-17,120.89,121.00,120.05,120.52,2030644
29-Mar-17,121.66,121.71,120.15,120.98,2438878
28-Mar-17,119.82,122.34,119.01,121.35,5516010
27-Mar-17,118.73,119.80,118.30,119.39,3122818
24-Mar-17,120.78,121.31,118.76,118.98,3949828
23-Mar-17,122.71,123.01,120.54,120.76,7116837
22-Mar-17,125.03,126.53,124.47,126.48,4288622
21-Mar-17,125.08,125.41,123.63,124.64,3219859
20-Mar-17,125.22,125.39,124.17,124.39,2257442
17-Mar-17,124.71,125.45,123.83,125.22,4603637
16-Mar-17,124.89,125.19,123.61,124.10,2182041
15-Mar-17,123.41,124.99,123.03,124.80,2087675
14-Mar-17,124.17,124.73,123.63,123.91,1627855
13-Mar-17,124.23,124.75,123.47,124.04,2233737
10-Mar-17,123.65,124.33,123.07,123.93,1931099
9-Mar-17,124.37,124.37,122.65,123.18,2338125
8-Mar-17,124.11,124.79,123.78,124.46,2168611
7-Mar-17,123.63,124.38,123.12,124.14,2705285
