Date,Open,High,Low,Close,Volume
28-Apr-17,45.63,45.81,45.48,45.75,2148487
27-Apr-17,45.14,45.86,45.09,45.78,1803760
26-Apr-17,45.66,45.69,45.25,45.27,1549057
25-Apr-17,45.45,45.88,45.38,45.58,1844102
24-Apr-17,45.27,45.60,45.18,45.38,2661425
21-Apr-17,45.04,45.30,44.72,44.81,2081117
20-Apr-17,44.71,45.08,44.53,44.90,2539257
19-Apr-17,45.33,45.48,44.51,44.60,2896765
18-Apr-17,44.70,45.83,44.55,45.41,3758397
17-Apr-17,44.29,44.75,44.29,44.68,2943964
13-Apr-17,44.55,44.58,44.18,44.28,2212785
12-Apr-17,44.64,44.90,44.32,44.65,2718389
11-Apr-17,44.93,44.93,44.44,44.54,2137169
10-Apr-17,44.91,45.20,44.72,44.99,1638380
7-Apr-17,45.29,45.39,44.88,44.89,1418485
6-Apr-17,45.17,45.46,44.92,45.25,2285013
5-Apr-17,45.42,45.83,45.10,45.26,2825602
4-Apr-17,45.67,45.81,45.22,45.41,2826957
3-Apr-17,46.20,46.26,45.54,45.80,2300259
31-Mar-17,45.88,46.31,45.88,46.04,2236718
30-Mar-17,46.32,46.32,45.95,46.11,2019155
29-Mar-17,45.60,46.39,45.59,46.24,2477765
28-Mar-17,45.32,45.95,45.24,45.72,2135579
27-Mar-17,45.43,45.68,45.10,45.35,1792383
24-Mar-17,45.61,45.90,45.42,45.58,1546816
23-Mar-17,45.61,46.02,45.40,45.61,1972187
22-Mar-17,44.92,45.65,44.92,45.61,2621915
21-Mar-17,44.92,45.24,44.67,44.95,3493059
20-Mar-17,44.60,44.98,44.01,44.85,3897386
17-Mar-17,44.91,45.10,44.68,44.72,4200281
16-Mar-17,45.07,45.14,44.39,44.85,3185668
15-Mar-17,44.71,45.33,44.50,45.01,2840013
14-Mar-17,44.70,44.86,44.41,44.67,1946274
13-Mar-17,45.00,45.13,44.59,44.70,2273292
10-Mar-17,44.63,45.12,44.61,45.04,2217295
9-Mar-17,44.10,44.51,44.10,44.42,2822556
8-Mar-17,44.47,44.95,43.86,43.99,3156837
7-Mar-17,44.75,44.97,44.46,44.46,2362859
6-Mar-17,45.08,45.14,44.64,44.76,2469489
3-Mar-17,45.53,45.72,45.04,45.20,3037707
2-Mar-17,46.50,46.58,45.43,45.48,3393056
1-Mar-17,47.25,47.44,46.50,46.51,4033451
28-Feb-17,45.50,47.42,45.40,46.97,8689586
27-Feb-17,45.13,45.43,44.72,45.37,3026872
24-Feb-17,44.84,45.26,44.74,45.26,2371286
23-Feb-17,44.80,45.26,44.49,45.09,3290850
22-Feb-17,44.59,44.92,44.42,44.72,3271482
21-Feb-17,44.55,45.20,44.51,44.81,5068477
17-Feb-17,44.07,44.69,43.98,44.69,2809757
16-Feb-17,44.26,44.55,43.90,44.10,4259718
15-Feb-17,43.85,44.58,43.72,44.47,4060952
14-Feb-17,43.74,43.87,43.27,43.73,2734320
13-Feb-17,43.90,44.05,43.08,43.71,2978973
10-Feb-17,43.67,43.89,43.47,43.83,2356519
9-Feb-17,43.60,43.98,43.43,43.54,3120642
8-Feb-17,44.71,44.76,43.19,43.46,4308450
7-Feb-17,42.96,45.05,41.74,44.59,7474357
6-Feb-17,44.09,44.35,43.80,44.02,3890622
3-Feb-17,44.18,44.39,43.90,43.99,3292395
2-Feb-17,43.87,44.13,43.49,43.99,3624670
1-Feb-17,44.48,44.55,43.59,43.77,2486192
31-Jan-17,44.18,44.33,43.32,44.26,5041055
30-Jan-17,44.51,44.59,43.69,44.13,2572732
27-Jan-17,44.56,44.90,44.28,44.52,2054732
26-Jan-17,45.05,45.34,44.49,44.55,2577607
25-Jan-17,44.90,45.45,44.87,45.20,3367809
24-Jan-17,44.76,45.46,44.60,44.66,3245054
23-Jan-17,44.62,44.73,44.13,44.71,1973308
20-Jan-17,44.67,45.21,44.26,44.73,2395321
19-Jan-17,44.96,45.03,44.26,44.50,2834854
