Date,Open,High,Low,Close,Volume
28-Apr-17,259.23,259.50,243.64,249.63,1836647
27-Apr-17,262.84,262.84,260.06,260.54,408726
26-Apr-17,262.92,263.72,261.59,262.33,358753
25-Apr-17,261.45,264.23,261.28,263.01,477971
24-Apr-17,263.65,263.95,260.61,260.87,756375
21-Apr-17,261.00,266.25,258.48,259.51,1091243
20-Apr-17,251.95,263.40,248.42,260.62,1399787
19-Apr-17,238.72,241.22,236.22,240.64,799549
18-Apr-17,237.96,239.98,236.71,238.00,497338
17-Apr-17,236.58,239.86,235.47,238.51,591759
13-Apr-17,238.62,238.98,234.78,234.91,484533
12-Apr-17,238.34,241.43,238.27,238.90,677049
11-Apr-17,245.01,246.43,235.09,238.34,1828414
10-Apr-17,250.31,252.16,247.35,247.66,607484
7-Apr-17,252.20,254.20,250.86,251.04,551026
6-Apr-17,250.96,254.72,250.10,253.36,422166
5-Apr-17,251.70,254.94,249.78,250.26,629920
4-Apr-17,249.20,253.30,248.96,250.97,968393
3-Apr-17,249.75,251.26,247.23,250.33,732673
31-Mar-17,248.76,250.00,247.92,249.00,500234
30-Mar-17,245.33,249.43,244.71,248.88,455949
29-Mar-17,244.62,245.64,243.49,245.33,272262
28-Mar-17,242.99,245.54,242.57,244.70,502212
27-Mar-17,241.41,244.33,238.60,243.43,617578
24-Mar-17,244.22,245.70,242.04,243.79,341366
23-Mar-17,240.80,244.78,240.65,242.92,372155
22-Mar-17,239.45,242.24,239.01,240.87,333070
21-Mar-17,244.21,246.04,239.01,239.29,693559
20-Mar-17,245.52,246.02,243.40,244.54,504090
17-Mar-17,245.60,246.67,244.37,245.01,685888
16-Mar-17,246.18,246.79,243.60,245.09,389537
15-Mar-17,246.39,246.85,241.49,245.55,774142
14-Mar-17,246.54,246.97,244.18,245.53,593515
13-Mar-17,248.78,249.94,247.44,247.82,298185
10-Mar-17,249.00,251.19,247.11,248.20,495277
9-Mar-17,246.40,248.61,245.30,247.93,382580
8-Mar-17,246.09,248.81,244.59,246.19,391816
7-Mar-17,245.80,245.93,243.54,245.05,343477
6-Mar-17,242.58,246.62,240.64,245.45,514355
3-Mar-17,243.39,245.42,242.02,244.63,778764
2-Mar-17,247.74,248.76,243.69,243.94,468360
1-Mar-17,244.66,249.22,243.39,247.62,621969
28-Feb-17,247.13,247.16,242.16,242.98,922712
27-Feb-17,244.81,247.48,243.84,246.77,736075
24-Feb-17,242.00,245.11,239.82,244.81,762306
23-Feb-17,240.59,243.52,239.28,242.42,653374
22-Feb-17,238.16,241.41,236.38,239.87,440660
21-Feb-17,234.48,239.91,230.88,239.46,640717
17-Feb-17,231.18,235.14,230.24,235.04,714115
16-Feb-17,231.49,231.96,229.94,231.41,363305
15-Feb-17,228.80,231.34,227.56,230.57,324898
14-Feb-17,226.79,230.54,226.48,229.39,660708
13-Feb-17,227.94,229.27,227.54,227.81,393448
10-Feb-17,228.64,228.64,224.38,227.03,464094
9-Feb-17,225.89,229.94,225.89,228.64,496302
8-Feb-17,225.15,228.11,224.83,225.76,609327
7-Feb-17,226.11,227.66,224.72,225.11,594517
6-Feb-17,228.10,229.74,225.67,226.49,475929
3-Feb-17,227.38,229.58,227.38,228.14,464281
2-Feb-17,229.30,229.91,225.52,225.98,668953
1-Feb-17,229.17,230.40,228.15,230.39,594786
31-Jan-17,227.26,230.51,226.43,228.38,656981
30-Jan-17,221.78,228.53,221.45,228.18,699514
27-Jan-17,223.51,225.55,220.16,222.35,638816
26-Jan-17,220.00,226.75,214.68,221.70,1861583
25-Jan-17,227.49,230.54,226.05,227.26,722093
24-Jan-17,227.61,228.09,223.48,226.21,695240
23-Jan-17,230.58,230.99,227.61,228.55,667743
20-Jan-17,231.60,231.60,229.22,230.55,551727
19-Jan-17,232.41,232.86,229.69,230.22,374562
18-Jan-17,230.07,232.48,229.88,231.62,427626
17-Jan-17,236.29,236.60,228.53,230.00,958593
13-Jan-17,235.83,238.29,235.47,237.55,413243
12-Jan-17,233.37,236.04,232.32,235.67,301448
11-Jan-17,235.39,236.05,231.94,234.60,654454
10-Jan-17,237.50,238.66,234.44,235.26,567572
9-Jan-17,236.85,238.41,235.10,237.59,461184
6-Jan-17,235.55,237.72,234.01,236.32,507210
5-Jan-17,236.28,238.30,234.03,235.82,433053
4-Jan-17,235.28,238.31,232.11,237.78,511845
3-Jan-17,231.19,233.14,229.49,233.01,469365
30-Dec-16,229.83,230.46,227.39,228.50,338723
29-Dec-16,229.68,231.18,227.82,229.25,418214
28-Dec-16,234.00,234.00,227.47,228.57,617015
27-Dec-16,233.43,235.69,233.03,233.71,226721
23-Dec-16,232.00,233.94,231.83,233.64,287563
22-Dec-16,234.55,234.55,229.70,231.66,382312
21-Dec-16,232.17,235.78,230.64,233.68,333222
20-Dec-16,232.37,232.77,229.14,231.34,277772
19-Dec-16,228.96,233.44,228.83,230.96,462359
16-Dec-16,231.49,231.91,227.83,228.83,813956
15-Dec-16,229.81,233.55,227.01,231.38,508426
14-Dec-16,232.92,234.89,228.37,229.99,574026
13-Dec-16,232.32,233.00,228.54,232.68,431835
12-Dec-16,232.25,234.60,228.96,230.60,431737
9-Dec-16,237.12,237.32,226.56,232.20,932751
8-Dec-16,234.17,241.69,231.81,239.87,738642
7-Dec-16,227.10,234.02,225.92,233.50,636168
6-Dec-16,223.97,227.26,221.78,227.16,554234
5-Dec-16,219.95,225.30,219.25,223.39,681503
2-Dec-16,219.74,224.98,215.81,218.71,957391
1-Dec-16,229.09,229.38,226.21,228.18,635503
30-Nov-16,229.59,231.47,227.53,228.78,677951
29-Nov-16,232.84,233.21,228.40,228.71,482782
28-Nov-16,234.72,234.87,230.00,232.04,752298
25-Nov-16,235.30,235.86,233.05,234.69,192892
23-Nov-16,232.77,235.30,230.70,235.05,726065
22-Nov-16,228.52,233.63,227.12,233.12,944909
21-Nov-16,217.76,228.99,217.76,228.66,1263785
18-Nov-16,217.92,218.88,214.77,217.60,619817
17-Nov-16,212.04,217.85,211.03,217.55,705280
16-Nov-16,209.11,211.54,208.69,210.71,369877
15-Nov-16,211.19,212.00,207.27,210.14,580090
14-Nov-16,213.52,213.58,206.41,210.80,756358
11-Nov-16,209.23,213.53,208.58,211.72,781579
10-Nov-16,208.86,210.78,204.85,209.79,779665
9-Nov-16,199.55,209.84,198.06,207.32,793637
8-Nov-16,202.58,203.72,198.93,201.55,474114
7-Nov-16,201.98,204.82,200.12,203.79,304038
4-Nov-16,199.50,201.94,198.88,199.80,471633
3-Nov-16,200.28,201.67,199.69,200.05,375863
2-Nov-16,202.06,202.06,199.35,200.03,458039
1-Nov-16,204.74,205.62,199.83,201.74,461461
31-Oct-16,204.64,205.02,202.47,204.47,804663
28-Oct-16,203.50,205.15,201.79,203.83,470525
27-Oct-16,204.39,204.39,200.72,202.56,532974
26-Oct-16,203.28,205.57,202.52,202.88,418019
25-Oct-16,205.76,206.40,201.33,203.90,656942
24-Oct-16,202.41,207.10,201.79,206.49,831709
21-Oct-16,203.39,204.71,197.69,199.95,1242058
20-Oct-16,215.74,215.74,201.80,204.77,1699635
19-Oct-16,212.45,215.61,211.01,214.78,802718
18-Oct-16,207.11,211.64,206.82,211.07,461167
17-Oct-16,210.80,213.37,206.22,206.45,506805
14-Oct-16,208.16,210.34,206.50,209.77,436529
13-Oct-16,206.96,207.97,204.59,206.84,332844
12-Oct-16,209.13,209.88,207.49,208.27,340379
11-Oct-16,209.18,209.96,205.74,208.25,483390
10-Oct-16,209.33,212.03,208.21,208.78,489025
7-Oct-16,214.75,214.95,207.94,208.93,610399
6-Oct-16,215.12,215.68,212.16,214.05,419566
5-Oct-16,214.56,217.34,213.14,216.28,453157
