Date,Open,High,Low,Close,Volume
28-Apr-17,54.99,55.11,54.48,54.69,1102777
27-Apr-17,55.09,55.39,54.97,55.03,1245507
26-Apr-17,54.94,55.52,54.79,55.16,1794359
25-Apr-17,55.20,55.38,54.87,55.08,1806677
24-Apr-17,55.26,55.68,54.78,55.43,1463883
21-Apr-17,54.52,55.22,54.46,55.09,1262632
20-Apr-17,54.31,54.87,54.03,54.54,2445596
19-Apr-17,55.25,55.41,54.71,54.89,1046219
18-Apr-17,55.47,55.66,55.19,55.34,1140131
17-Apr-17,55.17,55.49,54.93,55.43,2073799
13-Apr-17,55.36,55.36,54.73,54.99,1885764
12-Apr-17,54.70,55.42,54.56,55.39,2243075
11-Apr-17,54.50,54.86,54.29,54.79,1522709
10-Apr-17,54.55,54.76,54.19,54.71,1156690
7-Apr-17,54.83,54.96,54.47,54.52,1870072
6-Apr-17,55.04,55.16,54.60,54.71,2280289
5-Apr-17,54.61,55.09,54.39,55.05,2026738
4-Apr-17,54.63,55.04,54.48,54.72,977760
3-Apr-17,54.52,54.59,54.14,54.57,1428686
31-Mar-17,54.56,54.90,54.50,54.59,2105234
30-Mar-17,54.96,54.99,54.48,54.69,1310211
29-Mar-17,55.20,55.35,54.83,55.13,1996814
28-Mar-17,55.94,56.44,54.89,55.31,5066720
27-Mar-17,56.42,56.57,55.97,56.05,1083326
24-Mar-17,56.03,56.42,55.86,56.19,1141501
23-Mar-17,55.86,56.50,55.81,56.05,1924433
22-Mar-17,55.74,56.20,55.55,56.04,1776598
21-Mar-17,54.61,55.61,54.61,55.49,1377137
20-Mar-17,55.06,55.23,54.52,54.69,1380037
17-Mar-17,54.43,55.28,54.38,55.05,2346124
16-Mar-17,54.47,54.62,54.12,54.35,1388296
15-Mar-17,54.23,55.02,54.14,54.79,1407762
14-Mar-17,54.17,54.30,53.90,54.02,1685401
13-Mar-17,53.84,54.25,53.76,54.19,1718233
10-Mar-17,53.98,54.22,53.48,53.89,1891121
9-Mar-17,54.26,54.53,54.11,54.12,1287968
8-Mar-17,54.28,54.49,53.97,54.12,1062166
7-Mar-17,54.86,54.97,54.71,54.82,1005186
6-Mar-17,54.85,55.16,54.66,54.89,1138770
3-Mar-17,55.13,55.22,54.43,54.89,923271
2-Mar-17,54.53,55.51,54.40,55.12,906359
1-Mar-17,54.08,55.06,53.87,54.76,1674859
28-Feb-17,54.16,54.83,54.10,54.69,2668562
27-Feb-17,54.55,54.59,53.88,54.29,1616072
24-Feb-17,54.14,54.60,54.03,54.58,2108751
23-Feb-17,54.23,54.27,53.69,54.07,1456081
22-Feb-17,53.83,54.10,53.50,53.97,1145800
21-Feb-17,53.22,53.97,53.10,53.89,1461777
17-Feb-17,53.10,53.48,52.90,53.37,1846764
16-Feb-17,52.01,53.08,52.00,52.94,2248203
15-Feb-17,52.14,52.59,51.81,52.54,2209474
14-Feb-17,52.91,52.91,52.26,52.65,1416785
13-Feb-17,52.93,53.20,52.64,53.05,1404399
10-Feb-17,52.72,53.05,52.58,52.93,1060496
9-Feb-17,53.06,53.32,52.47,52.90,1261543
8-Feb-17,52.81,53.24,52.77,53.12,943315
7-Feb-17,52.74,52.88,52.56,52.68,544302
6-Feb-17,52.87,52.98,52.53,52.65,874719
3-Feb-17,52.78,52.97,52.54,52.69,623311
2-Feb-17,51.86,52.62,51.69,52.59,1032904
1-Feb-17,52.24,52.64,51.61,51.75,1076857
31-Jan-17,51.72,52.66,51.64,52.65,1460136
30-Jan-17,52.01,52.01,51.35,51.69,592904
27-Jan-17,52.24,52.30,51.67,51.82,649614
26-Jan-17,51.92,52.28,51.72,52.08,1062041
25-Jan-17,51.84,52.07,51.61,51.90,974398
24-Jan-17,51.91,52.24,51.79,52.06,1129856
23-Jan-17,52.16,52.40,51.93,51.98,665361
20-Jan-17,51.91,52.40,51.78,52.05,806087
19-Jan-17,52.17,52.32,51.64,51.81,915698
18-Jan-17,52.39,52.66,52.24,52.36,880617
17-Jan-17,52.06,52.60,52.01,52.55,1052397
13-Jan-17,51.90,52.09,51.70,51.97,905552
12-Jan-17,52.19,52.39,51.81,51.96,1470192
11-Jan-17,51.90,52.44,51.89,52.20,1674843
10-Jan-17,52.05,52.45,51.66,51.97,1287084
9-Jan-17,53.13,53.22,51.90,51.99,1588253
6-Jan-17,52.47,53.40,52.41,53.10,1883810
5-Jan-17,52.45,52.76,51.91,52.70,2256159
4-Jan-17,52.45,52.92,52.23,52.44,1114317
3-Jan-17,52.59,52.59,51.93,52.38,1107195
30-Dec-16,52.49,52.88,52.25,52.46,951094
29-Dec-16,52.27,52.70,51.96,52.56,922797
28-Dec-16,52.58,52.58,51.74,51.82,615131
27-Dec-16,52.43,52.76,52.23,52.56,632921
23-Dec-16,52.50,52.64,52.25,52.45,597626
22-Dec-16,51.97,52.44,51.67,52.41,965041
21-Dec-16,52.17,52.53,51.93,51.95,832770
20-Dec-16,51.92,52.35,51.72,52.19,918295
19-Dec-16,51.94,52.17,51.46,51.89,958625
16-Dec-16,51.13,51.85,51.13,51.60,1852368
15-Dec-16,50.58,51.23,50.36,51.10,1059519
14-Dec-16,52.03,52.36,50.64,50.70,1348964
13-Dec-16,51.37,51.94,51.16,51.92,1550629
12-Dec-16,50.57,51.40,50.35,51.34,1823796
9-Dec-16,49.82,50.73,49.75,50.73,2790919
8-Dec-16,49.39,49.97,48.80,49.82,1261779
7-Dec-16,49.58,50.19,49.42,49.88,2040892
6-Dec-16,49.32,49.57,49.12,49.34,1624988
5-Dec-16,49.09,49.18,48.41,49.16,1324930
2-Dec-16,49.22,49.99,49.22,49.66,1749898
1-Dec-16,48.85,49.00,48.32,48.91,1464620
30-Nov-16,49.47,50.34,49.12,49.12,1962897
29-Nov-16,50.81,51.37,50.68,50.93,1500431
28-Nov-16,50.15,51.21,50.13,51.08,1825358
25-Nov-16,49.22,50.09,49.14,49.99,616565
23-Nov-16,48.85,49.44,48.83,49.07,1348265
22-Nov-16,48.92,49.53,48.77,49.43,1542439
21-Nov-16,48.53,49.12,48.47,48.84,866977
18-Nov-16,48.43,48.82,48.28,48.48,1224410
17-Nov-16,48.36,48.81,48.29,48.51,1439060
16-Nov-16,49.36,49.52,48.19,48.47,1642484
15-Nov-16,48.88,49.47,48.65,49.27,2124654
14-Nov-16,47.49,48.67,46.97,48.62,3519161
11-Nov-16,47.80,48.45,47.61,47.77,2161783
10-Nov-16,48.71,48.71,47.28,47.80,2323663
9-Nov-16,49.80,49.99,48.97,49.05,1905443
8-Nov-16,50.93,51.46,50.76,51.21,1400441
7-Nov-16,49.75,50.82,49.38,50.81,1779772
4-Nov-16,49.95,50.27,49.27,49.36,1732992
3-Nov-16,48.54,49.24,48.36,49.07,1528617
2-Nov-16,49.10,49.10,48.24,48.65,1293498
1-Nov-16,49.96,49.96,49.12,49.17,1382022
31-Oct-16,49.15,50.25,48.97,49.95,1469645
28-Oct-16,48.82,49.24,48.70,48.87,1939245
27-Oct-16,48.89,49.09,48.45,48.74,1114965
26-Oct-16,49.00,49.22,48.64,49.10,696226
25-Oct-16,48.48,49.04,48.41,49.03,1285633
24-Oct-16,48.72,48.93,48.32,48.65,997402
21-Oct-16,48.36,48.63,48.16,48.47,1069092
20-Oct-16,48.70,48.99,48.50,48.62,757993
19-Oct-16,48.79,48.89,48.49,48.70,1221868
18-Oct-16,48.45,48.95,47.96,48.91,1076056
17-Oct-16,48.23,48.39,47.88,48.18,1030255
14-Oct-16,47.82,48.30,47.67,48.03,1658210
13-Oct-16,47.64,48.42,47.54,48.04,1801210
12-Oct-16,46.96,47.71,46.84,47.59,2038535
11-Oct-16,47.50,47.69,46.86,46.88,1444220
10-Oct-16,47.50,47.79,47.41,47.70,1352288
7-Oct-16,47.98,48.33,47.37,47.43,1472373
6-Oct-16,47.47,47.83,47.21,47.59,1230317
5-Oct-16,47.51,47.95,47.28,47.71,4074587
4-Oct-16,48.51,48.52,47.03,47.38,3360870
3-Oct-16,48.97,49.08,48.18,48.63,1567546
30-Sep-16,49.73,49.95,48.90,49.18,2012830
29-Sep-16,50.11,50.21,49.29,49.60,1491830
28-Sep-16,50.73,50.81,49.78,50.36,2037789
27-Sep-16,51.76,51.91,50.47,50.56,1541745
26-Sep-16,51.69,51.76,51.29,51.48,1164217
23-Sep-16,51.22,51.86,50.99,51.70,1576289
22-Sep-16,51.34,51.47,50.86,51.41,1273725
21-Sep-16,50.05,51.20,50.02,51.14,1602578
20-Sep-16,50.22,50.68,50.09,50.10,1394339
19-Sep-16,49.49,50.05,49.36,50.04,1842224
16-Sep-16,48.54,49.45,48.24,49.38,2038359
15-Sep-16,48.39,48.80,48.22,48.65,1528511
14-Sep-16,48.23,48.73,48.08,48.49,1295736
13-Sep-16,48.73,48.76,47.79,48.10,1773932
12-Sep-16,48.08,48.93,48.00,48.86,1814883
9-Sep-16,49.44,49.51,48.03,48.06,1926285
8-Sep-16,49.90,50.24,49.62,49.85,1469598
7-Sep-16,49.79,50.06,49.58,50.02,1074063
6-Sep-16,49.52,49.97,49.28,49.84,1282443
2-Sep-16,49.15,49.67,49.02,49.66,1839748
1-Sep-16,49.40,49.50,49.08,49.15,1293649
31-Aug-16,49.33,49.52,49.15,49.42,1449413
30-Aug-16,49.75,50.04,49.25,49.30,974758
29-Aug-16,49.51,49.92,49.51,49.77,1472997
26-Aug-16,50.49,50.74,49.36,49.40,1397774
25-Aug-16,50.38,50.58,50.31,50.44,931607
24-Aug-16,50.29,50.49,49.94,50.32,1551142
23-Aug-16,50.74,51.08,50.42,50.42,820923
22-Aug-16,50.70,50.90,50.58,50.65,1284011
19-Aug-16,51.24,51.26,50.26,50.57,1371525
18-Aug-16,50.71,51.35,50.66,51.35,1477521
17-Aug-16,49.74,50.84,49.34,50.71,2004844
16-Aug-16,50.27,50.31,49.80,49.82,1726549
15-Aug-16,51.00,51.21,50.38,50.41,977489
12-Aug-16,51.23,51.49,51.03,51.05,1160313
11-Aug-16,51.02,51.16,50.71,51.02,875171
