Date,Open,High,Low,Close,Volume
28-Apr-17,11.30,11.38,11.21,11.31,6136662
27-Apr-17,11.30,11.45,11.23,11.29,12780706
26-Apr-17,11.60,11.60,11.43,11.45,5299032
25-Apr-17,11.55,11.62,11.52,11.62,4193061
24-Apr-17,11.40,11.60,11.36,11.59,6947310
21-Apr-17,11.38,11.44,11.32,11.38,5026241
20-Apr-17,11.37,11.43,11.25,11.42,6281579
19-Apr-17,11.42,11.44,11.30,11.37,5732699
18-Apr-17,11.40,11.45,11.34,11.41,5916037
17-Apr-17,11.38,11.47,11.34,11.43,3405626
13-Apr-17,11.36,11.41,11.29,11.36,5228159
12-Apr-17,11.29,11.39,11.24,11.37,8744595
11-Apr-17,11.13,11.35,11.03,11.31,8621780
10-Apr-17,11.05,11.19,11.01,11.15,7859366
7-Apr-17,11.18,11.21,11.03,11.04,5612106
6-Apr-17,11.17,11.31,11.14,11.16,6020608
5-Apr-17,11.24,11.31,11.08,11.16,9859598
4-Apr-17,11.19,11.32,11.08,11.27,5616511
3-Apr-17,11.17,11.22,11.06,11.19,6424951
31-Mar-17,11.11,11.27,11.09,11.18,13804561
30-Mar-17,11.24,11.26,11.03,11.08,7207850
29-Mar-17,11.26,11.39,11.19,11.25,5728277
28-Mar-17,11.08,11.32,11.05,11.31,3855252
27-Mar-17,11.26,11.26,11.07,11.13,3331507
24-Mar-17,11.18,11.31,11.16,11.23,3479756
23-Mar-17,11.16,11.34,11.12,11.18,3383514
22-Mar-17,11.34,11.43,11.10,11.15,4494359
21-Mar-17,11.19,11.38,11.12,11.30,5866851
20-Mar-17,11.48,11.48,11.14,11.20,2725424
17-Mar-17,11.36,11.47,11.31,11.46,8240932
16-Mar-17,11.26,11.36,11.22,11.30,3925407
15-Mar-17,11.05,11.40,11.03,11.31,3914892
14-Mar-17,11.02,11.08,10.93,11.00,3926598
13-Mar-17,11.17,11.20,11.01,11.02,3492879
10-Mar-17,11.10,11.20,11.05,11.15,4206321
9-Mar-17,11.05,11.19,11.04,11.06,5151350
8-Mar-17,11.25,11.31,11.06,11.07,4542612
7-Mar-17,11.55,11.60,11.31,11.33,5982456
6-Mar-17,11.55,11.61,11.48,11.52,6884597
3-Mar-17,11.64,11.65,11.38,11.55,6023702
2-Mar-17,11.30,11.68,11.27,11.63,6778309
1-Mar-17,11.38,11.50,11.31,11.35,6811775
28-Feb-17,11.26,11.60,11.14,11.52,10598703
