Date,Open,High,Low,Close,Volume
28-Apr-17,75.23,76.88,74.77,74.88,2299000
27-Apr-17,75.01,75.23,74.74,75.05,1778986
26-Apr-17,74.86,75.34,74.57,74.80,2215723
25-Apr-17,75.02,75.22,74.85,75.01,1826065
24-Apr-17,74.98,75.09,74.41,74.65,1880470
21-Apr-17,74.14,74.69,73.96,73.99,1768788
20-Apr-17,73.85,74.49,73.45,74.17,1541697
19-Apr-17,74.18,74.36,73.42,73.57,1769510
18-Apr-17,73.63,74.18,73.52,73.88,2689896
17-Apr-17,73.15,73.53,73.11,73.53,1995645
13-Apr-17,73.15,73.62,72.99,73.00,1505940
12-Apr-17,73.17,73.66,73.01,73.35,2204738
11-Apr-17,73.30,73.75,73.13,73.75,1899019
10-Apr-17,72.99,73.88,72.92,73.55,3754514
7-Apr-17,72.67,73.18,72.64,72.90,2923652
6-Apr-17,72.63,73.29,72.22,72.95,3398937
5-Apr-17,72.78,73.14,72.16,72.19,3032592
4-Apr-17,72.55,72.74,72.40,72.61,1519399
3-Apr-17,72.76,72.94,72.08,72.66,2406067
31-Mar-17,72.15,72.63,72.14,72.42,2135524
30-Mar-17,71.45,72.53,71.45,72.32,2365204
29-Mar-17,71.99,72.13,71.30,71.58,1722923
28-Mar-17,71.70,72.66,71.68,72.31,2364700
27-Mar-17,71.20,72.00,71.07,71.84,2732577
24-Mar-17,72.04,72.53,71.78,71.99,1708966
23-Mar-17,71.59,72.55,71.40,72.00,1552290
22-Mar-17,71.19,71.78,70.64,71.64,1624114
21-Mar-17,72.44,72.60,71.29,71.41,2325200
20-Mar-17,72.34,72.54,72.01,72.24,1149733
17-Mar-17,72.52,72.93,71.95,72.53,3079140
16-Mar-17,72.31,72.84,72.25,72.40,2003234
15-Mar-17,71.85,72.40,71.58,72.35,1948090
14-Mar-17,71.92,72.00,71.57,71.84,1604875
13-Mar-17,72.08,72.26,71.80,72.05,1608887
10-Mar-17,72.37,72.72,71.66,72.02,1515421
9-Mar-17,72.34,72.47,71.90,72.09,1670301
8-Mar-17,72.40,72.58,71.89,71.89,1723611
7-Mar-17,72.16,72.25,71.82,71.95,1346009
6-Mar-17,71.86,72.43,71.82,72.19,1221606
3-Mar-17,72.27,72.54,72.14,72.27,1365517
2-Mar-17,72.87,72.94,72.15,72.19,1903104
1-Mar-17,73.00,73.33,72.81,72.98,2683646
28-Feb-17,72.15,72.58,72.04,72.35,3192237
27-Feb-17,71.98,72.47,71.74,72.33,1831589
24-Feb-17,71.24,71.73,71.13,71.71,1571438
23-Feb-17,71.20,71.72,71.20,71.72,1398646
22-Feb-17,71.06,71.48,70.98,71.16,1758088
21-Feb-17,71.12,71.74,71.12,71.42,1821930
17-Feb-17,70.93,71.13,70.34,71.10,2081865
16-Feb-17,70.70,71.34,70.64,71.19,2399047
15-Feb-17,70.87,71.22,70.71,71.00,2264590
14-Feb-17,70.86,71.22,70.70,71.04,2167057
13-Feb-17,69.81,71.25,69.81,70.98,3005770
10-Feb-17,70.00,70.10,69.91,69.98,2132011
9-Feb-17,69.90,70.07,69.51,69.90,2419046
8-Feb-17,68.95,69.76,68.80,69.64,2111454
7-Feb-17,69.22,69.28,68.62,68.97,1855283
6-Feb-17,68.40,69.05,68.17,68.93,1826210
3-Feb-17,68.90,68.92,68.20,68.61,2139173
2-Feb-17,66.77,68.13,66.50,67.83,2686827
1-Feb-17,69.00,69.95,66.60,67.14,4609537
31-Jan-17,70.31,70.76,69.61,69.99,3790654
30-Jan-17,70.25,70.52,69.86,70.35,2392567
27-Jan-17,70.41,70.55,70.00,70.27,1200788
26-Jan-17,70.55,70.77,70.38,70.56,2985851
25-Jan-17,70.11,70.58,69.96,70.46,3582985
24-Jan-17,69.67,69.96,69.34,69.82,2508770
23-Jan-17,70.00,70.04,69.14,69.35,1771424
20-Jan-17,69.92,70.18,69.62,70.08,2406308
19-Jan-17,70.06,70.24,68.84,69.46,2293582
18-Jan-17,70.07,70.24,69.38,69.97,2386952
17-Jan-17,69.13,70.12,69.09,69.88,3217341
13-Jan-17,69.77,70.20,68.86,69.64,2009302
12-Jan-17,69.45,70.10,69.04,69.57,2783793
11-Jan-17,69.51,69.91,69.27,69.86,2161218
10-Jan-17,69.51,70.10,69.14,69.43,2694535
9-Jan-17,69.89,70.15,69.38,69.52,1811813
6-Jan-17,70.19,70.64,69.78,70.19,2234016
5-Jan-17,70.29,70.62,69.61,69.95,2240193
4-Jan-17,70.00,70.75,69.81,70.41,1946700
3-Jan-17,70.09,70.34,69.32,69.77,2324808
30-Dec-16,70.02,70.14,69.43,69.60,1193900
29-Dec-16,69.86,70.13,69.80,69.83,1388343
28-Dec-16,70.22,70.29,69.70,69.80,1569301
27-Dec-16,70.16,70.71,70.03,70.40,883346
23-Dec-16,70.37,70.41,69.95,70.15,1074013
22-Dec-16,70.15,70.46,69.69,70.38,1354948
21-Dec-16,69.86,70.68,69.86,70.30,1284297
20-Dec-16,69.85,70.31,69.54,69.86,1743049
19-Dec-16,69.21,69.81,68.79,69.79,1803409
16-Dec-16,69.39,69.62,69.02,69.41,2991221
15-Dec-16,69.75,70.35,69.21,69.27,3347909
14-Dec-16,69.69,70.80,69.42,69.72,3188664
13-Dec-16,69.33,70.14,69.32,69.98,2869636
12-Dec-16,68.95,69.23,68.52,68.96,3344248
9-Dec-16,68.78,69.21,67.50,69.06,4460264
8-Dec-16,69.76,70.15,69.42,69.62,2309256
7-Dec-16,68.54,69.59,68.40,69.46,2362297
6-Dec-16,68.75,68.85,68.15,68.58,3293893
5-Dec-16,68.64,68.99,68.18,68.69,3036291
2-Dec-16,70.00,70.26,68.15,68.29,4695274
