Date,Open,High,Low,Close,Volume
28-Apr-17,44.31,44.40,43.45,43.74,2284087
27-Apr-17,44.78,44.95,44.09,44.45,2890571
26-Apr-17,44.62,44.96,44.21,44.84,1725264
25-Apr-17,43.88,44.71,43.64,44.65,1803233
24-Apr-17,44.72,44.72,43.16,43.81,2470532
21-Apr-17,43.98,44.37,43.98,44.15,1651247
20-Apr-17,44.36,44.36,43.80,44.05,2135119
19-Apr-17,44.73,44.87,44.24,44.30,984087
18-Apr-17,44.54,44.85,44.49,44.72,1543465
17-Apr-17,44.18,44.63,44.10,44.59,2038689
13-Apr-17,44.27,44.40,43.70,43.99,1454569
12-Apr-17,44.86,44.94,44.11,44.24,2753754
11-Apr-17,45.00,45.12,44.72,44.81,920299
10-Apr-17,44.87,45.10,44.63,44.99,706969
7-Apr-17,44.92,45.09,44.75,44.92,638327
6-Apr-17,44.57,44.92,44.36,44.86,1211849
5-Apr-17,44.45,44.72,44.07,44.64,1195762
4-Apr-17,44.31,45.11,44.14,44.44,1143698
3-Apr-17,44.32,44.44,44.02,44.32,1509818
31-Mar-17,44.25,44.59,44.08,44.35,1440677
30-Mar-17,44.25,44.46,43.91,44.32,650473
29-Mar-17,44.29,44.49,44.00,44.40,645916
28-Mar-17,44.26,44.43,43.65,44.35,862481
27-Mar-17,44.31,44.95,44.09,44.22,800614
24-Mar-17,44.87,45.08,44.64,44.74,554605
23-Mar-17,44.46,44.97,44.22,44.71,710433
22-Mar-17,44.77,44.77,44.14,44.51,695806
21-Mar-17,44.27,44.60,44.12,44.46,1698312
20-Mar-17,44.19,44.44,43.99,44.09,1093613
17-Mar-17,44.22,44.54,43.92,44.21,1631489
16-Mar-17,44.29,44.73,43.95,44.13,858655
15-Mar-17,43.26,44.60,43.08,44.34,3011108
14-Mar-17,43.18,43.25,42.84,43.11,2075955
13-Mar-17,43.58,43.76,43.06,43.11,2275687
10-Mar-17,44.23,44.54,43.03,43.43,941809
9-Mar-17,44.69,45.00,43.73,43.76,1017362
8-Mar-17,45.15,45.55,44.63,44.69,598428
7-Mar-17,45.23,45.46,45.00,45.43,783095
6-Mar-17,45.16,45.49,44.78,45.25,988491
3-Mar-17,45.48,45.54,44.90,45.39,826853
2-Mar-17,45.89,46.15,45.38,45.54,1125288
1-Mar-17,46.25,46.46,45.95,46.02,1340143
28-Feb-17,46.43,46.86,46.30,46.53,1609421
27-Feb-17,46.19,46.60,45.95,46.46,531370
24-Feb-17,46.14,46.14,45.66,46.09,487775
23-Feb-17,45.68,46.13,45.28,45.96,1040888
22-Feb-17,45.93,45.93,44.73,45.43,848430
21-Feb-17,44.82,45.95,44.62,45.78,816282
17-Feb-17,45.15,45.21,44.62,45.01,742390
16-Feb-17,44.89,45.44,44.86,45.17,405207
15-Feb-17,44.76,44.98,44.36,44.72,777817
14-Feb-17,45.35,45.52,44.74,45.36,660531
13-Feb-17,45.72,45.86,44.95,45.52,748942
10-Feb-17,44.98,45.77,44.91,45.72,713422
9-Feb-17,45.13,45.37,44.73,45.12,1079558
8-Feb-17,44.89,45.58,44.61,45.30,1568111
7-Feb-17,44.32,44.85,44.06,44.69,837175
6-Feb-17,44.40,44.56,43.85,44.26,968372
3-Feb-17,45.21,45.89,44.36,44.44,1447135
2-Feb-17,43.33,44.41,43.27,44.29,1465722
1-Feb-17,43.85,44.26,43.19,43.23,786531
31-Jan-17,44.01,44.47,43.92,44.07,738677
30-Jan-17,44.37,44.42,43.84,43.88,1066256
27-Jan-17,44.62,44.64,43.97,44.30,774083
26-Jan-17,44.56,44.80,44.24,44.46,577305
25-Jan-17,45.23,45.23,44.49,44.50,906958
24-Jan-17,45.10,45.43,44.94,45.30,1340047
23-Jan-17,44.72,45.17,44.60,45.16,983599
20-Jan-17,44.16,44.78,44.06,44.76,1108592
19-Jan-17,44.21,44.34,43.95,44.04,633150
18-Jan-17,44.59,44.83,44.34,44.46,677674
17-Jan-17,44.30,44.65,44.20,44.52,1220470
13-Jan-17,44.08,44.41,43.97,44.18,449046
12-Jan-17,43.64,44.30,43.35,44.22,855098
11-Jan-17,44.24,44.42,43.93,43.97,1197993
10-Jan-17,44.87,44.98,44.24,44.25,1241996
9-Jan-17,45.54,45.61,44.92,44.96,697735
6-Jan-17,45.30,45.56,44.98,45.45,1299301
5-Jan-17,45.10,45.65,44.65,45.45,833368
4-Jan-17,45.10,45.52,44.80,45.36,1089447
3-Jan-17,45.69,45.73,44.67,44.94,770137
30-Dec-16,44.73,45.58,44.41,45.45,1384489
29-Dec-16,44.36,44.84,44.25,44.70,653339
28-Dec-16,44.36,44.45,44.00,44.23,817718
27-Dec-16,44.72,44.94,44.24,44.31,1312749
23-Dec-16,44.53,44.91,44.48,44.74,796692
22-Dec-16,43.90,44.56,43.30,44.55,1117489
21-Dec-16,44.86,45.27,43.78,43.97,1662142
20-Dec-16,44.50,45.04,44.46,44.84,1194970
19-Dec-16,44.45,44.75,44.10,44.57,1496623
16-Dec-16,43.59,44.51,43.57,44.17,3025555
15-Dec-16,42.52,43.84,42.30,43.18,1916600
14-Dec-16,42.76,43.06,42.14,42.63,1628480
13-Dec-16,42.69,43.05,42.12,42.75,1168763
12-Dec-16,42.23,42.56,42.06,42.41,1536103
9-Dec-16,42.59,43.04,42.23,42.31,901879
8-Dec-16,42.14,42.92,41.92,42.60,764142
7-Dec-16,41.86,42.38,41.65,42.35,1044219
6-Dec-16,41.99,42.44,41.70,41.77,1409169
5-Dec-16,41.75,42.09,41.43,41.90,1058729
2-Dec-16,41.60,42.38,41.39,41.77,1324026
1-Dec-16,42.08,42.08,41.08,41.36,1487924
30-Nov-16,41.42,42.32,40.90,42.10,1998654
29-Nov-16,41.81,42.40,41.80,42.05,1655443
28-Nov-16,41.01,41.85,41.01,41.70,1428417
25-Nov-16,40.79,41.40,40.65,41.06,514093
23-Nov-16,40.34,40.67,40.02,40.64,1214024
22-Nov-16,40.01,40.69,39.66,40.66,1507666
21-Nov-16,40.56,40.89,39.82,39.88,1554431
18-Nov-16,40.38,40.50,39.80,40.45,1944915
17-Nov-16,40.72,41.01,40.33,40.40,1344275
16-Nov-16,40.74,41.15,40.41,40.76,1359150
15-Nov-16,42.96,42.96,40.61,41.03,3796388
14-Nov-16,41.91,43.23,40.95,42.80,3569563
11-Nov-16,42.38,43.01,41.80,41.97,2414339
10-Nov-16,43.41,43.61,41.98,42.28,1845507
9-Nov-16,43.92,44.22,41.92,43.53,1401750
8-Nov-16,44.36,45.02,44.05,44.86,1008970
7-Nov-16,44.91,44.91,43.95,44.20,1315642
4-Nov-16,43.99,44.57,43.75,44.33,1121312
3-Nov-16,43.94,44.40,43.73,43.75,1186704
2-Nov-16,43.75,44.33,43.69,43.93,1787301
1-Nov-16,43.99,44.34,43.30,43.63,1618880
31-Oct-16,43.34,44.30,43.11,44.07,1889062
28-Oct-16,42.86,43.72,42.47,42.85,1964653
27-Oct-16,43.04,43.21,41.74,42.11,1187568
26-Oct-16,42.61,43.24,42.07,43.13,1198920
25-Oct-16,42.72,43.08,42.37,42.92,1417071
24-Oct-16,43.63,44.03,42.94,43.00,994907
21-Oct-16,42.99,43.54,42.92,43.38,981290
20-Oct-16,42.90,43.45,42.73,43.34,1487426
19-Oct-16,42.90,43.38,42.80,43.33,746285
18-Oct-16,43.52,43.56,42.89,42.93,748193
17-Oct-16,42.92,43.31,42.79,43.09,742108
14-Oct-16,43.07,43.43,42.68,42.79,1273528
13-Oct-16,42.49,43.33,42.25,43.11,1338538
12-Oct-16,42.37,42.96,42.28,42.68,1860834
11-Oct-16,42.36,42.72,42.20,42.28,2269599
10-Oct-16,42.01,42.57,41.94,42.36,1073277
7-Oct-16,42.30,42.65,41.79,41.96,1343255
6-Oct-16,41.94,42.54,41.39,42.01,2380566
5-Oct-16,44.16,44.27,42.17,42.23,2959787
4-Oct-16,44.71,44.76,43.64,43.97,1621530
3-Oct-16,45.69,45.69,44.69,44.72,1227625
30-Sep-16,46.93,46.96,45.88,45.91,1778579
29-Sep-16,47.22,47.47,46.58,46.60,1142316
28-Sep-16,47.30,47.57,46.93,47.38,1221778
27-Sep-16,47.82,47.91,47.08,47.16,953085
26-Sep-16,46.78,47.82,46.78,47.59,1550440
23-Sep-16,46.43,47.36,46.14,46.95,1739357
22-Sep-16,45.98,46.67,45.46,46.58,1307294
21-Sep-16,44.70,45.48,44.25,45.38,945147
20-Sep-16,44.53,44.76,44.39,44.64,1190154
19-Sep-16,43.88,44.25,43.88,44.17,1782984
