Date,Open,High,Low,Close,Volume
28-Apr-17,97.03,97.10,96.09,96.24,309357
27-Apr-17,97.16,97.49,96.95,97.12,350109
26-Apr-17,97.01,98.01,96.92,97.02,294527
25-Apr-17,96.55,97.35,96.22,96.92,387798
24-Apr-17,95.57,96.39,95.55,96.12,414768
21-Apr-17,94.85,95.22,94.54,94.70,345772
20-Apr-17,94.47,95.65,93.94,95.11,390918
19-Apr-17,94.41,94.63,93.66,93.97,265120
18-Apr-17,93.61,94.04,92.87,93.60,349740
17-Apr-17,93.19,94.25,92.96,94.22,322182
13-Apr-17,92.91,94.07,92.34,92.68,465483
12-Apr-17,94.87,95.06,93.54,93.63,352191
11-Apr-17,94.57,95.25,94.06,95.21,175877
10-Apr-17,94.69,95.94,94.65,94.85,260594
7-Apr-17,94.27,95.41,93.99,94.69,276327
6-Apr-17,94.34,94.86,93.61,94.79,665355
5-Apr-17,95.76,95.76,94.29,94.35,387243
4-Apr-17,94.78,95.65,94.34,94.96,287296
3-Apr-17,95.82,96.16,93.95,95.01,411964
31-Mar-17,95.37,96.14,94.34,95.67,282139
30-Mar-17,94.48,95.52,94.31,95.44,307750
29-Mar-17,95.39,95.46,94.25,94.31,445551
28-Mar-17,94.34,95.73,93.90,95.50,460972
27-Mar-17,93.86,94.95,93.36,94.56,539044
24-Mar-17,95.51,96.13,94.68,95.06,298196
23-Mar-17,95.31,96.49,95.11,95.34,482507
22-Mar-17,95.47,95.97,94.78,95.58,356188
21-Mar-17,98.23,98.23,95.37,95.45,567466
20-Mar-17,98.61,98.61,97.41,97.65,365974
17-Mar-17,98.59,99.23,98.15,98.97,806491
16-Mar-17,99.03,99.50,98.09,98.59,382171
15-Mar-17,99.25,99.66,98.60,99.02,343675
14-Mar-17,99.27,99.79,98.05,99.49,324423
13-Mar-17,99.48,100.11,99.13,99.41,335878
10-Mar-17,100.37,100.38,99.48,99.64,293608
9-Mar-17,99.78,100.17,99.48,99.97,251470
8-Mar-17,100.24,100.63,99.41,99.48,269616
7-Mar-17,99.62,99.81,99.00,99.60,269364
6-Mar-17,99.02,99.83,98.77,99.58,295356
3-Mar-17,99.90,100.47,99.41,99.87,332715
2-Mar-17,100.86,100.86,99.68,99.75,411349
1-Mar-17,100.00,101.32,100.00,100.85,418972
28-Feb-17,98.12,99.08,97.90,99.00,412757
27-Feb-17,98.68,98.97,97.75,98.12,286107
24-Feb-17,98.15,98.79,97.76,98.76,267721
23-Feb-17,98.00,99.05,98.00,98.84,448764
22-Feb-17,97.55,98.49,97.55,98.39,386999
21-Feb-17,96.37,98.27,96.36,98.04,435822
17-Feb-17,96.09,96.75,95.52,96.75,356715
16-Feb-17,96.31,97.09,96.07,96.52,454197
15-Feb-17,94.86,96.25,94.86,96.25,369670
14-Feb-17,93.51,95.45,92.94,95.25,319659
13-Feb-17,93.05,94.92,93.04,94.32,401146
