Date,Open,High,Low,Close,Volume
28-Apr-17,84.98,85.69,84.80,85.09,1173340
27-Apr-17,86.18,86.34,83.76,84.93,3163065
26-Apr-17,90.35,91.95,88.18,88.25,2385784
25-Apr-17,91.00,91.90,90.69,91.42,1615522
24-Apr-17,90.75,91.43,90.07,90.68,1342017
21-Apr-17,88.45,89.31,88.11,89.11,1147793
20-Apr-17,87.60,88.64,87.20,88.37,797720
19-Apr-17,86.94,87.94,86.58,87.19,894424
18-Apr-17,86.97,87.66,85.75,86.53,1106255
17-Apr-17,86.59,87.14,86.12,86.91,985470
13-Apr-17,88.33,88.55,86.30,86.33,1577611
12-Apr-17,89.60,90.00,88.26,88.66,1545820
11-Apr-17,88.79,89.66,87.74,88.84,1315140
10-Apr-17,89.40,90.05,88.80,89.04,1057263
7-Apr-17,88.99,89.82,88.41,89.17,1277004
6-Apr-17,90.28,90.71,89.09,89.43,1509718
5-Apr-17,90.81,91.42,89.97,90.05,1188490
4-Apr-17,92.14,92.59,90.12,90.22,1278636
3-Apr-17,92.42,92.57,90.70,92.37,1978895
31-Mar-17,93.36,93.57,92.18,92.22,1856876
30-Mar-17,94.36,94.93,93.40,93.66,2143615
29-Mar-17,96.50,96.58,93.75,94.30,1318686
28-Mar-17,94.97,97.06,94.73,96.33,1571766
27-Mar-17,93.44,95.43,93.14,95.00,1063920
24-Mar-17,94.24,95.36,93.06,94.70,856859
23-Mar-17,92.99,95.24,92.36,94.05,1331335
22-Mar-17,91.66,92.96,89.00,92.92,1678734
21-Mar-17,95.40,95.40,92.01,92.11,1492859
20-Mar-17,95.19,95.25,93.85,94.82,1498802
17-Mar-17,94.55,94.59,93.27,93.36,1321308
16-Mar-17,95.38,95.82,93.66,94.14,1396810
15-Mar-17,93.11,95.90,92.33,95.36,1876109
14-Mar-17,96.22,96.39,94.14,94.50,1132762
13-Mar-17,96.33,98.30,96.17,96.58,1375531
10-Mar-17,94.58,96.68,94.34,96.61,1217222
9-Mar-17,95.39,96.33,94.48,94.78,1205069
8-Mar-17,95.27,95.99,94.18,95.20,1298640
7-Mar-17,96.15,96.43,94.89,95.12,1235668
6-Mar-17,98.47,98.81,95.53,96.63,1770113
3-Mar-17,96.55,99.22,96.51,98.94,1535932
2-Mar-17,99.91,100.09,96.22,96.36,1838225
1-Mar-17,98.04,101.43,98.04,100.24,1562404
28-Feb-17,97.91,98.76,97.40,97.82,1163147
27-Feb-17,96.76,97.87,96.23,97.84,779098
24-Feb-17,95.20,97.06,94.83,97.01,653791
23-Feb-17,97.25,97.69,95.78,95.89,822156
22-Feb-17,96.38,97.52,96.24,97.25,871083
21-Feb-17,96.34,97.10,95.91,96.61,1068210
17-Feb-17,96.12,96.69,95.31,96.60,909965
16-Feb-17,96.99,97.26,95.80,96.69,1296940
15-Feb-17,97.11,97.75,96.31,96.96,1449146
14-Feb-17,98.11,98.30,95.66,96.30,1252656
13-Feb-17,97.47,98.40,97.36,98.02,1077577
10-Feb-17,98.37,98.83,97.16,97.35,1258011
9-Feb-17,97.08,98.89,95.12,98.41,2164011
8-Feb-17,95.10,98.80,94.98,97.20,2683620
7-Feb-17,95.42,95.45,93.92,94.10,1572885
6-Feb-17,94.75,95.79,94.31,95.12,863966
3-Feb-17,94.67,95.34,93.55,94.09,932982
2-Feb-17,92.94,94.65,92.37,94.53,1174700
1-Feb-17,93.83,94.68,93.03,93.63,830162
31-Jan-17,93.68,94.00,92.87,93.82,932506
30-Jan-17,94.06,94.30,92.22,94.16,1173584
27-Jan-17,96.05,96.27,95.00,95.13,1567635
26-Jan-17,93.75,96.03,93.52,95.90,1266468
25-Jan-17,93.55,94.17,93.07,93.38,700995
24-Jan-17,93.01,93.85,92.54,92.86,868632
23-Jan-17,94.38,94.80,92.70,93.07,926063
20-Jan-17,94.29,94.73,93.80,94.71,1318801
19-Jan-17,93.29,94.70,93.23,94.22,1505188
18-Jan-17,92.49,93.48,91.75,92.93,1829057
17-Jan-17,94.00,94.80,92.68,93.41,1092935
13-Jan-17,93.30,94.40,93.09,94.32,833315
12-Jan-17,93.22,93.97,91.64,93.26,1524930
11-Jan-17,92.80,94.80,91.78,93.80,2537802
10-Jan-17,88.46,92.49,88.46,92.00,2127101
9-Jan-17,86.78,88.35,86.22,87.47,1287161
6-Jan-17,87.61,87.69,86.30,86.98,929688
5-Jan-17,89.16,89.73,87.50,87.76,1499725
4-Jan-17,87.55,89.43,86.64,89.18,1362933
3-Jan-17,88.92,91.00,87.91,88.00,1387630
30-Dec-16,88.74,89.14,88.02,88.73,930988
29-Dec-16,88.71,89.36,87.84,88.53,770643
28-Dec-16,90.44,91.02,88.64,88.69,666015
27-Dec-16,90.87,91.36,90.13,90.54,654754
23-Dec-16,89.38,90.47,89.36,90.43,794510
22-Dec-16,91.22,91.34,88.75,89.10,1099562
21-Dec-16,91.26,91.59,90.05,91.12,899742
20-Dec-16,90.64,91.89,90.26,91.56,884935
19-Dec-16,88.92,90.68,88.92,90.33,1094026
16-Dec-16,90.79,91.53,88.72,88.73,2476331
15-Dec-16,87.26,91.62,87.10,90.12,1745811
14-Dec-16,86.66,87.89,86.21,86.38,1033086
13-Dec-16,87.01,88.82,86.56,86.87,1249877
12-Dec-16,89.05,89.23,86.27,86.73,1274883
9-Dec-16,88.89,90.27,88.89,89.77,1329010
8-Dec-16,87.56,89.46,86.50,88.55,1555247
7-Dec-16,84.71,88.12,84.52,87.67,1821035
6-Dec-16,83.21,84.88,82.82,84.80,1539645
5-Dec-16,84.98,85.08,82.13,83.12,1964137
2-Dec-16,83.00,84.93,82.59,84.83,1808800
1-Dec-16,81.90,83.67,80.72,82.86,1321502
30-Nov-16,81.42,83.26,80.00,82.27,1742796
29-Nov-16,82.47,83.47,82.10,82.78,705624
28-Nov-16,82.34,83.20,81.81,82.43,1003798
