Date,Open,High,Low,Close,Volume
28-Apr-17,81.84,81.94,81.26,81.29,1058608
27-Apr-17,81.83,82.23,81.58,81.98,1163259
26-Apr-17,81.15,82.51,80.95,81.80,2880701
25-Apr-17,80.75,81.38,80.75,81.22,1697199
24-Apr-17,80.86,80.98,80.37,80.90,1917923
21-Apr-17,80.09,80.19,79.54,79.73,1778826
20-Apr-17,79.60,80.41,79.09,80.15,2155766
19-Apr-17,80.29,80.59,79.59,79.75,2283260
18-Apr-17,80.79,81.11,80.12,80.31,2486670
17-Apr-17,80.80,81.63,80.61,81.50,1646643
13-Apr-17,80.90,81.26,80.58,80.58,1241344
12-Apr-17,80.58,81.12,80.10,80.97,2063791
11-Apr-17,81.14,81.29,80.68,81.17,1561140
10-Apr-17,81.01,81.67,81.00,81.36,1261724
7-Apr-17,81.36,81.49,80.95,81.11,1228719
6-Apr-17,81.45,81.60,81.05,81.44,1614200
5-Apr-17,81.81,82.17,81.28,81.42,1575151
4-Apr-17,81.47,81.80,81.40,81.63,1672300
3-Apr-17,81.54,81.75,81.08,81.32,1790111
31-Mar-17,81.45,81.79,81.20,81.49,1548126
30-Mar-17,81.30,81.83,81.16,81.64,1159316
29-Mar-17,81.94,82.08,81.29,81.39,1019259
28-Mar-17,80.81,82.10,80.73,81.89,1219009
27-Mar-17,80.37,81.32,80.07,81.09,1428165
24-Mar-17,81.27,81.51,80.63,80.99,1368886
23-Mar-17,81.50,81.92,81.16,81.26,1480674
22-Mar-17,81.59,81.82,81.33,81.38,1669775
21-Mar-17,82.46,82.70,81.59,81.69,2179342
20-Mar-17,82.85,83.06,82.30,82.37,1324987
17-Mar-17,82.90,83.09,82.60,82.85,2316274
16-Mar-17,82.56,83.00,82.46,82.89,1783589
15-Mar-17,82.04,82.75,82.04,82.62,1418824
14-Mar-17,82.05,82.30,81.83,82.18,1437146
13-Mar-17,81.87,82.13,81.72,82.10,1256704
10-Mar-17,81.82,82.10,81.57,82.05,1560630
9-Mar-17,81.32,81.63,81.07,81.57,1708769
8-Mar-17,81.87,81.97,80.94,81.13,1661357
7-Mar-17,81.32,81.70,81.14,81.46,1621840
6-Mar-17,81.49,81.75,81.14,81.34,1657033
3-Mar-17,81.83,82.00,81.40,81.86,2331472
2-Mar-17,82.89,83.05,81.74,81.75,2628209
1-Mar-17,82.52,82.83,82.10,82.69,2721311
28-Feb-17,81.29,82.29,81.00,82.16,2550521
27-Feb-17,80.94,81.51,80.84,81.34,2103201
24-Feb-17,80.18,80.91,79.89,80.91,1973346
23-Feb-17,80.40,80.90,80.31,80.55,3190404
22-Feb-17,80.13,80.78,80.06,80.58,2438546
21-Feb-17,80.56,80.80,80.31,80.62,2436741
17-Feb-17,80.47,80.48,80.08,80.44,1920323
16-Feb-17,80.62,80.82,80.40,80.80,1779026
15-Feb-17,80.00,80.72,79.59,80.71,1820244
14-Feb-17,79.72,79.82,79.10,79.80,1798022
13-Feb-17,78.95,79.64,78.81,79.61,1427476
10-Feb-17,78.55,79.31,78.13,78.88,1637416
9-Feb-17,78.09,78.38,77.73,78.35,1912658
8-Feb-17,78.10,78.19,77.80,77.99,1496627
7-Feb-17,78.50,78.68,78.07,78.12,1764922
6-Feb-17,77.43,78.22,76.97,78.08,2348314
3-Feb-17,77.92,78.00,77.29,77.48,2110276
2-Feb-17,76.74,78.12,76.38,77.40,3883196
1-Feb-17,75.57,75.97,75.00,75.24,2411685
31-Jan-17,75.27,75.58,74.74,75.21,2041900
30-Jan-17,75.49,75.67,75.12,75.61,1748051
27-Jan-17,75.29,75.81,75.22,75.59,1275469
26-Jan-17,75.42,75.85,75.21,75.81,1575041
25-Jan-17,74.77,75.53,74.74,75.39,1769074
24-Jan-17,74.24,74.66,73.97,74.47,1075494
23-Jan-17,74.59,74.65,73.96,74.15,1232721
20-Jan-17,74.37,74.96,74.37,74.54,1528423
19-Jan-17,74.66,74.78,73.90,74.22,1282140
18-Jan-17,74.00,74.83,73.92,74.52,1795756
17-Jan-17,73.61,73.89,73.39,73.85,1180686
13-Jan-17,73.91,74.35,73.80,73.89,1220163
12-Jan-17,73.56,73.79,73.13,73.68,1110509
11-Jan-17,73.94,74.26,73.59,73.94,1738517
10-Jan-17,73.28,74.30,73.26,73.75,2350036
9-Jan-17,73.95,74.05,73.04,73.09,1802222
6-Jan-17,73.68,74.46,73.48,74.15,1614752
5-Jan-17,74.18,74.44,73.80,74.03,1741760
4-Jan-17,74.38,74.95,74.21,74.37,1948384
3-Jan-17,74.00,74.56,73.54,74.17,2020076
30-Dec-16,74.54,74.56,73.93,74.12,1709628
29-Dec-16,74.38,74.57,74.20,74.28,1190076
28-Dec-16,74.66,74.70,74.21,74.35,1624687
27-Dec-16,74.58,74.65,74.31,74.51,1217974
23-Dec-16,74.48,74.77,74.32,74.58,1088002
22-Dec-16,74.42,74.65,74.07,74.48,1716640
21-Dec-16,74.48,74.66,74.31,74.44,1062455
20-Dec-16,74.59,74.72,74.31,74.48,1669203
19-Dec-16,74.24,74.57,74.17,74.37,1876894
16-Dec-16,73.78,74.16,73.54,74.11,3313439
15-Dec-16,72.66,73.75,72.43,73.54,2080150
14-Dec-16,72.92,73.33,72.42,72.61,2194958
13-Dec-16,72.65,73.13,72.54,72.93,2613321
12-Dec-16,72.44,72.95,72.30,72.82,1982125
9-Dec-16,71.77,72.50,71.51,72.47,2169349
8-Dec-16,71.77,71.98,71.17,71.67,1986110
7-Dec-16,71.13,71.75,70.73,71.65,1827425
6-Dec-16,70.58,70.97,70.45,70.95,2285597
5-Dec-16,70.84,70.95,70.22,70.36,2771621
2-Dec-16,70.43,70.78,70.26,70.61,1903344
1-Dec-16,69.95,70.38,69.76,70.35,2329237
30-Nov-16,70.08,70.58,69.48,69.92,5911949
29-Nov-16,71.29,71.64,69.04,69.63,6665418
28-Nov-16,71.98,72.22,71.88,72.04,2040767
25-Nov-16,72.38,72.58,72.13,72.38,1971159
23-Nov-16,72.46,72.72,72.14,72.40,1853036
22-Nov-16,72.19,72.68,71.92,72.37,3863768
21-Nov-16,72.06,72.39,71.73,72.18,2651383
18-Nov-16,71.80,72.20,71.41,72.02,2998304
17-Nov-16,70.62,71.79,70.47,71.78,2792260
16-Nov-16,71.00,71.08,70.10,70.72,2453653
15-Nov-16,70.46,71.41,70.32,71.30,3334432
14-Nov-16,69.76,70.87,69.60,70.69,2673097
11-Nov-16,69.32,69.75,68.92,69.64,2270021
10-Nov-16,68.92,69.46,68.13,69.45,3288211
9-Nov-16,67.65,68.50,67.29,68.17,3230790
8-Nov-16,66.66,67.74,66.66,67.58,2373874
7-Nov-16,67.41,67.53,66.55,66.86,3430605
4-Nov-16,68.00,68.01,66.65,66.72,2981064
3-Nov-16,67.97,68.99,67.41,68.09,4516225
2-Nov-16,66.92,67.59,66.91,67.34,2867888
1-Nov-16,67.85,67.86,66.82,67.21,2763669
31-Oct-16,67.76,68.11,67.53,67.90,2271061
28-Oct-16,67.76,68.27,67.08,67.53,2435182
27-Oct-16,68.12,68.14,67.58,67.59,1366587
26-Oct-16,67.49,68.14,67.36,67.94,1437489
25-Oct-16,67.72,67.88,67.40,67.61,1114083
24-Oct-16,67.91,68.13,67.63,67.72,967104
21-Oct-16,67.82,67.98,67.23,67.55,2279190
20-Oct-16,68.96,69.12,68.20,68.23,2370364
19-Oct-16,69.38,69.48,68.80,69.43,1528601
18-Oct-16,69.86,69.94,69.19,69.29,1301182
17-Oct-16,69.34,69.59,69.21,69.34,1188199
14-Oct-16,69.47,69.82,69.33,69.33,2324272
13-Oct-16,68.41,69.23,68.28,69.09,1899482
12-Oct-16,68.28,69.13,68.16,69.04,1712452
11-Oct-16,68.31,68.46,67.89,68.20,1723922
10-Oct-16,68.79,68.96,68.44,68.49,1172189
7-Oct-16,67.97,69.04,67.91,68.43,2319456
6-Oct-16,67.86,67.93,67.18,67.77,2587437
5-Oct-16,68.12,68.43,67.70,67.81,1751604
4-Oct-16,68.17,68.27,67.12,67.84,3655309
3-Oct-16,68.90,69.06,68.29,68.40,2295207
30-Sep-16,68.83,69.38,68.82,69.18,2867210
29-Sep-16,68.78,69.29,68.43,68.64,2317866
28-Sep-16,69.00,69.14,68.62,69.10,1506424
27-Sep-16,68.33,69.09,68.27,68.98,1747874
26-Sep-16,68.25,68.62,68.12,68.39,1861044
23-Sep-16,68.56,68.93,68.34,68.49,1297205
22-Sep-16,68.84,69.06,68.73,68.94,1407253
21-Sep-16,67.97,68.71,67.97,68.66,1393505
20-Sep-16,67.84,68.17,67.73,67.87,1423391
19-Sep-16,67.58,67.90,67.32,67.46,1139502
16-Sep-16,67.56,67.77,67.24,67.41,2314236
15-Sep-16,67.36,68.05,67.27,67.82,1761550
14-Sep-16,67.90,68.05,67.29,67.39,1717844
13-Sep-16,67.93,68.28,67.72,67.92,1924588
12-Sep-16,67.96,68.70,67.68,68.48,1956563
9-Sep-16,68.81,68.90,67.96,67.96,1816211
8-Sep-16,69.29,69.38,69.06,69.22,1382500
7-Sep-16,69.05,69.48,68.94,69.44,1628030
6-Sep-16,68.70,69.31,68.60,69.31,1808968
2-Sep-16,68.85,69.25,68.52,68.95,1507288
1-Sep-16,68.97,69.08,68.32,68.66,1699016
31-Aug-16,69.19,69.24,68.49,68.96,2133039
30-Aug-16,68.96,69.23,68.81,69.17,1439360
29-Aug-16,68.27,68.92,68.14,68.74,1646995
26-Aug-16,68.73,68.88,68.07,68.32,1427686
25-Aug-16,68.22,68.68,68.12,68.54,1145126
24-Aug-16,68.31,68.45,68.16,68.26,1004507
23-Aug-16,68.91,69.14,68.36,68.36,1716246
22-Aug-16,69.04,69.05,68.78,68.87,1171355
19-Aug-16,69.13,69.42,69.03,69.17,1269417
18-Aug-16,69.16,69.55,69.07,69.44,1657033
17-Aug-16,68.95,69.16,68.66,69.12,2091658
16-Aug-16,68.91,69.47,68.91,68.95,1436756
15-Aug-16,69.13,69.45,69.01,69.39,1537651
12-Aug-16,69.06,69.25,68.84,69.13,903080
11-Aug-16,69.42,69.51,69.04,69.11,1796681
10-Aug-16,69.37,69.47,69.16,69.42,941826
9-Aug-16,69.17,69.50,69.00,69.37,1053054
8-Aug-16,68.84,69.18,68.71,69.17,2194491
5-Aug-16,68.72,68.97,68.50,68.84,1620169
4-Aug-16,67.99,69.24,67.99,68.62,2149815
3-Aug-16,68.28,68.71,68.18,68.63,2032739
2-Aug-16,68.33,68.55,68.02,68.11,1344354
1-Aug-16,68.44,68.57,68.03,68.39,1728884
29-Jul-16,68.91,68.98,68.10,68.33,2614574
28-Jul-16,68.84,69.37,68.64,69.17,903647
27-Jul-16,68.94,69.17,68.70,68.86,1322126
26-Jul-16,69.27,69.50,68.86,69.04,905738
25-Jul-16,69.16,69.30,69.00,69.22,1011698
22-Jul-16,69.07,69.31,68.98,69.20,1185569
21-Jul-16,69.07,69.12,68.80,68.89,1072127
20-Jul-16,69.27,69.30,68.99,69.10,865966
19-Jul-16,69.06,69.22,68.97,69.12,869390
18-Jul-16,69.59,69.75,69.28,69.35,1280424
15-Jul-16,69.46,69.70,69.35,69.49,1489993
14-Jul-16,69.62,69.92,69.25,69.31,1454451
13-Jul-16,69.71,69.75,69.22,69.28,2002685
12-Jul-16,70.25,70.38,69.58,69.60,2316878
11-Jul-16,69.66,70.12,69.51,69.94,1698173
8-Jul-16,69.68,69.69,69.06,69.66,1675561
7-Jul-16,69.45,69.77,68.79,68.94,1928906
6-Jul-16,69.12,69.68,69.05,69.46,2210319
5-Jul-16,69.29,69.75,69.04,69.31,2234850
1-Jul-16,69.95,69.95,69.48,69.56,1971627
30-Jun-16,68.54,69.95,68.52,69.95,2637984
29-Jun-16,67.99,68.53,67.53,68.47,3098337
28-Jun-16,66.65,67.74,66.33,67.73,3001505
27-Jun-16,65.74,66.28,65.27,66.06,3106576
24-Jun-16,65.58,66.98,65.32,66.26,3908808
23-Jun-16,67.61,67.86,67.42,67.86,2030630
22-Jun-16,66.90,67.44,66.76,67.02,1153738
21-Jun-16,66.83,67.00,66.57,66.80,1306211
