Date,Open,High,Low,Close,Volume
28-Apr-17,127.67,128.74,125.64,127.78,3167438
27-Apr-17,125.00,127.94,121.70,126.91,3823881
26-Apr-17,120.60,122.93,120.12,120.73,1646401
25-Apr-17,120.02,122.07,119.47,120.55,1738383
24-Apr-17,117.99,120.42,117.50,119.54,2812887
21-Apr-17,118.64,119.30,115.57,116.82,2043478
20-Apr-17,121.00,121.00,117.99,118.72,1409582
19-Apr-17,118.75,121.00,118.02,120.49,2166204
18-Apr-17,118.07,118.94,117.35,118.22,1007797
17-Apr-17,118.35,119.57,117.24,118.83,1525453
13-Apr-17,114.76,118.64,114.73,118.35,1702803
12-Apr-17,117.09,117.73,114.32,114.57,1309039
11-Apr-17,117.05,118.24,115.66,116.89,771860
10-Apr-17,115.92,118.09,115.01,117.41,1239132
7-Apr-17,115.78,116.26,113.42,115.62,2706981
6-Apr-17,116.30,116.70,114.16,115.49,3365050
5-Apr-17,118.17,119.88,115.94,116.21,1942266
4-Apr-17,119.35,120.33,117.86,118.30,1614606
3-Apr-17,121.52,122.29,119.15,119.29,1497989
31-Mar-17,121.49,121.87,119.22,121.24,2033669
30-Mar-17,120.70,122.93,120.00,122.08,1837537
29-Mar-17,118.53,121.44,118.03,120.72,1844154
28-Mar-17,118.64,119.50,118.04,118.53,1115367
27-Mar-17,117.67,119.05,115.58,118.83,2400467
24-Mar-17,120.94,121.43,118.73,119.26,1292350
23-Mar-17,119.79,121.07,119.55,120.26,1409885
22-Mar-17,118.72,120.22,118.09,120.08,1394955
21-Mar-17,120.89,120.98,116.96,118.70,2073255
20-Mar-17,122.18,122.29,119.61,120.20,1392905
17-Mar-17,123.07,123.64,121.34,122.08,2441178
16-Mar-17,122.14,124.05,121.76,122.41,1476942
15-Mar-17,121.74,122.73,121.02,122.12,1909055
14-Mar-17,124.67,124.85,121.50,121.60,1757468
13-Mar-17,126.94,126.94,124.13,124.74,1459714
10-Mar-17,127.53,128.20,125.44,127.31,1710651
9-Mar-17,127.41,127.81,124.16,126.55,2182253
8-Mar-17,129.60,131.34,126.17,127.41,3160128
7-Mar-17,132.37,133.19,128.90,129.18,1318642
6-Mar-17,134.86,135.86,133.06,133.33,1209052
3-Mar-17,132.40,135.38,132.24,134.99,1692814
2-Mar-17,133.80,134.41,132.53,132.94,1244533
1-Mar-17,132.50,135.11,131.43,134.21,1897817
28-Feb-17,131.71,132.17,130.61,131.25,1756176
27-Feb-17,131.20,132.53,130.66,132.20,1311511
24-Feb-17,131.37,132.46,130.00,131.54,1657255
23-Feb-17,130.51,131.56,128.93,130.44,1827077
22-Feb-17,129.38,131.99,129.36,130.83,1243107
21-Feb-17,129.71,132.78,129.42,129.89,2715780
17-Feb-17,130.00,130.23,125.20,128.82,3048171
16-Feb-17,137.71,138.21,130.18,130.39,5186463
15-Feb-17,129.06,132.38,129.05,132.00,2610582
14-Feb-17,128.22,130.47,127.75,129.50,3321846
13-Feb-17,127.22,128.15,126.04,127.77,3021091
10-Feb-17,127.49,127.98,125.85,126.51,1668136
9-Feb-17,126.21,127.67,125.79,127.08,2165516
8-Feb-17,127.12,128.58,125.69,126.37,1758264
7-Feb-17,128.09,128.65,126.23,127.72,1272624
6-Feb-17,125.69,128.30,125.31,128.19,1684582
3-Feb-17,129.11,129.11,126.74,126.98,3027628
2-Feb-17,130.86,132.00,127.96,128.38,2821432
1-Feb-17,128.50,132.84,128.50,132.32,2327563
31-Jan-17,128.01,131.07,126.10,130.68,2052196
30-Jan-17,128.21,128.86,127.18,128.05,1451617
27-Jan-17,128.81,129.56,128.02,129.23,1267015
26-Jan-17,130.05,132.48,128.05,128.20,1856269
25-Jan-17,130.61,131.29,128.73,129.46,2045432
24-Jan-17,131.59,132.40,129.25,129.87,1630492
23-Jan-17,132.23,133.09,130.70,131.49,1545905
20-Jan-17,135.18,135.18,131.19,131.97,1848323
19-Jan-17,135.45,135.60,133.67,134.35,1481293
18-Jan-17,136.25,138.47,134.97,135.87,2121812
17-Jan-17,136.19,136.80,134.57,135.30,1963355
13-Jan-17,137.03,139.97,135.41,136.93,1679672
12-Jan-17,137.85,138.36,135.13,137.35,1948258
11-Jan-17,143.04,143.23,134.02,136.66,4432314
10-Jan-17,144.99,145.00,140.50,143.67,1948090
9-Jan-17,143.70,145.00,141.23,144.77,2608519
6-Jan-17,139.98,144.75,137.59,143.61,3549596
5-Jan-17,133.00,141.41,133.00,139.18,8705521
4-Jan-17,123.60,128.61,123.20,127.11,3158400
3-Jan-17,123.19,125.28,122.13,122.63,1679850
30-Dec-16,123.62,124.23,121.81,122.35,1433072
29-Dec-16,123.52,123.84,121.92,123.63,1008473
28-Dec-16,125.98,125.98,123.60,123.73,1203730
27-Dec-16,127.19,128.13,124.83,126.06,1847320
23-Dec-16,125.75,127.87,124.82,127.19,2408134
22-Dec-16,119.75,126.31,118.40,125.85,5219627
21-Dec-16,117.20,120.02,115.41,118.99,2555455
20-Dec-16,115.14,121.70,114.57,116.72,4540429
19-Dec-16,119.76,121.91,113.54,114.56,4761595
16-Dec-16,118.15,120.93,117.35,120.04,5599144
15-Dec-16,113.66,116.91,112.68,116.70,4535874
14-Dec-16,109.42,114.43,109.31,113.52,5957469
13-Dec-16,113.61,113.85,109.12,110.01,6773533
12-Dec-16,118.61,120.36,109.80,115.08,14242570
