Date,Open,High,Low,Close,Volume
28-Apr-17,13.73,13.76,13.16,13.30,50375992
27-Apr-17,13.43,13.70,13.37,13.62,31327634
26-Apr-17,13.42,13.53,13.22,13.41,36644522
25-Apr-17,13.24,13.52,13.16,13.49,35880950
24-Apr-17,13.23,13.23,13.04,13.13,36120264
21-Apr-17,13.08,13.12,12.90,13.00,25689590
20-Apr-17,12.98,13.15,12.88,13.11,41976064
19-Apr-17,13.09,13.20,12.80,12.84,36491056
18-Apr-17,12.63,12.97,12.58,12.95,37172004
17-Apr-17,12.53,12.80,12.37,12.79,38188238
13-Apr-17,12.50,12.72,12.22,12.31,53442631
12-Apr-17,12.94,13.10,12.74,12.76,37385363
11-Apr-17,13.02,13.29,12.71,13.10,59916607
10-Apr-17,13.52,13.59,13.04,13.10,47178017
7-Apr-17,13.33,13.68,13.22,13.52,70440981
6-Apr-17,13.42,13.46,12.83,13.27,139500105
5-Apr-17,14.28,14.64,14.10,14.17,58816711
4-Apr-17,14.31,14.67,14.03,14.16,58413020
3-Apr-17,14.60,14.74,14.30,14.64,48423677
31-Mar-17,14.10,14.75,14.01,14.55,84566239
30-Mar-17,13.73,14.05,13.65,14.05,44132830
29-Mar-17,13.74,13.87,13.63,13.71,37863470
28-Mar-17,13.75,13.86,13.55,13.69,37420153
27-Mar-17,13.35,13.78,13.21,13.70,42686840
24-Mar-17,14.16,14.18,13.54,13.70,50099472
23-Mar-17,13.96,14.12,13.77,13.79,44549945
22-Mar-17,13.70,14.14,13.55,14.10,61239502
21-Mar-17,14.40,14.49,13.78,13.82,72552725
20-Mar-17,13.68,14.50,13.54,14.40,91565591
17-Mar-17,13.62,13.74,13.36,13.49,224892327
16-Mar-17,13.79,13.88,13.65,13.65,44494793
15-Mar-17,14.03,14.06,13.62,13.98,55179561
14-Mar-17,14.00,14.15,13.64,14.10,52554505
13-Mar-17,14.48,14.68,14.18,14.28,73078146
10-Mar-17,13.50,13.93,13.45,13.91,65142157
9-Mar-17,13.45,13.45,13.11,13.33,45244233
8-Mar-17,13.25,13.55,13.10,13.22,71294747
7-Mar-17,13.07,13.37,12.79,13.05,76666266
6-Mar-17,13.00,13.34,12.38,13.04,117192621
3-Mar-17,13.55,13.58,12.79,13.03,163641702
2-Mar-17,14.59,14.78,13.87,13.90,104330930
1-Mar-17,15.08,15.09,14.52,14.96,73450388
28-Feb-17,15.45,15.55,14.35,14.46,141782979
27-Feb-17,14.27,15.35,14.27,15.20,95422869
24-Feb-17,14.00,14.32,13.86,14.12,46288614
23-Feb-17,14.20,14.45,13.82,14.32,80317617
22-Feb-17,14.30,14.50,14.04,14.28,71505039
21-Feb-17,13.41,14.10,13.40,14.00,66357063
17-Feb-17,12.79,13.14,12.60,13.13,40887978
16-Feb-17,13.25,13.35,12.84,12.97,52502531
15-Feb-17,13.20,13.44,13.15,13.30,33722253
14-Feb-17,13.43,13.49,13.19,13.26,40479052
13-Feb-17,13.70,13.95,13.38,13.49,57413113
10-Feb-17,13.86,13.86,13.25,13.58,54579343
9-Feb-17,13.78,13.89,13.40,13.42,73339932
8-Feb-17,13.21,13.75,13.08,13.56,75942906
7-Feb-17,14.05,14.27,13.06,13.29,158683771
6-Feb-17,12.46,13.70,12.38,13.63,140474084
3-Feb-17,12.37,12.50,12.04,12.24,60036740
2-Feb-17,11.98,12.66,11.95,12.28,116324549
1-Feb-17,10.90,12.14,10.81,12.06,165939278
31-Jan-17,10.60,10.67,10.22,10.37,53704949
30-Jan-17,10.62,10.68,10.30,10.61,37724991
27-Jan-17,10.60,10.73,10.52,10.67,32719173
26-Jan-17,10.35,10.66,10.30,10.52,35866570
25-Jan-17,10.74,10.98,10.15,10.35,61886202
24-Jan-17,9.95,10.49,9.95,10.44,43991188
23-Jan-17,9.68,10.06,9.68,9.91,27905681
20-Jan-17,9.88,9.96,9.67,9.75,27982147
19-Jan-17,9.92,10.25,9.75,9.77,46151282
18-Jan-17,9.54,10.10,9.42,9.88,51797592
17-Jan-17,10.17,10.23,9.78,9.82,70491802
13-Jan-17,10.79,10.87,10.56,10.58,38377455
12-Jan-17,10.98,11.04,10.33,10.76,75244087
11-Jan-17,11.39,11.41,11.15,11.20,39377016
10-Jan-17,11.55,11.63,11.33,11.44,29201580
9-Jan-17,11.37,11.64,11.31,11.49,37304797
6-Jan-17,11.29,11.49,11.11,11.32,34453462
5-Jan-17,11.43,11.69,11.23,11.24,38855214
4-Jan-17,11.45,11.52,11.24,11.43,40781190
3-Jan-17,11.42,11.65,11.02,11.43,55181960
30-Dec-16,11.70,11.78,11.25,11.34,44095368
29-Dec-16,11.24,11.62,11.01,11.59,50234261
28-Dec-16,12.28,12.42,11.46,11.55,71254459
27-Dec-16,11.65,12.08,11.60,12.07,44336488
23-Dec-16,11.30,11.60,11.26,11.58,32288235
22-Dec-16,11.65,11.75,11.47,11.60,36450756
21-Dec-16,11.61,11.72,11.31,11.47,44814131
20-Dec-16,11.19,11.51,11.15,11.51,59314159
19-Dec-16,10.81,11.00,10.52,10.95,46085840
16-Dec-16,10.94,11.23,10.60,10.66,77777741
15-Dec-16,10.68,10.93,10.64,10.86,48871302
