Date,Open,High,Low,Close,Volume
28-Apr-17,165.53,166.39,163.99,165.59,362132
27-Apr-17,166.63,166.63,163.97,165.67,239336
26-Apr-17,166.18,167.62,165.79,165.93,184605
25-Apr-17,166.87,168.59,164.68,166.12,305445
24-Apr-17,167.11,167.26,164.76,166.45,299561
21-Apr-17,164.18,164.99,162.95,163.31,219330
20-Apr-17,163.92,165.00,162.39,164.58,249659
19-Apr-17,163.12,164.31,162.27,162.77,289413
18-Apr-17,162.40,163.40,160.32,161.79,324810
17-Apr-17,161.47,164.14,161.47,163.94,230328
13-Apr-17,161.44,163.77,160.66,161.28,294090
12-Apr-17,163.17,163.42,161.19,162.25,289044
11-Apr-17,160.62,162.67,159.18,162.62,296534
10-Apr-17,160.46,161.99,159.77,161.19,260628
7-Apr-17,159.47,161.91,159.47,160.81,321965
6-Apr-17,159.35,161.76,158.73,160.63,258815
5-Apr-17,161.31,162.68,158.84,159.20,280302
4-Apr-17,161.86,163.20,159.38,160.09,358217
3-Apr-17,164.24,164.98,161.12,162.97,392969
31-Mar-17,163.29,164.93,162.84,163.94,380891
30-Mar-17,162.16,164.39,162.04,163.94,287618
29-Mar-17,162.86,163.66,160.62,162.87,372124
28-Mar-17,158.83,164.85,158.17,163.70,460481
27-Mar-17,156.15,159.24,155.27,159.00,312713
24-Mar-17,159.40,160.91,157.98,158.86,303761
23-Mar-17,159.29,161.14,158.10,158.89,273278
22-Mar-17,158.59,160.24,157.48,159.22,394257
21-Mar-17,163.52,163.52,158.44,159.29,455828
20-Mar-17,162.94,163.64,160.80,162.03,404615
17-Mar-17,166.47,166.47,162.47,162.81,819640
16-Mar-17,166.82,168.49,165.80,166.00,306319
15-Mar-17,165.54,166.81,163.55,165.86,492690
14-Mar-17,163.06,164.63,161.39,164.29,309836
13-Mar-17,164.00,164.38,162.28,163.80,622651
10-Mar-17,166.66,166.92,163.66,163.90,554311
9-Mar-17,167.24,167.90,164.24,165.30,399148
8-Mar-17,167.93,169.61,166.15,166.35,275213
7-Mar-17,166.56,167.86,165.73,166.56,364052
6-Mar-17,166.80,168.57,166.33,167.19,447707
3-Mar-17,168.52,170.29,168.07,168.75,443275
2-Mar-17,169.65,169.95,167.14,168.20,463635
1-Mar-17,171.11,171.65,168.74,169.31,397584
28-Feb-17,168.27,169.22,166.41,167.93,445546
27-Feb-17,167.93,169.59,167.03,168.96,344915
24-Feb-17,167.98,168.49,166.05,168.03,473458
23-Feb-17,169.87,170.35,167.89,169.26,346862
22-Feb-17,169.67,170.84,168.76,169.42,436943
21-Feb-17,168.75,171.18,168.75,170.91,378419
17-Feb-17,166.32,169.33,165.63,168.42,347799
16-Feb-17,170.47,170.70,167.34,167.90,433883
15-Feb-17,168.00,170.70,167.80,170.33,566864
14-Feb-17,166.54,167.94,166.26,167.68,582996
13-Feb-17,168.50,168.91,166.68,167.32,418841
10-Feb-17,165.00,168.17,164.07,167.62,713477
9-Feb-17,162.72,164.30,161.19,163.86,785343
8-Feb-17,160.06,161.70,159.12,161.49,732801
7-Feb-17,158.97,161.11,158.71,160.54,724409
6-Feb-17,157.00,159.24,157.00,157.65,651892
3-Feb-17,157.90,158.90,156.60,158.13,1156313
2-Feb-17,155.13,157.03,154.22,154.96,826971
1-Feb-17,153.58,157.12,152.21,156.58,1081702
31-Jan-17,152.23,153.59,150.20,152.36,1065828
30-Jan-17,144.18,151.82,143.07,151.32,1380975
27-Jan-17,144.06,144.75,142.20,144.45,549747
26-Jan-17,146.49,146.49,143.42,144.47,755230
25-Jan-17,145.96,146.36,144.12,145.70,589116
24-Jan-17,143.85,146.16,143.40,144.86,556832
23-Jan-17,142.79,143.78,141.58,142.86,570658
20-Jan-17,142.10,143.68,142.10,143.49,383088
19-Jan-17,142.20,143.22,140.75,141.34,344025
18-Jan-17,141.72,142.08,139.52,142.03,981555
17-Jan-17,142.72,143.52,141.21,141.39,937658
13-Jan-17,144.33,146.43,143.26,143.53,495649
12-Jan-17,144.28,144.60,140.85,143.58,565561
11-Jan-17,143.20,145.25,142.75,145.22,500206
10-Jan-17,143.43,144.16,142.53,143.27,541900
9-Jan-17,145.78,147.00,143.03,143.43,463150
6-Jan-17,148.10,148.80,146.19,147.25,455952
5-Jan-17,149.05,149.97,145.54,147.58,418747
4-Jan-17,145.93,149.94,145.49,149.41,649597
3-Jan-17,147.72,148.94,144.40,145.79,625463
30-Dec-16,144.94,146.21,144.37,145.30,670342
29-Dec-16,143.50,145.40,143.04,143.93,496083
28-Dec-16,145.00,145.12,142.96,143.67,429031
27-Dec-16,144.66,145.41,144.10,145.05,392088
23-Dec-16,145.75,145.89,143.12,143.98,334227
22-Dec-16,147.37,147.90,145.20,145.88,361285
21-Dec-16,146.71,148.09,144.69,147.30,683079
20-Dec-16,147.72,148.27,146.04,146.98,539550
19-Dec-16,147.64,149.10,145.02,146.25,562955
16-Dec-16,151.07,153.02,148.30,148.49,936646
15-Dec-16,155.46,157.22,151.00,151.39,1008935
14-Dec-16,159.29,160.60,154.55,154.82,701490
13-Dec-16,158.95,161.25,158.54,160.73,692959
12-Dec-16,160.61,162.85,158.31,158.38,673201
9-Dec-16,161.46,162.55,160.41,161.11,477505
8-Dec-16,159.11,162.42,157.03,161.38,662072
7-Dec-16,153.21,158.50,153.12,157.81,588729
6-Dec-16,150.76,153.74,150.10,153.60,447245
5-Dec-16,149.21,151.10,149.03,149.99,443818
2-Dec-16,148.30,148.81,146.42,147.08,485431
1-Dec-16,149.01,151.09,148.22,148.44,599904
30-Nov-16,147.10,148.66,146.80,148.10,592908
29-Nov-16,146.50,147.39,144.49,145.00,689430
28-Nov-16,147.42,147.85,145.54,146.43,800919
25-Nov-16,147.22,149.99,147.22,148.59,246032
23-Nov-16,145.38,147.60,144.13,147.20,562153
22-Nov-16,143.94,145.53,143.41,145.38,595535
21-Nov-16,141.56,143.74,141.19,143.55,502276
18-Nov-16,142.50,142.70,140.43,140.63,443860
17-Nov-16,142.95,144.20,141.44,142.60,358370
16-Nov-16,141.61,143.52,139.87,142.93,363041
15-Nov-16,142.69,143.38,139.15,142.78,769050
14-Nov-16,146.24,149.12,142.64,143.44,783943
11-Nov-16,146.54,147.90,142.37,144.33,671364
10-Nov-16,140.94,152.52,140.94,147.73,1639899
9-Nov-16,131.86,140.05,131.77,139.32,672049
8-Nov-16,132.47,132.68,130.48,131.75,461960
7-Nov-16,135.80,137.57,132.34,133.03,995524
4-Nov-16,132.15,133.86,131.59,132.29,720806
3-Nov-16,131.82,133.71,131.46,132.86,624879
2-Nov-16,133.40,133.92,130.63,131.57,538645
1-Nov-16,133.13,135.18,131.94,134.34,699214
31-Oct-16,139.80,139.90,132.52,132.66,1026261
28-Oct-16,139.07,139.68,135.22,137.84,728047
27-Oct-16,142.22,142.22,137.97,138.92,728084
26-Oct-16,140.65,142.31,140.14,140.98,341211
25-Oct-16,142.46,143.41,140.83,141.77,259701
24-Oct-16,143.07,144.16,142.45,142.71,457736
21-Oct-16,139.26,141.49,138.92,141.37,667074
20-Oct-16,141.37,142.84,140.45,140.98,342547
19-Oct-16,141.87,142.61,141.10,141.78,274825
18-Oct-16,142.11,142.41,140.11,141.39,393859
17-Oct-16,142.76,142.86,139.66,139.82,398084
14-Oct-16,144.74,145.60,141.62,142.34,369762
13-Oct-16,143.35,143.48,140.36,142.63,539386
12-Oct-16,146.76,147.70,145.61,145.81,469098
11-Oct-16,150.87,150.87,145.95,146.64,735340
10-Oct-16,154.41,154.86,151.26,151.27,364194
7-Oct-16,154.00,154.26,151.86,153.06,423086
6-Oct-16,153.15,154.68,152.15,154.44,811034
5-Oct-16,147.50,153.16,147.50,152.79,840359
4-Oct-16,146.66,148.50,146.28,147.07,671601
3-Oct-16,144.19,147.15,143.94,146.40,527409
30-Sep-16,142.71,145.27,141.29,144.70,581856
29-Sep-16,142.96,145.10,140.42,140.61,483129
28-Sep-16,142.60,143.84,141.87,143.66,303292
27-Sep-16,140.00,142.10,139.43,141.72,330330
26-Sep-16,142.67,143.94,140.75,141.16,359380
23-Sep-16,146.18,147.29,144.37,144.43,239403
22-Sep-16,146.41,147.71,145.28,147.29,342480
21-Sep-16,143.59,145.05,142.51,144.63,313881
20-Sep-16,146.76,146.76,142.76,142.85,450286
19-Sep-16,145.22,148.64,144.15,145.19,535453
16-Sep-16,145.53,146.50,143.92,144.55,751807
15-Sep-16,143.81,147.31,143.81,146.74,381561
14-Sep-16,144.38,145.06,142.68,143.91,337482
13-Sep-16,145.20,146.32,143.98,144.76,483999
12-Sep-16,142.33,148.20,142.08,147.68,471806
9-Sep-16,146.17,147.31,144.01,144.01,458473
8-Sep-16,147.56,148.70,145.96,147.53,458747
7-Sep-16,141.77,147.91,141.77,147.71,876667
6-Sep-16,140.80,142.34,139.88,141.81,567984
2-Sep-16,140.61,141.03,139.59,140.45,321903
1-Sep-16,142.33,142.61,138.26,139.81,474155
31-Aug-16,144.11,144.54,141.42,142.05,437694
30-Aug-16,142.61,143.89,142.47,143.75,261595
29-Aug-16,142.78,144.29,142.18,142.37,333130
26-Aug-16,141.03,142.68,140.47,142.49,442994
25-Aug-16,140.57,142.04,139.32,140.34,371848
24-Aug-16,143.55,144.06,140.96,141.21,581623
23-Aug-16,141.82,144.39,141.17,143.65,468151
22-Aug-16,141.32,141.32,140.00,140.72,377912
19-Aug-16,141.16,142.17,140.45,141.73,267521
18-Aug-16,141.52,142.92,141.34,141.75,277592
17-Aug-16,141.17,142.11,140.91,141.80,429873
16-Aug-16,143.43,143.43,141.21,141.26,444026
15-Aug-16,143.95,144.52,143.31,143.88,236242
12-Aug-16,142.73,143.46,141.77,143.13,299155
11-Aug-16,144.36,144.65,143.58,143.81,319955
10-Aug-16,144.33,144.99,143.01,143.47,352727
9-Aug-16,145.23,145.23,143.10,144.03,566769
8-Aug-16,147.00,148.37,144.58,144.82,298578
5-Aug-16,143.88,146.58,143.88,146.28,447995
4-Aug-16,143.22,143.94,141.33,142.22,337828
3-Aug-16,141.20,144.35,140.45,143.63,269356
2-Aug-16,143.81,144.61,140.41,141.03,478366
1-Aug-16,144.25,146.46,139.45,144.49,952372
29-Jul-16,145.79,148.15,144.84,146.78,426133
28-Jul-16,145.48,146.78,144.39,146.32,340655
27-Jul-16,145.28,146.62,145.09,145.84,502067
26-Jul-16,144.58,145.51,142.65,144.94,497644
25-Jul-16,145.45,145.73,143.91,144.40,420643
22-Jul-16,146.23,146.36,145.00,145.73,358153
21-Jul-16,146.09,147.43,145.82,145.94,487353
20-Jul-16,146.91,147.12,144.91,146.61,290532
19-Jul-16,145.14,146.32,144.60,145.98,386531
18-Jul-16,145.58,146.87,144.63,146.42,444658
15-Jul-16,145.23,145.47,142.68,144.64,399883
14-Jul-16,146.80,147.40,144.23,144.23,553371
13-Jul-16,143.57,143.98,141.80,142.92,562682
12-Jul-16,141.89,144.53,141.74,143.74,590457
11-Jul-16,140.30,142.74,139.67,139.97,1004454
8-Jul-16,137.42,139.13,136.73,138.85,922545
7-Jul-16,132.71,135.52,131.73,134.36,1022794
6-Jul-16,132.77,133.36,131.02,132.45,1333542
5-Jul-16,136.88,136.88,133.21,134.19,847601
1-Jul-16,140.44,140.89,137.13,138.47,746969
30-Jun-16,140.08,141.26,138.38,140.77,1093786
29-Jun-16,139.91,140.13,137.70,140.02,572758
28-Jun-16,135.70,138.62,134.45,136.54,773352
27-Jun-16,137.13,137.28,131.16,132.73,1301551
24-Jun-16,148.22,150.84,140.91,141.10,1374745
23-Jun-16,157.50,159.65,156.84,159.56,482855
22-Jun-16,153.20,156.15,152.80,154.37,429691
21-Jun-16,154.18,154.60,152.75,153.21,350309
20-Jun-16,154.15,156.69,153.18,153.23,513445
17-Jun-16,152.24,153.48,150.79,151.72,559054
16-Jun-16,151.92,152.27,149.75,151.99,474924
15-Jun-16,155.16,157.09,153.67,153.84,516527
14-Jun-16,156.17,157.28,152.45,154.17,630860
13-Jun-16,158.86,159.64,156.79,156.99,876540
10-Jun-16,163.46,163.84,159.41,159.68,774628
9-Jun-16,169.08,169.18,164.70,166.51,522123
8-Jun-16,172.57,174.00,169.19,170.94,592229
7-Jun-16,172.93,174.58,171.00,171.73,1958243
6-Jun-16,173.92,177.76,173.20,175.48,491096
3-Jun-16,170.32,171.87,167.27,171.52,557353
2-Jun-16,171.61,172.35,170.24,172.33,304230
1-Jun-16,172.37,173.07,168.81,172.72,369573
31-May-16,173.62,174.71,172.22,173.52,364872
27-May-16,170.08,172.55,170.08,172.48,210232
26-May-16,171.81,171.82,169.78,170.30,264546
25-May-16,171.97,173.03,171.12,171.64,373423
24-May-16,166.16,171.63,166.16,170.66,514941
23-May-16,164.76,166.14,164.33,164.89,259260
20-May-16,163.34,167.01,162.36,165.35,357616
19-May-16,163.14,165.27,160.56,161.75,363985
18-May-16,162.32,165.86,162.32,165.22,386860
17-May-16,162.94,166.04,161.66,162.51,478585
16-May-16,163.48,165.17,162.95,163.87,294983
13-May-16,167.53,169.34,162.60,162.92,540129
12-May-16,166.81,169.24,165.33,168.34,682347
11-May-16,166.61,168.52,165.23,165.42,487063
10-May-16,163.61,167.72,162.86,167.58,453718
9-May-16,163.28,164.68,161.85,161.94,379641
6-May-16,161.37,164.80,160.59,163.61,335479
5-May-16,162.86,163.29,159.98,162.62,624719
4-May-16,163.66,165.94,160.25,162.45,492159
3-May-16,168.50,168.92,163.06,166.24,785234
2-May-16,170.29,172.83,167.26,171.85,733551
29-Apr-16,173.00,173.57,168.64,170.32,799205
28-Apr-16,175.45,177.87,173.10,173.77,425811
27-Apr-16,177.00,179.85,176.17,179.01,475948
26-Apr-16,177.02,178.34,175.53,177.46,502729
25-Apr-16,177.33,178.67,173.20,174.93,623790
22-Apr-16,175.31,178.45,173.50,177.75,567876
21-Apr-16,174.92,176.16,173.12,174.91,531515
20-Apr-16,173.89,175.67,171.77,175.18,508645
19-Apr-16,171.18,172.96,170.58,172.68,771479
18-Apr-16,168.45,170.88,168.41,170.25,629907
15-Apr-16,171.60,171.71,169.21,169.99,439765
14-Apr-16,170.56,173.72,169.91,171.82,540575
13-Apr-16,166.20,170.71,165.33,170.49,506147
12-Apr-16,159.89,164.71,158.52,164.15,445213
11-Apr-16,159.11,161.99,158.26,159.14,423228
8-Apr-16,158.19,158.36,156.16,157.28,487703
7-Apr-16,158.67,159.75,154.71,156.00,411549
6-Apr-16,159.60,161.65,158.72,160.70,471242
5-Apr-16,158.88,160.69,157.16,159.24,682198
4-Apr-16,164.16,164.17,160.09,160.62,426169
1-Apr-16,160.95,164.11,160.10,163.89,396078
31-Mar-16,162.31,163.90,161.79,162.40,390710
30-Mar-16,161.49,165.10,160.97,163.05,694467
29-Mar-16,155.36,160.74,154.44,160.33,590930
28-Mar-16,158.03,158.03,155.46,156.53,296027
24-Mar-16,156.66,157.55,154.60,157.43,396236
23-Mar-16,161.37,161.37,158.84,158.98,496395
22-Mar-16,160.20,161.90,158.76,161.49,422764
21-Mar-16,161.00,163.07,158.28,162.38,693466
18-Mar-16,160.81,163.93,158.51,160.00,1000542
17-Mar-16,152.74,161.56,152.74,159.94,809921
16-Mar-16,146.91,153.42,146.91,152.92,655750
15-Mar-16,149.73,150.44,146.30,148.25,498475
14-Mar-16,152.20,152.56,148.50,151.62,496468
11-Mar-16,149.97,154.11,147.75,153.66,724332
10-Mar-16,149.87,150.04,143.24,145.90,591682
9-Mar-16,149.16,149.16,145.73,148.27,340758
8-Mar-16,149.90,150.80,147.17,147.33,411431
7-Mar-16,151.16,152.34,149.88,151.58,380920
4-Mar-16,151.13,154.35,149.28,153.22,812853
3-Mar-16,144.86,150.18,144.14,150.01,641998
2-Mar-16,144.05,145.28,142.29,145.19,753300
1-Mar-16,140.48,145.15,139.76,144.18,957227
29-Feb-16,137.38,139.96,137.02,138.69,1339156
26-Feb-16,133.06,137.30,132.18,136.93,738489
25-Feb-16,129.29,130.36,126.42,130.30,475999
24-Feb-16,126.56,129.49,124.64,128.93,870246
23-Feb-16,134.43,134.77,129.00,129.17,627957
22-Feb-16,132.08,135.27,132.08,134.99,571101
19-Feb-16,128.04,129.63,125.87,129.54,666845
18-Feb-16,130.76,130.99,127.59,129.20,658393
17-Feb-16,128.84,132.39,128.84,130.60,455180
16-Feb-16,126.83,127.92,125.36,126.62,626030
12-Feb-16,120.47,125.20,119.12,124.42,519871
11-Feb-16,116.46,120.07,115.97,117.80,761958
10-Feb-16,120.69,123.65,120.26,120.99,533912
9-Feb-16,117.69,120.76,117.10,119.94,743039
8-Feb-16,121.58,121.98,117.12,120.36,779886
5-Feb-16,128.55,129.96,124.16,124.75,633526
4-Feb-16,123.33,130.65,122.15,128.66,639734
3-Feb-16,123.51,123.51,117.29,122.40,792685
