Date,Open,High,Low,Close,Volume
28-Apr-17,128.41,129.38,127.77,127.85,1219057
27-Apr-17,128.59,129.54,127.24,128.46,1314478
26-Apr-17,130.62,131.26,128.96,129.00,1304126
25-Apr-17,131.85,132.20,128.17,130.88,2065704
24-Apr-17,132.20,132.88,131.12,131.86,1432634
21-Apr-17,129.78,130.43,128.04,128.44,937180
20-Apr-17,127.87,129.74,126.86,129.57,1360822
19-Apr-17,128.00,128.48,126.41,126.90,1237926
18-Apr-17,126.52,127.23,125.82,126.61,1222435
17-Apr-17,126.46,127.85,126.04,127.75,1119345
13-Apr-17,126.72,128.77,126.19,126.23,894952
12-Apr-17,129.00,129.06,126.99,127.54,908025
11-Apr-17,128.50,129.47,127.46,129.30,1003737
10-Apr-17,129.22,130.45,128.61,129.37,576528
7-Apr-17,128.53,130.44,128.07,129.30,808319
6-Apr-17,127.74,129.99,126.93,129.71,678890
5-Apr-17,130.00,131.63,127.82,128.02,1016995
4-Apr-17,128.76,129.82,128.70,128.90,743794
3-Apr-17,129.94,130.28,127.69,129.57,982862
31-Mar-17,128.96,130.83,128.85,129.68,1152275
30-Mar-17,127.25,129.87,126.91,129.66,696513
29-Mar-17,127.58,128.37,126.83,127.40,744291
28-Mar-17,124.72,129.44,124.72,128.36,1224177
27-Mar-17,122.53,125.36,121.30,125.28,1289981
24-Mar-17,126.08,126.81,124.64,125.26,981778
23-Mar-17,124.69,127.18,124.39,125.66,864850
22-Mar-17,125.00,126.04,122.32,125.21,1516497
21-Mar-17,131.28,131.28,125.63,125.87,1507878
20-Mar-17,131.04,131.51,129.64,130.49,1009254
17-Mar-17,134.69,134.72,131.28,131.71,2034496
16-Mar-17,134.12,134.96,133.72,134.60,1022937
15-Mar-17,133.22,134.87,132.67,133.67,839806
14-Mar-17,131.87,132.52,130.22,132.41,829978
13-Mar-17,132.50,132.91,131.73,132.59,861709
10-Mar-17,133.56,133.56,131.08,132.10,1288973
9-Mar-17,133.08,133.87,132.52,132.72,879337
8-Mar-17,133.66,133.95,132.44,132.56,648617
7-Mar-17,132.39,132.82,131.68,132.18,809967
6-Mar-17,132.44,133.06,131.48,132.43,924734
3-Mar-17,131.72,133.48,131.15,133.06,1129811
2-Mar-17,135.00,135.12,131.51,131.60,1421686
1-Mar-17,134.56,135.20,133.90,134.28,1611040
28-Feb-17,130.18,131.55,129.98,131.50,1455687
27-Feb-17,129.75,131.36,129.64,131.11,641726
24-Feb-17,128.79,130.10,128.04,129.83,976645
23-Feb-17,131.11,131.37,129.21,130.48,684702
22-Feb-17,129.52,131.32,129.46,130.68,1003095
21-Feb-17,129.60,131.22,129.22,130.77,1255995
17-Feb-17,127.87,129.06,127.34,128.99,1046683
16-Feb-17,128.59,129.27,127.90,129.16,1026608
15-Feb-17,128.05,129.19,127.42,128.87,815558
14-Feb-17,125.58,128.38,125.57,127.81,1319282
13-Feb-17,125.00,126.88,124.96,126.15,1044233
10-Feb-17,124.05,124.85,122.71,124.31,1121040
9-Feb-17,121.35,124.02,120.84,123.73,1176351
8-Feb-17,122.09,122.09,120.87,121.58,1120825
7-Feb-17,123.82,124.00,122.72,123.18,1274554
6-Feb-17,121.00,123.72,120.95,123.37,2088609
3-Feb-17,120.93,121.86,120.22,121.26,1942399
2-Feb-17,116.18,123.29,116.18,117.90,3524892
1-Feb-17,113.62,115.22,112.40,113.08,1035097
31-Jan-17,112.02,113.18,110.97,112.27,1159494
30-Jan-17,112.63,113.20,111.26,113.06,810370
27-Jan-17,115.50,115.63,113.18,113.40,1009720
26-Jan-17,117.48,117.57,114.52,114.88,1314765
25-Jan-17,115.89,117.22,114.78,116.95,1137381
24-Jan-17,113.36,115.33,112.43,114.31,689988
23-Jan-17,112.63,113.96,112.08,112.86,678593
20-Jan-17,113.66,113.95,112.35,113.05,1180001
19-Jan-17,113.51,114.11,111.85,112.98,893001
18-Jan-17,112.28,113.52,110.75,113.41,1078258
17-Jan-17,113.98,114.31,111.31,111.55,758216
13-Jan-17,115.75,117.16,114.99,115.27,495076
12-Jan-17,114.41,115.44,112.90,115.09,936306
11-Jan-17,114.46,115.09,113.22,115.06,1055341
10-Jan-17,115.36,116.16,114.42,114.73,891230
9-Jan-17,116.13,116.89,115.14,115.20,993879
6-Jan-17,114.63,116.31,114.03,115.66,1463809
5-Jan-17,114.26,115.49,112.54,113.74,1491870
4-Jan-17,112.66,115.79,111.98,115.20,1523758
3-Jan-17,113.12,113.20,110.56,111.85,1029809
30-Dec-16,110.62,111.60,110.22,110.94,798149
29-Dec-16,110.89,111.69,109.19,109.92,670218
28-Dec-16,112.61,113.34,110.79,110.82,580990
27-Dec-16,112.29,112.80,111.85,112.33,338274
23-Dec-16,112.06,112.22,110.85,111.93,448704
22-Dec-16,112.76,112.78,111.38,111.76,665821
21-Dec-16,113.35,113.48,112.12,112.91,627331
20-Dec-16,113.14,113.73,112.64,113.48,845037
19-Dec-16,111.65,111.91,110.05,111.41,1511038
16-Dec-16,114.69,114.88,111.50,111.73,2095896
15-Dec-16,113.29,115.54,112.51,114.40,1358099
14-Dec-16,114.12,115.71,112.46,112.93,1942709
13-Dec-16,115.94,116.85,113.80,114.88,975536
12-Dec-16,118.19,118.32,115.18,115.36,943292
9-Dec-16,118.94,118.94,116.92,118.57,1029760
8-Dec-16,117.44,119.32,116.80,118.90,1092913
7-Dec-16,114.82,117.06,114.73,116.76,1177114
6-Dec-16,115.73,115.73,114.04,115.20,1806182
5-Dec-16,113.99,115.18,113.35,114.63,1122721
2-Dec-16,114.89,114.95,112.95,113.47,860883
1-Dec-16,115.43,116.72,114.61,115.04,1225772
30-Nov-16,113.29,114.67,113.07,114.21,1426196
29-Nov-16,112.87,113.84,111.96,112.06,1077357
28-Nov-16,112.98,114.06,112.00,112.50,1046433
25-Nov-16,114.24,114.53,113.49,114.46,338037
23-Nov-16,114.01,114.64,112.82,113.69,831188
22-Nov-16,114.42,115.24,112.86,113.79,960683
21-Nov-16,114.09,114.56,113.24,114.24,826271
18-Nov-16,113.55,114.75,113.04,113.14,1087487
