Date,Open,High,Low,Close,Volume
28-Apr-17,43.51,43.83,41.93,42.00,1393235
27-Apr-17,43.45,43.87,42.95,43.65,1600230
26-Apr-17,43.77,43.88,42.81,43.14,1591321
25-Apr-17,43.70,45.35,43.03,43.86,2968548
24-Apr-17,43.58,44.10,43.48,44.06,1948804
21-Apr-17,43.58,43.63,42.14,42.81,1918868
20-Apr-17,43.43,44.20,43.41,43.65,2235246
19-Apr-17,41.72,43.69,41.70,43.30,3579995
18-Apr-17,40.08,41.64,40.05,41.55,2941185
17-Apr-17,39.69,40.36,39.45,40.33,1042166
13-Apr-17,40.03,40.23,39.28,39.43,1356077
12-Apr-17,40.77,40.79,39.95,40.07,952874
11-Apr-17,40.63,40.87,40.09,40.82,783820
10-Apr-17,39.93,40.99,39.76,40.65,857073
7-Apr-17,40.14,40.37,39.96,40.14,893581
6-Apr-17,39.79,41.03,39.13,40.32,2266691
5-Apr-17,40.48,41.00,39.56,39.66,1531235
4-Apr-17,40.63,40.77,40.15,40.27,1323246
3-Apr-17,42.31,42.39,40.51,40.84,2380416
31-Mar-17,43.45,43.54,41.67,42.29,1748228
30-Mar-17,43.35,43.77,43.31,43.49,555656
29-Mar-17,43.02,43.81,43.00,43.42,852863
28-Mar-17,42.28,43.18,42.21,43.06,702589
27-Mar-17,41.55,42.48,41.55,42.28,754495
24-Mar-17,42.04,42.33,41.88,42.27,1258997
23-Mar-17,42.20,42.58,41.79,42.01,733643
22-Mar-17,42.30,42.58,41.85,42.39,792814
21-Mar-17,43.97,43.97,41.91,42.40,1501230
20-Mar-17,44.60,44.75,43.63,43.92,1253272
17-Mar-17,45.43,45.53,44.31,44.53,1994907
16-Mar-17,45.38,45.58,45.16,45.28,651384
15-Mar-17,44.98,45.73,44.47,45.38,797251
14-Mar-17,44.63,44.88,44.30,44.82,562711
13-Mar-17,44.75,44.91,44.34,44.83,733077
10-Mar-17,45.00,45.22,44.67,44.84,901424
9-Mar-17,45.00,45.55,44.53,44.70,937057
8-Mar-17,45.32,45.92,45.32,45.49,991388
7-Mar-17,45.07,45.34,44.43,45.26,1358491
6-Mar-17,45.74,45.95,45.28,45.33,1903623
3-Mar-17,46.15,46.35,45.57,45.82,814140
2-Mar-17,46.65,46.87,46.23,46.44,454710
1-Mar-17,46.65,47.20,46.05,46.61,781929
28-Feb-17,46.55,46.68,45.57,45.90,1213762
27-Feb-17,46.77,47.11,46.35,47.05,498308
24-Feb-17,46.53,47.20,45.99,46.83,835940
23-Feb-17,47.64,47.69,46.53,46.59,781367
22-Feb-17,48.31,48.37,47.56,47.67,523721
21-Feb-17,48.02,48.74,47.75,48.27,859702
17-Feb-17,46.87,47.81,46.50,47.77,1210461
16-Feb-17,47.44,47.72,46.63,46.92,1196220
15-Feb-17,47.21,47.83,47.06,47.43,929758
14-Feb-17,47.03,47.97,46.82,47.53,1417574
13-Feb-17,48.01,48.12,47.10,47.17,891839
10-Feb-17,47.55,47.94,47.35,47.88,798574
9-Feb-17,47.63,48.01,47.29,47.35,1028135
8-Feb-17,48.08,48.26,47.10,47.65,1218311
7-Feb-17,48.28,48.89,47.64,48.08,1832324
6-Feb-17,49.65,49.70,47.96,48.47,3202926
3-Feb-17,51.64,51.65,49.65,49.77,2287935
2-Feb-17,52.23,52.56,51.72,51.77,1241324
1-Feb-17,53.11,53.50,52.15,52.42,858248
31-Jan-17,52.33,53.31,51.76,53.12,916582
30-Jan-17,52.23,52.63,51.60,52.62,1051367
27-Jan-17,52.70,52.70,52.05,52.18,542112
26-Jan-17,53.13,53.50,52.80,52.86,911393
25-Jan-17,53.48,53.74,52.43,52.96,1907472
24-Jan-17,52.21,53.15,52.21,53.01,677042
23-Jan-17,51.41,53.14,51.15,52.18,1660939
20-Jan-17,51.67,52.00,51.43,51.69,701413
19-Jan-17,51.77,52.29,51.40,51.62,670713
18-Jan-17,51.49,51.83,51.01,51.82,819419
17-Jan-17,51.27,52.37,51.27,51.67,862609
13-Jan-17,51.53,51.97,51.18,51.32,457158
12-Jan-17,51.23,51.67,50.42,51.61,685607
11-Jan-17,51.35,51.47,50.77,51.38,678315
10-Jan-17,50.73,51.65,50.35,51.13,582538
9-Jan-17,50.25,50.61,49.82,50.54,593512
6-Jan-17,51.23,51.23,49.90,50.33,1120304
5-Jan-17,50.78,51.25,50.37,51.12,1430312
4-Jan-17,49.48,51.27,49.48,51.22,1330535
3-Jan-17,49.17,49.49,48.40,49.28,868240
30-Dec-16,48.74,48.95,48.30,48.65,525863
29-Dec-16,48.47,49.15,48.25,48.68,460083
28-Dec-16,49.57,49.90,48.20,48.40,614615
27-Dec-16,49.16,49.87,48.98,49.55,769614
23-Dec-16,48.80,49.48,48.80,48.99,487963
22-Dec-16,49.58,49.58,48.56,48.92,914748
21-Dec-16,49.46,49.70,49.16,49.54,523312
20-Dec-16,48.54,49.64,48.34,49.41,942665
19-Dec-16,48.13,48.74,47.70,48.60,557530
16-Dec-16,48.10,48.34,47.79,47.96,1159761
15-Dec-16,47.49,48.64,47.34,47.98,694350
14-Dec-16,47.81,48.23,47.21,47.50,857776
13-Dec-16,48.38,48.42,47.63,47.99,992104
12-Dec-16,48.69,49.06,47.76,48.12,1147584
9-Dec-16,49.79,49.79,48.52,48.97,1026442
8-Dec-16,48.55,49.94,48.37,49.88,1518816
7-Dec-16,46.98,48.39,46.78,48.37,894430
6-Dec-16,45.49,47.18,45.06,46.86,1338009
5-Dec-16,45.13,46.02,44.67,45.58,969471
2-Dec-16,46.36,46.36,44.60,44.67,825580
1-Dec-16,44.95,47.12,44.88,46.34,1276624
30-Nov-16,44.38,44.95,44.04,44.66,823048
29-Nov-16,44.84,45.05,44.10,44.23,602763
28-Nov-16,44.79,44.92,43.98,44.64,685258
25-Nov-16,45.14,45.17,44.76,44.79,289530
23-Nov-16,44.83,45.16,44.42,44.92,579260
22-Nov-16,45.26,45.60,44.69,44.79,515016
21-Nov-16,44.30,45.17,43.99,45.03,981461
18-Nov-16,43.81,44.33,43.35,43.96,689596
17-Nov-16,44.14,44.18,43.43,44.08,716192
16-Nov-16,44.70,44.70,43.97,44.03,996741
15-Nov-16,46.30,46.68,44.33,44.73,969532
14-Nov-16,43.21,45.97,43.21,45.83,2646188
11-Nov-16,42.38,43.19,42.15,43.10,1167978
10-Nov-16,41.70,43.21,41.43,42.37,1016402
9-Nov-16,39.36,41.67,39.28,41.53,1181732
8-Nov-16,41.00,41.00,39.68,40.26,1153661
7-Nov-16,41.66,41.74,40.97,41.28,822002
4-Nov-16,40.78,41.49,40.46,40.86,1441126
3-Nov-16,41.75,42.21,40.79,40.97,2061741
2-Nov-16,42.87,42.89,41.77,41.93,2105458
1-Nov-16,43.61,44.21,42.60,42.95,1634456
31-Oct-16,43.25,44.06,43.25,43.87,1334189
28-Oct-16,44.50,44.78,43.26,44.15,2449131
27-Oct-16,46.84,46.97,45.76,46.05,912767
26-Oct-16,45.62,46.88,45.42,46.70,933426
25-Oct-16,46.83,46.86,45.41,45.81,1039314
24-Oct-16,47.25,47.65,46.84,47.21,432786
21-Oct-16,46.53,46.94,46.07,46.82,497088
20-Oct-16,47.63,47.91,46.72,46.85,993927
19-Oct-16,47.64,48.89,47.49,48.81,546568
18-Oct-16,48.49,48.49,47.66,47.90,456437
17-Oct-16,48.34,48.56,47.90,47.92,419314
14-Oct-16,48.43,48.96,48.08,48.32,655114
13-Oct-16,48.01,48.37,47.39,48.13,975299
12-Oct-16,48.28,48.68,48.11,48.48,411889
11-Oct-16,48.96,48.96,48.08,48.31,795744
10-Oct-16,49.68,49.88,48.98,49.06,674361
7-Oct-16,50.15,50.21,48.95,49.27,866805
6-Oct-16,50.00,50.46,49.43,50.16,1089823
5-Oct-16,49.02,50.29,48.79,49.76,1084896
4-Oct-16,49.00,49.64,48.71,48.88,944757
3-Oct-16,48.51,49.35,48.32,48.84,950497
30-Sep-16,47.51,48.94,47.29,48.71,956184
