Date,Open,High,Low,Close,Volume
28-Apr-17,176.43,179.15,175.83,177.89,1741145
27-Apr-17,180.27,184.45,177.85,178.30,2621804
26-Apr-17,174.12,180.01,174.00,179.03,3561085
25-Apr-17,170.00,173.28,169.53,172.46,2201367
24-Apr-17,169.29,169.89,168.17,168.41,1004279
21-Apr-17,168.00,168.77,166.50,167.80,1225081
20-Apr-17,166.93,169.44,166.35,168.07,1761548
19-Apr-17,167.21,167.60,165.82,166.79,1069546
18-Apr-17,170.00,170.18,165.65,166.37,966361
17-Apr-17,165.51,167.31,164.91,166.94,900827
13-Apr-17,165.94,166.40,164.65,164.99,1264155
12-Apr-17,166.65,167.35,165.24,166.43,1075724
11-Apr-17,166.94,167.58,165.73,167.43,1042860
10-Apr-17,166.38,168.72,166.34,167.44,1055973
7-Apr-17,165.41,166.91,165.08,166.26,1094613
6-Apr-17,164.63,166.22,163.87,165.92,1002187
5-Apr-17,166.26,166.85,164.56,164.75,1046037
4-Apr-17,166.63,167.44,164.85,165.70,858796
3-Apr-17,166.15,167.62,165.35,166.49,1489162
31-Mar-17,166.59,166.97,164.93,165.38,1287738
30-Mar-17,164.85,167.83,164.68,167.08,1055845
29-Mar-17,164.37,165.77,164.00,164.98,1019853
28-Mar-17,161.69,165.03,161.68,164.60,1324880
27-Mar-17,160.51,162.34,158.66,162.19,2355785
24-Mar-17,165.88,167.08,161.54,162.75,2199208
23-Mar-17,166.44,166.94,164.85,165.38,1899224
22-Mar-17,167.10,167.79,165.45,166.44,1309624
21-Mar-17,168.23,168.50,166.18,166.99,1529233
20-Mar-17,168.32,168.44,166.65,167.59,1268864
17-Mar-17,168.77,169.15,167.06,168.27,1605405
16-Mar-17,169.20,169.80,166.61,168.42,1993145
15-Mar-17,166.00,170.79,165.18,169.20,1953889
14-Mar-17,165.97,167.20,163.19,165.18,1279434
13-Mar-17,166.19,167.48,165.65,167.24,1520543
10-Mar-17,166.98,167.59,165.37,166.41,1098066
9-Mar-17,166.00,167.14,165.30,166.18,2008388
8-Mar-17,165.99,166.47,165.32,165.65,949562
7-Mar-17,165.34,166.96,165.24,166.01,1689004
6-Mar-17,164.71,166.33,164.00,165.84,2218751
3-Mar-17,165.85,166.40,165.11,166.00,992400
2-Mar-17,166.81,167.65,165.60,165.97,1232802
1-Mar-17,166.17,169.20,166.10,166.97,2423578
28-Feb-17,165.07,165.19,163.13,164.82,1642817
27-Feb-17,163.39,165.46,162.85,164.91,1461475
24-Feb-17,163.73,163.90,161.19,163.83,956006
23-Feb-17,163.95,164.31,163.21,163.92,845925
22-Feb-17,163.07,164.37,162.53,163.27,1129651
21-Feb-17,160.74,164.48,160.28,164.22,2211958
17-Feb-17,161.78,163.25,159.64,160.25,2302818
16-Feb-17,161.99,164.14,160.29,163.77,2085747
15-Feb-17,163.03,164.67,161.76,162.69,3009298
14-Feb-17,162.60,165.88,160.61,163.32,4396706
13-Feb-17,162.98,164.22,161.00,163.52,1383946
10-Feb-17,162.38,162.48,160.19,162.32,1341821
9-Feb-17,158.76,162.49,157.74,161.68,2565124
8-Feb-17,157.76,159.11,156.81,158.60,1767753
7-Feb-17,157.40,159.22,155.35,158.59,2059162
6-Feb-17,158.70,159.99,156.17,156.81,1575069
3-Feb-17,158.58,161.80,158.32,159.08,1988812
2-Feb-17,160.00,160.31,156.66,157.66,2522642
1-Feb-17,155.00,160.79,154.37,160.79,4345162
31-Jan-17,154.37,154.97,151.77,154.14,2684124
30-Jan-17,154.45,154.48,152.16,154.18,2243732
27-Jan-17,153.05,154.24,152.02,153.35,1760272
26-Jan-17,153.08,153.79,151.92,152.40,1434797
25-Jan-17,150.75,154.61,150.75,153.71,1967162
24-Jan-17,150.00,152.55,148.80,150.23,1609518
23-Jan-17,150.00,150.60,146.78,150.16,2051403
20-Jan-17,149.02,151.99,149.00,150.63,1961405
19-Jan-17,146.95,149.95,144.44,148.11,2091115
18-Jan-17,147.42,147.85,145.97,147.22,1760089
17-Jan-17,147.19,148.05,145.31,146.75,957020
13-Jan-17,148.37,149.58,147.41,148.53,1405200
12-Jan-17,144.77,148.39,144.34,148.19,2013817
11-Jan-17,146.19,146.74,143.99,145.83,950438
10-Jan-17,142.39,147.49,142.04,146.34,1637627
9-Jan-17,143.24,143.74,142.46,142.79,907110
6-Jan-17,144.38,144.76,143.28,144.35,1105617
5-Jan-17,143.03,145.89,143.00,144.57,1645953
4-Jan-17,142.68,143.85,140.86,143.05,1250510
3-Jan-17,144.54,144.78,140.50,143.24,1525954
30-Dec-16,144.88,145.50,143.11,143.77,1086082
29-Dec-16,144.75,145.95,144.33,144.76,571437
28-Dec-16,145.75,146.60,144.01,144.26,950363
27-Dec-16,146.02,147.14,145.41,145.68,361097
23-Dec-16,144.83,146.04,144.00,146.02,428757
22-Dec-16,145.24,145.46,143.86,144.58,947735
21-Dec-16,146.91,147.48,144.15,144.98,960508
20-Dec-16,145.50,148.26,144.94,147.66,1449346
19-Dec-16,145.81,146.98,144.32,144.88,966450
16-Dec-16,144.35,145.87,143.60,145.46,1874814
15-Dec-16,145.38,145.47,143.19,143.67,1429416
14-Dec-16,146.61,146.61,143.77,144.69,1201393
13-Dec-16,146.41,147.25,145.07,146.58,1075417
12-Dec-16,145.22,145.99,142.70,145.79,1342906
9-Dec-16,147.00,147.00,144.36,145.88,1060397
8-Dec-16,145.26,147.50,143.61,146.61,960552
7-Dec-16,143.54,145.60,142.71,145.20,1435730
6-Dec-16,144.44,144.92,142.91,143.55,1019479
5-Dec-16,145.06,145.53,142.77,144.09,1858940
2-Dec-16,145.01,147.43,144.67,145.10,1418118
1-Dec-16,142.38,146.22,141.82,145.17,2545361
30-Nov-16,145.51,145.51,142.04,142.53,2535083
29-Nov-16,143.73,146.09,142.56,145.28,1999567
28-Nov-16,144.06,145.19,142.73,143.24,1934304
25-Nov-16,143.62,145.21,142.82,144.74,1231477
23-Nov-16,141.48,143.66,140.34,143.62,1694760
22-Nov-16,138.29,141.56,137.64,141.31,2694903
21-Nov-16,136.00,137.88,135.68,137.36,1204086
18-Nov-16,137.39,137.59,135.00,135.35,2188565
17-Nov-16,138.45,138.72,136.89,137.88,1505348
16-Nov-16,138.37,139.37,137.90,138.39,1391497
15-Nov-16,140.02,142.62,136.82,138.42,2502226
14-Nov-16,133.80,138.75,132.65,138.60,2130205
11-Nov-16,133.55,135.01,131.38,133.68,2669271
10-Nov-16,129.56,133.98,129.23,133.86,2999445
9-Nov-16,120.40,129.73,118.42,128.75,4356413
8-Nov-16,123.19,127.42,122.43,126.84,1806504
7-Nov-16,121.03,123.93,120.35,123.49,2221666
4-Nov-16,120.67,121.24,119.17,119.29,1761661
3-Nov-16,123.48,124.58,119.69,120.03,2069930
2-Nov-16,117.76,123.87,114.85,122.99,3477535
1-Nov-16,122.44,122.44,116.88,117.42,2847729
31-Oct-16,122.35,123.00,121.44,121.86,1304258
28-Oct-16,123.10,123.13,121.45,121.62,1948179
27-Oct-16,124.00,124.59,122.74,123.49,1352084
26-Oct-16,124.47,125.04,123.78,124.17,1200446
25-Oct-16,124.37,125.45,123.81,124.50,941775
24-Oct-16,124.23,124.94,123.86,124.49,851744
21-Oct-16,123.05,123.72,121.92,123.50,1228116
20-Oct-16,123.78,125.57,123.35,124.03,1238929
19-Oct-16,123.24,124.12,122.63,123.83,1170511
18-Oct-16,120.02,123.77,119.66,123.15,2282934
17-Oct-16,120.38,120.95,117.50,118.28,3201091
14-Oct-16,121.18,121.81,120.76,121.09,1280818
13-Oct-16,120.32,121.28,119.79,121.00,1606591
12-Oct-16,122.05,122.50,120.17,120.85,1934091
11-Oct-16,124.68,124.79,121.55,121.90,1281359
10-Oct-16,122.34,124.94,122.34,124.80,1363028
7-Oct-16,122.28,122.74,120.78,121.90,1699220
6-Oct-16,122.13,122.78,121.55,122.35,1519981
5-Oct-16,122.44,122.57,120.97,122.07,1967847
4-Oct-16,123.22,123.95,121.71,122.44,1598026
3-Oct-16,124.74,125.32,122.58,122.90,1777989
30-Sep-16,125.38,125.83,124.01,125.31,1968246
29-Sep-16,127.19,127.19,124.88,124.93,1027207
28-Sep-16,126.70,127.90,126.24,127.37,1079114
27-Sep-16,125.09,126.34,124.40,126.30,1071363
26-Sep-16,126.00,126.48,124.86,125.08,1005859
23-Sep-16,127.80,128.42,126.44,126.56,1224915
22-Sep-16,128.82,129.62,127.84,128.42,1096265
21-Sep-16,126.56,128.75,126.08,128.59,1464664
20-Sep-16,126.47,126.93,124.98,125.76,1773048
19-Sep-16,125.39,126.71,125.14,126.32,1570073
16-Sep-16,124.37,126.69,123.87,125.52,1742970
15-Sep-16,123.21,124.89,122.96,124.34,1404148
14-Sep-16,124.40,125.00,122.52,123.29,1879936
13-Sep-16,126.22,127.00,123.95,124.57,2282261
12-Sep-16,126.39,128.86,125.59,128.58,1628567
9-Sep-16,126.93,128.18,126.52,126.89,2052326
8-Sep-16,125.70,127.76,125.70,127.67,2126475
7-Sep-16,123.72,125.89,123.10,125.85,1916753
6-Sep-16,124.10,124.90,123.76,124.29,1390256
2-Sep-16,123.51,124.32,123.02,124.24,1212576
1-Sep-16,124.90,125.72,123.18,123.36,1985043
31-Aug-16,125.46,125.90,124.23,125.08,1236407
30-Aug-16,124.11,125.61,124.00,125.42,1457507
29-Aug-16,124.84,125.32,124.16,124.18,2475660
26-Aug-16,127.31,127.86,124.53,124.94,1637690
25-Aug-16,127.23,128.64,127.01,127.11,1396803
24-Aug-16,129.37,130.00,127.35,127.61,1139916
23-Aug-16,130.25,130.31,128.97,129.12,955513
22-Aug-16,129.71,130.70,129.36,129.72,677838
19-Aug-16,129.08,129.97,128.67,129.52,1795170
18-Aug-16,129.05,131.10,128.84,129.43,1866642
17-Aug-16,129.30,129.78,128.78,129.54,1246693
16-Aug-16,129.18,129.82,128.16,129.33,1214270
15-Aug-16,129.68,130.12,128.90,129.29,1655390
12-Aug-16,128.01,131.26,127.59,130.19,1968758
11-Aug-16,128.37,128.60,127.60,128.20,1412895
10-Aug-16,128.17,129.53,127.58,128.15,1718644
9-Aug-16,128.09,128.49,127.55,128.45,1276975
8-Aug-16,127.66,128.35,127.08,127.74,1555785
5-Aug-16,127.74,128.57,127.11,127.86,1187316
4-Aug-16,127.69,127.88,126.13,126.82,1409745
3-Aug-16,125.73,128.89,125.39,127.87,2597356
