Date,Open,High,Low,Close,Volume
28-Apr-17,141.00,141.19,139.35,140.50,1910933
27-Apr-17,141.28,141.85,137.72,141.10,1855137
26-Apr-17,141.33,142.45,140.75,141.58,1511287
25-Apr-17,140.22,141.86,140.14,141.73,1189378
24-Apr-17,137.91,139.90,137.91,139.76,1006799
21-Apr-17,136.87,137.66,136.82,137.30,1121329
20-Apr-17,135.62,137.34,135.20,136.90,985329
19-Apr-17,135.73,136.04,134.78,134.96,577819
18-Apr-17,135.04,136.02,134.72,135.27,701020
17-Apr-17,134.78,135.90,134.42,135.86,1092375
13-Apr-17,135.33,135.58,134.17,134.30,626943
12-Apr-17,136.46,136.48,135.35,135.51,899936
11-Apr-17,135.79,136.47,135.40,136.42,1003978
10-Apr-17,135.22,136.11,135.08,135.76,859032
7-Apr-17,134.78,135.55,134.33,135.01,2908220
6-Apr-17,135.48,135.83,135.00,135.19,860391
5-Apr-17,135.84,137.10,135.02,135.24,930793
4-Apr-17,135.08,135.39,134.68,135.35,1109759
3-Apr-17,135.70,136.44,134.09,134.95,1624194
31-Mar-17,135.13,136.33,135.12,135.29,1845247
30-Mar-17,135.80,136.85,135.60,135.60,2069454
29-Mar-17,136.76,137.30,136.23,136.78,740010
28-Mar-17,135.84,137.58,135.84,137.25,1013963
27-Mar-17,133.87,136.21,133.63,135.92,2522688
24-Mar-17,136.83,137.43,134.67,134.94,1313391
23-Mar-17,136.16,138.01,135.30,137.05,1188701
22-Mar-17,136.37,137.00,135.01,136.41,841383
21-Mar-17,138.69,138.95,136.00,136.45,1548064
20-Mar-17,139.49,139.70,138.32,138.69,1248696
17-Mar-17,138.56,139.61,138.49,139.53,2174015
16-Mar-17,138.25,138.25,137.03,137.97,1462705
15-Mar-17,136.89,138.43,136.17,137.99,2460553
14-Mar-17,137.54,137.58,135.88,136.18,1747497
13-Mar-17,138.90,139.29,136.93,137.82,1443125
10-Mar-17,139.41,139.60,138.25,138.77,1475505
9-Mar-17,139.60,140.51,138.03,138.58,1570783
8-Mar-17,139.73,140.42,139.15,139.56,1183360
7-Mar-17,139.22,139.84,138.85,139.64,870704
6-Mar-17,139.02,140.11,138.66,139.31,974053
3-Mar-17,140.34,140.87,139.13,139.52,923872
2-Mar-17,143.41,143.41,140.41,140.57,1267454
1-Mar-17,142.13,144.06,141.98,143.69,1706981
28-Feb-17,138.93,140.70,138.80,140.47,1677831
27-Feb-17,140.93,141.23,139.12,139.38,1079405
24-Feb-17,140.07,141.01,139.61,140.86,890325
23-Feb-17,140.97,141.21,139.32,140.36,1434154
22-Feb-17,140.77,141.37,140.28,140.34,993314
21-Feb-17,140.98,141.80,140.83,141.47,1148242
17-Feb-17,141.97,142.14,141.10,141.50,717369
16-Feb-17,142.57,143.12,141.06,141.87,860870
15-Feb-17,141.67,142.99,141.19,142.38,1429025
14-Feb-17,140.40,142.26,139.75,142.13,2001527
13-Feb-17,140.75,141.25,139.85,140.50,1670534
10-Feb-17,138.90,140.44,138.54,140.13,2273358
9-Feb-17,138.58,139.46,138.22,138.54,1298011
8-Feb-17,138.18,138.80,137.72,138.59,1648993
7-Feb-17,139.09,139.49,137.88,138.80,1466876
6-Feb-17,140.00,140.27,138.64,139.05,808555
3-Feb-17,139.77,140.29,139.15,140.16,1300235
2-Feb-17,138.68,139.86,137.46,139.28,1438480
1-Feb-17,139.32,140.24,138.00,138.68,1652320
31-Jan-17,140.99,141.22,139.14,139.76,2483750
30-Jan-17,140.10,141.83,139.91,140.99,2724918
27-Jan-17,140.00,142.47,137.05,142.01,5469500
26-Jan-17,148.24,149.46,147.68,148.81,1856079
25-Jan-17,147.50,148.72,147.15,148.53,1597841
24-Jan-17,146.55,147.40,146.26,147.13,2016408
23-Jan-17,146.39,146.88,144.77,146.07,1268383
20-Jan-17,145.70,146.78,145.59,146.62,1149990
19-Jan-17,146.36,146.64,145.17,145.47,1239438
18-Jan-17,145.56,146.35,144.56,146.33,1147937
17-Jan-17,145.07,145.84,144.67,145.34,1269093
13-Jan-17,145.70,146.08,145.05,145.35,996479
12-Jan-17,145.96,145.96,144.20,145.84,654088
11-Jan-17,144.79,146.10,144.79,146.01,1000811
10-Jan-17,146.49,146.89,145.21,145.26,1038828
9-Jan-17,144.30,147.59,144.29,146.31,2370426
6-Jan-17,143.24,144.80,142.95,144.36,1745864
5-Jan-17,144.38,144.42,142.84,143.22,1260356
4-Jan-17,144.04,144.84,143.69,144.65,2012158
3-Jan-17,143.56,144.73,142.84,143.40,1402312
30-Dec-16,144.53,144.82,143.23,143.82,726143
29-Dec-16,144.45,145.05,144.17,144.37,479257
28-Dec-16,147.67,147.67,145.02,145.12,629957
27-Dec-16,146.62,147.56,146.62,147.38,1029608
23-Dec-16,146.03,146.60,145.64,146.48,587546
22-Dec-16,147.11,147.96,145.69,146.09,1091279
21-Dec-16,148.32,148.51,147.01,147.35,970440
20-Dec-16,147.90,149.81,147.05,147.50,1794518
19-Dec-16,147.35,148.00,146.89,147.72,761595
16-Dec-16,149.27,149.52,147.26,147.43,2204710
15-Dec-16,147.86,149.40,147.45,149.09,1069812
14-Dec-16,148.98,149.83,147.11,148.18,1526212
13-Dec-16,150.03,150.45,148.27,149.12,1025372
12-Dec-16,149.86,150.39,148.97,149.64,803150
9-Dec-16,148.84,149.70,147.97,149.55,669851
8-Dec-16,148.61,149.15,148.09,149.06,836698
7-Dec-16,146.81,148.59,145.89,148.54,1159406
6-Dec-16,147.19,147.50,146.02,146.57,866225
5-Dec-16,146.21,147.85,145.76,147.33,1783653
2-Dec-16,144.00,145.06,143.45,144.55,1301682
1-Dec-16,144.42,145.37,143.79,144.07,1355741
30-Nov-16,143.65,145.26,142.90,144.46,2697948
29-Nov-16,140.97,144.17,140.53,143.47,2055316
28-Nov-16,141.43,142.39,140.76,141.78,1447687
25-Nov-16,141.00,141.54,140.72,141.54,283551
23-Nov-16,139.37,140.79,139.37,140.75,672406
22-Nov-16,140.24,140.88,138.78,139.71,1372498
21-Nov-16,142.80,142.80,139.01,139.74,1232414
18-Nov-16,138.00,138.53,137.60,137.96,1559209
17-Nov-16,138.93,139.34,137.88,138.00,1157879
16-Nov-16,138.08,138.79,137.43,138.74,1052870
15-Nov-16,137.79,138.35,136.86,138.14,856140
14-Nov-16,138.55,139.18,137.88,137.98,1304256
11-Nov-16,140.08,141.14,138.16,138.54,1642328
10-Nov-16,138.11,141.00,137.88,139.98,2003305
9-Nov-16,134.98,137.92,134.18,137.22,2378310
8-Nov-16,136.88,137.88,136.38,136.93,1505562
7-Nov-16,135.35,137.26,134.84,137.08,2233461
4-Nov-16,132.99,134.06,132.07,133.37,1147165
3-Nov-16,134.00,134.72,133.05,133.09,1375749
2-Nov-16,132.33,133.87,131.80,133.55,2102455
1-Nov-16,133.74,134.51,131.12,132.26,1695641
31-Oct-16,134.26,134.49,133.38,133.42,1625456
28-Oct-16,133.40,135.14,132.67,133.81,2100565
27-Oct-16,133.50,135.05,129.00,133.40,3603220
26-Oct-16,132.78,133.05,131.75,132.98,2757583
25-Oct-16,135.39,135.39,133.48,133.51,1510101
24-Oct-16,135.08,136.07,134.44,134.81,884279
21-Oct-16,133.35,134.64,132.77,134.44,999713
20-Oct-16,133.68,134.77,133.21,134.39,1184385
19-Oct-16,134.23,134.38,133.22,133.91,850674
18-Oct-16,133.91,134.52,133.46,133.82,905225
17-Oct-16,132.65,133.23,132.18,132.28,797368
14-Oct-16,133.27,133.27,132.00,132.65,1193732
13-Oct-16,131.34,132.56,129.90,132.26,1484309
12-Oct-16,132.27,133.15,131.99,132.81,1188309
11-Oct-16,135.01,135.03,131.73,132.65,1932760
10-Oct-16,135.94,135.94,135.07,135.40,1871815
7-Oct-16,137.23,137.23,133.74,135.08,1886771
6-Oct-16,135.99,137.15,135.90,137.03,1182779
5-Oct-16,137.32,138.14,136.54,136.98,1701510
4-Oct-16,140.68,141.07,136.99,137.32,2203234
3-Oct-16,139.84,141.02,138.85,140.57,3017896
30-Sep-16,151.36,151.87,149.89,150.34,2169307
29-Sep-16,149.77,151.60,149.70,150.51,2038059
28-Sep-16,149.33,150.23,148.80,149.78,1337003
27-Sep-16,148.40,149.45,148.06,148.84,1270273
26-Sep-16,147.41,148.88,147.00,148.35,1182126
23-Sep-16,147.38,148.11,147.13,147.46,865081
22-Sep-16,150.13,150.56,147.80,148.15,1241692
21-Sep-16,147.46,148.94,147.24,148.74,1065889
20-Sep-16,147.78,148.30,146.99,147.07,1071823
19-Sep-16,146.67,147.81,146.50,146.80,1277179
16-Sep-16,145.74,146.56,144.88,145.80,5399455
15-Sep-16,146.55,147.07,146.03,146.58,2955201
14-Sep-16,147.72,148.60,145.51,146.82,2865988
13-Sep-16,149.83,150.59,146.28,147.71,3540865
12-Sep-16,150.92,152.68,149.25,150.58,8369457
9-Sep-16,155.07,155.07,151.51,151.53,2265919
8-Sep-16,157.44,157.69,155.82,155.89,1191010
7-Sep-16,156.72,157.62,156.34,157.40,702639
6-Sep-16,157.36,157.84,156.37,157.40,1177441
2-Sep-16,157.00,157.36,156.33,157.09,1057240
1-Sep-16,156.13,156.55,155.55,156.30,1303986
31-Aug-16,156.07,156.74,155.34,155.62,1035889
30-Aug-16,155.74,157.24,155.30,156.65,1137387
29-Aug-16,154.57,157.51,154.57,155.89,866017
26-Aug-16,155.81,156.00,153.57,154.25,1097017
25-Aug-16,155.09,156.16,155.09,155.73,801220
24-Aug-16,155.19,155.79,154.73,155.21,878737
23-Aug-16,156.00,156.85,155.38,155.43,805406
22-Aug-16,155.14,155.91,154.70,155.48,574662
19-Aug-16,154.15,155.94,153.69,155.68,981993
18-Aug-16,153.70,155.00,153.39,154.97,996676
17-Aug-16,152.85,154.05,151.61,153.72,1073480
16-Aug-16,152.66,154.91,152.51,152.77,1885716
15-Aug-16,150.17,151.73,150.01,151.52,735961
12-Aug-16,150.00,152.08,149.40,149.84,1301518
11-Aug-16,149.59,149.87,148.65,149.05,616390
10-Aug-16,149.25,149.25,148.55,149.03,528673
9-Aug-16,148.84,149.28,148.49,149.10,700016
8-Aug-16,149.70,149.70,148.35,148.76,628744
5-Aug-16,149.49,150.00,148.72,149.21,934226
4-Aug-16,148.17,149.53,147.56,149.00,822889
3-Aug-16,148.75,148.75,147.79,148.21,858510
2-Aug-16,149.02,149.15,147.54,148.23,622719
1-Aug-16,147.75,149.36,147.12,149.15,964339
29-Jul-16,148.81,150.75,148.27,149.42,1499568
28-Jul-16,151.49,152.69,148.48,148.99,1513414
27-Jul-16,149.95,150.08,148.64,149.01,1128178
26-Jul-16,149.00,150.55,148.20,149.85,1264538
25-Jul-16,148.44,148.80,147.78,148.52,621767
22-Jul-16,148.49,148.88,147.81,148.63,360998
21-Jul-16,149.50,149.50,147.82,148.30,467141
20-Jul-16,149.23,150.00,149.00,149.35,613256
19-Jul-16,148.61,149.42,148.26,149.38,812521
18-Jul-16,149.36,149.68,148.65,149.19,953840
15-Jul-16,149.40,149.69,148.44,149.35,812268
14-Jul-16,148.43,149.65,148.04,148.90,1066154
13-Jul-16,147.96,148.00,146.72,147.92,790874
12-Jul-16,145.53,147.88,145.33,147.70,2175952
11-Jul-16,145.47,145.56,143.51,144.86,1035764
8-Jul-16,140.97,144.72,140.40,144.35,1462063
7-Jul-16,139.86,140.44,138.96,139.67,667947
6-Jul-16,138.38,139.49,137.31,139.36,845429
5-Jul-16,140.02,140.64,137.88,138.49,899287
1-Jul-16,141.61,142.69,140.57,140.94,1095442
30-Jun-16,139.58,142.09,138.83,142.04,1512680
29-Jun-16,136.79,139.59,136.18,139.26,1421608
28-Jun-16,136.09,136.80,134.34,136.72,1475286
27-Jun-16,138.95,139.14,134.15,134.82,1492098
24-Jun-16,141.02,142.73,139.27,140.12,1907341
23-Jun-16,145.08,146.22,145.01,146.02,1236923
22-Jun-16,143.61,143.78,142.85,143.50,960616
21-Jun-16,144.26,144.46,142.54,143.15,1111744
20-Jun-16,144.80,146.07,143.87,144.04,1245737
17-Jun-16,144.52,144.52,142.70,143.31,1093698
16-Jun-16,143.15,144.52,141.37,144.36,692011
15-Jun-16,144.76,145.76,143.53,143.65,775699
14-Jun-16,143.96,144.42,142.85,143.90,884403
13-Jun-16,145.93,146.36,143.90,144.03,828434
10-Jun-16,145.80,146.59,145.06,146.39,714804
9-Jun-16,145.87,146.85,145.10,146.60,585547
8-Jun-16,145.75,147.20,145.01,146.89,800153
7-Jun-16,145.40,145.94,145.02,145.25,890625
6-Jun-16,143.87,145.88,143.87,145.56,722862
3-Jun-16,143.39,143.50,142.27,143.25,508138
2-Jun-16,143.44,143.50,142.28,143.50,672138
1-Jun-16,142.16,144.16,141.25,144.00,821721
31-May-16,143.68,143.68,142.27,142.64,684900
27-May-16,143.11,143.53,142.85,143.06,439308
26-May-16,144.00,144.24,143.02,143.07,439941
25-May-16,143.84,144.78,143.49,143.68,670546
24-May-16,141.92,143.58,141.57,143.30,603472
23-May-16,141.74,142.44,141.56,141.67,831731
20-May-16,142.54,142.86,141.09,141.44,622364
19-May-16,141.74,142.63,140.49,141.70,664441
18-May-16,142.00,143.59,141.12,141.70,674999
17-May-16,143.50,144.28,142.22,142.88,1629544
16-May-16,141.99,143.93,141.88,143.55,835422
13-May-16,143.00,143.65,141.21,141.83,672805
