Date,Open,High,Low,Close,Volume
28-Apr-17,83.47,83.86,83.01,83.21,854833
27-Apr-17,83.48,83.93,82.11,83.54,928820
26-Apr-17,82.17,83.66,80.91,83.20,1264974
25-Apr-17,82.71,82.86,82.06,82.41,725578
24-Apr-17,82.60,82.78,81.78,82.44,706829
21-Apr-17,82.17,82.39,81.60,81.69,1136374
20-Apr-17,81.67,82.36,81.33,82.20,1407538
19-Apr-17,80.86,81.52,80.83,81.48,602021
18-Apr-17,80.12,80.87,80.12,80.74,618730
17-Apr-17,79.77,80.29,79.62,80.29,339306
13-Apr-17,79.68,79.95,79.36,79.48,1085414
12-Apr-17,79.31,79.79,79.23,79.64,568795
11-Apr-17,79.53,79.90,79.13,79.67,454818
10-Apr-17,79.60,80.24,79.45,79.83,754640
7-Apr-17,79.84,80.20,79.26,79.54,540296
6-Apr-17,80.14,80.14,79.50,79.85,523823
5-Apr-17,80.77,81.01,79.92,80.08,782323
4-Apr-17,80.96,81.23,80.33,80.66,612539
3-Apr-17,80.86,81.12,80.50,80.97,566631
31-Mar-17,80.35,80.74,80.04,80.60,644243
30-Mar-17,80.32,80.49,79.82,80.48,372635
29-Mar-17,80.22,80.60,80.04,80.34,1112730
28-Mar-17,79.63,80.80,79.58,80.40,508315
27-Mar-17,78.82,79.75,78.61,79.61,506123
24-Mar-17,79.52,80.23,79.21,79.61,552858
23-Mar-17,78.98,79.93,78.90,79.67,620956
22-Mar-17,78.81,79.42,78.47,78.91,540940
21-Mar-17,79.68,80.18,78.53,78.80,631328
20-Mar-17,80.23,80.31,79.41,79.78,451247
17-Mar-17,79.97,80.47,79.54,80.39,943407
16-Mar-17,80.68,80.68,79.51,79.78,427477
15-Mar-17,79.98,80.66,79.97,80.57,612497
14-Mar-17,80.11,80.51,79.75,79.88,397557
13-Mar-17,80.51,80.94,79.88,80.30,308863
10-Mar-17,80.32,80.85,80.14,80.50,545167
9-Mar-17,80.07,80.10,79.45,79.89,648157
8-Mar-17,80.39,80.70,79.84,79.97,770482
7-Mar-17,81.03,81.38,80.05,80.40,812596
6-Mar-17,81.19,81.80,80.74,81.14,721486
3-Mar-17,81.72,81.98,81.14,81.76,590361
2-Mar-17,81.61,81.98,81.05,81.77,855615
1-Mar-17,81.70,82.11,81.21,81.85,813967
28-Feb-17,80.50,81.16,80.22,80.71,652146
27-Feb-17,80.16,81.27,80.02,80.70,621029
24-Feb-17,80.44,80.87,79.87,80.25,586728
23-Feb-17,80.14,80.92,79.49,80.65,705947
22-Feb-17,80.09,80.22,79.31,79.81,476743
21-Feb-17,79.40,80.43,79.26,80.35,486610
17-Feb-17,79.97,79.98,79.01,79.41,584903
16-Feb-17,79.83,80.46,79.64,80.16,972372
15-Feb-17,79.06,79.93,79.06,79.54,481461
14-Feb-17,79.46,79.92,78.82,79.29,624567
13-Feb-17,79.37,79.89,79.17,79.45,452110
10-Feb-17,78.85,79.78,78.55,79.27,519543
9-Feb-17,79.51,79.75,78.86,78.90,741051
8-Feb-17,78.97,79.64,78.66,79.41,856157
7-Feb-17,79.40,79.86,78.77,79.14,912371
6-Feb-17,78.80,79.84,78.17,79.51,848073
3-Feb-17,80.42,80.48,78.73,79.05,977658
2-Feb-17,79.67,80.77,79.55,80.01,1709506
