Date,Open,High,Low,Close,Volume
28-Apr-17,80.35,80.69,79.56,79.76,1082781
27-Apr-17,80.34,81.49,80.34,80.41,913300
26-Apr-17,80.52,80.63,79.64,80.23,1104616
25-Apr-17,80.50,81.10,80.50,80.97,731782
24-Apr-17,80.51,81.26,80.28,80.77,1101446
21-Apr-17,79.28,80.64,79.21,80.51,1126896
20-Apr-17,79.27,79.27,78.36,79.17,873974
19-Apr-17,79.48,79.69,79.01,79.32,723681
18-Apr-17,79.22,79.64,79.02,79.50,660760
17-Apr-17,78.60,79.23,78.57,79.16,788163
13-Apr-17,78.79,78.95,78.13,78.57,581051
12-Apr-17,78.37,78.84,78.11,78.82,1039322
11-Apr-17,77.94,78.50,77.75,78.30,657348
10-Apr-17,78.00,78.09,77.48,78.02,487421
7-Apr-17,78.03,78.48,77.85,77.90,540405
6-Apr-17,78.06,78.29,77.34,77.94,684928
5-Apr-17,77.70,78.51,77.36,78.29,896584
4-Apr-17,77.26,77.97,77.10,77.72,736244
3-Apr-17,77.59,77.75,76.73,77.14,915944
31-Mar-17,77.09,78.05,77.06,77.77,1453701
30-Mar-17,77.05,77.19,76.32,77.00,949590
29-Mar-17,77.07,77.35,76.47,77.17,1035917
28-Mar-17,76.71,77.28,76.44,77.19,951631
27-Mar-17,77.58,77.67,76.41,76.84,877719
24-Mar-17,76.63,77.23,76.30,77.09,571917
23-Mar-17,77.00,77.58,76.29,76.49,647711
22-Mar-17,76.86,77.44,76.86,77.16,859583
21-Mar-17,76.00,76.78,75.53,76.49,801311
20-Mar-17,76.40,76.43,75.51,75.93,522430
17-Mar-17,75.66,76.72,75.57,76.20,1876641
16-Mar-17,76.90,77.04,75.66,75.74,843826
15-Mar-17,75.52,77.46,75.24,77.22,760622
14-Mar-17,76.00,76.45,75.83,76.01,367794
13-Mar-17,76.00,76.43,75.92,76.09,674666
10-Mar-17,75.81,76.17,75.29,75.92,597196
9-Mar-17,75.49,75.92,75.09,75.28,557487
8-Mar-17,76.32,76.34,75.24,75.47,650625
7-Mar-17,77.30,77.48,76.85,76.89,692532
6-Mar-17,77.23,77.59,77.06,77.30,753193
3-Mar-17,77.88,78.08,77.03,77.34,914703
2-Mar-17,77.54,78.11,77.05,77.84,1341405
1-Mar-17,77.04,78.44,76.88,77.66,1647576
28-Feb-17,76.49,78.73,76.27,78.00,1766442
27-Feb-17,76.22,76.75,75.78,76.45,830273
24-Feb-17,75.71,76.69,75.71,76.30,866151
23-Feb-17,75.01,75.75,74.98,75.57,993447
