Date,Open,High,Low,Close,Volume
28-Apr-17,79.94,80.17,79.05,79.25,5313188
27-Apr-17,80.77,80.87,80.08,80.33,2922576
26-Apr-17,80.62,80.92,80.15,80.52,3661571
25-Apr-17,81.06,81.40,80.63,80.63,5061261
24-Apr-17,80.64,80.92,80.24,80.45,3563193
21-Apr-17,79.88,80.48,79.49,79.59,5837812
20-Apr-17,77.50,80.28,77.46,80.02,11099336
19-Apr-17,76.19,76.29,75.51,75.55,5283593
18-Apr-17,76.45,76.48,75.53,75.79,3845877
17-Apr-17,75.83,76.71,75.63,76.67,4160796
13-Apr-17,76.33,76.81,75.70,75.80,3666554
12-Apr-17,77.39,77.48,76.58,76.68,3055820
11-Apr-17,77.53,77.57,76.68,77.26,4642341
10-Apr-17,77.92,78.11,77.36,77.49,2217051
7-Apr-17,77.48,78.24,77.37,77.77,2203039
6-Apr-17,77.76,78.30,77.15,77.92,2914808
5-Apr-17,78.59,79.03,77.66,77.76,2858427
4-Apr-17,78.49,78.61,78.15,78.26,2563659
3-Apr-17,79.17,79.18,77.97,78.59,3022678
31-Mar-17,78.93,79.43,78.80,79.11,5228391
30-Mar-17,78.20,79.30,78.09,79.21,2924106
29-Mar-17,78.45,79.34,78.14,78.25,2913623
28-Mar-17,77.51,78.86,77.39,78.64,4235903
27-Mar-17,77.21,77.82,76.67,77.60,3835309
24-Mar-17,78.11,78.84,77.87,78.20,4726801
23-Mar-17,77.57,78.40,77.51,77.84,4082889
22-Mar-17,77.43,78.18,77.06,77.67,4877322
21-Mar-17,78.93,79.13,77.32,77.53,6804000
20-Mar-17,79.15,79.60,78.83,78.85,3099528
17-Mar-17,79.92,79.96,78.98,79.25,6672551
16-Mar-17,79.47,80.10,79.39,79.77,3474802
15-Mar-17,79.85,79.89,78.99,79.23,4337240
14-Mar-17,78.96,79.80,78.83,79.69,3321548
13-Mar-17,79.38,79.54,79.06,79.21,3664310
10-Mar-17,79.38,79.46,78.88,79.38,3762755
9-Mar-17,79.19,79.70,78.80,79.30,4573537
8-Mar-17,80.00,80.37,78.97,79.04,4326793
