Date,Open,High,Low,Close,Volume
28-Apr-17,700.51,703.25,688.02,692.19,527250
27-Apr-17,713.87,727.15,692.50,703.90,635931
26-Apr-17,713.82,719.80,709.85,715.12,443409
25-Apr-17,723.99,724.90,711.25,712.06,353496
24-Apr-17,713.23,722.69,711.17,722.45,367094
21-Apr-17,706.08,713.35,705.89,707.79,343824
20-Apr-17,699.64,708.30,697.39,706.30,296911
19-Apr-17,693.33,711.34,693.33,697.57,458158
18-Apr-17,685.35,691.58,684.48,689.07,262667
17-Apr-17,692.33,692.94,686.55,687.61,218176
13-Apr-17,693.68,697.92,688.46,688.46,198589
12-Apr-17,696.16,700.57,692.34,693.34,264967
11-Apr-17,702.73,702.73,698.01,700.59,193796
10-Apr-17,700.52,707.45,700.52,703.64,260151
7-Apr-17,702.59,706.41,699.65,700.44,265855
6-Apr-17,705.23,707.16,700.00,702.29,235243
5-Apr-17,699.00,709.46,697.30,703.03,408846
4-Apr-17,700.00,705.66,692.90,696.67,499895
3-Apr-17,720.50,721.46,695.16,700.69,796642
31-Mar-17,718.28,727.00,716.95,723.05,301248
30-Mar-17,722.00,723.17,711.22,719.08,334954
29-Mar-17,717.21,724.00,716.66,722.46,267896
28-Mar-17,712.51,717.02,706.28,716.99,385968
27-Mar-17,716.50,719.14,712.34,714.16,367797
24-Mar-17,725.56,727.33,719.25,721.16,187117
23-Mar-17,724.18,730.29,719.49,725.50,260652
22-Mar-17,729.74,731.89,723.39,725.35,282057
21-Mar-17,731.02,732.43,723.67,725.21,318353
20-Mar-17,730.26,735.00,726.79,729.79,298785
17-Mar-17,723.12,732.09,723.12,730.77,474177
16-Mar-17,713.91,721.96,713.30,721.85,270694
15-Mar-17,729.15,729.35,711.33,716.29,559622
14-Mar-17,728.22,731.50,724.44,728.99,250630
13-Mar-17,716.00,730.53,712.78,728.55,367578
10-Mar-17,717.57,720.93,713.98,717.03,276518
9-Mar-17,718.05,721.32,714.56,715.93,334490
8-Mar-17,711.12,719.82,705.30,717.67,417632
7-Mar-17,721.86,726.30,711.00,712.72,495310
6-Mar-17,728.00,728.00,720.84,723.91,302664
3-Mar-17,731.73,734.03,720.20,725.24,483725
2-Mar-17,739.85,739.85,730.44,733.53,276054
1-Mar-17,740.01,748.91,736.02,738.97,649582
28-Feb-17,732.64,752.99,732.29,736.55,603256
27-Feb-17,733.76,740.85,730.87,740.85,537211
24-Feb-17,727.00,734.71,723.33,732.75,257417
23-Feb-17,734.07,734.96,726.12,727.22,347221
22-Feb-17,743.44,744.91,731.02,735.33,316680
21-Feb-17,745.00,749.99,736.71,740.66,319734
17-Feb-17,737.66,741.78,734.14,741.05,231431
16-Feb-17,743.19,744.88,733.80,737.36,264848
15-Feb-17,735.00,741.36,734.14,739.50,229105
14-Feb-17,735.00,739.38,732.10,735.79,267484
13-Feb-17,741.00,741.00,733.19,736.09,173986
10-Feb-17,751.61,751.61,738.20,740.65,236469
9-Feb-17,743.65,749.01,739.35,745.94,444648
8-Feb-17,720.50,743.14,717.52,741.06,566519
7-Feb-17,721.15,726.48,716.42,721.66,349882
6-Feb-17,723.64,728.98,720.06,720.49,299891
3-Feb-17,724.93,731.59,722.66,724.72,318848
2-Feb-17,714.24,726.38,713.44,725.43,457452
1-Feb-17,728.74,729.56,713.09,714.99,394208
31-Jan-17,725.64,726.55,718.07,724.98,1938773
30-Jan-17,728.45,731.92,723.34,724.41,339936
27-Jan-17,729.55,731.21,723.45,730.00,320772
26-Jan-17,736.17,739.82,729.82,729.89,361619
25-Jan-17,743.43,744.28,734.06,735.00,391111
24-Jan-17,742.14,746.50,735.41,738.43,355222
23-Jan-17,753.60,754.10,730.99,739.35,701214
20-Jan-17,771.20,775.00,764.21,770.02,340404
19-Jan-17,775.07,776.48,767.00,769.90,255533
18-Jan-17,785.54,785.67,772.55,778.30,308007
17-Jan-17,780.26,787.30,780.26,782.29,278706
13-Jan-17,787.67,793.30,779.81,779.81,262110
12-Jan-17,788.35,790.96,781.70,790.27,213659
11-Jan-17,796.16,800.00,787.69,792.00,171024
10-Jan-17,788.72,797.16,788.60,793.68,186478
9-Jan-17,795.73,795.73,788.39,790.34,127125
6-Jan-17,791.00,796.74,788.26,792.91,216484
5-Jan-17,788.72,795.99,785.01,792.00,243301
4-Jan-17,789.94,795.88,786.80,793.04,187533
3-Jan-17,795.58,802.15,784.39,791.46,248931
30-Dec-16,800.35,800.50,787.19,789.79,246397
29-Dec-16,795.63,803.96,795.63,798.49,204928
28-Dec-16,804.22,805.10,794.49,795.89,156632
27-Dec-16,799.02,805.78,798.02,803.57,210258
23-Dec-16,797.05,801.94,792.80,795.82,169729
22-Dec-16,801.40,806.77,790.96,799.61,278043
21-Dec-16,808.51,809.52,802.87,803.62,225735
20-Dec-16,798.81,808.10,798.37,807.32,184288
19-Dec-16,794.02,805.56,794.02,798.69,306301
16-Dec-16,799.88,805.09,789.30,794.72,458723
15-Dec-16,790.54,797.05,786.05,795.57,355464
14-Dec-16,800.00,804.92,787.59,788.96,236524
13-Dec-16,802.90,808.95,802.08,803.00,210078
12-Dec-16,802.47,805.98,796.57,802.37,227940
9-Dec-16,810.81,811.59,799.10,803.10,360422
8-Dec-16,807.52,813.70,802.20,807.71,330124
7-Dec-16,789.94,810.00,784.21,809.87,501864
6-Dec-16,787.00,792.46,778.11,779.81,444813
5-Dec-16,786.14,787.77,772.35,776.42,391743
2-Dec-16,783.26,789.71,781.01,783.74,242616
1-Dec-16,780.61,789.04,778.13,780.76,299155
30-Nov-16,790.66,791.51,779.89,783.18,340537
29-Nov-16,793.90,798.84,789.13,790.24,256535
28-Nov-16,795.00,801.77,790.83,793.90,276359
25-Nov-16,796.15,809.78,795.01,797.96,128614
23-Nov-16,793.92,806.51,792.92,798.05,479134
22-Nov-16,780.03,795.49,777.93,793.79,423957
21-Nov-16,753.84,779.53,752.85,777.90,319020
18-Nov-16,772.19,773.25,752.82,755.24,271150
17-Nov-16,750.11,775.34,750.11,773.12,326342
16-Nov-16,745.81,754.25,741.50,751.95,310606
15-Nov-16,743.00,758.89,739.57,744.80,483499
14-Nov-16,751.00,752.99,727.37,729.36,513945
11-Nov-16,744.49,752.00,742.16,750.35,196394
10-Nov-16,743.00,753.66,740.85,746.28,361246
9-Nov-16,721.41,742.99,720.45,740.85,288177
8-Nov-16,733.15,736.94,729.06,731.88,289710
7-Nov-16,735.81,739.55,730.77,732.87,360138
4-Nov-16,742.30,744.09,729.00,731.65,349752
3-Nov-16,740.62,745.01,737.59,738.87,241467
2-Nov-16,730.43,742.75,730.10,738.03,160321
1-Nov-16,742.61,743.56,731.60,734.45,196816
31-Oct-16,736.86,742.51,732.28,742.16,286058
28-Oct-16,727.26,737.74,725.00,735.37,381219
27-Oct-16,752.20,752.84,725.50,726.37,401669
26-Oct-16,750.25,753.22,747.22,751.56,184383
25-Oct-16,749.26,751.97,745.94,750.39,250222
24-Oct-16,747.84,753.81,747.84,752.94,179467
21-Oct-16,744.73,750.35,742.00,746.98,415267
20-Oct-16,752.65,752.65,744.17,746.27,243314
19-Oct-16,749.00,752.91,734.32,750.44,389818
18-Oct-16,759.00,759.00,753.32,753.80,242648
