Date,Open,High,Low,Close,Volume
28-Apr-17,23.57,23.72,23.32,23.34,69384908
27-Apr-17,23.90,23.92,23.46,23.65,80024211
26-Apr-17,24.00,24.19,23.86,23.89,95172221
25-Apr-17,23.99,24.35,23.91,23.98,131531125
24-Apr-17,23.24,23.85,23.24,23.63,138638933
21-Apr-17,23.03,23.08,22.59,22.71,127235359
20-Apr-17,22.96,23.17,22.82,23.07,103802616
19-Apr-17,22.92,23.15,22.68,22.74,101771793
18-Apr-17,23.11,23.15,22.38,22.71,146488440
17-Apr-17,22.36,22.83,22.26,22.81,85053244
13-Apr-17,22.56,22.96,22.34,22.34,88061760
12-Apr-17,22.88,22.94,22.61,22.65,76556334
11-Apr-17,22.83,22.95,22.58,22.92,94206681
10-Apr-17,23.13,23.28,22.91,23.02,63254657
7-Apr-17,23.03,23.34,22.93,23.16,79519370
6-Apr-17,23.17,23.46,22.96,23.26,82975196
5-Apr-17,23.77,23.88,23.15,23.17,97453336
4-Apr-17,23.20,23.51,23.20,23.44,75244440
3-Apr-17,23.65,23.75,23.08,23.59,88076585
31-Mar-17,23.83,23.97,23.59,23.59,77158276
30-Mar-17,23.38,23.98,23.33,23.87,79189235
29-Mar-17,23.51,23.65,23.31,23.35,67204492
28-Mar-17,23.01,23.67,23.00,23.48,95761732
27-Mar-17,22.28,23.05,22.16,23.03,119513475
24-Mar-17,23.20,23.35,22.76,23.12,113499139
23-Mar-17,23.04,23.49,22.91,23.07,111666799
22-Mar-17,22.65,23.18,22.45,22.94,167984438
21-Mar-17,24.50,24.56,22.95,23.02,259545810
20-Mar-17,24.58,24.76,24.42,24.44,87287477
17-Mar-17,25.22,25.27,24.83,24.86,105222387
16-Mar-17,25.24,25.49,25.19,25.22,70306233
15-Mar-17,25.39,25.55,24.96,25.18,114662671
14-Mar-17,25.19,25.34,25.05,25.32,63182745
13-Mar-17,25.30,25.41,25.13,25.30,56886181
10-Mar-17,25.62,25.62,25.09,25.31,86998808
9-Mar-17,25.35,25.53,25.23,25.35,78984607
8-Mar-17,25.60,25.77,25.22,25.26,105314569
7-Mar-17,25.22,25.36,25.10,25.21,64053694
6-Mar-17,25.33,25.35,25.08,25.25,75660430
3-Mar-17,25.30,25.65,25.30,25.44,92681401
2-Mar-17,25.68,25.80,25.20,25.23,99824552
1-Mar-17,25.37,25.61,25.22,25.50,143947510
28-Feb-17,24.48,24.70,24.42,24.68,90241979
27-Feb-17,24.20,24.66,24.19,24.57,69129148
24-Feb-17,24.12,24.35,24.02,24.23,97074433
23-Feb-17,24.79,24.89,24.51,24.58,85845982
22-Feb-17,24.61,24.95,24.54,24.79,81531895
21-Feb-17,24.59,24.80,24.58,24.78,78571450
17-Feb-17,24.28,24.58,24.20,24.52,85789239
16-Feb-17,24.54,24.62,24.30,24.58,98144469
15-Feb-17,24.34,24.77,24.11,24.58,151233334
14-Feb-17,23.40,24.17,23.33,24.06,139711380
13-Feb-17,23.17,23.54,23.17,23.40,105342461
10-Feb-17,23.19,23.24,22.96,23.08,90548254
9-Feb-17,22.76,23.15,22.64,23.12,102634174
8-Feb-17,22.73,22.73,22.45,22.67,102264514
7-Feb-17,23.28,23.29,22.86,22.90,87982945
6-Feb-17,23.15,23.38,23.07,23.12,92228389
3-Feb-17,23.15,23.35,22.95,23.29,116035108
2-Feb-17,22.74,22.79,22.51,22.72,88679063
1-Feb-17,22.97,23.22,22.82,22.89,103630853
31-Jan-17,22.77,23.02,22.50,22.64,91044261
30-Jan-17,23.20,23.20,22.71,22.95,91561224
27-Jan-17,23.43,23.45,23.28,23.36,54590182
26-Jan-17,23.41,23.55,23.28,23.44,84146352
25-Jan-17,23.32,23.42,23.10,23.37,99753317
24-Jan-17,22.61,23.10,22.48,22.95,98508678
23-Jan-17,22.62,22.76,22.42,22.56,61385646
20-Jan-17,22.66,22.93,22.52,22.64,102564870
19-Jan-17,22.73,22.81,22.41,22.53,75990836
18-Jan-17,22.30,22.65,22.10,22.63,124366028
17-Jan-17,22.68,22.79,22.01,22.05,152495923
