Date,Open,High,Low,Close,Volume
28-Apr-17,39.39,39.39,38.52,38.75,2418710
27-Apr-17,39.35,39.39,38.81,39.18,2141390
26-Apr-17,39.28,39.89,39.28,39.39,2057364
25-Apr-17,39.80,39.97,39.14,39.36,1927371
24-Apr-17,40.22,40.33,39.64,39.69,2632740
21-Apr-17,40.02,40.04,39.66,39.80,1880327
20-Apr-17,39.24,40.24,39.24,39.93,2847726
19-Apr-17,38.55,39.52,38.50,39.11,2234109
18-Apr-17,38.29,38.77,38.11,38.42,1650477
17-Apr-17,38.62,38.73,38.18,38.43,2011481
13-Apr-17,38.34,38.63,38.05,38.39,2190675
12-Apr-17,39.02,39.22,38.40,38.46,2351302
11-Apr-17,39.20,39.30,38.98,39.20,2407434
10-Apr-17,39.60,40.19,39.36,39.38,3400618
7-Apr-17,38.87,39.65,38.85,39.49,3889256
6-Apr-17,39.25,40.76,38.76,39.08,12689493
5-Apr-17,39.13,39.37,37.28,37.80,7517570
4-Apr-17,39.04,39.29,38.72,38.98,3627734
3-Apr-17,39.43,39.73,38.79,39.28,3344784
31-Mar-17,39.87,40.00,39.44,39.46,1969635
30-Mar-17,39.26,39.96,39.23,39.93,1651412
29-Mar-17,39.07,39.61,39.03,39.37,1896185
28-Mar-17,38.41,39.19,38.31,39.10,2188643
27-Mar-17,38.00,38.55,37.78,38.32,1583319
24-Mar-17,38.31,38.46,37.97,38.29,1629172
23-Mar-17,38.10,38.78,37.99,38.39,1699013
22-Mar-17,38.03,38.37,37.79,38.33,1712682
21-Mar-17,39.28,39.41,37.97,38.03,2351178
20-Mar-17,39.75,39.95,39.01,39.15,1385727
17-Mar-17,39.97,39.99,39.41,39.68,3042776
16-Mar-17,39.67,39.84,39.30,39.67,1831056
15-Mar-17,39.44,39.73,39.03,39.55,2167285
14-Mar-17,38.98,39.80,38.98,39.48,1602176
13-Mar-17,39.81,39.97,39.36,39.52,1802898
10-Mar-17,39.59,40.04,39.41,39.77,1232162
9-Mar-17,39.63,39.88,39.35,39.44,1243566
8-Mar-17,39.06,39.78,39.02,39.64,2532946
7-Mar-17,39.46,39.70,38.58,39.01,2906583
6-Mar-17,40.10,40.24,39.48,39.64,1504392
3-Mar-17,40.67,40.97,39.99,40.24,1547503
2-Mar-17,40.73,41.11,40.53,40.61,2255492
1-Mar-17,40.85,41.15,40.30,40.72,1769394
28-Feb-17,41.74,41.74,40.11,40.40,3085212
27-Feb-17,41.21,41.96,41.17,41.90,1793412
24-Feb-17,40.34,41.32,40.20,41.04,2002457
23-Feb-17,41.13,41.34,40.33,40.40,1652445
22-Feb-17,41.57,41.60,40.97,41.14,1270260
21-Feb-17,41.31,41.79,41.20,41.46,1880288
17-Feb-17,40.73,41.18,40.52,41.14,1287886
16-Feb-17,41.24,41.47,40.72,40.88,1792159
15-Feb-17,41.02,41.44,40.91,41.28,1708016
14-Feb-17,40.23,41.25,40.23,41.02,1652413
13-Feb-17,40.50,40.50,39.92,40.16,1649095
10-Feb-17,40.41,40.67,39.76,40.25,1884092
9-Feb-17,39.63,40.83,39.58,40.33,5198631
8-Feb-17,39.25,39.77,39.23,39.53,1890529
7-Feb-17,39.73,39.81,39.09,39.26,1872766
6-Feb-17,40.09,40.53,39.60,39.66,1885840
3-Feb-17,40.19,40.45,39.94,40.07,2129853
2-Feb-17,39.76,40.17,39.46,40.04,1904119
1-Feb-17,40.57,40.57,39.76,39.79,1889846
31-Jan-17,39.78,40.49,39.61,40.35,2187587
30-Jan-17,39.67,40.15,39.40,40.00,1481718
27-Jan-17,40.54,40.68,39.66,39.74,1195203
26-Jan-17,40.56,40.75,40.36,40.40,1259290
25-Jan-17,40.38,40.78,40.32,40.53,2045544
24-Jan-17,40.12,40.56,40.00,40.21,2042074
23-Jan-17,40.57,40.65,39.85,39.97,2767667
20-Jan-17,40.81,41.24,40.53,40.68,1749953
19-Jan-17,40.97,41.09,40.50,40.89,2160146
18-Jan-17,41.22,41.31,40.20,41.09,2192485
17-Jan-17,40.99,41.98,40.95,41.14,1898882
13-Jan-17,40.78,41.21,40.78,40.92,1601190
12-Jan-17,40.57,41.02,40.39,40.89,1444838
11-Jan-17,40.74,40.88,40.33,40.60,1342557
10-Jan-17,40.43,40.95,40.40,40.75,2155028
9-Jan-17,40.80,40.99,40.17,40.44,1505378
6-Jan-17,41.34,41.36,40.58,40.61,1399711
5-Jan-17,41.68,41.75,40.81,41.16,2291538
4-Jan-17,40.98,42.36,40.94,42.14,3459658
3-Jan-17,40.87,41.31,40.51,40.91,2513496
30-Dec-16,40.95,41.42,40.44,40.64,1935138
29-Dec-16,40.58,41.08,40.45,40.87,3302929
28-Dec-16,41.00,41.39,40.32,40.58,2362132
27-Dec-16,40.85,41.78,40.69,40.99,3655602
23-Dec-16,41.30,41.95,40.26,40.77,4313580
22-Dec-16,44.29,44.29,40.90,41.38,13847097
21-Dec-16,46.34,46.77,45.55,45.56,4867643
20-Dec-16,46.00,47.05,45.84,46.20,3401489
19-Dec-16,47.00,47.57,46.92,47.09,2019373
16-Dec-16,47.84,47.94,46.67,47.27,8099564
15-Dec-16,47.27,48.12,46.96,47.70,3120624
14-Dec-16,47.72,47.86,46.76,46.95,2350983
13-Dec-16,47.44,47.94,46.89,47.72,2786283
12-Dec-16,48.44,48.83,47.30,47.50,2964329
9-Dec-16,47.80,48.37,47.44,48.08,2087342
8-Dec-16,47.61,48.18,47.25,48.01,2283410
7-Dec-16,45.90,47.83,45.90,47.68,2572378
6-Dec-16,45.89,46.05,45.35,46.02,2029185
5-Dec-16,44.96,45.94,44.88,45.92,2116938
2-Dec-16,45.34,46.10,44.68,44.77,1740903
1-Dec-16,44.90,45.74,44.65,45.41,2043909
30-Nov-16,45.05,45.49,44.63,44.81,2179142
29-Nov-16,45.27,45.78,44.77,45.06,2090416
28-Nov-16,45.38,45.38,44.37,45.25,2660904
25-Nov-16,45.67,45.93,45.28,45.52,698379
23-Nov-16,45.66,46.08,45.30,45.41,1604882
22-Nov-16,45.13,46.00,44.52,45.73,2026958
21-Nov-16,44.60,44.97,44.29,44.84,1876284
18-Nov-16,44.62,44.86,43.51,44.42,1511076
17-Nov-16,44.82,45.06,44.01,44.92,1705647
16-Nov-16,44.95,45.37,44.41,44.83,1501716
15-Nov-16,45.94,45.94,43.86,45.03,3360786
14-Nov-16,43.96,46.52,43.90,45.84,4280944
11-Nov-16,43.24,44.04,43.10,43.90,2612934
10-Nov-16,41.30,44.59,41.26,43.71,4437360
9-Nov-16,38.86,41.25,38.71,41.16,2092928
8-Nov-16,39.51,40.09,39.03,39.71,1141167
7-Nov-16,39.30,39.74,39.01,39.61,1537616
4-Nov-16,39.14,39.53,38.60,38.67,1873920
3-Nov-16,39.45,39.70,39.14,39.28,1519915
2-Nov-16,39.88,40.27,39.36,39.37,1782664
1-Nov-16,40.58,40.59,39.63,39.98,1333808
31-Oct-16,40.54,40.74,40.22,40.42,1694167
28-Oct-16,40.13,40.67,39.98,40.37,1018567
27-Oct-16,40.60,40.80,39.96,40.13,1420892
26-Oct-16,40.62,41.04,40.48,40.57,1293370
25-Oct-16,40.79,41.10,40.51,40.72,1200382
24-Oct-16,40.68,41.03,40.46,40.98,1759449
21-Oct-16,40.06,40.69,40.02,40.45,1480521
20-Oct-16,40.26,40.40,39.86,40.30,2130943
19-Oct-16,40.27,40.48,40.04,40.29,1725877
18-Oct-16,40.75,40.89,40.14,40.24,1884701
17-Oct-16,41.10,41.18,40.33,40.42,2389626
14-Oct-16,42.03,42.25,41.15,41.19,1890950
13-Oct-16,42.19,42.48,41.56,41.66,1885082
12-Oct-16,42.60,43.06,42.55,42.66,1377549
11-Oct-16,43.96,44.00,42.52,42.53,3209101
10-Oct-16,44.50,44.65,43.93,43.93,1657208
7-Oct-16,45.17,45.33,44.10,44.34,4119203
6-Oct-16,44.74,45.22,44.32,45.06,2898256
5-Oct-16,44.27,45.18,44.10,44.80,2677993
4-Oct-16,43.07,44.36,42.94,44.00,3738728
3-Oct-16,43.07,43.16,42.73,42.99,1699547
30-Sep-16,42.30,43.26,42.29,43.11,2424906
29-Sep-16,42.27,42.74,42.09,42.18,1652795
28-Sep-16,42.16,42.42,41.91,42.29,1866787
27-Sep-16,42.20,42.68,42.06,42.16,2105077
26-Sep-16,43.41,43.42,42.14,42.21,2618170
23-Sep-16,43.46,44.00,43.36,43.50,2791164
22-Sep-16,43.75,44.87,43.18,43.43,4968692
21-Sep-16,42.98,43.34,42.44,43.11,3504367
20-Sep-16,43.34,43.69,42.89,43.05,2198117
19-Sep-16,43.46,43.70,43.02,43.34,2067412
16-Sep-16,42.83,43.29,42.64,43.20,3134615
15-Sep-16,42.68,43.42,42.38,43.10,2145970
14-Sep-16,43.19,43.29,42.37,42.93,2032908
13-Sep-16,43.37,43.70,43.01,43.27,2434006
12-Sep-16,43.35,44.16,42.99,43.85,1779069
9-Sep-16,45.29,45.38,43.48,43.48,3159998
8-Sep-16,46.01,46.16,45.37,45.39,2687016
7-Sep-16,46.07,46.45,45.79,46.35,2092736
6-Sep-16,46.19,46.44,45.87,46.23,2064039
2-Sep-16,46.12,46.46,45.96,46.19,1414585
1-Sep-16,46.41,46.70,45.58,45.89,1774338
31-Aug-16,46.05,46.59,45.89,46.37,2229748
30-Aug-16,45.88,46.39,45.55,45.97,2838840
29-Aug-16,45.60,45.93,45.19,45.67,1696072
26-Aug-16,46.30,46.35,45.03,45.45,2544806
25-Aug-16,45.86,46.56,45.65,46.36,1951931
24-Aug-16,45.89,46.14,45.60,45.86,2044834
23-Aug-16,45.15,45.89,44.88,45.81,1455401
22-Aug-16,45.31,45.49,44.69,44.98,1185651
19-Aug-16,45.45,45.61,44.96,45.49,1239327
18-Aug-16,45.34,45.62,44.80,45.60,1474209
17-Aug-16,45.67,45.67,44.71,45.22,1891038
16-Aug-16,46.13,46.44,45.70,45.85,1998730
15-Aug-16,46.11,46.81,46.04,46.50,2075830
12-Aug-16,45.63,46.54,45.52,46.13,4220336
11-Aug-16,44.45,45.76,44.44,45.73,1771154
10-Aug-16,44.55,45.02,44.04,44.14,1049098
9-Aug-16,44.93,45.08,44.45,44.55,1326340
8-Aug-16,44.97,45.63,44.88,44.96,1196744
5-Aug-16,43.59,44.94,43.52,44.81,1741911
4-Aug-16,43.61,44.06,43.01,43.41,1323126
3-Aug-16,43.33,43.75,41.91,43.71,2201961
2-Aug-16,44.85,45.20,43.57,43.58,2961388
1-Aug-16,44.95,45.58,44.53,45.05,2776578
29-Jul-16,43.97,44.99,43.86,44.95,2474692
28-Jul-16,44.00,44.21,43.45,44.07,1940848
27-Jul-16,44.32,44.58,43.57,43.94,2086858
26-Jul-16,44.17,44.67,43.80,44.46,1724389
25-Jul-16,44.52,44.76,44.16,44.21,1836408
22-Jul-16,44.33,44.58,43.87,44.48,1003558
21-Jul-16,44.50,44.72,44.04,44.12,1178424
20-Jul-16,44.24,44.51,44.15,44.44,1260755
19-Jul-16,44.16,44.46,44.10,44.22,1420424
18-Jul-16,44.49,44.75,44.32,44.34,1936189
15-Jul-16,45.31,45.31,44.36,44.37,2119229
14-Jul-16,45.52,45.55,44.90,44.95,1293486
13-Jul-16,45.81,45.97,44.81,45.04,1880726
12-Jul-16,45.72,46.12,45.32,45.83,2583299
11-Jul-16,44.51,45.38,44.50,45.15,2518100
