Date,Open,High,Low,Close,Volume
28-Apr-17,43.52,43.80,43.14,43.18,3811980
27-Apr-17,43.88,43.90,43.30,43.58,3815556
26-Apr-17,43.61,44.28,43.56,43.83,3958174
25-Apr-17,44.07,44.22,43.65,43.65,3892332
24-Apr-17,44.12,44.13,43.62,43.73,4976777
21-Apr-17,43.46,43.62,42.92,42.93,5561398
20-Apr-17,43.06,43.78,42.73,43.67,5573558
19-Apr-17,42.93,43.17,42.43,42.63,4658990
18-Apr-17,42.77,43.06,42.29,42.57,5436224
17-Apr-17,42.70,43.22,42.51,43.15,4802572
13-Apr-17,42.98,43.41,42.61,42.62,3727466
12-Apr-17,43.39,43.66,43.00,43.23,4253684
11-Apr-17,43.53,43.75,43.18,43.62,5156560
10-Apr-17,44.05,44.32,43.64,43.79,3167654
7-Apr-17,43.91,44.41,43.83,44.07,4154298
6-Apr-17,43.89,44.38,43.62,44.31,4813841
5-Apr-17,45.17,45.17,43.94,43.98,3996250
4-Apr-17,44.43,44.71,44.36,44.54,3295444
3-Apr-17,44.80,44.94,44.10,44.72,4082891
31-Mar-17,45.05,45.18,44.69,44.70,3402069
30-Mar-17,44.42,45.44,44.32,45.23,3074729
29-Mar-17,44.80,44.93,44.32,44.47,3287739
28-Mar-17,44.00,45.16,43.83,44.90,5302071
27-Mar-17,43.26,44.20,42.73,44.17,5833658
24-Mar-17,44.52,44.70,44.01,44.41,5079635
23-Mar-17,44.02,44.72,43.85,44.32,5540137
22-Mar-17,43.77,44.35,43.10,44.09,5919022
21-Mar-17,46.54,46.60,43.87,44.00,8864143
20-Mar-17,46.71,46.78,46.20,46.23,4607178
17-Mar-17,47.36,47.48,46.69,46.83,7872092
16-Mar-17,47.30,47.64,47.15,47.31,5887549
15-Mar-17,47.81,47.97,46.90,47.02,5658555
14-Mar-17,47.36,47.61,47.01,47.53,3294898
13-Mar-17,47.70,47.93,47.57,47.68,3492619
10-Mar-17,48.35,48.43,47.49,47.71,4828304
9-Mar-17,48.15,48.61,47.99,48.08,4119785
8-Mar-17,48.57,48.66,47.94,48.00,4060648
7-Mar-17,48.08,48.36,47.90,47.93,3744848
6-Mar-17,48.22,48.39,47.92,48.23,3688243
3-Mar-17,48.53,48.81,48.48,48.64,4560812
2-Mar-17,49.67,49.70,48.53,48.56,4128707
1-Mar-17,49.15,49.88,49.10,49.70,5426621
28-Feb-17,47.83,48.33,47.82,48.22,4610552
27-Feb-17,48.04,48.37,48.01,48.18,5541307
24-Feb-17,48.11,48.47,47.88,48.11,5928657
23-Feb-17,48.20,48.53,47.73,48.53,4300783
22-Feb-17,47.60,48.42,47.55,48.15,2889400
21-Feb-17,48.14,48.32,47.76,47.99,3044410
17-Feb-17,47.65,47.96,47.41,47.96,2635793
16-Feb-17,48.13,48.25,47.61,48.00,3938762
15-Feb-17,48.01,48.36,47.76,48.26,4298298
14-Feb-17,47.05,47.93,46.92,47.87,4474066
13-Feb-17,46.75,47.43,46.75,46.98,6355150
10-Feb-17,46.65,46.75,46.39,46.63,2814312
9-Feb-17,45.98,46.50,45.75,46.41,3796150
8-Feb-17,45.65,45.89,45.50,45.79,4193481
7-Feb-17,46.64,46.67,46.30,46.39,3458424
6-Feb-17,46.23,46.72,46.14,46.43,3214498
3-Feb-17,46.68,46.84,46.15,46.61,5359811
2-Feb-17,45.61,45.94,45.41,45.81,3461584
1-Feb-17,46.61,46.88,45.85,45.95,5641266
31-Jan-17,46.25,46.62,45.98,46.19,4107424
30-Jan-17,46.56,46.79,45.99,46.48,4738375
27-Jan-17,47.00,47.25,46.85,46.97,3339313
26-Jan-17,47.02,47.34,46.88,47.22,4147799
25-Jan-17,46.57,47.02,46.36,46.98,4992740
