Date,Open,High,Low,Close,Volume
28-Apr-17,52.42,52.45,51.49,51.81,3001441
27-Apr-17,52.25,52.67,52.00,52.35,3208891
26-Apr-17,51.84,52.57,51.82,52.25,2876769
25-Apr-17,52.43,52.61,50.98,51.77,4515791
24-Apr-17,51.00,51.42,50.71,51.15,2688775
21-Apr-17,50.48,50.92,50.06,50.64,3651270
20-Apr-17,49.82,50.87,49.67,50.53,4845061
19-Apr-17,48.69,49.99,48.68,49.38,3860038
18-Apr-17,48.36,49.31,48.16,48.52,2945975
17-Apr-17,48.47,48.50,48.03,48.36,2730250
13-Apr-17,48.33,48.73,48.24,48.27,3168020
12-Apr-17,48.66,48.67,48.29,48.36,2170951
11-Apr-17,48.58,48.78,48.17,48.65,2758530
10-Apr-17,48.46,49.09,48.38,48.55,3581060
7-Apr-17,48.00,48.31,47.68,48.22,4585749
6-Apr-17,48.33,48.83,47.88,47.99,4387514
5-Apr-17,48.80,48.94,47.94,47.97,2949265
4-Apr-17,48.40,48.79,48.16,48.65,5647802
3-Apr-17,48.96,49.24,48.42,48.53,5623845
31-Mar-17,48.40,49.35,48.30,49.15,4129301
30-Mar-17,47.70,48.69,47.63,48.59,3243627
29-Mar-17,47.09,47.98,47.01,47.77,3437600
28-Mar-17,46.24,47.05,46.02,46.97,3253540
27-Mar-17,45.06,46.41,44.82,46.20,4696844
24-Mar-17,44.59,45.10,44.56,44.85,2553581
23-Mar-17,44.92,45.23,44.54,44.62,3307592
22-Mar-17,43.99,45.16,43.72,45.02,4551424
21-Mar-17,45.60,45.65,43.74,44.06,7107573
20-Mar-17,45.42,45.73,45.02,45.55,5877209
17-Mar-17,44.72,45.77,44.61,45.74,6909200
16-Mar-17,44.39,44.84,44.12,44.50,3890403
15-Mar-17,44.04,44.54,43.75,44.41,3412028
14-Mar-17,44.76,44.91,44.00,44.37,3968300
13-Mar-17,44.78,45.13,44.41,44.85,3249984
10-Mar-17,44.92,45.18,44.51,44.80,3833961
9-Mar-17,45.12,45.31,44.70,44.84,2624579
8-Mar-17,44.50,45.45,44.48,45.10,4108249
7-Mar-17,43.80,44.68,43.75,44.55,5272409
6-Mar-17,44.61,44.63,43.87,43.89,5063975
3-Mar-17,44.75,44.90,44.23,44.65,6450007
2-Mar-17,42.22,45.10,42.22,44.85,13471639
1-Mar-17,42.55,42.80,41.67,42.14,16415088
28-Feb-17,45.62,45.62,43.75,44.13,8709358
27-Feb-17,45.66,46.45,45.53,46.15,6698494
24-Feb-17,44.34,45.78,44.16,45.56,6789020
23-Feb-17,45.82,45.94,44.06,44.31,4135263
22-Feb-17,46.08,46.20,45.55,45.72,2300734
21-Feb-17,45.66,46.08,45.39,45.98,3627536
17-Feb-17,45.22,45.53,44.73,45.24,3017379
16-Feb-17,45.87,46.22,45.14,45.37,3203222
15-Feb-17,45.43,46.10,45.26,45.92,4131976
14-Feb-17,44.10,45.45,44.08,45.29,5090185
13-Feb-17,44.92,45.09,43.96,43.97,3790676
10-Feb-17,44.96,45.00,44.30,44.68,2433042
9-Feb-17,44.05,45.12,43.83,44.73,3703842
8-Feb-17,43.69,43.88,43.27,43.87,3888578
7-Feb-17,44.13,44.30,43.45,43.53,3830241
6-Feb-17,44.73,45.17,43.86,43.96,4151342
3-Feb-17,44.48,45.26,44.26,44.73,4530774
2-Feb-17,44.41,44.98,44.23,44.31,3872433
1-Feb-17,44.58,44.73,44.05,44.50,3059346
31-Jan-17,43.78,44.65,43.36,44.52,4565083
30-Jan-17,43.42,44.30,43.29,44.22,3420555
27-Jan-17,45.29,45.36,42.99,43.47,6706356
26-Jan-17,44.75,45.38,44.71,45.23,3611732
25-Jan-17,44.49,44.95,44.45,44.67,3126059
24-Jan-17,43.48,44.31,43.48,44.17,2333415
23-Jan-17,43.24,43.72,42.83,43.54,2517726
20-Jan-17,43.52,43.58,42.50,43.36,6142185
19-Jan-17,44.75,44.82,43.40,43.63,4767794
18-Jan-17,44.22,44.78,43.70,44.77,3905356
17-Jan-17,44.02,45.83,44.02,44.88,5182334
13-Jan-17,44.13,44.37,43.76,43.83,3700317
12-Jan-17,43.78,44.24,43.50,44.23,4094450
11-Jan-17,44.04,44.17,43.00,43.42,2899093
10-Jan-17,43.52,44.29,43.19,43.86,4718406
9-Jan-17,42.91,43.81,42.80,43.34,5400018
6-Jan-17,42.87,43.04,42.40,42.77,3926456
5-Jan-17,42.75,42.81,41.79,42.64,5829093
4-Jan-17,43.34,44.18,43.31,43.77,4745140
3-Jan-17,43.05,43.16,42.23,42.76,5362741
30-Dec-16,43.31,43.65,42.34,42.67,3714345
29-Dec-16,43.67,44.23,42.71,43.07,4837394
28-Dec-16,44.99,45.00,43.12,43.71,4635442
27-Dec-16,44.96,45.38,44.64,44.75,2643668
23-Dec-16,45.02,45.37,44.32,44.77,3817797
22-Dec-16,46.94,47.23,44.74,45.10,6501211
21-Dec-16,46.90,47.48,46.61,46.82,3532564
20-Dec-16,46.64,47.53,46.63,47.26,4261190
19-Dec-16,47.22,47.56,46.39,46.56,5673122
16-Dec-16,48.01,48.11,46.95,47.00,9882699
15-Dec-16,48.30,48.63,48.08,48.16,4700369
14-Dec-16,48.88,49.07,48.18,48.21,4084699
13-Dec-16,48.80,49.01,48.24,48.66,3822116
12-Dec-16,48.91,49.04,48.56,48.77,3125735
9-Dec-16,49.20,49.20,48.62,49.00,4294387
8-Dec-16,48.52,49.40,48.50,49.31,7336691
7-Dec-16,47.36,48.57,47.36,48.52,5970938
6-Dec-16,46.54,47.09,46.54,46.93,5173214
5-Dec-16,46.06,47.71,46.06,46.82,8521338
2-Dec-16,45.71,46.26,45.53,45.67,3815484
1-Dec-16,45.55,46.06,45.30,45.45,5018952
30-Nov-16,45.37,46.02,45.07,45.70,5045033
29-Nov-16,45.52,46.00,45.39,45.62,3412187
28-Nov-16,46.58,46.64,45.28,45.33,7114009
25-Nov-16,47.00,47.17,46.28,46.58,2718618
23-Nov-16,46.55,47.29,46.37,46.96,5307966
22-Nov-16,45.42,46.98,45.32,46.60,6451203
21-Nov-16,45.08,46.14,44.83,45.65,7409528
18-Nov-16,45.68,45.68,44.67,44.79,12764383
17-Nov-16,42.89,46.72,42.55,45.99,25401770
16-Nov-16,39.75,40.60,39.43,40.45,11821341
15-Nov-16,39.55,40.28,39.03,39.88,8847447
14-Nov-16,38.56,40.28,38.56,39.94,9473238
11-Nov-16,38.69,39.07,37.65,38.36,14522791
10-Nov-16,39.16,40.07,39.15,39.98,6318020
9-Nov-16,37.39,38.70,37.10,38.51,6458119
8-Nov-16,37.87,38.44,37.87,37.99,6113637
7-Nov-16,38.71,39.18,38.70,39.07,3406577
4-Nov-16,38.21,38.84,37.84,38.19,2862424
3-Nov-16,38.35,38.75,37.97,38.11,5647503
2-Nov-16,38.34,38.86,38.16,38.39,3406401
1-Nov-16,38.93,39.09,38.36,38.67,2919919
31-Oct-16,38.78,39.21,38.66,38.91,2903371
28-Oct-16,38.44,39.30,38.44,38.78,3985214
27-Oct-16,39.40,39.41,38.36,38.48,3697628
26-Oct-16,39.04,39.50,38.80,39.29,2526305
25-Oct-16,39.34,39.50,38.76,39.26,3581854
24-Oct-16,39.66,39.78,39.20,39.46,2491755
21-Oct-16,39.29,39.63,39.18,39.46,2241877
20-Oct-16,39.46,39.89,39.40,39.48,3167190
19-Oct-16,39.62,39.65,39.00,39.55,3616154
18-Oct-16,39.77,39.94,39.35,39.42,3410427
17-Oct-16,39.16,40.10,38.72,39.47,5257416
14-Oct-16,39.82,40.21,39.29,39.31,4653066
13-Oct-16,39.45,39.98,38.76,39.83,6619945
12-Oct-16,38.84,39.98,38.64,39.77,6872525
11-Oct-16,38.80,39.02,38.30,38.33,3879116
10-Oct-16,39.18,39.59,38.70,38.91,3556304
7-Oct-16,38.43,39.25,38.20,38.90,6886269
6-Oct-16,37.73,38.28,37.62,38.18,3664466
5-Oct-16,38.12,38.38,37.89,37.89,3638038
4-Oct-16,38.18,38.72,37.88,37.98,2855006
3-Oct-16,38.15,38.55,37.87,38.18,3608509
30-Sep-16,37.66,38.44,37.51,38.18,4877888
29-Sep-16,37.72,38.07,37.38,37.41,3202199
28-Sep-16,38.25,38.25,37.45,37.68,4270647
27-Sep-16,37.65,38.32,37.60,38.25,3482944
26-Sep-16,37.84,37.98,37.45,37.51,4475683
23-Sep-16,38.32,38.77,37.88,37.99,3930193
22-Sep-16,38.46,38.87,38.35,38.47,3784495
21-Sep-16,38.09,38.28,37.73,38.27,2954742
20-Sep-16,38.21,38.38,37.77,37.82,3642408
19-Sep-16,38.10,38.45,38.03,38.14,5647395
16-Sep-16,37.66,38.08,37.47,38.00,5390008
15-Sep-16,37.48,37.96,37.22,37.68,4556488
14-Sep-16,37.50,38.04,37.22,37.66,5912879
13-Sep-16,37.20,38.02,37.11,37.47,6179685
12-Sep-16,36.64,37.46,36.51,37.29,5764032
9-Sep-16,37.27,37.73,36.87,36.87,5065852
8-Sep-16,38.44,38.50,37.81,37.92,6200306
7-Sep-16,38.31,38.64,38.17,38.59,5915233
6-Sep-16,38.65,38.81,38.05,38.24,4069587
2-Sep-16,38.54,39.26,38.31,38.75,3599183
1-Sep-16,38.56,38.78,37.97,38.54,5317436
31-Aug-16,38.93,39.06,38.23,38.48,6064186
30-Aug-16,38.97,39.31,38.90,38.90,3772898
29-Aug-16,39.46,39.51,38.87,39.02,5674582
26-Aug-16,39.72,39.78,39.24,39.48,5538967
25-Aug-16,38.99,39.59,38.67,39.51,7799602
24-Aug-16,39.20,40.58,38.97,39.50,20954177
23-Aug-16,38.36,39.36,37.66,39.23,40482333
22-Aug-16,32.63,33.60,32.48,32.80,11426896
19-Aug-16,32.84,32.86,32.20,32.59,7096413
18-Aug-16,33.50,33.59,32.95,33.20,5328607
17-Aug-16,33.47,33.68,32.80,33.30,6475349
16-Aug-16,34.50,34.58,34.26,34.31,2948228
15-Aug-16,34.22,34.97,34.10,34.51,4798155
12-Aug-16,34.47,35.46,34.26,34.87,6463013
11-Aug-16,34.20,34.78,34.09,34.62,4739755
10-Aug-16,33.75,34.04,33.59,33.73,3293861
9-Aug-16,34.12,34.29,33.54,33.56,3996948
8-Aug-16,34.35,34.59,34.11,34.14,3387573
5-Aug-16,33.66,34.26,33.61,34.25,4218293
4-Aug-16,33.40,33.86,33.18,33.45,2722104
3-Aug-16,32.65,33.46,32.02,33.41,4113477
2-Aug-16,33.50,33.50,32.55,32.86,4718835
1-Aug-16,33.41,33.60,33.08,33.47,3653347
29-Jul-16,33.24,33.63,33.03,33.60,3931325
28-Jul-16,33.07,33.40,32.62,33.28,4539682
27-Jul-16,32.84,33.32,32.69,33.14,4918017
26-Jul-16,32.50,33.27,32.50,33.19,4998272
25-Jul-16,32.14,32.51,31.97,32.47,3277448
22-Jul-16,32.15,32.47,31.91,32.14,3515048
21-Jul-16,31.84,32.63,31.71,32.28,4674434
20-Jul-16,31.81,31.97,31.70,31.79,2580529
19-Jul-16,31.96,32.03,31.57,31.69,2901134
18-Jul-16,31.51,32.15,31.49,31.98,3220604
15-Jul-16,31.82,31.82,31.01,31.38,4086203
14-Jul-16,31.67,31.93,31.49,31.76,4721386
13-Jul-16,31.54,31.77,30.94,31.40,5332294
12-Jul-16,31.52,32.00,31.49,31.53,3937233
11-Jul-16,30.97,31.53,30.97,31.25,2787314
8-Jul-16,30.97,31.21,30.70,30.95,3696491
7-Jul-16,30.51,30.79,30.42,30.60,3290265
6-Jul-16,30.14,30.64,29.79,30.63,4961287
5-Jul-16,31.23,31.46,30.15,30.36,4923730
1-Jul-16,30.66,31.64,30.66,31.36,4114855
30-Jun-16,30.49,30.81,30.17,30.60,3588655
29-Jun-16,30.51,30.74,30.20,30.50,4960928
28-Jun-16,29.63,30.27,29.51,30.02,3910322
27-Jun-16,29.96,30.10,29.05,29.37,3964196
24-Jun-16,29.65,30.34,29.50,30.15,4192786
23-Jun-16,30.36,30.88,30.26,30.43,3339479
22-Jun-16,30.07,30.23,29.91,30.05,3587995
21-Jun-16,30.46,30.59,30.01,30.06,4067183
20-Jun-16,30.64,30.95,30.34,30.38,4227085
17-Jun-16,29.67,30.95,29.54,30.30,7643088
16-Jun-16,29.18,29.84,28.94,29.67,6010447
15-Jun-16,28.80,29.85,28.76,29.34,7017761
14-Jun-16,29.29,29.64,28.80,29.17,6143217
13-Jun-16,29.40,29.74,29.24,29.34,5925733
10-Jun-16,29.62,29.66,28.88,29.44,6608239
9-Jun-16,31.33,31.34,30.04,30.10,6128668
8-Jun-16,31.78,31.80,31.36,31.42,3348974
7-Jun-16,31.45,31.79,31.20,31.59,4843064
6-Jun-16,32.00,32.05,30.76,31.33,8113070
3-Jun-16,32.36,32.48,31.79,32.35,2886747
2-Jun-16,32.15,32.68,32.05,32.46,3802140
1-Jun-16,32.17,32.50,32.02,32.22,3721927
31-May-16,32.23,32.36,31.97,32.17,5005023
27-May-16,31.93,32.31,31.88,32.03,4520454
26-May-16,32.35,32.60,31.79,31.95,6112724
25-May-16,30.30,32.25,30.26,32.07,13456143
24-May-16,31.27,31.74,30.05,30.55,30020463
23-May-16,32.56,33.22,32.36,33.00,9750540
20-May-16,31.50,32.41,31.50,32.34,4734059
19-May-16,30.80,31.56,30.77,31.53,4936849
18-May-16,30.89,31.25,30.35,30.75,7425547
17-May-16,31.74,32.66,31.61,31.89,4496461
16-May-16,30.93,31.99,30.92,31.72,3891799
13-May-16,30.84,31.73,30.74,30.95,4514037
12-May-16,31.68,31.72,30.85,31.25,4019708
11-May-16,32.69,32.69,31.45,31.53,4005085
10-May-16,32.71,33.06,32.24,32.97,3571068
9-May-16,32.02,32.74,31.92,32.66,3305854
6-May-16,31.83,32.25,31.46,31.98,2720446
5-May-16,31.34,31.70,30.97,31.61,3478910
4-May-16,31.59,31.80,31.19,31.50,2980443
3-May-16,32.07,32.07,31.30,31.74,3450987
2-May-16,32.29,32.49,31.60,32.27,3118136
29-Apr-16,32.59,32.71,31.87,32.08,2898273
28-Apr-16,33.19,33.43,32.57,32.65,2501757
