Date,Open,High,Low,Close,Volume
28-Apr-17,305.00,307.88,305.00,307.48,1885011
27-Apr-17,303.91,306.06,303.22,305.58,1414761
26-Apr-17,303.49,304.49,303.49,303.71,3454963
25-Apr-17,302.82,305.09,302.45,303.51,4412461
24-Apr-17,303.75,305.66,301.60,302.41,11540732
21-Apr-17,254.47,255.47,252.58,253.07,413824
20-Apr-17,253.95,255.38,252.32,254.77,452343
19-Apr-17,250.70,254.98,249.75,254.08,653276
18-Apr-17,250.35,251.15,248.79,249.57,355407
17-Apr-17,248.96,251.62,248.42,251.28,304237
13-Apr-17,249.06,249.75,248.08,248.81,286548
12-Apr-17,248.99,250.11,248.43,249.10,279170
11-Apr-17,249.48,250.40,248.22,249.99,250174
10-Apr-17,249.33,250.46,248.30,249.86,351260
7-Apr-17,248.89,250.44,248.81,249.39,333927
6-Apr-17,248.54,249.92,247.51,249.03,408844
5-Apr-17,248.35,250.10,247.82,248.89,587268
4-Apr-17,250.89,250.95,247.41,248.40,481534
3-Apr-17,249.00,251.18,247.51,250.57,421305
31-Mar-17,248.05,249.31,246.48,248.54,412951
30-Mar-17,249.32,250.50,247.81,248.54,326439
29-Mar-17,249.74,250.27,247.96,249.68,359420
28-Mar-17,250.40,250.95,248.80,250.48,687729
27-Mar-17,248.94,251.50,248.06,250.78,442197
24-Mar-17,249.14,250.65,248.96,249.91,435866
23-Mar-17,248.89,250.35,247.86,248.73,461212
22-Mar-17,249.86,251.33,248.17,249.57,628452
21-Mar-17,251.25,252.25,248.21,249.54,409540
20-Mar-17,250.92,251.51,249.64,250.68,317929
17-Mar-17,249.56,252.09,249.03,250.85,664787
16-Mar-17,249.86,251.44,247.40,249.56,397161
15-Mar-17,250.41,251.66,249.22,250.72,377349
14-Mar-17,250.64,250.64,248.35,249.20,354005
13-Mar-17,249.58,250.93,247.94,250.63,311425
10-Mar-17,249.00,250.24,247.34,249.77,394910
9-Mar-17,247.30,248.58,246.02,248.23,386861
8-Mar-17,246.12,247.20,245.31,246.63,243036
7-Mar-17,246.36,247.82,245.49,245.69,463338
6-Mar-17,244.62,247.65,244.54,247.08,798473
3-Mar-17,245.39,246.82,245.14,245.79,340408
2-Mar-17,246.84,247.39,245.19,246.42,363304
1-Mar-17,246.00,248.19,244.69,247.49,413598
28-Feb-17,244.66,245.88,243.90,245.24,444410
27-Feb-17,245.39,245.82,243.83,244.24,309773
24-Feb-17,244.24,245.43,243.72,245.18,289000
23-Feb-17,243.64,244.09,241.76,243.74,614106
22-Feb-17,242.56,245.11,241.91,243.38,409023
21-Feb-17,241.99,245.42,241.92,243.24,562231
17-Feb-17,241.66,242.68,240.15,242.41,782477
16-Feb-17,241.82,242.50,240.81,241.79,477409
15-Feb-17,239.77,242.40,239.59,242.25,419549
14-Feb-17,239.55,241.46,239.55,240.66,408060
13-Feb-17,241.19,241.19,239.75,240.59,302345
10-Feb-17,239.55,241.50,238.35,240.29,885238
9-Feb-17,237.98,240.00,237.55,239.85,742911
8-Feb-17,236.78,238.08,235.28,237.63,596809
7-Feb-17,237.71,238.00,235.23,236.65,469188
6-Feb-17,237.81,237.86,235.61,236.95,472848
3-Feb-17,238.00,239.00,236.30,237.86,420177
2-Feb-17,236.42,237.93,234.61,237.61,721446
1-Feb-17,238.17,238.64,232.11,236.30,1062350
31-Jan-17,236.82,237.70,234.83,237.33,641953
30-Jan-17,237.00,238.49,235.18,236.82,806309
27-Jan-17,233.90,240.59,228.54,238.44,1788310
26-Jan-17,230.50,230.84,226.08,226.56,1276892
25-Jan-17,231.79,232.27,229.65,230.52,1029595
24-Jan-17,231.19,231.73,229.28,231.11,499989
23-Jan-17,231.74,232.47,230.65,231.29,491108
20-Jan-17,232.27,234.43,230.57,231.46,810668
19-Jan-17,233.95,234.98,231.66,231.88,799523
18-Jan-17,236.02,237.11,233.20,234.79,498316
17-Jan-17,232.75,236.38,230.84,235.31,537711
13-Jan-17,236.34,237.71,233.78,234.17,675639
12-Jan-17,232.94,235.82,231.66,235.27,466529
11-Jan-17,232.34,236.04,229.90,234.58,750041
10-Jan-17,229.77,234.69,229.77,232.66,664593
9-Jan-17,229.88,232.00,229.20,230.15,829251
6-Jan-17,228.85,230.34,228.52,229.66,506195
5-Jan-17,229.08,231.45,228.08,229.14,615654
4-Jan-17,228.31,228.94,226.86,227.38,549491
3-Jan-17,227.71,229.00,224.31,227.47,723758
30-Dec-16,224.21,226.27,223.02,224.66,481678
29-Dec-16,222.42,224.87,222.42,224.13,369427
28-Dec-16,223.69,224.60,221.75,222.45,394265
27-Dec-16,222.84,224.80,221.97,223.52,297102
23-Dec-16,220.84,224.06,220.84,223.10,318807
22-Dec-16,218.77,221.67,218.72,220.68,431219
21-Dec-16,221.01,221.59,219.51,219.66,483317
20-Dec-16,219.45,220.81,219.18,220.47,377138
19-Dec-16,220.45,222.17,219.55,220.33,414937
16-Dec-16,221.46,222.74,220.08,221.03,757023
15-Dec-16,217.42,221.07,216.54,220.71,472232
14-Dec-16,221.26,221.94,217.17,217.92,563028
13-Dec-16,219.20,222.36,218.86,220.36,661014
12-Dec-16,216.60,220.87,216.60,219.85,574319
9-Dec-16,213.00,217.17,212.83,216.64,394186
8-Dec-16,210.70,215.10,207.37,213.61,406190
7-Dec-16,208.24,211.75,206.71,211.18,471974
6-Dec-16,211.28,211.59,207.73,208.74,368241
5-Dec-16,210.39,211.15,209.11,210.21,376023
2-Dec-16,207.94,212.43,207.37,209.96,543429
1-Dec-16,209.59,211.76,206.26,206.86,541495
30-Nov-16,215.17,215.40,210.46,210.55,605954
29-Nov-16,212.05,215.95,211.44,215.88,640119
28-Nov-16,211.42,213.28,210.52,210.96,503138
25-Nov-16,210.13,213.57,209.63,212.61,272706
23-Nov-16,208.13,210.92,208.13,210.00,713618
22-Nov-16,213.96,214.88,207.26,208.80,899199
21-Nov-16,215.96,216.35,214.38,215.20,396044
18-Nov-16,215.76,216.44,214.82,215.73,346269
17-Nov-16,213.25,216.40,212.16,216.02,371427
16-Nov-16,212.16,213.04,210.55,212.99,403930
15-Nov-16,204.52,212.70,203.77,212.20,679526
14-Nov-16,213.56,213.56,203.63,203.77,858728
11-Nov-16,220.35,220.86,212.56,213.24,648571
10-Nov-16,222.17,222.27,217.97,220.34,550645
9-Nov-16,224.92,224.92,215.63,218.95,675192
8-Nov-16,220.46,224.65,218.84,224.15,439384
7-Nov-16,220.11,221.62,218.81,220.62,314981
4-Nov-16,217.98,219.90,217.06,217.69,405060
3-Nov-16,216.23,219.53,214.40,217.13,480214
2-Nov-16,215.10,216.99,214.48,215.38,652282
1-Nov-16,216.81,217.23,213.74,214.74,434774
31-Oct-16,214.95,216.99,213.00,216.68,519982
28-Oct-16,210.26,217.44,209.46,214.71,658507
27-Oct-16,215.25,216.06,210.01,210.26,729691
26-Oct-16,219.07,220.31,213.88,214.95,772425
25-Oct-16,219.38,220.06,214.89,214.94,572198
24-Oct-16,220.38,221.10,218.50,218.92,404430
21-Oct-16,218.65,219.59,216.60,219.38,371173
20-Oct-16,220.39,221.59,219.67,220.19,252335
19-Oct-16,223.34,223.54,219.60,220.47,392412
18-Oct-16,220.53,224.90,220.53,223.42,368975
17-Oct-16,219.92,219.92,218.55,219.04,324226
14-Oct-16,219.41,220.91,219.00,219.80,451340
13-Oct-16,217.09,219.73,215.88,218.66,580877
12-Oct-16,218.00,219.31,217.28,217.82,536144
11-Oct-16,227.40,227.40,217.38,217.76,847035
10-Oct-16,223.63,227.97,223.00,227.45,515311
7-Oct-16,222.87,223.25,221.12,222.97,534503
6-Oct-16,221.09,222.63,219.58,222.25,390118
5-Oct-16,221.75,222.15,220.54,221.36,461558
4-Oct-16,223.43,224.32,220.01,221.58,460550
3-Oct-16,222.80,224.02,221.95,223.77,368993
30-Sep-16,224.59,225.04,221.95,224.28,610488
29-Sep-16,226.69,227.26,222.87,223.74,682766
28-Sep-16,228.56,228.86,226.32,227.30,459703
27-Sep-16,228.67,229.00,227.22,228.59,368420
26-Sep-16,228.78,228.78,227.01,227.89,463951
23-Sep-16,230.24,230.99,228.82,229.91,504149
22-Sep-16,228.73,232.00,227.90,231.35,435705
21-Sep-16,227.81,228.81,225.36,228.51,452687
20-Sep-16,228.13,229.86,227.80,227.96,525603
19-Sep-16,225.77,227.52,225.00,226.75,424858
16-Sep-16,226.04,227.76,225.09,226.25,749665
15-Sep-16,221.02,225.67,217.10,223.63,810271
14-Sep-16,213.34,217.36,213.34,216.91,651788
13-Sep-16,214.87,215.78,212.29,213.02,614102
12-Sep-16,212.33,215.59,212.33,215.33,373251
9-Sep-16,217.56,218.16,213.51,213.55,449356
8-Sep-16,218.90,219.39,218.41,218.78,260575
7-Sep-16,221.39,221.60,219.37,219.73,351041
6-Sep-16,221.77,222.15,220.30,222.04,271167
2-Sep-16,221.98,222.63,220.37,221.21,228413
1-Sep-16,220.91,221.72,218.22,221.50,345697
31-Aug-16,221.58,222.24,220.11,220.84,451084
30-Aug-16,220.86,221.29,220.18,221.11,350810
29-Aug-16,217.06,221.08,217.06,220.37,463879
26-Aug-16,215.48,217.40,215.38,217.07,351311
25-Aug-16,215.01,216.98,214.16,215.32,295883
24-Aug-16,217.93,218.13,214.74,215.00,383547
23-Aug-16,218.00,220.29,217.43,217.68,428632
22-Aug-16,218.00,219.10,217.35,217.97,327191
19-Aug-16,217.89,219.22,216.91,219.08,545611
18-Aug-16,217.59,219.16,217.59,218.11,327101
17-Aug-16,219.28,219.28,216.98,218.18,456554
16-Aug-16,221.33,221.56,218.76,218.78,493643
15-Aug-16,222.66,224.21,222.24,222.24,281881
12-Aug-16,222.24,223.36,220.86,222.50,308653
11-Aug-16,222.91,223.49,222.04,223.11,427085
10-Aug-16,222.44,222.90,220.76,222.61,385391
9-Aug-16,221.27,223.53,220.01,222.56,475540
8-Aug-16,222.19,222.77,220.61,221.46,328066
5-Aug-16,223.02,223.05,221.77,222.52,443827
4-Aug-16,220.22,221.73,218.95,221.42,397077
3-Aug-16,222.63,222.63,218.95,219.83,633730
2-Aug-16,224.14,225.09,220.45,222.63,502438
1-Aug-16,224.20,226.54,224.19,225.15,413685
29-Jul-16,223.86,225.00,223.07,223.73,557852
28-Jul-16,223.94,226.00,223.30,224.25,715830
27-Jul-16,229.92,229.92,221.01,223.65,1023421
26-Jul-16,229.02,231.63,228.97,231.47,490814
25-Jul-16,230.00,230.00,228.34,228.96,519027
22-Jul-16,230.75,231.18,228.34,230.00,524766
21-Jul-16,231.87,233.30,230.26,231.45,264818
20-Jul-16,233.36,234.55,232.32,232.45,361678
19-Jul-16,231.60,233.07,231.47,232.81,298477
18-Jul-16,232.78,233.70,231.06,231.89,239254
15-Jul-16,235.79,236.05,231.83,232.23,492030
14-Jul-16,235.53,236.17,234.26,234.90,411206
13-Jul-16,236.40,236.40,233.50,234.78,561908
12-Jul-16,237.63,237.87,235.31,235.57,562890
11-Jul-16,238.46,239.43,236.98,237.17,498310
8-Jul-16,237.88,239.34,236.43,239.00,505828
7-Jul-16,236.67,239.03,236.67,237.80,437440
6-Jul-16,235.82,238.45,235.63,236.84,659260
5-Jul-16,235.05,238.23,235.00,236.95,460419
1-Jul-16,235.16,236.80,234.18,234.75,545057
30-Jun-16,232.53,235.16,232.17,235.16,539211
29-Jun-16,228.78,232.77,228.78,232.35,378201
28-Jun-16,225.59,227.74,225.03,227.62,424407
27-Jun-16,223.91,227.68,223.02,225.03,568862
24-Jun-16,225.08,228.64,224.96,226.16,396954
23-Jun-16,229.48,230.76,228.88,230.69,289985
22-Jun-16,228.87,229.48,227.61,228.48,295880
21-Jun-16,228.64,229.61,226.76,228.22,323861
20-Jun-16,225.72,228.69,225.72,227.78,587301
17-Jun-16,225.30,225.44,222.66,225.04,478207
16-Jun-16,224.00,225.30,222.85,225.06,289631
15-Jun-16,227.47,227.98,223.84,224.56,358463
14-Jun-16,224.45,227.47,223.63,227.19,389993
13-Jun-16,225.64,226.77,225.07,225.34,361896
10-Jun-16,225.62,226.46,224.22,225.37,483126
9-Jun-16,225.34,228.31,222.16,226.52,473328
8-Jun-16,222.43,225.19,220.27,225.01,384617
7-Jun-16,221.91,223.02,221.27,222.65,524731
