Date,Open,High,Low,Close,Volume
28-Apr-17,42.35,43.35,42.27,43.11,4427683
27-Apr-17,42.63,42.69,41.75,42.28,2051014
26-Apr-17,41.89,42.80,41.88,42.47,2761462
25-Apr-17,42.20,42.24,41.92,42.04,1813009
24-Apr-17,41.91,42.13,41.65,41.91,2438543
21-Apr-17,41.59,41.68,40.90,41.01,2227527
20-Apr-17,41.55,41.72,41.22,41.62,2065748
19-Apr-17,41.83,42.04,41.16,41.21,2922931
18-Apr-17,41.13,41.83,41.06,41.64,2355991
17-Apr-17,40.85,41.41,40.72,41.37,2056181
13-Apr-17,40.61,41.20,40.48,40.59,2282581
12-Apr-17,41.00,41.36,40.54,40.81,3281959
11-Apr-17,41.70,41.83,40.53,41.01,4020951
10-Apr-17,41.76,42.23,41.70,42.04,1755247
7-Apr-17,41.75,42.20,41.72,41.78,2518587
6-Apr-17,41.45,42.05,41.10,41.96,1697030
5-Apr-17,42.00,42.52,41.33,41.40,1594880
4-Apr-17,41.49,41.87,41.40,41.57,1564461
3-Apr-17,42.24,42.44,41.22,41.75,2106234
31-Mar-17,41.95,42.44,41.85,42.14,1618601
30-Mar-17,41.36,42.36,41.28,42.22,1508267
29-Mar-17,41.60,41.68,41.21,41.41,1158241
28-Mar-17,41.02,42.10,40.99,41.92,2371623
27-Mar-17,40.52,41.18,40.38,41.09,2461504
24-Mar-17,41.60,41.95,41.04,41.26,1993996
23-Mar-17,41.24,41.91,41.20,41.46,1747839
22-Mar-17,40.98,41.54,40.60,41.37,2302075
21-Mar-17,42.34,42.41,40.96,41.35,3414685
20-Mar-17,42.08,42.18,41.74,42.04,1735398
17-Mar-17,43.41,43.51,42.06,42.22,5530281
16-Mar-17,43.58,44.35,43.58,43.91,3164585
15-Mar-17,42.78,43.07,42.74,42.99,1741929
14-Mar-17,42.31,42.48,42.03,42.43,1693688
13-Mar-17,42.68,42.83,42.46,42.57,1381735
10-Mar-17,42.81,42.81,42.35,42.58,1287963
9-Mar-17,42.74,42.94,42.31,42.42,1605409
8-Mar-17,42.78,43.03,42.45,42.56,2384308
7-Mar-17,42.41,42.58,42.12,42.38,1634083
6-Mar-17,42.56,42.77,42.31,42.38,1728496
3-Mar-17,43.01,43.08,42.41,42.68,2712504
2-Mar-17,43.39,43.43,42.88,42.89,1834973
1-Mar-17,43.91,44.10,43.24,43.44,2735463
28-Feb-17,43.07,43.36,42.78,43.04,3171105
27-Feb-17,42.79,43.40,42.75,43.37,1760435
24-Feb-17,42.69,43.01,42.57,42.74,2864247
23-Feb-17,42.90,42.98,42.52,42.94,1324183
22-Feb-17,42.75,43.07,42.66,42.77,1842623
21-Feb-17,42.71,43.25,42.71,43.03,2395880
17-Feb-17,42.10,42.54,41.97,42.53,2365868
16-Feb-17,42.70,42.80,42.10,42.29,1941789
15-Feb-17,42.28,42.82,42.06,42.72,2365138
14-Feb-17,41.16,42.13,41.16,42.10,3669772
13-Feb-17,41.12,41.65,40.98,41.51,1680831
10-Feb-17,40.69,40.93,40.62,40.88,2771754
9-Feb-17,39.94,40.56,39.90,40.48,4341937
8-Feb-17,39.75,39.83,39.52,39.74,1757825
7-Feb-17,40.19,40.27,39.79,40.01,1734669
6-Feb-17,40.07,40.37,39.95,39.99,2065890
3-Feb-17,40.42,40.45,40.08,40.31,3479031
2-Feb-17,39.61,40.14,39.38,39.90,1665821
1-Feb-17,40.09,40.61,39.70,39.99,2550015
31-Jan-17,39.95,40.10,39.56,39.74,3950759
30-Jan-17,40.25,40.25,39.46,40.17,2488215
27-Jan-17,41.11,41.70,39.75,40.32,3586132
26-Jan-17,41.72,41.88,40.57,40.77,3754960
25-Jan-17,41.58,41.92,41.09,41.86,2622678
24-Jan-17,40.66,41.34,40.46,41.16,1752333
23-Jan-17,40.42,40.62,40.15,40.40,1732211
20-Jan-17,40.06,40.62,39.99,40.61,2209551
19-Jan-17,39.94,40.36,39.52,39.86,2215259
18-Jan-17,39.91,40.04,39.51,40.01,1966540
17-Jan-17,40.41,40.56,39.84,39.94,3346856
13-Jan-17,40.62,40.92,40.36,40.50,1669999
12-Jan-17,40.30,40.56,39.65,40.48,2583990
11-Jan-17,40.20,40.77,40.05,40.75,1768294
10-Jan-17,40.35,40.73,40.08,40.40,1619334
9-Jan-17,40.70,40.70,40.14,40.31,2254114
6-Jan-17,40.76,40.88,40.28,40.75,1614513
5-Jan-17,41.00,41.31,40.22,40.73,1838395
4-Jan-17,40.68,41.50,40.65,41.35,2880039
3-Jan-17,40.24,40.76,39.91,40.44,2402110
30-Dec-16,39.66,40.37,39.32,39.58,1634869
29-Dec-16,39.46,39.77,39.23,39.41,1243351
28-Dec-16,40.22,40.36,39.46,39.47,1506571
27-Dec-16,40.65,40.74,40.11,40.31,1069848
23-Dec-16,40.32,40.57,40.04,40.48,1362053
22-Dec-16,40.34,40.34,40.04,40.28,1831722
21-Dec-16,40.34,40.49,39.90,40.41,2235841
20-Dec-16,40.04,40.40,39.92,40.40,2845200
19-Dec-16,39.55,39.80,38.93,39.77,4729965
16-Dec-16,39.60,39.93,39.20,39.28,4152778
15-Dec-16,39.47,40.05,39.11,39.46,1977019
14-Dec-16,39.80,40.24,39.18,39.31,3158276
13-Dec-16,40.29,40.57,39.58,39.99,3134751
12-Dec-16,40.86,41.04,39.98,39.99,3229849
9-Dec-16,41.78,41.99,40.96,41.01,3141693
8-Dec-16,40.64,42.18,40.64,42.02,3916284
7-Dec-16,39.87,40.66,39.78,40.62,2095030
6-Dec-16,39.89,39.98,39.30,39.89,1917175
5-Dec-16,39.53,39.96,39.36,39.76,3223288
2-Dec-16,39.49,39.69,39.10,39.21,1586795
1-Dec-16,39.48,39.86,39.22,39.56,2066976
30-Nov-16,39.21,39.50,38.92,39.26,2512890
29-Nov-16,38.77,39.06,38.54,38.70,1476207
28-Nov-16,39.01,39.28,38.56,38.65,2452876
25-Nov-16,39.33,39.43,39.13,39.32,758626
23-Nov-16,38.98,39.40,38.67,39.27,2703094
22-Nov-16,39.49,39.50,38.83,39.16,2040353
21-Nov-16,39.22,39.40,38.92,39.31,1553038
18-Nov-16,38.97,39.17,38.70,38.89,1756757
17-Nov-16,38.50,39.11,38.17,38.84,3431959
16-Nov-16,38.50,38.96,38.43,38.50,2691084
15-Nov-16,38.50,38.98,38.18,38.91,4749247
14-Nov-16,37.47,38.96,37.44,38.72,6056381
11-Nov-16,37.45,37.85,36.88,37.22,6812249
10-Nov-16,38.67,40.69,37.43,37.85,10882198
9-Nov-16,34.75,39.19,34.75,38.49,14048195
8-Nov-16,34.29,34.40,33.87,34.25,3210452
7-Nov-16,34.34,34.62,34.09,34.43,3819796
4-Nov-16,33.39,34.48,33.34,33.80,3155305
3-Nov-16,33.24,33.58,33.22,33.45,2467737
2-Nov-16,33.53,33.66,33.02,33.18,2815963
1-Nov-16,33.89,34.15,33.15,33.70,3158371
31-Oct-16,34.32,34.36,33.63,33.66,4064427
28-Oct-16,34.54,34.80,33.87,34.19,3469439
27-Oct-16,35.22,35.22,34.28,34.43,4041227
26-Oct-16,34.69,35.50,33.79,35.10,6173221
25-Oct-16,34.81,35.10,34.49,34.82,4253812
24-Oct-16,34.78,34.94,34.55,34.73,1986244
21-Oct-16,34.24,34.62,34.15,34.48,2186774
20-Oct-16,34.69,34.98,34.44,34.58,2377525
19-Oct-16,34.42,34.96,34.35,34.84,2632755
