Date,Open,High,Low,Close,Volume
28-Apr-17,46.74,47.39,46.63,47.32,899322
27-Apr-17,47.03,47.10,46.69,46.78,573840
26-Apr-17,47.40,47.48,46.70,46.76,817082
25-Apr-17,46.80,47.42,46.80,47.32,800162
24-Apr-17,46.69,46.99,46.56,46.94,717448
21-Apr-17,45.97,46.30,45.92,46.26,531573
20-Apr-17,46.29,46.32,46.02,46.12,652765
19-Apr-17,46.21,46.59,46.16,46.23,631188
18-Apr-17,45.92,46.50,45.92,46.28,676957
17-Apr-17,45.64,45.94,45.53,45.93,479946
13-Apr-17,45.87,45.87,45.47,45.47,527053
12-Apr-17,45.87,46.24,45.82,45.95,413942
11-Apr-17,45.77,46.06,45.70,45.95,669860
10-Apr-17,45.81,46.10,45.60,45.98,710110
7-Apr-17,45.51,45.85,45.42,45.67,790330
6-Apr-17,45.67,45.98,45.58,45.66,716382
5-Apr-17,45.91,46.12,45.59,45.70,855016
4-Apr-17,45.92,45.97,45.61,45.82,742239
3-Apr-17,46.23,46.56,45.78,45.88,1133101
31-Mar-17,46.42,46.56,46.16,46.18,1019858
30-Mar-17,46.65,46.84,46.29,46.36,557577
29-Mar-17,46.65,46.80,46.56,46.73,625840
28-Mar-17,46.67,46.92,46.53,46.82,661106
27-Mar-17,46.97,47.17,46.61,46.87,799750
24-Mar-17,47.30,47.56,47.01,47.09,718974
23-Mar-17,47.63,47.86,47.27,47.37,626429
22-Mar-17,47.49,47.75,47.28,47.52,680964
21-Mar-17,47.03,47.57,47.03,47.28,852048
20-Mar-17,46.88,46.97,46.65,46.81,853190
17-Mar-17,46.85,47.38,46.69,46.79,2297779
16-Mar-17,46.87,47.01,46.58,46.68,895983
15-Mar-17,46.34,46.89,46.34,46.81,1195250
14-Mar-17,46.24,46.46,46.12,46.34,886268
13-Mar-17,46.50,46.50,46.14,46.23,962288
10-Mar-17,46.30,46.60,46.08,46.40,890330
9-Mar-17,46.38,46.50,46.12,46.21,1273071
8-Mar-17,47.00,47.22,46.32,46.36,1415150
7-Mar-17,48.25,48.25,46.79,46.96,2343083
6-Mar-17,48.86,48.99,48.33,48.48,1259874
3-Mar-17,48.60,49.04,48.45,48.95,825387
2-Mar-17,48.70,48.93,48.47,48.70,1007349
1-Mar-17,48.86,49.00,48.60,48.80,1544302
28-Feb-17,48.86,48.91,48.59,48.76,1138780
27-Feb-17,48.80,48.99,48.50,48.80,596342
24-Feb-17,49.00,49.10,48.65,48.88,772017
23-Feb-17,48.68,49.29,48.66,48.92,733120
22-Feb-17,48.49,48.83,48.27,48.77,638994
21-Feb-17,48.07,48.43,47.75,48.39,688633
17-Feb-17,47.88,48.49,47.86,48.20,940584
16-Feb-17,47.44,47.89,47.19,47.82,667447
15-Feb-17,47.00,47.61,46.88,47.50,618773
14-Feb-17,46.70,47.30,46.46,47.13,694336
13-Feb-17,47.20,47.20,46.67,46.87,778411
10-Feb-17,46.51,47.14,46.45,46.96,739036
9-Feb-17,46.09,46.70,46.05,46.66,549195
8-Feb-17,45.64,46.28,45.63,46.19,645320
7-Feb-17,45.44,45.83,45.44,45.78,829373
6-Feb-17,45.60,45.83,45.12,45.45,545924
3-Feb-17,45.23,46.00,45.23,45.70,946059
2-Feb-17,45.19,45.39,45.03,45.14,692210
1-Feb-17,45.36,45.57,44.74,45.01,757435
31-Jan-17,45.66,45.84,45.37,45.60,1075147
30-Jan-17,45.71,45.71,45.10,45.48,599135
27-Jan-17,45.84,45.85,45.11,45.59,629767
26-Jan-17,45.79,46.10,45.37,45.69,1066432
25-Jan-17,45.89,46.34,45.77,46.04,795272
24-Jan-17,45.42,45.89,45.42,45.86,760399
23-Jan-17,45.11,45.54,45.08,45.45,787493
20-Jan-17,44.71,45.03,44.61,45.02,919508
19-Jan-17,44.69,44.90,44.43,44.61,628657
18-Jan-17,44.48,44.81,44.43,44.77,750963
17-Jan-17,44.00,44.86,43.96,44.46,834549
13-Jan-17,44.16,44.18,43.72,43.96,766280
12-Jan-17,44.30,44.57,43.78,44.17,1013249
11-Jan-17,44.45,44.81,44.25,44.35,716891
10-Jan-17,44.63,44.76,44.29,44.57,706902
9-Jan-17,44.90,45.04,44.74,44.75,628028
6-Jan-17,45.02,45.22,44.90,45.06,806235
5-Jan-17,45.28,45.63,44.85,45.28,802323
4-Jan-17,45.44,45.86,45.21,45.58,911129
3-Jan-17,45.16,45.31,44.74,45.08,1010202
30-Dec-16,45.25,45.31,44.77,44.92,544251
29-Dec-16,44.92,45.23,44.76,45.13,425412
28-Dec-16,44.98,45.22,44.85,44.85,435367
27-Dec-16,44.85,45.12,44.85,44.99,370077
23-Dec-16,45.00,45.17,44.80,44.83,426197
22-Dec-16,44.94,45.24,44.38,44.95,790341
21-Dec-16,45.28,45.69,45.28,45.34,590192
20-Dec-16,45.51,45.51,45.11,45.34,690091
19-Dec-16,45.20,45.51,45.03,45.45,649165
16-Dec-16,45.30,45.63,45.12,45.36,2093084
15-Dec-16,44.69,45.17,44.47,45.14,1070670
14-Dec-16,45.68,45.82,44.71,44.75,2014487
13-Dec-16,45.74,45.93,45.32,45.56,897132
12-Dec-16,45.60,45.81,45.09,45.41,1161267
9-Dec-16,45.54,46.61,45.48,45.87,1020171
8-Dec-16,44.06,45.67,43.98,45.64,1646588
7-Dec-16,44.01,44.85,43.82,44.36,1997463
6-Dec-16,44.93,45.22,44.52,44.95,1217306
5-Dec-16,44.98,45.27,44.89,45.08,1214709
2-Dec-16,44.64,45.19,44.62,45.03,1020708
1-Dec-16,45.43,45.55,44.50,44.60,1344989
30-Nov-16,46.69,46.82,45.32,45.35,1336002
29-Nov-16,46.85,47.07,46.72,46.93,907330
28-Nov-16,46.68,46.93,46.44,46.69,883711
25-Nov-16,46.14,46.68,45.91,46.68,633441
23-Nov-16,46.48,46.79,45.61,45.82,924517
22-Nov-16,46.78,46.84,46.34,46.56,947847
21-Nov-16,45.95,46.99,45.95,46.65,949054
18-Nov-16,45.90,46.39,45.78,45.83,974743
17-Nov-16,45.41,45.99,45.32,45.89,759348
16-Nov-16,45.57,45.93,45.31,45.50,667164
15-Nov-16,45.19,45.59,44.90,45.56,900826
14-Nov-16,45.08,45.38,44.93,45.27,1194573
11-Nov-16,45.29,45.53,44.89,45.34,624666
10-Nov-16,45.36,45.57,44.40,45.29,1569930
9-Nov-16,45.89,45.99,45.30,45.63,973026
8-Nov-16,46.88,47.20,46.86,47.04,856945
7-Nov-16,46.48,46.98,46.41,46.95,963364
4-Nov-16,45.95,46.39,45.94,46.03,892741
3-Nov-16,46.36,46.39,45.79,45.95,1104541
2-Nov-16,45.85,46.21,45.73,46.11,864882
1-Nov-16,46.16,46.26,45.65,45.77,766099
31-Oct-16,46.01,46.46,45.98,46.17,1159005
28-Oct-16,45.43,46.35,45.43,46.03,953052
27-Oct-16,45.44,45.74,45.39,45.46,777796
26-Oct-16,45.37,45.63,45.23,45.47,676663
25-Oct-16,45.36,45.70,45.24,45.47,761921
24-Oct-16,45.04,45.55,45.04,45.37,737508
21-Oct-16,44.59,45.04,44.31,45.00,805859
20-Oct-16,45.04,45.20,44.60,44.66,569303
19-Oct-16,45.35,45.45,45.02,45.13,684233
18-Oct-16,45.40,45.71,45.23,45.38,809128
17-Oct-16,45.22,45.39,44.76,44.99,744734
14-Oct-16,46.00,46.02,45.27,45.35,786588
13-Oct-16,45.71,46.17,45.63,45.89,1003389
12-Oct-16,46.32,46.32,45.80,45.91,944647
11-Oct-16,46.62,46.90,46.18,46.38,1099942
10-Oct-16,46.59,46.84,46.44,46.77,1196615
7-Oct-16,46.74,46.99,46.32,46.38,1048217
6-Oct-16,46.27,46.75,46.27,46.67,956159
5-Oct-16,47.06,47.19,46.42,46.55,3018934
4-Oct-16,46.96,47.30,46.68,46.80,2043823
3-Oct-16,47.35,47.53,47.09,47.17,1119409
30-Sep-16,47.23,47.68,47.06,47.44,1822567
29-Sep-16,47.00,47.49,46.99,47.08,1030917
28-Sep-16,47.39,47.39,46.91,47.19,731105
27-Sep-16,46.85,47.26,46.85,47.16,1069413
26-Sep-16,47.09,47.40,46.86,46.96,966808
23-Sep-16,47.57,47.82,47.38,47.38,1070008
22-Sep-16,47.29,47.64,47.01,47.56,872058
21-Sep-16,46.55,46.94,46.27,46.87,715473
20-Sep-16,46.57,47.02,46.56,46.56,949726
19-Sep-16,46.49,46.82,46.36,46.41,1714560
16-Sep-16,45.26,46.24,45.20,46.11,4586775
15-Sep-16,45.24,45.83,45.22,45.62,1381796
14-Sep-16,45.65,45.85,45.24,45.31,1215877
13-Sep-16,46.27,46.52,45.50,45.51,2030936
12-Sep-16,45.24,46.56,45.12,46.44,1742304
9-Sep-16,46.61,46.73,45.58,45.58,1484015
8-Sep-16,46.96,47.14,46.64,46.79,1337044
7-Sep-16,47.45,47.73,46.88,46.93,1111638
6-Sep-16,47.96,48.07,47.51,47.77,1226275
2-Sep-16,48.19,48.63,47.97,48.12,1007781
1-Sep-16,48.55,48.60,47.54,47.91,1980125
31-Aug-16,50.29,50.29,47.69,48.55,2931997
30-Aug-16,50.87,51.14,50.04,50.33,1323717
29-Aug-16,50.45,51.08,50.45,51.06,1301877
26-Aug-16,51.29,51.55,50.38,50.51,1037728
25-Aug-16,50.82,51.33,50.74,51.03,1107509
24-Aug-16,50.38,50.99,50.24,50.78,945918
23-Aug-16,50.54,50.54,50.19,50.31,768455
22-Aug-16,50.57,50.57,50.06,50.33,915485
19-Aug-16,48.63,50.59,48.63,50.40,1354327
18-Aug-16,49.82,49.97,49.58,49.82,748700
17-Aug-16,49.87,49.94,49.46,49.86,600410
16-Aug-16,48.88,50.00,48.88,49.76,1131658
15-Aug-16,48.94,49.11,48.60,49.06,827746
12-Aug-16,48.92,49.26,48.68,48.98,875348
11-Aug-16,49.24,49.44,48.94,48.98,885236
10-Aug-16,48.88,49.24,48.82,49.22,810396
9-Aug-16,48.36,48.82,48.20,48.64,760928
8-Aug-16,48.88,48.95,48.28,48.54,675758
5-Aug-16,48.61,48.99,48.48,48.75,875836
4-Aug-16,48.42,48.75,48.20,48.42,534552
3-Aug-16,48.44,48.55,48.07,48.44,807396
2-Aug-16,48.72,48.84,48.31,48.44,637884
1-Aug-16,49.15,49.22,48.67,48.86,786380
29-Jul-16,48.87,49.22,48.56,49.10,960912
28-Jul-16,48.30,49.05,48.30,49.00,661392
27-Jul-16,49.36,49.44,47.92,48.30,687978
26-Jul-16,49.39,49.44,48.82,49.08,605992
25-Jul-16,49.85,50.00,49.04,49.34,698154
22-Jul-16,49.42,49.96,49.42,49.94,838596
21-Jul-16,49.40,49.44,48.92,49.24,566864
20-Jul-16,49.07,49.42,49.05,49.40,720422
19-Jul-16,48.85,49.12,48.80,49.11,530548
18-Jul-16,49.06,49.45,48.84,49.08,632816
15-Jul-16,49.42,49.44,49.08,49.33,845264
14-Jul-16,49.04,49.32,48.96,49.22,934004
13-Jul-16,48.97,49.12,48.51,49.00,994910
12-Jul-16,49.32,49.51,49.10,49.21,747394
11-Jul-16,49.12,49.57,48.96,49.28,908090
8-Jul-16,48.92,49.16,48.49,49.14,947212
7-Jul-16,48.73,48.87,48.52,48.54,1129404
6-Jul-16,48.50,48.96,48.17,48.52,1154580
5-Jul-16,49.50,49.66,49.04,49.12,1283090
1-Jul-16,50.06,50.32,49.42,49.44,1285174
30-Jun-16,48.35,49.89,48.19,49.88,1903054
29-Jun-16,47.61,48.08,47.52,47.99,1495762
28-Jun-16,47.22,47.63,46.88,47.14,1352826
27-Jun-16,46.74,47.18,46.37,47.01,2473568
24-Jun-16,47.90,48.02,46.92,46.95,3027368
23-Jun-16,48.84,48.98,48.69,48.98,1212064
22-Jun-16,49.05,49.05,48.32,48.34,698520
21-Jun-16,49.16,49.16,48.77,48.90,1078186
20-Jun-16,49.10,49.18,48.74,48.92,955638
