Date,Open,High,Low,Close,Volume
28-Apr-17,60.01,60.10,59.16,59.37,3082482
27-Apr-17,58.83,59.67,58.27,59.65,3989882
26-Apr-17,58.38,59.81,58.11,59.46,3784341
25-Apr-17,56.81,59.53,56.09,59.29,4597399
24-Apr-17,58.21,58.95,57.86,58.65,3070143
21-Apr-17,58.96,59.61,57.68,57.68,3399277
20-Apr-17,59.69,59.98,59.37,59.50,1945039
19-Apr-17,59.91,60.14,59.32,59.47,2940655
18-Apr-17,59.15,60.45,59.09,60.01,2516958
17-Apr-17,59.46,59.70,59.12,59.62,2120204
13-Apr-17,60.20,60.49,59.30,59.46,1482313
12-Apr-17,60.74,61.45,60.20,60.34,1757126
11-Apr-17,61.81,61.81,60.52,60.87,1348810
10-Apr-17,61.49,62.20,61.37,61.71,1383093
7-Apr-17,61.02,62.00,60.62,61.28,1168970
6-Apr-17,60.69,61.10,60.48,60.94,1403653
5-Apr-17,60.64,61.83,60.12,60.36,1951698
4-Apr-17,59.70,60.26,59.06,60.15,1831166
3-Apr-17,59.82,60.05,59.58,59.69,1908851
31-Mar-17,59.43,60.38,59.31,59.82,2652693
30-Mar-17,60.37,60.42,59.09,59.31,5912916
29-Mar-17,59.06,60.72,58.78,60.02,1839611
28-Mar-17,58.35,59.22,57.67,59.07,2862309
27-Mar-17,58.30,58.52,57.81,58.07,1854587
24-Mar-17,59.19,59.80,58.86,58.99,1562384
23-Mar-17,60.25,60.32,59.03,59.16,2587025
22-Mar-17,59.99,61.20,59.68,60.54,2892511
21-Mar-17,60.38,60.69,59.99,60.23,2418383
20-Mar-17,58.75,60.43,58.27,60.41,2763039
17-Mar-17,58.46,59.74,58.33,58.93,3693891
16-Mar-17,57.69,58.63,57.32,58.24,1974619
15-Mar-17,56.91,58.11,56.50,57.71,2293971
14-Mar-17,56.24,57.02,55.93,56.47,2040763
13-Mar-17,56.49,56.87,56.15,56.68,1665485
10-Mar-17,57.68,57.92,56.22,56.28,3277556
9-Mar-17,57.34,57.65,56.62,57.40,3845667
8-Mar-17,59.07,59.23,57.54,57.71,2703835
7-Mar-17,60.14,60.23,59.19,59.41,1748557
6-Mar-17,59.81,60.03,59.31,59.97,1805875
3-Mar-17,60.72,60.84,59.88,59.89,1612245
2-Mar-17,61.57,61.75,60.67,60.72,1758131
1-Mar-17,60.92,62.24,60.74,61.83,1990906
28-Feb-17,60.03,60.60,59.77,60.28,2913349
27-Feb-17,59.87,60.79,59.72,60.25,2265745
24-Feb-17,59.52,60.19,59.43,59.80,2730072
23-Feb-17,60.99,61.20,59.81,59.97,2114915
22-Feb-17,60.47,60.70,60.20,60.55,2161215
21-Feb-17,61.29,61.34,60.45,60.55,1686619
