Date,Open,High,Low,Close,Volume
28-Apr-17,47.06,47.49,46.95,47.06,4149666
27-Apr-17,47.25,47.45,46.88,47.22,4330096
26-Apr-17,47.25,47.64,47.07,47.15,6457215
25-Apr-17,47.86,48.07,47.17,47.23,6326104
24-Apr-17,47.75,48.02,47.51,47.55,4984972
21-Apr-17,46.73,47.26,46.62,46.75,7470928
20-Apr-17,47.27,47.50,45.88,46.65,8722685
19-Apr-17,47.27,47.36,46.62,46.86,4655656
18-Apr-17,46.82,47.08,46.50,46.89,4593636
17-Apr-17,46.66,47.12,46.29,47.05,3237517
13-Apr-17,46.83,47.16,46.37,46.42,3825403
12-Apr-17,47.04,47.17,46.66,46.89,3753251
11-Apr-17,46.81,47.26,46.60,47.26,3924370
10-Apr-17,47.15,47.40,46.84,47.06,3206457
7-Apr-17,46.94,47.47,46.85,47.15,3084043
6-Apr-17,46.96,47.49,46.67,47.31,3242340
5-Apr-17,47.31,47.95,46.96,47.00,4125049
4-Apr-17,46.98,47.32,46.79,46.97,3686451
3-Apr-17,47.23,47.39,46.30,47.13,5268322
31-Mar-17,47.32,47.61,47.20,47.23,2854172
30-Mar-17,46.80,47.65,46.63,47.53,3100927
29-Mar-17,47.00,47.04,46.68,46.72,2901550
28-Mar-17,46.09,47.33,46.06,47.00,3133419
27-Mar-17,45.29,46.30,45.12,46.25,4730774
24-Mar-17,46.41,46.60,45.93,46.25,3545156
23-Mar-17,46.12,46.68,45.93,46.28,4963197
22-Mar-17,46.19,46.32,45.72,46.16,6039835
21-Mar-17,47.48,47.49,46.11,46.42,8262901
20-Mar-17,47.68,47.76,47.20,47.21,4274711
17-Mar-17,48.64,48.65,47.82,47.91,7792730
16-Mar-17,48.45,48.74,48.34,48.47,3668994
15-Mar-17,48.50,48.75,48.21,48.33,4420247
14-Mar-17,48.20,48.38,47.81,48.26,3704375
13-Mar-17,48.27,48.53,48.13,48.35,3991715
10-Mar-17,48.28,48.36,47.76,48.17,3632079
9-Mar-17,48.26,48.47,47.80,47.93,4497934
8-Mar-17,48.24,48.45,47.96,48.19,5157624
