Date,Open,High,Low,Close,Volume
28-Apr-17,390.00,391.36,384.29,384.57,581279
27-Apr-17,390.16,391.04,385.51,390.71,371750
26-Apr-17,388.45,391.90,387.10,388.87,465320
25-Apr-17,388.84,388.84,385.36,388.19,545060
24-Apr-17,385.93,389.11,384.12,386.65,595812
21-Apr-17,379.69,381.38,376.80,378.06,493845
20-Apr-17,378.35,382.84,375.67,381.59,725783
19-Apr-17,385.13,385.85,375.52,377.10,687819
18-Apr-17,381.59,384.23,379.72,383.61,498530
17-Apr-17,381.18,384.10,379.80,383.80,426694
13-Apr-17,378.86,384.54,378.01,379.00,366678
12-Apr-17,382.93,384.76,380.38,381.44,377921
11-Apr-17,383.68,384.52,379.55,384.05,441954
10-Apr-17,386.08,389.03,384.14,385.89,390267
7-Apr-17,381.72,389.30,381.72,386.02,550688
6-Apr-17,381.25,385.44,380.24,384.10,330738
5-Apr-17,383.48,386.79,380.20,380.91,467344
4-Apr-17,381.23,381.88,379.07,380.80,407515
3-Apr-17,383.83,385.20,378.16,382.09,502221
31-Mar-17,382.58,386.24,381.57,383.51,435102
30-Mar-17,378.10,384.13,378.10,383.04,483874
29-Mar-17,378.52,380.92,377.58,379.41,461607
28-Mar-17,373.78,381.88,373.61,380.63,593799
27-Mar-17,369.26,375.05,368.00,375.00,614093
24-Mar-17,376.77,377.96,372.23,374.41,318372
23-Mar-17,374.50,379.32,374.50,375.40,418130
22-Mar-17,373.58,376.21,372.00,375.47,343821
21-Mar-17,383.00,383.12,374.09,375.16,610452
20-Mar-17,382.12,382.44,378.87,380.45,436096
17-Mar-17,391.23,391.23,382.62,382.85,672191
16-Mar-17,389.11,392.12,387.25,390.00,535613
15-Mar-17,385.40,388.97,384.10,388.22,433502
14-Mar-17,383.19,386.09,381.34,383.29,353423
13-Mar-17,385.62,386.13,383.11,384.89,404290
10-Mar-17,387.33,387.99,383.89,384.58,483357
9-Mar-17,385.32,386.96,381.93,384.27,393669
8-Mar-17,387.98,389.03,384.37,384.55,416108
7-Mar-17,387.06,387.65,384.20,385.35,360683
6-Mar-17,387.72,388.94,385.76,387.66,366371
3-Mar-17,392.03,392.93,389.42,390.17,340929
2-Mar-17,395.15,395.38,391.42,391.65,475213
1-Mar-17,394.25,399.17,392.79,397.81,791512
28-Feb-17,389.04,391.08,386.92,387.46,781830
27-Feb-17,389.55,391.37,388.22,391.00,368616
24-Feb-17,388.03,389.16,385.72,389.16,483465
23-Feb-17,391.47,391.76,388.00,390.61,387262
22-Feb-17,389.04,390.95,387.79,390.71,422219
21-Feb-17,390.94,392.83,388.98,390.10,434326
17-Feb-17,389.76,390.69,388.01,388.76,607444
16-Feb-17,392.63,393.70,389.93,391.97,503653
15-Feb-17,385.29,393.72,385.29,393.04,640034
14-Feb-17,385.80,386.51,383.26,384.98,772293
13-Feb-17,384.74,387.28,383.34,385.83,453260
10-Feb-17,380.19,383.94,379.85,382.89,578687
9-Feb-17,376.48,379.91,375.68,378.57,493692
8-Feb-17,375.08,376.26,373.80,374.56,433765
7-Feb-17,377.63,379.00,376.52,376.89,547663
6-Feb-17,374.55,378.83,374.55,377.42,546494
3-Feb-17,372.00,378.64,371.57,378.00,953646
2-Feb-17,366.45,372.45,365.83,371.64,832437
1-Feb-17,375.21,378.11,370.87,373.00,619442
31-Jan-17,374.69,375.27,372.20,373.98,714556
30-Jan-17,374.81,375.53,370.70,375.18,591815
27-Jan-17,380.45,381.37,372.90,375.06,686848
26-Jan-17,382.55,388.28,378.41,379.42,837096
25-Jan-17,384.98,388.82,383.89,388.33,596960
