Date,Open,High,Low,Close,Volume
28-Apr-17,77.29,77.53,76.78,76.89,1849234
27-Apr-17,75.17,77.36,75.03,77.35,2434348
26-Apr-17,75.21,75.57,75.02,75.17,1360532
25-Apr-17,74.54,75.39,74.41,75.14,1822631
24-Apr-17,74.22,74.46,73.82,74.39,1402317
21-Apr-17,73.16,73.79,73.15,73.68,1166400
20-Apr-17,73.34,73.60,72.81,73.27,989807
19-Apr-17,72.77,73.24,72.53,72.80,1233809
18-Apr-17,71.85,72.44,71.78,72.28,1305946
17-Apr-17,71.86,72.32,71.72,72.30,1098525
13-Apr-17,71.66,72.02,71.29,71.53,1302576
12-Apr-17,72.22,72.57,71.49,71.74,1523365
11-Apr-17,72.09,72.29,71.46,72.25,946005
10-Apr-17,72.08,72.64,71.73,72.22,669166
7-Apr-17,72.20,72.54,71.94,72.23,906653
6-Apr-17,72.64,73.03,72.33,72.40,1458199
5-Apr-17,73.50,73.82,72.62,72.65,1528715
4-Apr-17,73.29,73.43,72.77,73.39,1231746
3-Apr-17,74.28,74.33,73.16,73.35,1783490
31-Mar-17,73.39,74.42,73.29,74.26,1812567
30-Mar-17,73.50,73.74,73.37,73.62,1084739
29-Mar-17,73.71,73.93,73.02,73.57,1423419
28-Mar-17,73.48,74.09,73.12,74.00,1243120
27-Mar-17,72.81,73.75,72.66,73.73,1299799
24-Mar-17,74.27,74.39,73.08,73.73,1158360
23-Mar-17,74.23,75.00,74.05,74.31,979229
22-Mar-17,74.06,74.48,73.60,74.36,833985
21-Mar-17,75.34,75.45,73.87,73.98,1393829
20-Mar-17,75.10,75.60,74.80,75.31,1205099
17-Mar-17,74.98,75.19,74.83,75.12,1359149
16-Mar-17,75.06,75.07,74.56,74.75,1070663
15-Mar-17,74.40,75.14,73.98,74.94,1364382
14-Mar-17,74.04,74.39,73.88,74.05,1082384
13-Mar-17,74.39,74.44,73.91,74.32,1610347
10-Mar-17,73.57,74.18,73.28,73.74,1031665
9-Mar-17,72.72,73.40,72.39,73.35,1472505
8-Mar-17,72.27,72.74,72.00,72.68,758080
7-Mar-17,72.62,72.83,72.14,72.28,722457
6-Mar-17,73.21,73.41,72.31,72.73,1158437
3-Mar-17,73.35,73.97,73.09,73.81,1352639
2-Mar-17,72.85,74.44,72.85,73.27,1645927
1-Mar-17,74.22,75.10,73.86,75.00,1872854
28-Feb-17,73.49,73.99,73.44,73.53,989033
27-Feb-17,72.96,73.68,72.86,73.50,737624
24-Feb-17,73.79,73.86,72.64,73.07,1553887
23-Feb-17,73.76,74.35,73.48,74.03,2113048
22-Feb-17,73.43,73.84,73.17,73.44,1339630
21-Feb-17,73.41,73.85,73.28,73.70,1405970
17-Feb-17,72.95,73.44,72.63,73.27,2756842
16-Feb-17,73.38,73.83,72.89,72.98,1396877
15-Feb-17,73.70,73.96,73.07,73.12,1385488
14-Feb-17,73.81,74.22,73.43,73.74,765676
13-Feb-17,74.60,74.85,73.78,73.85,1299752
10-Feb-17,74.30,74.68,74.00,74.33,880858
9-Feb-17,74.21,74.36,73.91,74.08,925442
8-Feb-17,72.50,74.50,72.31,74.46,2108145
7-Feb-17,73.24,73.24,72.13,72.62,1650972
6-Feb-17,73.23,73.54,72.65,72.94,1817475
3-Feb-17,74.74,74.81,73.30,73.84,2437191
2-Feb-17,76.10,76.22,72.92,73.32,3746838
1-Feb-17,76.54,77.10,75.45,76.53,1626405
31-Jan-17,76.48,76.57,75.79,76.26,1178171
30-Jan-17,76.66,76.66,75.24,76.48,919805
27-Jan-17,76.57,76.95,76.22,76.94,719622
26-Jan-17,76.62,76.65,75.09,76.36,1674619
25-Jan-17,76.67,76.99,76.37,76.75,828706
24-Jan-17,75.72,76.60,75.72,76.46,903966
23-Jan-17,75.03,75.49,74.75,75.38,952317
20-Jan-17,75.91,75.91,74.43,74.98,1252060
19-Jan-17,76.96,77.32,75.52,75.61,641542
18-Jan-17,76.78,77.23,76.35,76.98,859397
17-Jan-17,76.02,76.52,75.69,76.49,705535
13-Jan-17,77.19,77.24,75.55,76.17,1059333
12-Jan-17,76.30,77.19,75.89,77.05,786131
11-Jan-17,75.69,76.76,75.34,76.71,790847
10-Jan-17,75.82,76.40,75.26,75.62,1335603
9-Jan-17,77.07,77.25,75.86,75.98,664936
6-Jan-17,76.93,77.35,76.62,77.20,500891
5-Jan-17,76.70,77.12,76.28,76.86,983268
4-Jan-17,75.81,76.96,75.77,76.90,1109933
3-Jan-17,75.71,76.15,75.03,75.75,915342
