Date,Open,High,Low,Close,Volume
28-Apr-17,42.25,42.33,41.85,42.28,2095947
27-Apr-17,42.46,42.75,40.41,42.14,2722316
26-Apr-17,40.90,41.53,40.72,41.06,1890666
25-Apr-17,40.63,41.08,40.42,40.84,1391608
24-Apr-17,40.21,40.54,39.98,40.45,1536705
21-Apr-17,40.00,40.15,39.37,39.51,1701672
20-Apr-17,40.00,40.65,39.98,40.10,2346320
19-Apr-17,39.17,40.00,39.13,39.65,2170904
18-Apr-17,38.40,39.03,38.40,38.85,1626126
17-Apr-17,38.18,38.76,38.04,38.74,1209513
13-Apr-17,38.39,38.92,38.01,38.01,1509619
12-Apr-17,38.22,38.74,38.08,38.59,2785077
11-Apr-17,37.96,38.28,37.64,38.25,2691802
10-Apr-17,38.02,38.24,37.70,38.00,1779743
7-Apr-17,37.80,38.22,37.54,38.03,1891343
6-Apr-17,38.15,38.35,37.66,37.99,3004755
5-Apr-17,39.01,39.10,38.14,38.18,3229618
4-Apr-17,40.10,40.19,38.54,38.69,4108245
3-Apr-17,41.95,41.95,39.42,40.34,3897002
31-Mar-17,41.86,42.11,41.72,41.79,1641954
30-Mar-17,41.89,42.04,41.65,41.96,754255
29-Mar-17,41.77,42.29,41.70,41.93,1049838
28-Mar-17,41.22,41.94,41.07,41.75,2620539
27-Mar-17,40.63,41.24,40.40,41.20,1540023
24-Mar-17,41.34,41.51,41.00,41.28,1508411
23-Mar-17,41.32,41.38,40.85,41.21,1908838
22-Mar-17,40.94,41.74,40.41,41.48,2907003
21-Mar-17,42.77,42.77,40.79,40.84,1855441
20-Mar-17,42.79,42.92,42.40,42.57,1190544
17-Mar-17,43.56,43.56,42.50,42.76,2131217
16-Mar-17,44.06,44.24,43.58,43.65,1361412
15-Mar-17,43.22,44.23,43.07,43.95,1823622
14-Mar-17,42.30,43.12,42.23,43.02,1675137
13-Mar-17,42.00,42.67,41.89,42.61,1714498
10-Mar-17,41.93,42.16,41.54,41.79,1677807
9-Mar-17,41.99,41.99,41.38,41.56,1567024
8-Mar-17,41.73,42.08,41.58,41.94,1505147
7-Mar-17,41.82,41.99,41.40,41.69,1983261
6-Mar-17,42.41,42.50,41.80,41.90,1722209
3-Mar-17,43.13,43.21,42.70,42.96,2013055
2-Mar-17,43.01,43.39,42.93,43.14,2023502
1-Mar-17,42.89,43.43,42.74,42.99,2101957
28-Feb-17,42.19,42.56,42.06,42.19,1762623
27-Feb-17,41.47,42.46,41.35,42.45,1860897
24-Feb-17,42.00,42.05,41.23,41.53,2535691
23-Feb-17,42.89,43.08,42.34,42.47,1472972
22-Feb-17,42.59,42.86,42.40,42.77,1382761
21-Feb-17,42.62,43.32,42.22,42.63,2429449
17-Feb-17,40.97,42.38,40.66,42.38,2272122
16-Feb-17,41.93,42.25,41.18,41.38,1359428
15-Feb-17,41.50,42.05,41.11,41.91,1532333
14-Feb-17,41.74,41.91,41.12,41.50,1693500
13-Feb-17,41.67,42.18,41.39,41.67,2285993
10-Feb-17,40.89,41.65,40.80,41.63,2099896
9-Feb-17,40.00,41.31,40.00,40.65,2560169
8-Feb-17,40.14,40.60,39.85,40.46,1994265
7-Feb-17,40.49,40.49,39.70,40.10,1678414
6-Feb-17,40.26,40.59,40.20,40.57,863938
3-Feb-17,40.70,40.88,40.46,40.60,1024094
2-Feb-17,41.01,41.27,40.27,40.47,1838113
1-Feb-17,41.15,41.50,40.68,41.03,1224583
31-Jan-17,40.42,40.86,40.07,40.83,1808998
30-Jan-17,40.52,40.64,39.88,40.56,1702136
27-Jan-17,40.79,40.93,40.20,40.40,967054
26-Jan-17,41.12,41.43,40.70,40.78,1238316
25-Jan-17,40.75,41.31,40.75,41.30,911703
24-Jan-17,39.79,40.53,39.77,40.43,2147236
23-Jan-17,39.87,40.12,39.30,39.50,1601964
20-Jan-17,39.91,40.03,39.51,39.86,1804436
19-Jan-17,39.92,39.98,39.62,39.82,1787913
18-Jan-17,39.98,39.98,39.61,39.78,2023999
17-Jan-17,40.12,40.28,39.65,39.79,1601074
13-Jan-17,40.08,40.49,40.05,40.30,1298835
12-Jan-17,40.14,40.38,39.32,39.99,2436592
11-Jan-17,40.62,40.69,39.43,40.12,4441048
10-Jan-17,40.97,41.41,40.56,40.77,2787311
9-Jan-17,40.99,41.32,40.52,40.82,1550901
6-Jan-17,40.98,41.37,40.52,41.10,1789267
5-Jan-17,40.74,41.12,40.19,40.77,1775443
4-Jan-17,39.99,40.90,39.17,40.82,1600941
3-Jan-17,39.90,40.25,39.38,40.07,1485686
30-Dec-16,39.72,39.76,39.08,39.44,1326252
29-Dec-16,39.48,39.67,39.30,39.49,1004338
28-Dec-16,40.27,40.48,39.22,39.33,1078041
27-Dec-16,39.80,40.41,39.76,40.10,788867
23-Dec-16,39.70,39.93,39.53,39.73,865843
22-Dec-16,40.39,40.43,39.42,39.63,1730063
21-Dec-16,40.51,40.84,40.33,40.57,1668514
20-Dec-16,40.21,40.93,39.91,40.38,2246414
19-Dec-16,38.91,39.85,38.90,39.85,2477295
16-Dec-16,39.72,39.98,39.33,39.74,4920859
15-Dec-16,39.29,39.95,39.17,39.46,2436858
14-Dec-16,40.23,40.44,39.26,39.31,2462996
13-Dec-16,40.78,41.02,40.34,40.77,2320885
12-Dec-16,41.74,41.76,40.98,41.10,2512595
9-Dec-16,41.60,41.88,41.23,41.86,2268987
8-Dec-16,41.73,41.92,41.28,41.63,3168184
7-Dec-16,39.45,41.98,39.41,41.60,5987086
6-Dec-16,37.39,39.50,37.30,39.16,6046081
5-Dec-16,36.49,37.80,36.43,37.49,3897101
2-Dec-16,36.75,36.95,35.74,36.07,3450371
1-Dec-16,35.98,37.33,35.94,36.83,4499275
30-Nov-16,34.91,36.04,34.74,35.60,3188229
29-Nov-16,35.00,35.04,34.44,34.46,1603737
28-Nov-16,35.66,35.95,35.29,35.39,1622273
25-Nov-16,35.50,35.98,35.40,35.68,1191729
23-Nov-16,35.65,35.79,35.31,35.39,2331213
22-Nov-16,35.89,36.03,35.30,35.81,2432871
21-Nov-16,35.93,36.37,35.63,36.16,1953164
18-Nov-16,35.41,35.96,35.22,35.68,2455343
17-Nov-16,34.50,35.39,34.42,35.38,2355312
16-Nov-16,34.22,34.58,34.11,34.49,2271265
15-Nov-16,34.22,34.56,33.82,34.46,2804363
14-Nov-16,34.58,35.11,33.81,34.22,3785240
11-Nov-16,35.13,35.69,34.10,34.38,4943337
10-Nov-16,34.11,35.46,34.00,35.20,3920406
9-Nov-16,33.70,34.50,33.09,34.03,4810881
8-Nov-16,35.10,35.51,34.72,35.37,1904801
7-Nov-16,34.94,35.25,34.69,35.22,1863002
4-Nov-16,34.21,34.60,34.00,34.09,1914632
3-Nov-16,34.95,35.21,34.14,34.23,2178151
2-Nov-16,35.12,35.56,34.74,34.76,2271722
1-Nov-16,36.03,36.16,34.91,35.27,1954161
31-Oct-16,35.71,36.14,35.49,35.84,2210792
28-Oct-16,35.42,36.11,35.23,35.63,2524627
27-Oct-16,34.50,35.67,34.11,35.44,4406167
26-Oct-16,34.84,36.00,34.80,35.39,5335829
25-Oct-16,35.30,35.65,34.48,34.95,3236368
24-Oct-16,35.12,35.52,35.01,35.47,1717450
21-Oct-16,34.57,34.92,34.12,34.79,2139826
20-Oct-16,34.83,35.02,34.64,34.96,1897136
19-Oct-16,33.77,34.91,33.58,34.88,2422587
18-Oct-16,34.54,34.54,33.09,33.64,3363001
17-Oct-16,34.62,35.06,34.15,34.16,2223483
14-Oct-16,34.91,35.22,34.54,34.67,1814229
13-Oct-16,35.12,35.19,34.46,34.54,3086910
12-Oct-16,35.55,35.65,35.33,35.60,2640123
11-Oct-16,35.97,36.11,35.38,35.56,2653638
10-Oct-16,35.93,36.32,35.86,36.10,2816722
7-Oct-16,35.38,35.76,35.00,35.69,3706349
6-Oct-16,35.23,35.71,34.74,35.51,3535388
5-Oct-16,35.22,36.53,35.20,36.30,2748983
4-Oct-16,35.44,35.59,34.88,35.05,2239867
3-Oct-16,35.19,35.27,34.96,35.19,1364543
30-Sep-16,34.59,35.34,34.46,35.18,2263834
29-Sep-16,34.69,35.04,34.25,34.30,1460309
28-Sep-16,34.66,34.97,34.26,34.79,2825079
27-Sep-16,34.66,34.76,34.25,34.49,1993637
26-Sep-16,34.82,34.86,34.54,34.73,2742284
23-Sep-16,35.01,35.26,34.94,35.09,1775835
22-Sep-16,34.58,35.16,34.58,35.10,2811544
21-Sep-16,34.44,34.70,33.98,34.09,4521266
20-Sep-16,34.87,34.95,34.07,34.26,1549349
19-Sep-16,35.27,35.57,34.46,34.56,2095241
16-Sep-16,34.90,35.00,34.54,34.89,5158241
15-Sep-16,34.96,35.37,34.80,35.09,3543842
14-Sep-16,34.81,35.15,34.21,34.91,2603830
13-Sep-16,34.77,35.31,34.59,34.81,3292622
12-Sep-16,34.26,35.50,34.10,35.28,4162673
9-Sep-16,35.49,35.63,34.14,34.14,3527854
8-Sep-16,36.00,36.12,35.56,35.84,2959006
7-Sep-16,35.55,36.48,35.50,36.12,4057457
6-Sep-16,35.41,35.65,35.02,35.55,3141808
2-Sep-16,34.85,35.28,34.64,35.10,4048427
1-Sep-16,34.55,35.14,34.26,34.61,2617125
31-Aug-16,34.21,34.72,34.02,34.39,2089898
30-Aug-16,33.81,34.53,33.80,34.33,3342829
29-Aug-16,33.67,34.19,33.58,34.00,1618888
26-Aug-16,34.51,34.51,33.55,33.65,1842642
25-Aug-16,33.84,33.94,33.39,33.77,2132011
24-Aug-16,34.49,34.55,33.94,33.99,1422965
23-Aug-16,34.52,34.80,34.32,34.46,1422511
22-Aug-16,34.07,34.30,33.76,34.23,1399243
19-Aug-16,33.76,34.30,33.74,34.21,2085219
18-Aug-16,33.98,34.25,33.68,34.01,2148574
17-Aug-16,34.25,34.37,33.87,34.00,2022095
16-Aug-16,34.25,34.47,34.10,34.25,1839787
15-Aug-16,33.95,34.70,33.89,34.30,1721438
12-Aug-16,33.81,34.16,33.57,33.81,1188805
11-Aug-16,33.86,34.18,33.73,34.00,1404979
10-Aug-16,33.76,33.88,33.56,33.71,1057459
9-Aug-16,33.33,33.92,33.26,33.71,1444783
8-Aug-16,33.38,33.91,33.26,33.43,1259686
5-Aug-16,32.83,33.56,32.72,33.26,1391731
4-Aug-16,32.73,33.00,32.51,32.58,1562124
3-Aug-16,31.80,32.78,31.65,32.71,2173412
2-Aug-16,32.88,32.91,31.49,32.13,4206173
1-Aug-16,33.18,33.53,32.85,33.11,2118994
29-Jul-16,32.56,33.56,32.54,33.18,3441277
28-Jul-16,33.07,33.44,31.94,32.49,3513514
27-Jul-16,33.97,34.71,33.81,34.21,4014174
26-Jul-16,33.37,34.03,33.21,33.94,1930854
25-Jul-16,33.08,33.32,32.95,33.26,1390737
22-Jul-16,33.14,33.19,32.54,33.02,1436738
21-Jul-16,32.60,33.24,32.51,33.20,1843647
20-Jul-16,31.86,32.38,31.64,32.26,1128083
19-Jul-16,31.78,32.04,31.61,31.86,1148329
18-Jul-16,31.79,32.39,31.59,32.17,1784333
15-Jul-16,31.63,32.16,31.21,31.86,2480187
14-Jul-16,31.81,32.06,31.41,31.54,1890602
13-Jul-16,31.49,31.49,30.74,31.17,1808089
12-Jul-16,31.54,32.19,31.12,31.34,2643000
11-Jul-16,30.82,31.66,30.82,31.01,2101923
8-Jul-16,29.69,30.82,29.62,30.57,3243814
7-Jul-16,28.86,29.77,28.82,29.42,1570991
6-Jul-16,28.10,28.84,27.63,28.68,3635453
5-Jul-16,29.72,29.89,28.46,28.52,2276598
1-Jul-16,29.97,30.96,29.82,30.29,3166827
30-Jun-16,29.35,29.53,28.62,29.52,2616563
29-Jun-16,28.71,29.37,28.27,29.29,2651137
28-Jun-16,28.17,28.58,28.06,28.42,3046908
27-Jun-16,29.88,29.94,27.52,27.69,5286666
24-Jun-16,32.11,32.22,30.10,30.50,8178434
23-Jun-16,33.66,34.10,33.49,33.70,3426767
22-Jun-16,33.13,33.67,33.08,33.15,2371131
21-Jun-16,34.14,34.14,32.99,33.35,3184584
20-Jun-16,34.19,35.16,34.17,34.73,2576863
17-Jun-16,32.90,33.71,32.81,33.48,1808562
16-Jun-16,32.27,32.98,31.94,32.93,1707498
15-Jun-16,32.29,33.37,32.25,32.60,1375085
14-Jun-16,32.55,33.08,31.89,32.15,2574959
13-Jun-16,33.39,33.58,32.73,32.75,1468765
10-Jun-16,34.18,34.40,33.64,33.66,1488857
9-Jun-16,34.41,34.74,34.01,34.66,1242327
8-Jun-16,35.05,35.36,34.59,34.62,1474947
7-Jun-16,34.36,35.04,34.21,34.85,2147242
6-Jun-16,33.86,34.46,33.52,34.37,2069398
3-Jun-16,34.31,34.31,33.29,33.68,1778628
2-Jun-16,33.42,34.48,33.29,34.40,1463868
1-Jun-16,33.61,33.85,32.71,33.54,2711964
31-May-16,33.54,34.21,33.54,34.03,1916194
27-May-16,33.22,33.68,33.07,33.60,1696237
26-May-16,33.73,33.79,33.20,33.35,1235283
25-May-16,33.21,33.79,33.21,33.68,1547833
24-May-16,32.72,33.38,32.33,33.13,1589447
23-May-16,32.71,32.88,32.21,32.46,1121984
20-May-16,32.50,32.96,32.25,32.84,1044639
19-May-16,33.11,33.42,32.20,32.32,1995773
18-May-16,33.22,33.84,32.88,33.43,1800540
17-May-16,33.20,33.83,32.96,33.46,2179783
16-May-16,33.13,33.64,33.00,33.42,1140519
13-May-16,33.60,34.08,32.95,32.97,1783772
12-May-16,34.26,34.57,33.52,33.75,1147634
11-May-16,34.03,34.69,33.91,34.00,2216092
10-May-16,34.07,34.41,33.72,34.24,1347546
9-May-16,33.85,34.18,33.67,33.84,1533607
6-May-16,33.78,34.30,33.58,33.93,2715682
5-May-16,34.66,35.04,33.82,33.85,1766256
4-May-16,35.44,35.52,34.36,34.38,2321743
3-May-16,35.35,36.42,34.48,35.79,2956112
2-May-16,36.16,36.36,35.35,35.69,2585633
29-Apr-16,36.50,36.67,35.74,35.92,3113299
28-Apr-16,37.57,37.77,36.26,36.45,4077239
27-Apr-16,39.65,40.20,38.37,38.62,4385706
26-Apr-16,38.61,39.96,38.41,39.93,2813535
25-Apr-16,38.30,38.66,37.97,38.44,2091380
22-Apr-16,38.31,38.98,37.96,38.48,1317381
21-Apr-16,38.70,39.11,38.37,38.56,1322100
20-Apr-16,38.49,39.00,38.34,38.59,1324432
19-Apr-16,37.75,38.73,37.74,38.51,1567961
18-Apr-16,37.25,37.78,37.00,37.40,1318691
15-Apr-16,37.09,37.55,36.91,37.32,1846732
14-Apr-16,36.98,37.47,36.24,37.05,1631625
13-Apr-16,35.33,36.98,35.30,36.75,2186609
12-Apr-16,34.95,35.25,34.46,34.92,1196980
11-Apr-16,34.51,35.42,34.42,34.80,1612151
8-Apr-16,34.53,35.09,33.98,34.18,1731198
7-Apr-16,34.66,35.41,33.89,34.05,2980120
6-Apr-16,35.05,35.25,34.27,34.78,1818710
5-Apr-16,34.82,35.79,34.57,35.18,1907667
4-Apr-16,37.55,37.67,35.04,35.28,3543159
1-Apr-16,37.99,38.22,37.26,37.68,2615842
31-Mar-16,37.81,38.57,37.73,38.40,2217923
30-Mar-16,37.84,38.45,37.55,37.92,1258909
29-Mar-16,36.48,37.62,36.03,37.43,1800002
28-Mar-16,37.09,37.40,36.70,37.12,1100615
24-Mar-16,36.17,36.92,35.81,36.92,1452291
23-Mar-16,37.38,37.53,36.58,36.74,1115133
