Date,Open,High,Low,Close,Volume
28-Apr-17,125.65,126.69,125.56,126.60,805375
27-Apr-17,127.39,127.88,125.71,125.99,947533
26-Apr-17,132.54,133.50,127.23,127.35,1192765
25-Apr-17,133.07,134.05,132.30,133.97,641344
24-Apr-17,134.55,135.06,131.88,132.79,579123
21-Apr-17,134.63,135.02,134.17,134.35,416841
20-Apr-17,134.97,134.97,133.08,134.64,546882
19-Apr-17,135.67,135.99,134.26,134.68,681223
18-Apr-17,136.54,137.13,135.28,135.74,501605
17-Apr-17,136.17,136.89,135.37,136.87,444996
13-Apr-17,136.52,136.73,135.06,135.52,640337
12-Apr-17,136.50,137.35,136.15,136.59,1048397
11-Apr-17,135.69,136.90,135.31,136.83,637748
10-Apr-17,134.50,136.07,134.13,135.65,699879
7-Apr-17,134.44,136.03,134.21,134.68,752549
6-Apr-17,133.96,134.72,133.40,134.56,687084
5-Apr-17,133.89,134.95,133.74,134.17,582168
4-Apr-17,132.95,134.37,131.69,133.85,1087605
3-Apr-17,132.50,133.40,131.98,133.02,632511
31-Mar-17,131.15,132.56,130.26,132.41,887545
30-Mar-17,130.83,131.57,130.05,131.38,665133
29-Mar-17,130.70,131.24,130.13,131.14,1071732
28-Mar-17,131.35,131.91,129.39,131.32,701547
27-Mar-17,132.18,132.87,130.85,131.32,634716
24-Mar-17,133.81,134.35,132.02,132.48,879177
23-Mar-17,132.06,134.66,132.04,133.85,984630
22-Mar-17,133.05,133.40,130.82,132.24,561880
21-Mar-17,133.72,134.08,132.01,132.62,869406
20-Mar-17,133.18,133.95,132.36,133.11,501921
17-Mar-17,132.71,133.87,132.20,133.19,899943
16-Mar-17,132.78,133.66,132.19,132.46,517849
15-Mar-17,130.37,133.52,129.81,132.99,954197
14-Mar-17,130.34,130.72,129.33,129.93,593563
13-Mar-17,130.52,131.56,129.83,130.48,944021
10-Mar-17,133.25,133.94,129.76,130.43,857048
9-Mar-17,134.39,135.20,131.86,132.03,945742
8-Mar-17,135.25,135.25,133.92,134.09,693467
7-Mar-17,135.44,135.75,134.85,135.66,495347
6-Mar-17,135.21,135.65,134.34,135.43,701880
3-Mar-17,135.20,135.82,134.14,135.48,812285
2-Mar-17,137.52,137.69,135.29,135.56,1162045
1-Mar-17,138.95,139.35,137.69,137.84,876467
28-Feb-17,139.72,139.72,138.58,139.03,851063
27-Feb-17,138.44,140.13,137.66,139.88,720975
24-Feb-17,139.10,139.10,137.13,138.12,917272
23-Feb-17,138.97,139.59,138.31,139.17,681503
22-Feb-17,139.03,139.16,136.51,138.66,895629
21-Feb-17,136.87,139.12,136.84,138.83,729583
17-Feb-17,137.20,137.50,135.73,137.19,1399147
16-Feb-17,136.22,138.21,135.47,136.84,890965
15-Feb-17,135.31,136.47,134.52,135.98,1301915
14-Feb-17,134.46,136.04,133.16,135.79,991896
13-Feb-17,134.35,135.01,133.28,134.76,671351
10-Feb-17,131.82,134.05,131.47,134.00,561770
9-Feb-17,132.13,132.48,131.21,131.98,420249
8-Feb-17,130.73,132.12,130.64,131.57,649444
7-Feb-17,131.54,133.31,130.32,130.64,582051
6-Feb-17,130.77,131.94,130.48,131.32,547821
3-Feb-17,132.48,133.48,130.34,130.72,627113
2-Feb-17,129.09,131.15,129.09,130.47,670895
1-Feb-17,131.25,134.37,129.13,129.27,1004879
31-Jan-17,130.44,132.37,130.40,130.90,1015929
30-Jan-17,130.90,130.90,129.25,130.27,772749
27-Jan-17,131.58,131.68,129.93,130.75,537147
26-Jan-17,130.62,131.50,130.31,131.35,441296
25-Jan-17,132.61,132.61,129.95,130.24,796728
24-Jan-17,130.88,132.43,130.39,132.21,693686
23-Jan-17,128.88,130.91,128.68,130.60,615763
20-Jan-17,128.61,129.37,128.18,129.25,649359
19-Jan-17,130.33,130.48,128.40,128.45,844901
18-Jan-17,129.59,130.47,128.92,130.36,611400
17-Jan-17,128.69,129.49,128.52,129.40,723578
13-Jan-17,128.91,129.53,128.28,128.50,513173
12-Jan-17,126.93,129.12,126.51,129.01,696555
11-Jan-17,128.64,129.47,126.74,127.00,913460
10-Jan-17,129.82,130.23,128.71,128.79,675848
9-Jan-17,131.06,131.40,129.96,130.24,818840
6-Jan-17,131.59,132.51,131.21,131.55,757477
5-Jan-17,130.20,132.55,128.76,131.85,1402999
4-Jan-17,127.66,131.61,127.22,131.22,1323452
3-Jan-17,127.70,127.93,125.99,127.18,813917
30-Dec-16,123.82,126.48,123.51,125.78,792511
29-Dec-16,122.87,124.29,121.46,123.67,497099
28-Dec-16,123.40,123.52,121.74,122.46,509937
27-Dec-16,124.14,124.99,123.30,124.25,467125
23-Dec-16,124.64,124.64,123.02,124.07,503287
22-Dec-16,124.20,124.75,122.29,124.53,749786
21-Dec-16,127.52,128.00,124.53,124.59,1083739
20-Dec-16,126.28,127.33,125.88,127.29,578910
19-Dec-16,124.70,127.06,124.70,126.15,650954
16-Dec-16,122.97,125.36,122.97,124.34,1413636
15-Dec-16,125.25,126.01,121.87,122.45,1260000
14-Dec-16,128.95,128.95,125.01,125.12,1075727
13-Dec-16,130.08,130.39,127.31,129.02,780712
12-Dec-16,128.02,129.38,127.73,129.35,628484
9-Dec-16,128.67,129.68,127.77,128.74,628343
8-Dec-16,128.34,130.66,126.86,129.50,741621
7-Dec-16,126.19,129.05,126.19,128.84,770523
6-Dec-16,124.49,126.92,124.24,126.03,786366
5-Dec-16,123.62,124.47,122.83,124.12,834832
2-Dec-16,122.76,124.26,121.89,123.11,762497
1-Dec-16,123.17,123.45,121.18,121.79,1069624
30-Nov-16,124.53,125.10,123.11,123.88,1204051
29-Nov-16,124.09,126.06,123.75,125.26,1053051
28-Nov-16,122.55,124.38,122.55,123.78,987427
25-Nov-16,122.48,123.83,122.48,122.99,237263
23-Nov-16,122.08,122.50,121.35,122.43,450883
22-Nov-16,121.54,123.10,120.42,122.75,958689
21-Nov-16,121.29,122.67,120.62,120.93,873170
18-Nov-16,121.70,122.61,121.04,121.16,1582307
17-Nov-16,122.62,123.64,121.60,121.66,511043
16-Nov-16,124.40,125.02,121.95,122.76,914860
15-Nov-16,126.15,127.44,124.26,124.52,1683093
14-Nov-16,122.50,126.47,122.42,126.07,1613505
11-Nov-16,122.16,125.37,122.14,122.50,2278637
10-Nov-16,118.28,122.60,116.20,122.31,2173629
9-Nov-16,116.07,119.06,114.55,117.80,1052772
8-Nov-16,117.80,118.78,117.42,118.08,887378
7-Nov-16,117.94,118.58,116.68,118.01,1321193
4-Nov-16,114.45,116.21,113.76,116.08,1045251
3-Nov-16,114.15,114.97,113.69,114.07,933026
2-Nov-16,117.18,117.92,114.29,114.33,1274115
1-Nov-16,120.28,120.37,116.75,117.14,978397
31-Oct-16,119.28,120.71,118.41,120.48,880995
28-Oct-16,120.25,120.95,118.43,118.94,1023411
27-Oct-16,121.77,121.91,118.45,119.78,1502108
26-Oct-16,124.52,125.00,120.91,122.89,1102586
25-Oct-16,125.80,126.17,124.87,125.33,781639
24-Oct-16,126.61,127.31,125.63,126.18,606457
21-Oct-16,125.15,126.04,124.89,125.88,669524
20-Oct-16,127.42,127.90,125.56,126.10,597399
19-Oct-16,127.38,127.64,126.60,127.28,510810
18-Oct-16,127.16,127.91,125.98,127.18,849463
17-Oct-16,126.91,127.90,126.41,126.51,859979
14-Oct-16,128.08,128.91,126.50,126.90,1089353
13-Oct-16,127.40,129.04,127.40,128.76,1101124
12-Oct-16,127.55,128.29,127.36,128.18,790376
11-Oct-16,128.50,129.00,127.09,127.44,630071
10-Oct-16,129.24,130.33,128.39,128.71,559631
7-Oct-16,129.09,130.55,127.97,129.03,752882
6-Oct-16,127.22,129.15,126.22,128.89,1019764
5-Oct-16,132.07,132.08,128.15,128.33,738254
4-Oct-16,134.40,134.40,130.63,131.43,725139
3-Oct-16,135.42,135.47,133.00,133.39,515336
30-Sep-16,137.39,137.90,135.87,136.29,840669
29-Sep-16,137.49,138.48,136.31,136.31,678863
28-Sep-16,137.68,138.70,137.38,138.38,698153
27-Sep-16,139.41,139.49,137.67,138.12,581820
26-Sep-16,139.12,139.90,138.87,139.09,530938
23-Sep-16,138.65,140.26,137.60,139.68,671850
22-Sep-16,138.52,139.56,138.46,139.04,596864
21-Sep-16,135.52,137.44,133.38,137.15,533391
20-Sep-16,135.96,136.23,134.87,135.32,487543
19-Sep-16,135.45,135.95,134.90,135.24,514189
16-Sep-16,134.15,134.88,132.83,134.70,1299205
15-Sep-16,134.65,135.25,133.84,134.76,662053
14-Sep-16,135.13,135.94,134.21,134.79,408456
13-Sep-16,137.08,137.65,134.80,134.87,836732
12-Sep-16,134.73,138.88,134.73,138.43,1177948
9-Sep-16,140.47,140.47,135.21,135.22,1075477
8-Sep-16,142.49,142.84,141.26,141.82,1309137
7-Sep-16,142.49,143.30,141.83,143.17,367780
6-Sep-16,142.40,142.76,141.26,142.75,582614
2-Sep-16,141.57,143.65,141.38,142.30,509074
1-Sep-16,140.28,141.22,139.52,141.06,844430
31-Aug-16,140.09,140.39,139.20,140.13,1144928
30-Aug-16,140.69,140.69,138.93,140.45,556311
29-Aug-16,139.46,140.90,139.24,140.46,488195
26-Aug-16,140.85,141.51,138.07,139.17,577116
25-Aug-16,140.46,142.17,140.22,140.49,560370
24-Aug-16,141.62,141.62,140.18,140.35,473651
23-Aug-16,142.42,142.64,141.33,141.35,518096
22-Aug-16,141.47,142.29,140.99,141.87,468776
19-Aug-16,141.68,141.97,140.60,141.35,764779
18-Aug-16,142.95,143.35,141.76,142.37,640262
17-Aug-16,142.31,142.93,141.05,142.88,558234
16-Aug-16,142.90,142.90,141.70,142.35,429261
15-Aug-16,143.26,143.90,143.08,143.61,620927
12-Aug-16,142.47,143.94,142.47,142.82,317170
11-Aug-16,143.47,143.61,141.45,142.35,455016
10-Aug-16,143.62,144.02,142.81,143.39,610245
9-Aug-16,142.18,143.47,142.05,143.40,516257
8-Aug-16,142.00,142.97,141.37,142.80,640754
