Date,Open,High,Low,Close,Volume
28-Apr-17,59.36,59.57,59.05,59.12,11917075
27-Apr-17,59.98,59.99,58.93,59.39,14025915
26-Apr-17,60.04,60.70,59.96,60.10,16057953
25-Apr-17,60.08,60.79,60.00,60.21,21593519
24-Apr-17,59.18,59.71,59.07,59.44,24400342
21-Apr-17,58.38,58.44,57.63,57.72,15255858
20-Apr-17,58.17,58.65,57.55,58.41,17074763
19-Apr-17,58.85,59.10,57.60,57.73,18104168
18-Apr-17,58.58,58.89,58.07,58.42,16890955
17-Apr-17,58.36,59.06,57.92,58.99,14657279
13-Apr-17,58.30,59.73,57.68,58.04,31784350
12-Apr-17,59.09,59.12,58.27,58.51,15223437
11-Apr-17,58.68,59.05,58.08,59.03,15247753
10-Apr-17,59.36,59.98,58.98,59.28,12096712
7-Apr-17,59.33,59.88,59.26,59.43,13449323
6-Apr-17,59.44,60.23,59.01,59.89,13805963
5-Apr-17,60.50,61.02,59.53,59.59,20295245
4-Apr-17,59.29,59.95,59.20,59.68,9745614
3-Apr-17,59.93,60.09,58.65,59.68,15460515
31-Mar-17,60.31,60.51,59.79,59.82,14407879
30-Mar-17,59.39,60.83,59.36,60.51,14886187
29-Mar-17,59.53,59.88,59.27,59.39,13457439
28-Mar-17,58.19,59.66,58.12,59.42,15391117
27-Mar-17,56.85,58.45,56.55,58.33,17257171
24-Mar-17,58.33,58.54,57.60,58.07,13504446
23-Mar-17,57.76,58.82,57.53,58.05,16916534
22-Mar-17,57.41,58.39,56.90,57.77,25648496
21-Mar-17,60.13,60.20,57.95,58.04,34140442
20-Mar-17,60.10,60.38,59.59,59.59,14813762
17-Mar-17,61.16,61.27,60.20,60.37,32281850
16-Mar-17,61.05,61.41,60.77,61.15,15198253
15-Mar-17,61.70,61.78,60.46,60.84,20086941
14-Mar-17,61.33,61.47,60.81,61.44,11819667
13-Mar-17,61.54,61.79,60.98,61.53,13481512
10-Mar-17,61.94,62.03,60.92,61.49,17421872
9-Mar-17,61.36,62.09,61.23,61.55,21429345
8-Mar-17,61.56,62.53,61.06,61.11,30723959
7-Mar-17,60.19,60.71,59.78,60.50,17297849
6-Mar-17,60.80,60.88,60.26,60.28,14979380
3-Mar-17,60.39,61.25,60.33,61.00,15188780
2-Mar-17,61.68,61.87,60.59,60.63,17270346
1-Mar-17,61.20,61.94,61.00,61.54,26421724
28-Feb-17,59.67,60.09,59.48,59.81,17237455
27-Feb-17,59.56,60.24,59.41,60.02,15711367
24-Feb-17,59.88,60.18,59.11,59.56,19900288
23-Feb-17,60.64,60.84,60.23,60.62,14624376
22-Feb-17,60.18,60.95,60.02,60.62,16025724
21-Feb-17,60.29,60.69,60.23,60.55,15812721
17-Feb-17,59.70,60.17,59.40,60.17,15120623
16-Feb-17,60.35,60.50,59.76,60.38,15916578
15-Feb-17,60.16,60.87,59.70,60.50,22423933
14-Feb-17,59.00,60.11,58.75,59.83,22359291
13-Feb-17,57.99,59.36,57.99,58.95,22779759
10-Feb-17,57.82,57.95,57.13,57.63,14421653
9-Feb-17,56.65,57.54,56.37,57.26,18054082
8-Feb-17,56.92,56.92,56.14,56.32,18626642
7-Feb-17,58.00,58.07,57.01,57.19,13996938
6-Feb-17,57.51,58.35,57.34,57.64,15680214
3-Feb-17,57.04,57.88,56.59,57.76,21404139
2-Feb-17,55.49,56.21,55.23,55.98,15586814
1-Feb-17,56.72,56.98,55.88,56.05,17441473
31-Jan-17,56.33,56.96,55.58,55.83,29221002
30-Jan-17,56.51,56.68,55.76,56.61,17537643
27-Jan-17,57.39,57.41,56.72,57.11,17074243
26-Jan-17,57.60,57.98,57.05,57.36,20792703
25-Jan-17,57.90,57.92,57.10,57.69,21492914
24-Jan-17,55.96,57.15,55.68,56.74,18416436
23-Jan-17,56.12,56.29,55.42,55.68,23130215
20-Jan-17,56.95,57.12,56.03,56.11,27722281
19-Jan-17,57.53,57.60,56.39,56.66,24932449
18-Jan-17,57.99,58.28,57.10,57.39,29276183
17-Jan-17,59.01,59.32,58.03,58.38,25013769
13-Jan-17,59.45,60.32,59.38,59.63,21045164
12-Jan-17,59.53,59.82,58.76,59.23,22778873
11-Jan-17,59.66,60.00,59.24,59.96,20737634
10-Jan-17,60.20,60.85,59.95,60.23,13483329
9-Jan-17,60.15,60.64,59.67,60.22,14592998
6-Jan-17,60.68,60.84,60.08,60.55,16778439
5-Jan-17,60.97,61.43,59.91,60.34,18317911
4-Jan-17,60.69,61.63,60.61,61.41,16947520
3-Jan-17,60.68,61.09,59.75,60.59,18322398
30-Dec-16,59.50,59.80,59.19,59.43,16588499
29-Dec-16,60.02,60.12,58.68,59.38,17121238
28-Dec-16,61.00,61.20,59.98,60.04,17127359
