Date,Open,High,Low,Close,Volume
28-Apr-17,38.75,38.94,38.64,38.78,2609932
27-Apr-17,39.02,39.18,38.76,38.81,1912376
26-Apr-17,39.21,39.22,38.73,39.01,4340374
25-Apr-17,40.00,40.16,39.22,39.33,5297423
24-Apr-17,40.96,41.04,40.80,40.93,1925365
21-Apr-17,40.70,40.93,40.66,40.66,3629619
20-Apr-17,40.50,40.89,40.40,40.72,2347083
19-Apr-17,40.86,40.92,40.41,40.48,1896066
18-Apr-17,40.47,41.02,40.43,40.79,2371906
17-Apr-17,40.36,40.46,40.23,40.46,1742256
13-Apr-17,40.57,40.64,40.32,40.32,2399983
12-Apr-17,40.37,40.71,40.31,40.62,2703615
11-Apr-17,40.50,40.58,40.36,40.50,2162898
10-Apr-17,40.48,40.69,40.41,40.57,2763382
7-Apr-17,40.44,40.58,40.35,40.49,2446023
6-Apr-17,40.39,40.64,40.25,40.48,2410708
5-Apr-17,40.13,40.70,40.13,40.40,2316527
4-Apr-17,40.31,40.43,40.08,40.22,2000586
3-Apr-17,40.41,40.65,40.31,40.35,2276229
31-Mar-17,40.39,40.61,40.33,40.34,2391969
30-Mar-17,40.58,40.59,40.22,40.28,2237407
29-Mar-17,40.19,40.73,40.17,40.59,3622270
28-Mar-17,40.16,40.40,40.01,40.20,3278657
27-Mar-17,40.33,40.56,40.04,40.14,3891175
24-Mar-17,40.49,40.84,40.30,40.47,3503170
23-Mar-17,40.81,41.29,40.32,40.35,4566438
22-Mar-17,40.86,40.95,40.32,40.48,4049456
21-Mar-17,40.39,41.09,40.23,40.79,5235442
20-Mar-17,41.41,41.42,40.82,40.82,3835205
17-Mar-17,41.42,41.63,41.34,41.42,3963939
16-Mar-17,41.41,41.54,41.26,41.48,2645573
15-Mar-17,41.09,41.65,40.91,41.50,3479445
14-Mar-17,41.02,41.29,40.98,41.24,2189104
13-Mar-17,40.82,41.04,40.78,41.02,2084597
10-Mar-17,40.80,41.09,40.78,40.91,3101595
9-Mar-17,40.39,40.69,40.20,40.57,4586666
8-Mar-17,40.75,40.90,40.23,40.31,5106656
7-Mar-17,41.13,41.31,40.72,40.75,3952519
6-Mar-17,40.91,41.31,40.85,41.25,2271377
3-Mar-17,41.02,41.20,40.93,41.15,2872236
2-Mar-17,41.18,41.27,40.85,41.07,4585738
1-Mar-17,41.36,41.68,41.18,41.21,3913022
28-Feb-17,40.92,41.39,40.90,41.21,4935576
27-Feb-17,41.00,41.03,40.80,40.89,3451988
24-Feb-17,40.47,41.19,40.45,41.16,3342788
23-Feb-17,40.49,40.74,40.36,40.50,2809682
22-Feb-17,40.21,40.78,40.05,40.48,2689232
21-Feb-17,39.70,40.50,39.65,40.20,5347403
17-Feb-17,39.52,39.77,39.23,39.61,4081471
16-Feb-17,39.96,40.29,39.74,39.93,2717443
15-Feb-17,39.80,40.12,39.55,39.94,4632796
14-Feb-17,39.61,39.90,39.52,39.79,1828523
13-Feb-17,39.81,39.93,39.54,39.76,2259619
10-Feb-17,39.69,39.99,39.27,39.84,1676822
9-Feb-17,39.56,40.00,39.43,39.73,4269579
8-Feb-17,39.56,39.61,39.26,39.52,2615662
7-Feb-17,39.22,39.57,39.16,39.54,2892454
6-Feb-17,39.44,39.47,39.13,39.23,2448747
3-Feb-17,39.48,39.54,39.16,39.37,1757718
2-Feb-17,39.07,39.44,39.00,39.24,2166552
1-Feb-17,38.97,39.14,38.77,38.94,2922234
31-Jan-17,38.72,39.15,38.72,39.09,2659368
30-Jan-17,38.95,39.09,38.76,39.02,2104263
27-Jan-17,39.03,39.12,38.77,38.99,1746568
26-Jan-17,38.99,39.21,38.84,38.95,2147017
25-Jan-17,39.25,39.64,39.18,39.22,2873767
24-Jan-17,38.88,39.30,38.80,39.21,2190010
23-Jan-17,39.04,39.27,38.80,38.89,4011260
20-Jan-17,38.85,39.27,38.75,39.13,3572937
19-Jan-17,38.70,38.86,38.58,38.69,2670636
18-Jan-17,38.66,39.01,38.55,38.72,2607474
17-Jan-17,38.50,38.67,38.34,38.61,3085670
13-Jan-17,38.60,38.81,38.39,38.51,2237059
12-Jan-17,38.53,38.87,38.31,38.51,2431215
11-Jan-17,38.66,38.73,38.27,38.64,2568522
10-Jan-17,38.39,38.57,38.16,38.29,2541606
9-Jan-17,38.61,38.78,38.38,38.44,3046642
6-Jan-17,38.83,38.99,38.73,38.74,3341213
5-Jan-17,39.15,39.44,38.88,38.95,4367157
4-Jan-17,39.80,39.88,38.89,39.09,4066026
3-Jan-17,39.71,39.91,39.40,39.76,2608086
30-Dec-16,39.85,39.85,39.48,39.55,2521327
29-Dec-16,39.69,39.96,39.65,39.78,2385103
28-Dec-16,39.83,39.93,38.74,39.54,1998701
27-Dec-16,39.84,39.97,39.69,39.85,1601017
23-Dec-16,39.22,39.87,39.21,39.77,2924982
22-Dec-16,38.36,39.43,38.24,39.29,5734764
21-Dec-16,38.11,38.41,37.93,38.00,3789260
20-Dec-16,38.02,38.35,37.72,38.23,2736736
19-Dec-16,38.66,38.84,38.25,38.36,3402344
16-Dec-16,38.45,38.83,38.25,38.41,4293422
15-Dec-16,37.80,38.52,37.67,38.42,4397635
14-Dec-16,38.49,38.64,37.58,37.74,4613565
13-Dec-16,38.64,38.93,38.36,38.41,2896961
12-Dec-16,38.42,38.74,38.12,38.62,2264664
9-Dec-16,37.77,38.54,37.44,38.44,4500267
8-Dec-16,37.57,38.00,37.57,37.68,2318801
7-Dec-16,37.55,38.01,37.49,37.79,3669294
6-Dec-16,37.21,37.66,37.05,37.62,3352795
5-Dec-16,36.92,37.28,36.81,37.15,2891874
2-Dec-16,36.68,37.13,36.59,36.89,2924088
1-Dec-16,36.38,36.61,35.96,36.47,3842143
30-Nov-16,37.34,37.57,36.66,36.69,4139537
29-Nov-16,37.70,37.95,37.56,37.72,3840386
28-Nov-16,37.71,37.94,37.46,37.66,2546973
25-Nov-16,37.21,37.72,37.21,37.71,1466645
23-Nov-16,37.44,37.68,37.07,37.17,3240494
22-Nov-16,37.17,37.67,37.15,37.55,3594303
21-Nov-16,36.64,37.19,36.62,37.04,4294243
18-Nov-16,36.49,36.82,36.36,36.80,5240429
17-Nov-16,36.22,36.56,35.93,36.52,3199298
16-Nov-16,35.86,36.37,35.86,36.27,4167677
15-Nov-16,35.54,36.00,35.48,35.82,4426146
14-Nov-16,34.90,35.79,34.82,35.49,7192036
11-Nov-16,34.22,35.07,33.61,34.93,9027885
10-Nov-16,36.93,37.36,33.73,34.30,12061900
9-Nov-16,47.33,47.94,46.73,47.84,3039131
8-Nov-16,47.93,48.86,47.93,48.68,4110066
7-Nov-16,47.00,48.08,47.00,48.06,2644482
4-Nov-16,47.11,47.31,46.55,46.56,1807759
3-Nov-16,47.76,47.88,46.97,47.08,2345967
2-Nov-16,47.64,47.87,47.40,47.63,2217801
1-Nov-16,48.16,48.21,47.44,47.59,2501019
31-Oct-16,48.03,48.42,47.99,48.18,2244869
28-Oct-16,47.46,48.25,47.46,48.09,2360239
27-Oct-16,47.73,47.87,47.42,47.46,1754995
26-Oct-16,47.86,48.12,47.70,48.05,2208708
25-Oct-16,47.74,48.04,47.68,47.84,1693793
24-Oct-16,48.20,48.29,47.64,47.69,1960918
21-Oct-16,47.28,48.58,47.00,48.01,4740614
20-Oct-16,47.82,47.87,47.22,47.48,2761850
19-Oct-16,48.40,48.59,47.44,47.85,3644546
18-Oct-16,47.89,48.81,47.64,48.38,4202054
17-Oct-16,47.59,47.64,47.42,47.50,1964849
14-Oct-16,47.66,47.80,47.31,47.55,3231043
13-Oct-16,46.99,47.05,46.49,46.92,1942269
12-Oct-16,47.03,47.37,47.02,47.22,2214638
11-Oct-16,47.38,47.50,46.86,46.98,2313067
10-Oct-16,47.03,47.49,47.00,47.38,1837757
7-Oct-16,47.20,47.22,46.61,46.83,2930359
6-Oct-16,46.96,47.25,46.86,47.12,2323749
5-Oct-16,47.45,47.65,47.12,47.15,4037673
4-Oct-16,47.53,47.89,47.34,47.49,3997248
3-Oct-16,46.84,47.90,46.81,47.53,4442788
30-Sep-16,46.57,47.36,46.50,47.11,5951750
29-Sep-16,45.29,46.71,44.93,46.25,10169180
28-Sep-16,43.17,43.29,42.92,43.13,2861101
27-Sep-16,43.21,43.53,43.06,43.24,2813619
26-Sep-16,43.38,43.54,43.02,43.04,3320940
23-Sep-16,43.45,43.76,43.35,43.55,3460844
22-Sep-16,43.51,43.70,43.28,43.59,3051913
21-Sep-16,42.69,43.32,42.50,43.25,3518321
20-Sep-16,43.44,43.44,42.66,42.70,5649950
19-Sep-16,43.32,43.40,43.00,43.20,2978403
16-Sep-16,43.58,43.59,43.07,43.25,4897811
15-Sep-16,43.58,43.86,43.41,43.66,2186765
14-Sep-16,44.05,44.07,43.68,43.82,2005984
13-Sep-16,44.28,44.42,43.91,43.99,2141007
12-Sep-16,43.42,44.54,43.34,44.46,3749256
9-Sep-16,44.53,44.53,43.32,43.32,4901322
8-Sep-16,45.62,45.63,44.87,44.88,4412827
7-Sep-16,46.29,46.40,45.71,45.84,1933436
6-Sep-16,46.58,46.70,46.18,46.41,1609843
2-Sep-16,46.17,46.77,46.13,46.64,1563938
1-Sep-16,46.41,46.60,45.77,46.02,2517527
31-Aug-16,46.37,46.70,46.14,46.61,2610128
30-Aug-16,46.51,46.51,46.14,46.33,2644815
29-Aug-16,46.18,46.67,46.15,46.57,1432802
26-Aug-16,46.19,46.57,45.93,46.04,1614514
25-Aug-16,46.29,46.42,46.03,46.07,1497634
24-Aug-16,46.35,46.38,45.99,46.23,2795114
23-Aug-16,47.05,47.05,46.17,46.25,2494837
22-Aug-16,46.92,47.15,46.70,47.05,1573685
19-Aug-16,46.71,46.99,46.51,46.94,1570716
18-Aug-16,46.25,46.93,46.05,46.86,2069706
17-Aug-16,45.78,46.32,45.53,46.31,3365364
16-Aug-16,46.04,46.09,45.79,45.80,1586418
15-Aug-16,46.53,46.58,46.27,46.28,1312827
12-Aug-16,46.25,46.64,46.07,46.58,2001732
11-Aug-16,46.45,46.53,46.06,46.15,2274278
10-Aug-16,46.74,46.74,46.28,46.36,2213480
9-Aug-16,46.33,46.73,46.29,46.66,1776108
8-Aug-16,46.43,46.84,46.34,46.65,2257493
5-Aug-16,47.00,47.15,46.28,46.31,3493828
4-Aug-16,46.94,47.24,46.68,46.81,1672675
3-Aug-16,46.74,47.12,46.51,46.94,3638505
2-Aug-16,47.26,47.26,46.65,46.74,3113844
1-Aug-16,46.70,47.01,46.62,46.91,2538270
29-Jul-16,46.39,47.04,46.33,46.76,2372827
28-Jul-16,45.87,46.51,45.80,46.41,2895536
27-Jul-16,46.45,46.54,45.95,45.98,4048102
26-Jul-16,47.39,47.60,46.62,46.65,2424030
25-Jul-16,47.23,47.45,47.19,47.37,1542946
22-Jul-16,47.03,47.38,46.95,47.32,2369194
21-Jul-16,47.50,47.50,46.89,47.00,1819131
20-Jul-16,47.87,47.87,47.40,47.44,2729017
19-Jul-16,47.76,48.08,47.62,47.77,2750864
18-Jul-16,48.04,48.25,47.96,48.06,1600562
15-Jul-16,48.19,48.29,47.84,47.98,2395197
14-Jul-16,48.18,48.36,48.02,48.10,1782970
13-Jul-16,47.65,48.22,47.51,48.18,2045713
12-Jul-16,48.15,48.21,47.66,47.72,2181019
11-Jul-16,48.24,48.29,47.96,48.11,3070039
8-Jul-16,47.88,48.35,47.88,48.30,3065617
7-Jul-16,47.70,48.26,47.64,47.73,4073802
6-Jul-16,47.58,47.76,47.47,47.50,4748922
5-Jul-16,48.18,48.38,47.72,47.73,4138636
1-Jul-16,47.91,48.81,47.82,48.39,3983793
30-Jun-16,46.82,48.06,46.10,47.81,5943250
29-Jun-16,46.94,47.60,46.70,47.60,6867401
28-Jun-16,47.09,47.29,46.71,47.10,3330060
27-Jun-16,46.70,47.10,46.39,46.96,4438389
24-Jun-16,47.07,47.46,46.65,46.95,8415079
23-Jun-16,47.79,47.94,47.40,47.91,3432535
22-Jun-16,47.62,47.85,47.23,47.40,2723070
21-Jun-16,47.20,47.56,47.20,47.46,2204451
20-Jun-16,47.19,47.61,47.06,47.08,2351315
17-Jun-16,46.96,46.99,46.38,46.87,3609510
16-Jun-16,46.45,47.07,46.35,47.04,2145550
15-Jun-16,46.66,46.79,46.37,46.49,1929089
14-Jun-16,46.48,46.70,46.07,46.62,1888843
13-Jun-16,46.83,47.17,46.40,46.47,2057409
10-Jun-16,46.95,47.20,46.71,46.95,1337537
9-Jun-16,46.70,47.17,46.58,47.15,1900066
8-Jun-16,46.63,46.93,46.51,46.74,1994609
7-Jun-16,46.37,46.80,46.29,46.66,2442836
6-Jun-16,46.44,46.65,46.12,46.30,1967949
3-Jun-16,46.10,46.78,46.01,46.51,2728125
2-Jun-16,45.63,46.21,45.54,46.18,2422149
1-Jun-16,45.67,45.91,45.31,45.70,2600446
31-May-16,45.87,46.30,45.59,45.70,4710444
27-May-16,45.45,45.65,45.11,45.29,1304981
26-May-16,44.83,45.50,44.74,45.45,1825715
25-May-16,44.55,44.84,44.51,44.72,1519989
24-May-16,44.41,44.68,44.24,44.59,2859731
23-May-16,44.30,44.64,44.18,44.34,2377158
20-May-16,44.80,44.92,44.20,44.38,2269365
19-May-16,44.61,44.78,44.22,44.72,1510407
18-May-16,44.52,44.94,43.95,44.72,2494146
17-May-16,45.49,45.66,44.41,44.67,2753628
16-May-16,45.88,45.94,45.58,45.70,2097508
13-May-16,46.36,46.48,45.56,45.88,1811171
12-May-16,46.04,46.64,46.02,46.43,1993493
11-May-16,46.29,46.51,45.71,45.83,1752594
10-May-16,45.84,46.35,45.60,46.34,2573657
9-May-16,45.08,45.83,45.02,45.68,2309113
6-May-16,44.88,45.06,44.07,44.99,1563783
5-May-16,44.71,45.10,44.51,44.88,1680435
4-May-16,44.17,45.00,44.09,44.78,1910786
3-May-16,44.66,44.76,44.16,44.33,2022142
2-May-16,44.62,45.29,44.58,44.90,2090842
29-Apr-16,44.52,44.83,44.24,44.56,1853611
28-Apr-16,44.53,44.96,44.48,44.69,2127379
27-Apr-16,44.39,45.02,44.28,44.88,2208036
26-Apr-16,44.57,45.06,44.48,44.60,2569583
25-Apr-16,44.38,44.75,44.23,44.55,1983995
22-Apr-16,44.47,44.67,43.98,44.58,2027568
21-Apr-16,45.32,45.39,44.29,44.45,3632322
20-Apr-16,45.23,45.66,44.85,45.39,3708499
19-Apr-16,45.82,45.82,45.26,45.29,3287932
18-Apr-16,45.60,45.75,45.36,45.65,2522403
15-Apr-16,45.29,45.79,45.24,45.64,3108128
14-Apr-16,45.53,45.96,45.19,45.23,2607774
13-Apr-16,46.34,46.50,45.47,45.71,3386747
12-Apr-16,45.73,46.44,45.66,46.31,3102177
11-Apr-16,46.14,46.32,45.66,45.69,2439376
8-Apr-16,46.37,46.46,45.80,46.14,2986955
7-Apr-16,45.63,46.64,45.03,46.09,4883060
6-Apr-16,45.07,45.49,44.96,45.43,3263145
5-Apr-16,45.27,45.47,44.92,45.09,2526454
4-Apr-16,45.30,45.45,44.74,45.41,3285149
1-Apr-16,44.33,45.84,44.21,45.76,3930081
31-Mar-16,44.86,45.03,44.50,44.62,3093785
30-Mar-16,44.69,45.21,44.46,44.95,2714291
29-Mar-16,44.33,44.66,44.21,44.44,2285249
28-Mar-16,44.06,44.43,43.80,44.28,2853663
24-Mar-16,43.70,44.35,43.39,44.07,4793328
23-Mar-16,42.87,43.34,42.60,43.31,3462691
22-Mar-16,43.03,43.13,42.70,42.94,2864017
21-Mar-16,43.11,43.50,42.94,43.14,2058270
18-Mar-16,43.72,43.77,43.03,43.26,5862275
17-Mar-16,44.00,44.14,43.57,43.67,2538857
16-Mar-16,43.85,44.01,43.36,43.91,2642814
15-Mar-16,43.59,44.27,43.49,44.09,2804267
14-Mar-16,43.59,43.91,43.50,43.77,1830652
11-Mar-16,43.68,43.89,43.39,43.86,2084509
10-Mar-16,43.30,43.66,43.14,43.40,2461141
9-Mar-16,43.00,43.29,42.79,43.25,1894901
8-Mar-16,42.59,43.06,42.55,42.78,1898131
7-Mar-16,42.96,43.17,42.65,42.84,2726667
4-Mar-16,43.09,43.49,43.03,43.30,2359020
3-Mar-16,42.62,43.11,42.45,43.09,2187596
2-Mar-16,42.42,42.82,42.12,42.76,1972883
1-Mar-16,42.34,42.63,42.08,42.51,2335863
29-Feb-16,42.01,42.45,42.00,42.06,2133818
26-Feb-16,42.80,43.03,42.01,42.08,1706005
25-Feb-16,42.10,42.50,41.94,42.48,2350944
24-Feb-16,41.64,42.02,41.27,41.98,1707414
23-Feb-16,41.77,42.09,41.74,41.92,1528901
22-Feb-16,42.00,42.15,41.65,41.91,2426767
19-Feb-16,41.64,41.91,41.16,41.84,2207777
18-Feb-16,41.72,42.00,41.40,41.76,1698916
17-Feb-16,42.00,42.14,41.70,41.70,2628904
16-Feb-16,41.80,41.98,41.19,41.77,3203659
12-Feb-16,41.45,41.72,41.08,41.60,3913822
11-Feb-16,39.65,40.50,39.50,40.26,2862164
10-Feb-16,39.77,40.62,39.60,40.24,2854380
9-Feb-16,38.83,40.00,38.68,39.70,3519734
8-Feb-16,39.11,39.32,38.24,39.13,3762532
5-Feb-16,40.08,40.50,39.24,39.39,3046066
4-Feb-16,40.94,41.07,39.81,40.03,3586536
3-Feb-16,40.99,41.23,40.36,41.13,2911209
2-Feb-16,41.49,41.61,40.84,40.91,2862039
1-Feb-16,41.52,42.14,41.36,41.98,3709451
29-Jan-16,40.63,41.81,40.56,41.64,5469140
28-Jan-16,39.48,40.52,39.26,40.11,2743012
27-Jan-16,39.34,40.05,38.98,39.34,2439147
26-Jan-16,39.26,39.83,39.03,39.50,2109099
25-Jan-16,39.90,40.00,38.92,39.08,4124042
22-Jan-16,39.67,40.32,39.40,40.25,3257590
21-Jan-16,39.25,39.42,38.68,39.25,3774695
20-Jan-16,38.47,38.91,37.97,38.70,3712530
19-Jan-16,39.25,39.41,38.72,38.87,2666462
15-Jan-16,39.12,39.37,38.40,39.04,4092156
14-Jan-16,39.56,40.26,39.32,40.03,3010125
13-Jan-16,40.80,40.91,39.48,39.53,2346599
12-Jan-16,40.49,40.78,40.22,40.69,2700164
11-Jan-16,40.64,40.83,39.80,40.19,3426316
8-Jan-16,40.57,40.83,40.09,40.56,7746774
7-Jan-16,41.19,41.61,40.17,40.36,5216242
6-Jan-16,41.17,42.09,41.01,41.79,6379736
5-Jan-16,41.60,41.85,41.39,41.57,3322396
4-Jan-16,41.69,41.93,41.05,41.54,4230220
31-Dec-15,42.33,42.61,41.74,42.16,1957478
30-Dec-15,42.54,42.91,42.43,42.59,2020988
29-Dec-15,42.40,42.89,42.39,42.70,1735963
28-Dec-15,42.00,42.38,41.93,42.37,2071748
24-Dec-15,42.41,42.48,42.04,42.13,1503645
23-Dec-15,41.44,42.66,41.38,42.42,4093314
22-Dec-15,41.17,41.84,40.97,41.43,5334883
21-Dec-15,40.96,41.30,40.62,40.99,4513129
18-Dec-15,40.30,41.07,40.27,40.59,6347688
17-Dec-15,40.70,41.11,40.27,40.63,2424632
16-Dec-15,40.12,41.09,39.94,40.80,4163735
15-Dec-15,39.64,39.92,39.28,39.61,3368878
14-Dec-15,39.37,39.74,38.97,39.29,3843677
11-Dec-15,39.83,39.95,39.07,39.31,2780319
