Date,Open,High,Low,Close,Volume
28-Apr-17,73.17,73.21,72.13,72.59,3348092
27-Apr-17,72.77,73.26,72.44,73.14,1858392
26-Apr-17,72.71,72.82,72.25,72.31,2570932
25-Apr-17,72.16,72.71,72.10,72.36,2026858
24-Apr-17,73.21,73.45,72.32,72.48,3077517
21-Apr-17,73.11,73.24,72.02,72.50,2908164
20-Apr-17,72.76,73.88,71.88,73.31,4581909
19-Apr-17,72.60,72.85,71.29,72.52,5473779
18-Apr-17,72.65,74.00,71.95,72.39,13338106
17-Apr-17,81.48,81.91,81.19,81.83,928686
13-Apr-17,81.56,81.98,81.38,81.43,1084410
12-Apr-17,81.71,81.98,81.04,81.71,1273300
11-Apr-17,82.37,82.60,81.87,82.30,1056757
10-Apr-17,82.37,82.80,82.17,82.41,1140121
7-Apr-17,82.30,82.80,81.85,82.35,1803823
6-Apr-17,81.40,82.75,80.86,82.71,2369056
5-Apr-17,80.68,81.61,80.32,80.53,1112969
4-Apr-17,80.75,80.76,80.17,80.42,1205467
3-Apr-17,81.73,82.26,80.71,80.96,1973752
31-Mar-17,81.51,81.97,81.22,81.55,1735844
30-Mar-17,81.69,81.97,81.04,81.67,1312129
29-Mar-17,82.24,82.24,81.46,82.05,1521827
28-Mar-17,81.95,82.29,81.61,82.20,1406677
27-Mar-17,80.93,82.31,80.89,82.25,1368711
24-Mar-17,81.10,81.58,80.83,81.23,1700624
23-Mar-17,81.62,82.05,80.97,81.10,1397108
22-Mar-17,81.74,81.86,81.07,81.64,1209487
21-Mar-17,82.42,82.88,81.24,81.45,1343957
20-Mar-17,83.15,83.18,82.20,82.37,1169169
17-Mar-17,83.04,83.22,82.51,83.11,2624394
16-Mar-17,83.69,83.74,82.45,82.83,1985918
15-Mar-17,82.73,84.13,82.66,83.80,3091957
14-Mar-17,82.25,84.88,81.86,82.60,1704325
13-Mar-17,82.14,82.70,81.71,82.55,1689990
10-Mar-17,82.28,82.42,81.77,82.04,1714399
9-Mar-17,81.47,82.11,81.12,81.94,2018451
8-Mar-17,81.30,81.94,81.14,81.20,2634022
7-Mar-17,81.09,81.59,80.77,81.21,2144402
6-Mar-17,82.45,82.84,81.68,81.70,2330549
3-Mar-17,82.24,83.00,81.73,82.85,1888965
2-Mar-17,81.93,82.50,81.58,81.79,2065293
1-Mar-17,82.18,82.51,81.72,82.05,1919732
28-Feb-17,82.01,82.32,81.29,81.37,1938807
27-Feb-17,82.14,82.62,81.90,82.49,1400594
24-Feb-17,81.54,82.15,80.91,82.14,1331548
23-Feb-17,81.30,81.85,80.92,81.73,1795377
22-Feb-17,81.19,81.56,80.87,81.08,1545285
21-Feb-17,80.50,81.51,80.28,81.34,2170266
17-Feb-17,80.00,80.78,79.56,80.71,2498960
16-Feb-17,80.25,80.48,79.23,80.24,1801999
15-Feb-17,78.97,80.49,78.01,80.42,2732617
14-Feb-17,77.59,79.04,77.38,78.88,1777368
13-Feb-17,77.81,78.40,77.25,78.07,1523464
10-Feb-17,77.50,77.73,76.78,77.40,1688227
9-Feb-17,77.81,77.90,77.04,77.45,2053629
8-Feb-17,77.40,77.85,76.67,77.81,2464965
7-Feb-17,75.50,79.69,75.00,77.76,6390740
6-Feb-17,74.85,76.06,74.85,75.97,2951765
3-Feb-17,74.69,75.09,74.41,74.87,1581084
2-Feb-17,74.91,75.20,73.79,74.44,2428320
1-Feb-17,74.43,75.39,74.16,75.35,2569333
31-Jan-17,73.89,75.05,72.88,74.96,3543405
30-Jan-17,72.53,73.31,72.11,73.19,1645492
27-Jan-17,73.58,73.58,71.99,72.47,3023673
26-Jan-17,73.34,74.14,72.43,73.09,3866326
25-Jan-17,75.01,75.96,74.67,75.87,1556744
24-Jan-17,74.77,74.85,74.30,74.65,1060588
23-Jan-17,74.90,75.12,74.27,74.72,2180949
20-Jan-17,75.55,75.78,74.93,75.03,2389670
19-Jan-17,75.60,75.76,75.24,75.55,2240098
18-Jan-17,75.65,75.85,75.03,75.80,1768558
17-Jan-17,74.61,75.86,74.37,75.18,1523725
13-Jan-17,74.48,75.14,74.26,75.00,1443727
12-Jan-17,73.40,74.27,73.29,74.19,1998574
11-Jan-17,75.15,75.63,72.85,73.72,3049378
10-Jan-17,74.58,75.97,74.52,75.22,2420456
9-Jan-17,75.03,75.60,74.75,74.76,1985668
6-Jan-17,74.62,75.41,74.17,75.33,2306919
5-Jan-17,75.33,75.59,74.31,74.50,1921038
4-Jan-17,74.50,75.69,74.50,75.63,2461482
3-Jan-17,71.99,74.75,71.90,74.48,4459440
30-Dec-16,72.33,72.61,71.72,71.97,1613135
29-Dec-16,72.31,73.15,72.23,72.35,1728426
28-Dec-16,73.13,73.69,72.52,72.55,1514804
27-Dec-16,72.92,73.65,72.89,73.07,1500864
23-Dec-16,72.36,73.40,72.10,72.88,995715
22-Dec-16,72.66,72.99,71.87,72.11,1612996
21-Dec-16,72.49,72.98,71.82,72.62,3206815
20-Dec-16,73.87,74.28,72.97,73.35,2397292
19-Dec-16,73.77,74.32,73.11,73.70,2936548
16-Dec-16,73.29,73.87,72.95,73.76,3726859
15-Dec-16,72.50,73.21,71.97,73.00,3210017
14-Dec-16,73.74,73.93,72.13,72.47,2523676
13-Dec-16,73.61,74.09,73.25,73.75,2548881
12-Dec-16,72.90,73.70,72.62,73.48,2447580
9-Dec-16,71.13,73.29,71.10,73.04,3048168
8-Dec-16,70.57,71.37,70.06,71.11,2362331
7-Dec-16,70.20,70.63,68.60,70.50,5534530
6-Dec-16,72.01,72.16,70.72,71.42,2726233
5-Dec-16,70.96,72.15,70.74,72.10,3302621
2-Dec-16,71.19,71.68,70.74,70.83,2362930
1-Dec-16,70.94,71.89,70.66,70.93,3332219
30-Nov-16,71.02,71.57,70.77,71.01,4885579
29-Nov-16,71.51,71.78,70.44,70.99,4099165
28-Nov-16,71.33,71.95,70.90,71.57,3038685
25-Nov-16,70.96,71.84,70.37,71.11,1035562
23-Nov-16,69.79,70.58,69.64,70.55,1806401
22-Nov-16,70.16,70.41,69.35,70.13,2747550
21-Nov-16,70.85,71.17,69.95,70.25,3712770
18-Nov-16,71.53,71.59,70.65,70.77,2653027
17-Nov-16,71.19,72.09,70.99,71.64,2355123
16-Nov-16,71.13,71.96,70.67,70.83,2491302
15-Nov-16,72.53,72.82,71.20,71.39,4890383
14-Nov-16,71.45,72.81,71.16,72.35,3144353
11-Nov-16,71.42,71.86,70.39,71.37,3162639
10-Nov-16,69.76,71.97,69.76,71.72,5995321
9-Nov-16,68.53,71.72,65.72,69.25,6758485
8-Nov-16,64.46,65.64,62.70,65.35,5774657
7-Nov-16,66.23,66.39,65.38,66.00,3356866
4-Nov-16,65.58,66.01,64.77,65.17,5803634
3-Nov-16,69.01,69.55,65.02,65.38,5542123
2-Nov-16,67.09,68.95,66.92,68.66,4877803
1-Nov-16,68.53,68.90,66.32,66.89,6047728
31-Oct-16,68.53,71.13,67.84,68.69,7407207
28-Oct-16,65.07,68.90,63.26,67.50,13666746
27-Oct-16,74.69,75.18,74.30,74.80,1756978
26-Oct-16,74.56,74.87,73.50,74.40,2151608
25-Oct-16,75.33,75.33,74.34,74.91,2252365
24-Oct-16,75.58,76.35,75.55,75.61,1427737
21-Oct-16,75.15,75.21,74.54,75.15,1690046
20-Oct-16,75.24,75.73,75.05,75.58,1209138
19-Oct-16,75.74,75.88,75.14,75.21,1697474
18-Oct-16,75.53,75.85,75.14,75.73,1295975
