Date,Open,High,Low,Close,Volume
28-Apr-17,138.41,138.63,137.07,137.25,1489376
27-Apr-17,139.10,139.48,138.34,138.42,1033206
26-Apr-17,138.39,140.39,137.80,138.93,2167537
25-Apr-17,137.33,137.79,136.85,137.12,1870428
24-Apr-17,137.36,137.65,136.02,136.78,2436492
21-Apr-17,136.55,136.90,135.43,135.48,2472204
20-Apr-17,136.70,137.04,135.80,136.78,1714143
19-Apr-17,138.38,138.38,136.56,136.97,1463496
18-Apr-17,137.79,138.38,137.48,137.50,1206784
17-Apr-17,137.06,138.34,136.75,138.19,1017205
13-Apr-17,136.70,137.16,136.25,136.72,1124751
12-Apr-17,137.10,137.24,136.42,137.02,1904425
11-Apr-17,137.40,138.07,137.11,137.80,917064
10-Apr-17,137.47,138.42,136.66,137.98,1004575
7-Apr-17,136.94,138.03,136.94,137.47,1010649
6-Apr-17,137.18,137.98,136.40,137.59,1437113
5-Apr-17,137.66,138.11,136.68,136.78,1157395
4-Apr-17,136.19,137.44,136.19,137.34,956512
3-Apr-17,136.37,136.63,135.66,136.27,1128458
31-Mar-17,137.05,137.06,136.22,136.25,1709053
30-Mar-17,136.17,137.30,136.11,137.05,726118
29-Mar-17,136.87,136.98,136.24,136.50,1034322
28-Mar-17,136.07,138.33,135.96,138.00,1466658
27-Mar-17,135.00,136.69,134.80,136.66,1148224
24-Mar-17,136.66,136.93,135.54,136.06,942613
23-Mar-17,136.52,137.96,136.40,136.66,1546471
22-Mar-17,136.08,137.07,135.71,136.65,1298204
21-Mar-17,137.47,137.89,135.64,136.08,1656934
20-Mar-17,137.86,137.86,137.09,137.14,950809
17-Mar-17,137.80,138.10,137.15,138.10,2874870
16-Mar-17,138.35,138.60,137.28,137.73,1214239
15-Mar-17,137.93,138.55,137.28,138.26,1421960
14-Mar-17,137.29,137.81,136.98,137.33,1016415
13-Mar-17,137.70,138.20,137.13,137.54,1285429
10-Mar-17,137.80,137.89,137.12,137.81,1074949
9-Mar-17,137.21,137.82,136.96,137.41,1051767
8-Mar-17,137.90,138.38,136.79,136.96,1134812
7-Mar-17,137.30,137.76,136.94,137.41,1133575
6-Mar-17,137.92,138.38,137.56,137.69,1204575
3-Mar-17,138.35,138.73,137.64,138.65,1240892
2-Mar-17,139.67,140.32,138.39,138.40,1161760
1-Mar-17,139.11,140.56,138.05,140.38,1602548
28-Feb-17,136.87,138.51,136.69,138.17,1463195
27-Feb-17,138.20,138.65,137.18,137.61,897887
24-Feb-17,138.48,139.35,137.74,138.41,978205
23-Feb-17,138.00,139.30,137.65,139.01,984862
22-Feb-17,136.00,137.91,135.49,137.76,1243998
21-Feb-17,136.04,136.87,135.12,136.73,1318734
17-Feb-17,135.35,136.25,134.74,136.19,1431549
16-Feb-17,134.30,135.74,134.10,135.73,1421074
15-Feb-17,134.04,134.55,133.52,134.46,936791
14-Feb-17,133.86,134.16,132.97,133.99,1006210
13-Feb-17,132.95,133.96,132.25,133.81,1007517
10-Feb-17,132.20,133.21,131.74,132.76,868068
9-Feb-17,131.20,132.21,130.68,131.88,919864
8-Feb-17,130.55,131.19,130.17,130.83,983391
7-Feb-17,131.99,131.99,130.36,130.75,1526409
6-Feb-17,131.10,132.25,130.92,131.43,1056427
3-Feb-17,132.00,132.26,130.95,131.28,1487072
2-Feb-17,128.15,130.97,128.00,130.77,2038742
1-Feb-17,128.87,129.69,127.15,128.48,3620606
31-Jan-17,131.15,132.00,130.54,131.49,1521379
30-Jan-17,133.26,133.26,131.20,131.71,1497304
27-Jan-17,133.19,133.32,132.34,133.30,1105591
26-Jan-17,133.00,133.40,132.37,133.06,1045752
25-Jan-17,132.60,133.34,132.51,133.07,1294246
24-Jan-17,131.77,132.82,131.54,131.97,1359810
23-Jan-17,131.54,131.64,130.99,131.43,1010640
20-Jan-17,131.66,132.48,130.74,131.41,1801749
19-Jan-17,132.10,132.40,130.91,131.27,1626942
18-Jan-17,131.27,132.06,130.84,131.97,1868145
17-Jan-17,129.72,131.45,129.33,130.99,2000328
13-Jan-17,130.21,130.75,129.97,130.25,1059711
12-Jan-17,129.89,130.21,128.98,129.79,1225848
11-Jan-17,129.96,130.44,129.46,130.36,1545039
10-Jan-17,130.46,131.27,130.32,130.46,1134894
9-Jan-17,131.08,131.54,130.35,130.51,1537582
6-Jan-17,130.87,131.98,130.67,131.33,1595489
5-Jan-17,131.48,131.89,129.83,130.63,1731384
4-Jan-17,132.11,132.33,131.01,131.52,1324381
3-Jan-17,132.74,132.74,131.02,131.71,1401146
30-Dec-16,132.66,132.98,131.79,132.12,1351403
29-Dec-16,132.28,132.64,131.84,132.24,953177
28-Dec-16,132.45,132.87,132.13,132.16,1005547
27-Dec-16,133.10,133.46,132.46,132.68,968434
23-Dec-16,133.32,133.57,132.69,133.11,911227
22-Dec-16,133.58,133.69,132.56,133.31,1224024
21-Dec-16,133.23,133.51,132.84,133.32,984468
20-Dec-16,133.65,133.77,132.58,132.99,1255304
19-Dec-16,132.87,133.49,132.57,133.24,951034
16-Dec-16,132.76,132.95,131.73,132.71,2739929
15-Dec-16,132.03,133.62,131.73,132.35,1586045
14-Dec-16,133.20,133.37,130.42,131.88,1660053
13-Dec-16,133.41,133.89,132.86,133.26,1628444
12-Dec-16,132.59,132.99,131.95,132.86,1438117
9-Dec-16,132.32,132.97,131.49,132.48,1244563
8-Dec-16,132.43,132.99,131.55,132.20,1951468
7-Dec-16,130.43,132.15,129.92,132.08,2454502
6-Dec-16,128.97,130.29,128.41,130.09,2318099
5-Dec-16,128.31,129.08,128.00,128.72,1399241
2-Dec-16,128.58,128.96,127.78,127.82,1663870
1-Dec-16,128.32,129.09,127.71,129.03,1811290
30-Nov-16,128.94,129.57,127.54,128.00,2924199
29-Nov-16,127.01,128.59,126.21,128.24,1722887
28-Nov-16,126.25,126.95,125.70,126.76,1576243
25-Nov-16,127.05,127.12,126.07,126.65,534232
23-Nov-16,126.65,127.50,125.95,126.69,1082194
22-Nov-16,127.59,127.59,126.05,126.41,1645668
21-Nov-16,126.86,127.25,126.16,127.05,1622202
18-Nov-16,125.63,126.73,125.00,126.30,1989656
17-Nov-16,125.24,125.98,124.48,125.34,1257866
16-Nov-16,124.62,125.58,124.10,125.42,2151413
15-Nov-16,126.21,126.34,124.82,125.12,1962939
14-Nov-16,127.42,127.93,126.44,126.90,1914102
11-Nov-16,126.24,126.98,125.47,126.85,1781297
10-Nov-16,126.36,126.67,124.38,126.46,3074456
9-Nov-16,124.69,126.34,123.50,125.85,2500413
8-Nov-16,124.53,125.84,124.07,125.38,1846526
7-Nov-16,124.58,124.96,123.99,124.50,1893205
4-Nov-16,124.84,125.38,123.08,123.11,1565411
3-Nov-16,125.14,125.83,124.26,124.45,1146961
2-Nov-16,125.54,126.00,124.68,124.72,1227161
1-Nov-16,127.25,127.44,124.80,125.49,1381431
31-Oct-16,128.04,128.37,126.88,127.00,1615230
28-Oct-16,127.38,128.56,126.24,127.51,2234528
27-Oct-16,127.27,127.73,126.78,127.01,2114234
26-Oct-16,124.36,127.19,123.57,127.00,3248565
25-Oct-16,122.37,123.04,121.88,122.45,1508778
24-Oct-16,122.60,123.27,122.03,122.28,1302155
21-Oct-16,122.00,122.27,121.48,121.90,2094293
20-Oct-16,125.64,125.64,122.92,123.03,2238825
19-Oct-16,125.71,126.31,125.34,126.03,915263
18-Oct-16,126.49,126.75,125.23,125.34,1491540
17-Oct-16,125.90,126.31,125.46,125.68,869599
14-Oct-16,126.02,126.63,125.65,125.85,1403419
13-Oct-16,124.13,125.43,123.43,125.22,1211380
12-Oct-16,123.99,125.12,123.73,124.93,925952
11-Oct-16,124.47,124.74,123.35,123.74,1389571
10-Oct-16,125.44,125.57,124.62,124.88,945230
7-Oct-16,122.51,125.09,122.51,124.43,2489654
6-Oct-16,123.26,123.50,121.58,121.88,2308213
5-Oct-16,123.70,123.98,122.75,123.17,1189776
4-Oct-16,124.57,124.91,122.63,122.96,1585153
3-Oct-16,125.44,125.53,123.82,124.21,1033233
30-Sep-16,124.80,126.12,124.69,125.65,1646157
29-Sep-16,125.50,125.84,124.02,124.39,899215
28-Sep-16,124.80,125.73,124.45,125.68,865264
27-Sep-16,124.46,125.88,124.27,125.28,1132431
26-Sep-16,124.85,125.07,124.12,124.38,1451310
23-Sep-16,126.42,126.67,125.48,125.48,1477480
22-Sep-16,126.93,127.54,126.69,127.45,953442
21-Sep-16,125.53,126.57,125.26,126.49,1449844
20-Sep-16,126.32,126.53,125.14,125.16,781123
19-Sep-16,125.40,125.91,124.70,125.29,917651
16-Sep-16,124.79,125.47,123.88,124.71,1995221
15-Sep-16,124.43,125.82,124.18,125.42,1198760
14-Sep-16,125.87,125.90,124.37,124.65,1258469
13-Sep-16,124.84,126.58,124.84,125.85,1839732
12-Sep-16,124.00,126.59,123.64,126.31,1718161
9-Sep-16,125.71,125.86,124.28,124.28,1720515
8-Sep-16,127.37,127.56,126.43,126.51,1082685
7-Sep-16,127.44,128.13,127.05,127.53,1263770
6-Sep-16,127.65,128.08,127.01,128.04,1047227
2-Sep-16,127.50,128.34,127.17,127.81,1087218
1-Sep-16,126.96,127.37,125.95,127.10,1219630
31-Aug-16,127.22,127.50,126.50,126.93,1408274
30-Aug-16,127.14,127.27,126.54,127.24,1188996
29-Aug-16,126.10,127.35,126.10,127.08,1033685
26-Aug-16,126.31,126.97,125.26,125.91,987615
25-Aug-16,125.16,126.47,125.03,126.06,939315
24-Aug-16,125.14,125.45,124.90,125.26,794766
23-Aug-16,126.05,126.48,125.35,125.38,1196856
22-Aug-16,126.11,126.44,125.60,126.32,810228
19-Aug-16,126.81,127.33,126.02,126.48,1126434
18-Aug-16,127.28,127.38,125.69,127.26,1599176
17-Aug-16,126.05,126.29,125.51,126.09,1170952
