Date,Open,High,Low,Close,Volume
28-Apr-17,35.89,36.06,35.45,35.81,2049643
27-Apr-17,35.99,36.47,35.75,36.00,3978552
26-Apr-17,34.30,34.59,33.92,34.55,2244440
25-Apr-17,34.60,34.64,34.30,34.30,1633823
24-Apr-17,34.90,35.07,34.32,34.41,2970717
21-Apr-17,34.17,34.60,34.08,34.38,2297274
20-Apr-17,33.73,34.24,33.62,34.17,1945641
19-Apr-17,33.46,33.95,33.46,33.60,2151467
18-Apr-17,33.13,33.45,32.90,33.38,1775912
17-Apr-17,32.67,33.22,32.46,33.21,2829580
13-Apr-17,33.22,33.37,32.60,32.64,2034043
12-Apr-17,33.46,33.58,33.14,33.36,3217303
11-Apr-17,33.01,33.37,32.53,33.36,2456098
10-Apr-17,32.97,33.43,32.80,33.06,2359740
7-Apr-17,32.79,33.02,32.56,32.94,2084127
6-Apr-17,32.52,32.97,32.30,32.96,2414031
5-Apr-17,33.00,33.24,32.43,32.48,2536792
4-Apr-17,33.52,33.52,32.32,32.80,4960470
3-Apr-17,34.81,35.04,33.56,33.71,3836534
31-Mar-17,34.57,34.82,34.24,34.79,2211455
30-Mar-17,34.31,34.75,34.24,34.74,1429318
29-Mar-17,34.00,34.42,33.91,34.32,3333071
28-Mar-17,33.65,34.25,33.41,33.99,3397654
27-Mar-17,33.79,33.94,33.62,33.70,3186534
24-Mar-17,35.00,35.08,34.13,34.38,3834912
23-Mar-17,34.91,35.30,34.84,34.95,2097757
22-Mar-17,35.08,35.11,34.54,34.88,3550725
21-Mar-17,35.70,35.84,35.02,35.16,1643213
20-Mar-17,35.96,35.98,35.35,35.55,1787187
17-Mar-17,36.35,36.59,36.01,36.03,3244628
16-Mar-17,36.05,36.28,35.97,36.21,1945890
15-Mar-17,35.72,36.19,35.45,35.96,2818422
14-Mar-17,35.89,35.92,35.36,35.47,2018016
13-Mar-17,36.44,36.61,35.88,35.95,2102760
10-Mar-17,36.33,36.45,35.88,36.40,2315559
9-Mar-17,36.32,36.74,35.97,36.01,2222373
8-Mar-17,36.16,36.56,36.14,36.30,1534630
7-Mar-17,35.82,36.22,35.82,36.16,1640358
6-Mar-17,36.19,36.22,35.60,35.92,1929965
3-Mar-17,36.31,36.55,35.95,36.43,1508283
2-Mar-17,36.09,36.59,36.01,36.38,2749684
1-Mar-17,36.25,36.42,35.94,36.16,2200812
28-Feb-17,35.64,35.79,35.42,35.62,2340974
27-Feb-17,35.24,35.89,35.24,35.72,1487755
24-Feb-17,35.48,35.69,35.19,35.27,1856085
23-Feb-17,35.79,35.87,35.35,35.70,1858201
22-Feb-17,35.43,35.66,35.30,35.59,2012239
21-Feb-17,35.70,36.09,35.27,35.49,2623428
17-Feb-17,34.90,35.78,34.86,35.68,2990647
16-Feb-17,35.46,35.63,34.73,35.02,6289992
15-Feb-17,35.12,35.65,34.99,35.44,2870437
14-Feb-17,34.49,35.22,34.32,35.13,2198992
13-Feb-17,34.34,34.80,34.21,34.49,3108330
10-Feb-17,32.79,34.94,32.48,34.00,6707968
9-Feb-17,30.91,31.61,30.86,31.57,1848979
8-Feb-17,30.86,30.86,30.43,30.78,1665749
7-Feb-17,31.19,31.46,30.85,30.95,1582281
6-Feb-17,31.22,31.35,30.98,31.02,1938614
3-Feb-17,31.23,31.51,30.98,31.49,1851427
2-Feb-17,30.45,30.78,30.21,30.72,2000063
