Date,Open,High,Low,Close,Volume
28-Apr-17,82.48,82.72,81.85,82.41,1823792
27-Apr-17,83.80,83.80,82.29,82.40,1115737
26-Apr-17,82.40,84.08,82.40,83.63,1186265
25-Apr-17,84.10,84.62,83.93,84.16,968732
24-Apr-17,83.82,84.15,83.30,83.84,1435620
21-Apr-17,82.97,83.53,82.74,82.99,880331
20-Apr-17,82.72,83.30,82.28,83.00,945638
19-Apr-17,81.94,82.50,81.94,82.22,636636
18-Apr-17,81.75,82.62,81.75,81.93,654064
17-Apr-17,81.26,82.25,80.93,82.16,607155
13-Apr-17,81.36,82.16,80.58,81.29,672430
12-Apr-17,80.59,81.63,80.12,81.53,1050451
11-Apr-17,80.62,80.99,80.00,80.59,1003354
10-Apr-17,81.29,81.57,80.78,81.11,721400
7-Apr-17,80.35,81.19,80.01,81.08,1019156
6-Apr-17,80.43,80.83,80.11,80.32,1105833
5-Apr-17,81.06,81.51,80.24,80.42,1020527
4-Apr-17,80.63,80.92,80.22,80.89,1156409
3-Apr-17,81.03,81.44,80.06,80.67,743737
31-Mar-17,80.40,81.32,79.40,81.07,1009055
30-Mar-17,79.13,80.10,78.83,80.00,776220
29-Mar-17,79.12,79.22,78.31,79.21,990410
28-Mar-17,78.92,79.63,78.69,79.14,625656
27-Mar-17,78.83,79.33,78.32,79.18,657428
24-Mar-17,80.09,80.35,79.12,79.44,623435
23-Mar-17,79.90,80.26,79.35,79.85,896414
22-Mar-17,79.55,80.07,79.18,79.73,1055789
21-Mar-17,80.94,80.94,79.41,79.64,1264599
20-Mar-17,80.38,80.97,80.08,80.51,1151436
17-Mar-17,80.29,80.68,79.91,80.57,1464998
16-Mar-17,80.42,80.76,80.19,80.45,846323
15-Mar-17,80.75,80.75,79.90,80.26,1483937
14-Mar-17,79.89,80.59,79.85,80.38,846914
13-Mar-17,79.76,80.46,79.47,80.25,1055827
10-Mar-17,79.12,79.67,78.78,79.63,1231768
9-Mar-17,78.53,78.59,77.86,78.58,2220068
8-Mar-17,78.17,78.75,77.85,78.39,1285002
7-Mar-17,78.16,78.48,77.80,77.97,1243064
6-Mar-17,78.06,78.54,77.71,77.99,1122970
3-Mar-17,78.62,78.89,77.68,78.27,1742760
2-Mar-17,79.10,79.17,77.77,78.25,2155802
1-Mar-17,78.67,80.62,78.40,79.30,2719446
28-Feb-17,78.62,78.80,77.33,78.05,20233347
27-Feb-17,79.84,80.00,78.40,78.96,1412331
24-Feb-17,79.29,80.29,79.23,79.70,2141990
23-Feb-17,80.57,80.82,80.01,80.26,669704
22-Feb-17,79.94,80.88,79.86,80.54,712686
21-Feb-17,81.18,81.36,80.46,80.54,860129
17-Feb-17,80.33,81.32,79.95,80.94,1104413
16-Feb-17,80.10,80.47,79.62,80.40,679830
15-Feb-17,79.56,80.22,79.36,80.16,739503
14-Feb-17,79.14,79.92,78.89,79.62,692437
13-Feb-17,77.71,79.24,77.71,79.10,560820
10-Feb-17,78.37,78.37,77.53,77.67,434387
9-Feb-17,77.06,78.19,76.75,78.13,508522
8-Feb-17,78.79,79.22,76.80,76.97,882317
7-Feb-17,78.54,80.10,77.53,79.19,1572833
6-Feb-17,78.05,78.22,77.45,77.79,962244
3-Feb-17,78.56,78.86,77.73,78.14,1116353
2-Feb-17,77.98,78.90,77.77,77.94,849663
1-Feb-17,79.76,79.99,78.39,78.45,622688
31-Jan-17,78.70,79.76,78.25,79.62,1383576
30-Jan-17,77.46,77.87,76.80,77.87,615725
27-Jan-17,78.07,78.38,77.34,77.83,464583
26-Jan-17,77.99,78.25,77.64,77.97,701892
25-Jan-17,77.00,78.11,76.69,77.95,707365
24-Jan-17,76.37,77.27,76.28,76.79,558550
23-Jan-17,76.64,76.70,75.61,76.05,646025
20-Jan-17,75.89,76.65,75.60,76.64,692855
19-Jan-17,75.19,75.79,75.01,75.75,624060
18-Jan-17,75.07,75.32,74.39,75.29,507874
17-Jan-17,75.13,75.58,74.67,74.76,792727
13-Jan-17,74.52,75.06,73.56,75.02,513258
12-Jan-17,73.69,73.84,72.64,73.83,453999
11-Jan-17,73.69,74.06,73.12,73.94,578261
10-Jan-17,74.61,74.98,73.66,73.68,548320
9-Jan-17,75.25,75.36,74.12,74.53,569630
6-Jan-17,75.94,76.09,75.43,75.50,732372
5-Jan-17,75.65,76.19,74.85,75.09,591500
4-Jan-17,74.47,75.91,73.64,75.88,871812
3-Jan-17,73.68,74.21,72.54,73.01,652323
30-Dec-16,73.76,74.10,73.48,73.89,522683
29-Dec-16,73.54,73.70,73.27,73.67,383447
28-Dec-16,74.02,74.13,73.24,73.31,365349
27-Dec-16,73.52,73.90,73.04,73.74,428219
23-Dec-16,73.56,73.63,72.82,73.40,438758
22-Dec-16,74.22,74.56,73.27,73.70,371838
21-Dec-16,74.89,75.12,74.02,74.13,512576
20-Dec-16,74.90,75.12,74.16,74.90,718250
19-Dec-16,75.96,76.76,75.24,75.42,521313
16-Dec-16,75.71,76.22,75.40,75.72,1841850
15-Dec-16,76.15,76.55,75.50,75.57,890788
14-Dec-16,76.31,76.70,75.97,76.27,654940
13-Dec-16,77.13,77.29,76.51,76.59,514049
12-Dec-16,76.85,77.19,76.29,76.66,770636
9-Dec-16,75.57,76.74,75.53,76.68,919027
8-Dec-16,74.70,75.66,74.26,75.28,743510
7-Dec-16,73.71,75.14,73.53,74.84,1323106
6-Dec-16,73.01,73.74,72.77,73.55,1178451
5-Dec-16,71.92,72.94,71.80,72.64,1123712
2-Dec-16,70.16,72.18,69.95,72.06,1397240
1-Dec-16,69.22,69.51,68.41,69.48,981059
30-Nov-16,68.83,69.45,68.22,68.90,1183191
29-Nov-16,68.58,69.08,68.14,68.80,983688
28-Nov-16,68.40,68.72,67.90,68.63,811736
25-Nov-16,68.23,68.64,67.85,68.43,250438
23-Nov-16,68.09,68.47,67.85,67.94,626515
22-Nov-16,68.71,68.71,68.13,68.26,596316
21-Nov-16,68.83,68.83,68.23,68.46,1691666
18-Nov-16,68.75,68.82,67.89,68.68,1253128
17-Nov-16,68.46,69.01,68.38,68.87,528240
16-Nov-16,68.20,68.66,67.92,68.60,592398
15-Nov-16,68.43,68.60,67.97,68.53,840571
14-Nov-16,68.09,68.95,67.86,68.77,1878453
11-Nov-16,67.40,68.17,66.99,67.94,2151361
10-Nov-16,66.51,68.36,65.25,67.64,1618102
9-Nov-16,63.86,66.22,63.63,66.19,1311493
8-Nov-16,63.40,63.88,62.97,63.59,852719
7-Nov-16,63.92,64.06,62.75,63.70,823968
4-Nov-16,63.22,64.09,62.68,63.40,549781
3-Nov-16,62.74,63.44,62.73,62.99,657153
2-Nov-16,62.80,63.46,62.80,62.90,445882
1-Nov-16,63.01,63.40,62.58,63.11,815677
31-Oct-16,62.98,63.44,62.40,63.21,895723
28-Oct-16,62.07,63.49,61.72,63.24,1123270
27-Oct-16,62.67,62.79,61.58,62.16,1381725
26-Oct-16,63.77,64.00,63.31,63.51,972159
25-Oct-16,64.52,64.54,63.75,63.92,693782
24-Oct-16,64.15,64.45,63.96,64.33,507346
21-Oct-16,63.68,64.04,62.89,63.92,1346971
20-Oct-16,65.20,65.20,63.77,63.78,605813
19-Oct-16,64.97,65.14,64.61,64.85,905982
18-Oct-16,65.21,65.35,64.71,65.01,708471
17-Oct-16,65.94,65.98,64.52,64.58,819222
14-Oct-16,66.19,66.54,65.81,66.09,595322
13-Oct-16,66.22,66.66,65.69,65.89,1080013
12-Oct-16,66.85,67.50,66.17,66.81,692651
11-Oct-16,67.35,67.66,66.30,67.10,1315569
10-Oct-16,68.01,68.43,66.61,66.89,787300
7-Oct-16,67.23,68.25,67.10,67.85,741323
6-Oct-16,67.05,67.58,66.70,67.56,541864
5-Oct-16,66.99,67.56,66.53,67.41,1213639
4-Oct-16,66.76,67.33,66.33,66.84,1389087
3-Oct-16,64.91,65.93,64.64,65.76,1026911
30-Sep-16,65.50,65.61,64.62,64.85,1171823
29-Sep-16,66.29,66.68,64.94,65.27,1020982
28-Sep-16,67.20,67.34,65.77,66.31,1562067
27-Sep-16,67.13,67.26,66.30,66.91,2630694
26-Sep-16,69.16,70.53,66.27,66.59,3242863
