Date,Open,High,Low,Close,Volume
28-Apr-17,94.87,95.01,94.09,94.60,1821318
27-Apr-17,94.85,95.59,94.69,95.02,2593892
26-Apr-17,94.20,94.70,93.75,94.50,5034034
25-Apr-17,96.73,97.00,93.51,94.27,2857364
24-Apr-17,95.95,96.16,94.22,94.71,3261355
21-Apr-17,95.83,96.21,95.14,95.53,2207034
20-Apr-17,96.58,96.58,95.68,96.04,4264105
19-Apr-17,96.87,97.30,96.28,96.52,1976126
18-Apr-17,96.21,97.07,95.94,96.79,2008324
17-Apr-17,96.43,96.75,95.90,96.30,2387556
13-Apr-17,96.40,96.49,95.88,96.00,2056962
12-Apr-17,95.50,96.48,95.36,96.45,1857595
11-Apr-17,95.15,96.10,95.12,95.82,1860673
10-Apr-17,94.54,95.03,94.51,94.98,1231749
7-Apr-17,94.42,94.87,93.93,94.50,1324626
6-Apr-17,93.60,94.49,93.38,94.38,1982385
5-Apr-17,94.01,94.50,93.64,93.69,1609716
4-Apr-17,94.22,94.28,93.69,93.83,1900634
3-Apr-17,94.44,95.47,93.78,94.23,2128436
31-Mar-17,94.25,94.75,93.92,94.45,2118026
30-Mar-17,94.54,95.00,94.09,94.62,1384773
29-Mar-17,94.63,95.45,94.40,94.54,1883938
28-Mar-17,93.99,94.77,93.92,94.58,3497651
27-Mar-17,93.48,94.06,93.30,93.96,2740499
24-Mar-17,93.09,93.95,92.78,93.68,2232259
23-Mar-17,91.66,93.27,91.44,93.00,2405388
22-Mar-17,90.97,91.81,90.44,91.72,3937308
21-Mar-17,91.18,92.06,90.62,90.70,3294076
20-Mar-17,89.80,91.07,89.78,90.89,2404398
17-Mar-17,89.60,90.32,89.53,89.80,2597675
16-Mar-17,89.92,90.20,89.04,89.62,2528811
15-Mar-17,88.86,90.33,88.71,89.92,2882962
14-Mar-17,90.34,90.57,89.64,89.65,1838538
13-Mar-17,90.41,90.78,90.06,90.60,2523015
10-Mar-17,91.05,91.39,89.88,90.28,2127092
9-Mar-17,90.73,90.88,90.02,90.51,2210670
8-Mar-17,92.23,92.38,90.60,90.61,2164531
7-Mar-17,91.90,92.77,91.24,91.50,1408466
6-Mar-17,91.59,92.19,91.29,91.96,2135343
3-Mar-17,92.45,92.77,90.85,91.75,2546492
2-Mar-17,93.15,93.65,92.56,92.69,1416349
1-Mar-17,93.43,93.43,91.91,93.01,1942714
28-Feb-17,92.51,93.70,92.22,93.53,2294025
27-Feb-17,92.66,93.11,91.88,92.57,1558322
24-Feb-17,91.00,92.66,90.54,92.59,2147779
23-Feb-17,90.90,92.11,90.64,91.26,2489998
22-Feb-17,90.35,90.65,89.78,90.58,1865059
21-Feb-17,89.21,90.11,88.83,90.00,2552571
17-Feb-17,90.55,91.35,88.54,89.23,3408985
16-Feb-17,90.10,90.97,90.10,90.50,1559224
15-Feb-17,89.62,90.17,89.04,90.04,1717781
14-Feb-17,90.03,90.34,89.17,90.25,2041517
13-Feb-17,87.94,90.23,87.92,90.22,2225252
10-Feb-17,87.53,87.71,86.93,87.56,1229103
9-Feb-17,87.73,88.00,87.36,87.78,1052566
8-Feb-17,87.50,88.27,87.37,87.66,1116509
7-Feb-17,87.29,87.54,86.72,87.42,1093616
6-Feb-17,88.72,88.72,86.94,87.04,1711667
3-Feb-17,88.34,89.13,88.12,88.74,2090737
2-Feb-17,86.71,87.88,86.50,87.77,1777499
1-Feb-17,88.28,88.79,86.63,86.65,2286486
31-Jan-17,87.35,87.86,86.84,87.83,3073156
30-Jan-17,86.94,87.09,86.22,86.76,1390126
27-Jan-17,88.16,88.54,86.68,86.85,1497628
26-Jan-17,88.06,90.14,87.79,88.01,2120112
25-Jan-17,88.03,88.14,86.80,87.18,1797360
24-Jan-17,87.13,87.69,86.80,87.66,1885350
23-Jan-17,86.90,87.36,86.83,87.06,1424919
20-Jan-17,86.11,86.89,86.09,86.82,1842928
19-Jan-17,87.06,87.25,85.67,85.80,1782009
18-Jan-17,87.39,88.27,87.06,87.20,1318809
17-Jan-17,85.63,87.50,85.59,87.36,1816740
13-Jan-17,85.20,85.98,85.16,85.68,1270463
12-Jan-17,85.11,85.43,84.63,85.18,1379707
11-Jan-17,84.45,85.61,84.22,85.20,1645233
10-Jan-17,85.53,85.69,83.96,84.36,2220656
9-Jan-17,85.61,86.00,84.59,85.73,2141555
6-Jan-17,87.24,87.33,85.45,85.50,2568834
5-Jan-17,87.24,87.51,86.78,87.24,2400327
4-Jan-17,87.07,87.51,87.03,87.32,1939480
3-Jan-17,87.25,87.62,86.50,86.80,2472076
30-Dec-16,87.13,87.14,86.40,86.77,1633082
29-Dec-16,86.99,87.29,86.54,87.01,1681355
28-Dec-16,87.69,87.88,86.68,86.77,1115575
27-Dec-16,87.44,87.96,87.20,87.53,790309
23-Dec-16,87.40,87.81,86.97,87.24,562519
22-Dec-16,87.02,87.50,86.29,87.13,1272257
21-Dec-16,87.61,88.25,87.11,87.13,1528108
20-Dec-16,87.26,87.76,87.00,87.57,1245117
19-Dec-16,85.94,87.46,85.71,87.26,1422179
16-Dec-16,86.39,86.50,85.32,85.70,5407323
15-Dec-16,86.10,86.60,85.33,85.89,2248017
14-Dec-16,87.10,87.45,86.05,86.21,3017986
13-Dec-16,87.23,88.10,87.04,87.96,2669936
12-Dec-16,85.51,87.40,85.04,86.85,2789341
9-Dec-16,85.16,85.65,84.81,85.57,1871292
8-Dec-16,84.95,85.37,84.42,85.00,2137439
7-Dec-16,83.72,84.85,83.39,84.74,2670127
6-Dec-16,84.05,84.66,83.26,83.44,3265090
5-Dec-16,81.78,83.28,81.47,83.26,2153533
2-Dec-16,82.10,83.13,81.33,81.88,2660452
1-Dec-16,83.19,83.33,80.82,81.53,3122691
30-Nov-16,85.01,85.07,83.45,83.46,3883508
29-Nov-16,84.45,85.54,83.90,85.23,2427529
28-Nov-16,84.70,85.33,83.82,84.35,3068301
25-Nov-16,84.23,85.09,84.12,84.77,860687
23-Nov-16,84.91,85.27,83.76,84.16,2116198
22-Nov-16,85.10,85.89,84.38,85.42,2218677
21-Nov-16,85.21,85.41,84.10,84.55,2532639
18-Nov-16,85.10,85.83,84.73,85.00,2357483
17-Nov-16,85.01,85.83,84.51,85.11,3432698
16-Nov-16,82.90,85.26,82.90,85.09,4909867
15-Nov-16,82.17,83.10,81.90,82.79,4978859
14-Nov-16,82.63,82.66,79.38,81.99,6627941
11-Nov-16,83.03,84.00,81.69,82.25,9705530
10-Nov-16,85.47,85.47,82.08,82.90,6994518
9-Nov-16,88.50,88.74,85.27,85.73,5479382
8-Nov-16,89.23,89.93,89.23,89.80,3664041
7-Nov-16,89.09,89.53,88.35,89.04,5054068
4-Nov-16,88.02,88.18,87.46,87.81,2655392
3-Nov-16,88.14,88.38,87.53,87.67,1992219
2-Nov-16,87.94,88.55,87.51,87.90,6492668
1-Nov-16,91.33,91.59,89.50,89.94,2975836
31-Oct-16,91.70,91.93,90.60,90.99,2559296
28-Oct-16,90.97,91.71,90.83,91.22,1588505
27-Oct-16,92.70,92.70,90.71,90.78,1803868
26-Oct-16,93.42,94.27,92.11,92.53,2419314
25-Oct-16,94.93,95.37,93.60,93.94,3137062
24-Oct-16,95.54,95.84,94.20,95.14,3932867
21-Oct-16,90.59,95.09,90.57,94.92,4441601
20-Oct-16,91.72,91.81,90.80,91.54,2425503
19-Oct-16,92.15,92.36,90.64,91.71,2302999
18-Oct-16,92.49,92.80,91.60,91.82,2325199
17-Oct-16,92.28,92.79,91.83,91.99,1347277
14-Oct-16,91.94,92.98,91.82,92.03,2141435
13-Oct-16,91.35,92.10,91.16,91.82,1888927
12-Oct-16,88.83,91.82,88.83,91.45,3352186
11-Oct-16,88.61,89.38,88.43,89.00,2321178
10-Oct-16,88.31,89.00,88.10,88.70,1029223
7-Oct-16,89.14,89.98,87.96,88.30,1617969
6-Oct-16,88.90,89.79,88.22,88.84,2303082
5-Oct-16,91.23,91.51,88.40,89.06,3829011
4-Oct-16,93.59,93.59,90.54,90.86,3191356
3-Oct-16,93.78,94.13,93.04,93.42,2308146
30-Sep-16,94.46,94.87,93.73,94.21,2712541
29-Sep-16,94.42,94.50,93.20,94.01,2473874
28-Sep-16,95.09,95.36,94.36,94.37,2649750
27-Sep-16,95.99,96.10,94.97,94.98,1910815
26-Sep-16,94.85,95.84,94.65,95.61,2611896
23-Sep-16,94.20,95.60,93.97,95.18,2603339
22-Sep-16,93.98,95.30,93.85,94.83,3964659
21-Sep-16,91.53,93.50,91.08,93.44,2882289
20-Sep-16,92.37,92.47,91.56,91.57,2263346
19-Sep-16,90.51,92.05,90.37,91.80,2511319
16-Sep-16,91.13,91.27,89.82,90.37,3927171
15-Sep-16,91.38,92.10,91.05,91.46,2762475
14-Sep-16,91.49,91.93,91.01,91.39,2293616
13-Sep-16,94.12,94.26,90.97,91.87,4138062
12-Sep-16,93.02,94.21,92.54,93.93,2685323
9-Sep-16,97.06,97.06,93.29,93.31,5777777
8-Sep-16,98.60,98.74,97.62,97.66,3438088
