Date,Open,High,Low,Close,Volume
28-Apr-17,27.56,27.56,26.71,26.74,3567819
27-Apr-17,27.57,27.63,26.90,27.43,3005082
26-Apr-17,27.18,27.45,26.98,27.26,3773853
25-Apr-17,26.67,27.55,26.45,27.34,5094604
24-Apr-17,26.31,26.46,25.90,26.41,3341786
21-Apr-17,26.46,26.50,25.82,26.00,3916288
20-Apr-17,26.70,26.95,26.53,26.58,3750109
19-Apr-17,27.07,27.24,26.36,26.60,3468322
18-Apr-17,27.27,27.27,26.74,27.08,4645787
17-Apr-17,28.50,28.50,27.38,27.51,4606858
13-Apr-17,28.50,28.85,28.28,28.42,2695921
12-Apr-17,29.40,29.48,28.49,28.62,5074593
11-Apr-17,29.82,30.01,29.52,29.65,4062135
10-Apr-17,29.53,30.07,29.36,29.86,2306881
7-Apr-17,29.54,29.85,29.20,29.51,2922986
6-Apr-17,28.85,29.70,28.76,29.66,3638746
5-Apr-17,29.39,29.52,28.76,28.80,3892969
4-Apr-17,28.42,29.25,28.28,29.23,5140820
3-Apr-17,29.42,29.67,28.14,28.42,5237486
31-Mar-17,29.67,29.79,28.90,29.35,7377723
30-Mar-17,30.62,30.86,29.48,29.67,6368852
29-Mar-17,30.27,31.10,30.27,30.86,4344359
28-Mar-17,29.26,30.42,29.13,30.24,3948238
27-Mar-17,28.74,29.51,28.65,29.24,3387212
24-Mar-17,29.49,29.70,28.98,29.18,6549053
23-Mar-17,29.06,29.52,28.87,29.39,3676419
22-Mar-17,29.29,29.58,28.72,29.23,4495829
21-Mar-17,30.46,30.53,29.40,29.54,5078275
20-Mar-17,29.98,30.40,29.65,30.39,6301988
17-Mar-17,28.96,29.58,28.92,29.29,9977087
16-Mar-17,29.10,29.16,28.35,28.71,4926593
15-Mar-17,28.83,29.39,28.48,28.85,6407066
14-Mar-17,29.18,29.18,28.49,28.68,4798411
13-Mar-17,29.68,29.68,29.20,29.42,4511606
10-Mar-17,29.39,29.61,29.00,29.42,3142414
9-Mar-17,29.91,30.89,29.00,29.34,5520044
8-Mar-17,30.12,30.45,29.54,29.62,4775880
7-Mar-17,30.67,30.75,29.88,30.20,5349425
6-Mar-17,30.79,31.08,30.42,30.83,3378785
3-Mar-17,31.47,31.53,30.84,30.95,5302280
2-Mar-17,32.15,32.30,31.53,31.56,4037638
1-Mar-17,31.99,32.27,31.36,32.15,5654604
28-Feb-17,31.15,32.14,31.02,31.42,5672538
27-Feb-17,31.10,31.54,30.92,31.49,3897784
24-Feb-17,31.42,31.51,30.58,31.15,5696401
23-Feb-17,33.24,33.26,31.08,31.82,7986243
22-Feb-17,33.76,33.98,33.19,33.22,3145939
21-Feb-17,34.18,34.54,33.44,33.93,5137493
17-Feb-17,33.51,34.15,33.31,34.11,6668823
16-Feb-17,33.68,35.71,33.38,33.52,10609504
15-Feb-17,36.20,36.26,34.32,34.49,9225971
14-Feb-17,36.48,36.57,35.78,36.32,7961331
13-Feb-17,36.08,37.10,36.02,36.71,6424960
10-Feb-17,34.75,35.90,34.58,35.84,4172322
9-Feb-17,34.90,35.01,34.45,34.49,3718818
8-Feb-17,34.90,35.17,34.41,34.94,3068347
7-Feb-17,35.05,35.56,34.35,34.89,4909000
6-Feb-17,35.70,35.75,34.77,35.49,3882460
3-Feb-17,35.79,36.14,35.54,35.68,3189401
2-Feb-17,36.41,36.41,35.32,35.63,3911060
1-Feb-17,35.34,36.69,35.26,36.63,4594791
31-Jan-17,35.74,36.10,35.16,35.29,4355328
30-Jan-17,36.28,36.28,35.12,35.39,4156173
27-Jan-17,36.47,36.80,35.79,36.51,4210197
26-Jan-17,34.81,36.48,34.50,36.21,6072724
25-Jan-17,37.11,37.17,36.02,36.54,4963997
