Date,Open,High,Low,Close,Volume
28-Apr-17,49.63,49.65,49.34,49.53,1889936
27-Apr-17,49.83,50.04,49.61,49.78,1546792
26-Apr-17,50.20,50.24,49.76,49.79,1571654
25-Apr-17,50.62,50.65,50.29,50.30,1606275
24-Apr-17,50.39,50.57,50.05,50.39,2053408
21-Apr-17,50.19,50.55,50.14,50.25,1336547
20-Apr-17,50.61,50.71,50.23,50.27,1636665
19-Apr-17,50.74,50.79,50.50,50.65,1117911
18-Apr-17,50.32,50.92,50.32,50.70,1286791
17-Apr-17,49.92,50.34,49.85,50.34,1069431
13-Apr-17,49.85,50.01,49.64,49.80,1091021
12-Apr-17,49.87,50.15,49.81,50.02,1789483
11-Apr-17,49.82,50.10,49.75,50.01,845403
10-Apr-17,49.56,50.04,49.41,49.88,907398
7-Apr-17,49.68,49.90,49.48,49.55,1529743
6-Apr-17,49.57,49.86,49.51,49.76,1649531
5-Apr-17,49.75,49.99,49.49,49.57,2178824
4-Apr-17,49.94,50.05,49.47,49.75,1656014
3-Apr-17,49.90,50.23,49.77,49.89,1234241
31-Mar-17,50.03,50.22,49.80,49.87,1356651
30-Mar-17,50.01,50.22,49.93,50.03,848281
29-Mar-17,50.19,50.32,50.00,50.04,1647161
28-Mar-17,50.20,50.52,50.04,50.26,1199245
27-Mar-17,50.16,50.66,50.04,50.28,1442069
24-Mar-17,50.36,50.49,50.01,50.22,1335614
23-Mar-17,50.18,50.72,50.18,50.34,1687966
22-Mar-17,50.57,50.62,50.24,50.28,1735875
21-Mar-17,50.23,50.63,50.09,50.34,1463292
20-Mar-17,50.10,50.39,50.07,50.19,1095550
17-Mar-17,50.17,50.48,49.96,50.10,3435661
16-Mar-17,50.14,50.19,49.91,50.11,1006682
15-Mar-17,49.75,50.33,49.75,50.18,1159334
14-Mar-17,49.83,49.88,49.49,49.75,1366751
13-Mar-17,49.97,50.12,49.82,49.85,1646006
10-Mar-17,49.86,50.09,49.70,50.03,1056517
9-Mar-17,49.71,49.90,49.41,49.63,1412728
8-Mar-17,49.38,49.74,49.33,49.51,1158367
7-Mar-17,49.64,49.83,49.48,49.55,1758387
6-Mar-17,49.53,49.97,49.48,49.67,1897730
3-Mar-17,50.06,50.10,49.68,49.85,1265636
2-Mar-17,50.00,50.34,50.00,50.19,1927771
1-Mar-17,49.80,50.41,49.62,50.23,2489794
28-Feb-17,49.59,50.07,49.59,49.84,2355154
27-Feb-17,49.38,49.84,49.32,49.56,2313439
24-Feb-17,49.51,49.64,48.87,49.53,2064087
23-Feb-17,49.91,50.09,49.55,49.62,1530918
22-Feb-17,49.58,49.75,49.18,49.69,2708011
21-Feb-17,49.65,49.92,49.51,49.61,2715978
17-Feb-17,49.27,49.86,49.20,49.70,3483988
16-Feb-17,48.65,48.96,48.27,48.93,1557961
15-Feb-17,48.65,49.22,48.46,48.79,3144394
14-Feb-17,48.17,48.57,48.04,48.53,1572575
13-Feb-17,48.35,48.65,48.19,48.42,1516414
10-Feb-17,48.04,48.41,47.99,48.24,1826656
9-Feb-17,47.78,48.34,47.72,48.07,2012392
8-Feb-17,47.50,48.05,47.29,47.83,3117917
7-Feb-17,46.77,47.56,46.38,47.27,4338699
6-Feb-17,45.73,45.92,45.36,45.45,2663208
3-Feb-17,45.88,46.12,45.68,45.81,1372004
2-Feb-17,45.37,45.74,45.06,45.53,1674111
1-Feb-17,45.08,45.52,44.96,45.25,2070875
31-Jan-17,45.38,45.57,45.11,45.22,5847314
30-Jan-17,45.15,45.50,45.11,45.31,1872828
27-Jan-17,45.74,45.77,44.96,45.34,2792264
26-Jan-17,46.16,46.26,45.90,46.10,1788806
25-Jan-17,46.15,46.65,46.02,46.23,3114452
24-Jan-17,45.49,46.15,45.32,46.09,1859047
23-Jan-17,45.37,45.56,45.01,45.53,2725609
20-Jan-17,45.00,45.60,44.99,45.55,3588442
19-Jan-17,44.59,44.98,44.45,44.93,2514363
18-Jan-17,44.33,44.87,44.25,44.74,2303143
17-Jan-17,43.83,44.75,43.79,44.52,1557499
13-Jan-17,43.55,43.88,43.48,43.78,1187321
12-Jan-17,43.58,43.70,43.26,43.47,1927976
11-Jan-17,43.55,43.81,43.38,43.56,1939009
10-Jan-17,44.36,44.42,43.39,43.58,1854886
9-Jan-17,44.65,44.73,43.89,44.30,1441048
6-Jan-17,44.87,44.97,44.45,44.87,1191986
5-Jan-17,44.71,44.91,44.48,44.89,1358342
4-Jan-17,44.52,44.97,44.41,44.70,1787315
3-Jan-17,44.25,44.53,43.85,44.34,3126646
30-Dec-16,44.90,45.05,44.00,44.19,2396183
29-Dec-16,44.31,44.85,44.18,44.82,1050230
28-Dec-16,45.04,45.12,44.13,44.15,1389188
27-Dec-16,44.50,45.10,44.50,45.03,1085519
23-Dec-16,44.51,44.96,44.51,44.72,655356
22-Dec-16,44.40,44.54,44.13,44.51,1405954
21-Dec-16,44.69,45.01,44.39,44.57,1082517
20-Dec-16,44.69,44.92,44.44,44.74,1051986
19-Dec-16,44.97,45.12,44.51,44.63,1262233
16-Dec-16,44.80,45.11,44.65,44.96,2321545
15-Dec-16,44.68,44.88,44.24,44.85,1443280
14-Dec-16,44.41,45.45,44.38,44.75,2709885
13-Dec-16,44.45,44.72,44.30,44.33,2161477
12-Dec-16,44.24,44.72,44.15,44.47,1380720
9-Dec-16,43.79,44.42,43.79,44.32,1391957
8-Dec-16,44.59,44.80,43.67,43.79,1730780
7-Dec-16,44.62,45.03,44.39,44.88,2208699
6-Dec-16,44.41,44.77,43.94,44.75,2462912
5-Dec-16,43.61,44.17,43.54,44.16,2341442
2-Dec-16,42.96,43.58,42.90,43.41,1999003
1-Dec-16,43.72,43.80,42.56,42.77,2490906
30-Nov-16,44.63,44.69,43.77,43.79,1729145
29-Nov-16,44.72,45.04,44.61,44.84,1177757
28-Nov-16,45.02,45.03,44.63,44.86,1070676
25-Nov-16,44.71,45.12,44.51,45.06,438049
23-Nov-16,44.66,45.08,44.54,44.66,1151843
22-Nov-16,45.02,45.30,44.79,44.86,1629633
21-Nov-16,44.82,44.97,44.52,44.82,1216395
18-Nov-16,44.33,44.96,44.29,44.79,1977891
17-Nov-16,44.51,44.74,44.24,44.43,1865683
16-Nov-16,44.65,45.59,44.34,44.61,2756498
15-Nov-16,44.11,44.81,44.02,44.57,3334034
14-Nov-16,43.38,44.23,43.20,43.92,3116286
11-Nov-16,42.99,43.82,42.90,43.71,2214232
10-Nov-16,45.41,45.44,43.20,43.39,4994101
9-Nov-16,45.02,45.74,44.38,45.54,2733624
8-Nov-16,44.39,46.00,44.39,45.84,3318052
7-Nov-16,44.00,44.48,44.00,44.43,1864213
4-Nov-16,44.17,44.84,43.75,43.78,3563152
3-Nov-16,45.00,45.62,43.35,44.12,6583384
2-Nov-16,47.47,47.62,47.05,47.25,1781593
1-Nov-16,48.16,48.33,47.37,47.59,2027716
31-Oct-16,48.25,48.41,47.99,48.26,1168497
28-Oct-16,47.82,48.31,47.74,48.24,1105281
27-Oct-16,47.88,48.04,47.34,47.73,1283692
26-Oct-16,48.01,48.11,47.70,47.83,761931
25-Oct-16,47.50,48.35,47.48,48.11,1855642
24-Oct-16,47.50,47.64,47.19,47.33,1219753
21-Oct-16,47.44,47.62,47.12,47.51,1015143
20-Oct-16,47.71,47.78,47.32,47.49,1341013
19-Oct-16,48.17,48.17,47.69,47.74,1276825
18-Oct-16,48.45,48.70,48.18,48.20,1595292
17-Oct-16,47.97,48.31,47.79,48.28,1760055
14-Oct-16,47.78,48.12,47.64,47.92,1135335
13-Oct-16,47.59,48.18,47.48,47.78,2085067
12-Oct-16,46.93,48.13,46.93,47.84,2438685
11-Oct-16,46.98,47.02,46.64,46.97,1725381
10-Oct-16,47.12,47.42,46.76,47.01,1492762
7-Oct-16,46.90,47.27,46.57,46.92,2333281
6-Oct-16,46.19,46.69,46.11,46.41,1523725
5-Oct-16,46.25,46.43,46.03,46.26,4889853
4-Oct-16,47.21,47.21,46.08,46.24,2053396
3-Oct-16,47.70,47.86,46.93,47.00,1380733
30-Sep-16,47.72,48.15,47.67,47.92,1456939
29-Sep-16,48.11,48.19,47.51,47.56,1077888
28-Sep-16,47.82,48.36,47.82,48.33,1050471
27-Sep-16,48.08,48.20,47.81,47.95,1272647
26-Sep-16,48.11,48.17,47.66,47.99,1197391
23-Sep-16,48.62,48.78,48.03,48.14,1245584
22-Sep-16,47.90,48.85,47.85,48.80,2054258
21-Sep-16,47.41,47.87,47.32,47.85,1940171
20-Sep-16,47.04,47.62,47.02,47.42,1616850
19-Sep-16,46.75,47.13,46.67,46.94,1062561
16-Sep-16,47.00,47.00,46.63,46.80,1315530
15-Sep-16,46.91,47.22,46.74,47.11,782595
14-Sep-16,47.15,47.28,46.68,46.81,795980
13-Sep-16,47.36,47.46,46.95,46.96,1349673
12-Sep-16,47.39,47.87,47.07,47.54,1849956
9-Sep-16,48.40,48.40,47.38,47.39,1607586
8-Sep-16,49.02,49.03,48.16,48.50,1561833
7-Sep-16,50.23,50.38,49.04,49.13,1296674
6-Sep-16,50.13,50.44,49.94,50.31,1140311
2-Sep-16,50.00,50.14,49.85,49.97,1006907
1-Sep-16,49.82,50.00,49.51,49.88,1339758
31-Aug-16,49.60,49.89,49.52,49.71,1181732
30-Aug-16,50.00,50.00,49.62,49.72,555370
29-Aug-16,49.68,50.01,49.67,50.00,809752
26-Aug-16,49.89,50.20,49.32,49.55,805898
25-Aug-16,49.58,50.00,49.46,49.84,989068
24-Aug-16,49.78,49.85,49.19,49.58,1158136
23-Aug-16,49.96,50.09,49.84,49.86,862976
22-Aug-16,49.68,49.94,49.58,49.92,1212850
19-Aug-16,49.80,49.94,49.43,49.70,1244596
18-Aug-16,49.64,50.00,49.45,49.96,1129186
17-Aug-16,49.64,49.76,49.22,49.62,1633898
16-Aug-16,49.84,50.07,49.62,49.64,1626834
15-Aug-16,50.25,50.42,50.00,50.02,829794
12-Aug-16,50.24,50.31,50.04,50.24,874260
11-Aug-16,50.82,51.20,50.00,50.16,1197556
10-Aug-16,50.38,50.80,50.28,50.70,953198
9-Aug-16,50.06,50.61,49.82,50.48,1235704
8-Aug-16,50.22,50.26,49.79,50.04,1590888
5-Aug-16,50.64,50.86,50.00,50.26,1569254
4-Aug-16,49.21,50.78,48.85,50.59,1871052
3-Aug-16,49.22,49.22,48.51,48.81,1352856
2-Aug-16,49.50,49.69,49.02,49.08,1129634
1-Aug-16,49.18,49.72,49.00,49.60,1239936
29-Jul-16,49.19,49.48,48.94,49.12,1880024
28-Jul-16,48.90,49.36,48.76,49.26,900214
27-Jul-16,49.40,49.40,48.52,48.88,1363338
26-Jul-16,50.24,50.39,49.40,49.42,982860
25-Jul-16,50.12,50.18,49.88,50.18,686794
22-Jul-16,49.78,50.16,49.42,50.14,825330
21-Jul-16,49.81,49.86,49.42,49.70,889276
20-Jul-16,50.34,50.50,49.76,49.81,1002840
19-Jul-16,49.96,50.36,49.84,50.36,947042
18-Jul-16,50.29,50.36,49.72,49.92,1191000
15-Jul-16,50.12,50.38,50.02,50.14,885938
14-Jul-16,50.26,50.53,49.86,49.98,884146
13-Jul-16,49.92,50.28,49.67,49.99,1149656
12-Jul-16,50.80,50.97,49.73,49.78,1387078
11-Jul-16,50.76,50.89,50.18,50.84,1323496
8-Jul-16,50.58,50.70,50.16,50.65,1943658
7-Jul-16,50.72,50.82,50.22,50.33,1502012
6-Jul-16,51.64,51.70,50.54,50.66,2176444
5-Jul-16,51.21,52.27,51.21,51.67,1621756
1-Jul-16,51.44,51.54,50.87,51.16,936156
30-Jun-16,50.15,51.44,50.05,51.44,1795426
29-Jun-16,50.06,50.50,49.58,49.96,1112050
28-Jun-16,49.44,50.00,49.04,49.99,1400072
27-Jun-16,48.90,49.68,48.80,49.37,2103120
24-Jun-16,49.35,50.18,48.96,49.09,1920528
23-Jun-16,50.22,50.47,49.92,50.26,798768
22-Jun-16,49.93,50.17,49.82,50.12,1094256
21-Jun-16,49.76,49.98,49.50,49.84,924818
20-Jun-16,49.68,49.89,49.41,49.62,937664
17-Jun-16,49.65,49.65,48.90,49.28,2027876
16-Jun-16,49.44,49.80,49.18,49.70,1469986
15-Jun-16,50.00,50.00,49.38,49.45,952854
14-Jun-16,49.52,49.94,49.17,49.84,942904
13-Jun-16,49.94,50.18,49.51,49.57,1304340
10-Jun-16,49.82,50.08,49.52,49.94,1331090
9-Jun-16,49.49,49.94,49.39,49.92,1236674
8-Jun-16,49.44,49.58,49.24,49.44,1862640
7-Jun-16,49.41,49.62,49.22,49.56,1239636
6-Jun-16,49.40,49.75,49.17,49.30,1162304
