Date,Open,High,Low,Close,Volume
28-Apr-17,5.34,5.36,5.20,5.26,31087531
27-Apr-17,5.40,5.40,5.15,5.29,53273443
26-Apr-17,5.44,5.66,5.42,5.47,37512488
25-Apr-17,5.36,5.53,5.25,5.51,40844426
24-Apr-17,5.56,5.58,5.32,5.38,43445984
21-Apr-17,5.56,5.64,5.45,5.52,33414829
20-Apr-17,5.54,5.70,5.51,5.56,28167064
19-Apr-17,5.66,5.73,5.48,5.50,40026097
18-Apr-17,5.62,5.79,5.55,5.66,30798398
17-Apr-17,5.87,5.91,5.61,5.69,49922457
13-Apr-17,6.17,6.18,5.88,5.89,37748604
12-Apr-17,6.18,6.39,6.12,6.15,43048572
11-Apr-17,6.20,6.21,6.05,6.18,33847679
10-Apr-17,6.25,6.30,6.19,6.23,29375831
7-Apr-17,6.28,6.32,6.16,6.20,32888650
6-Apr-17,6.19,6.40,6.16,6.28,53003587
5-Apr-17,6.41,6.59,6.01,6.11,81982952
4-Apr-17,5.90,6.33,5.83,6.32,73281665
3-Apr-17,6.01,6.05,5.72,5.92,33308892
31-Mar-17,5.83,5.95,5.81,5.94,28779954
30-Mar-17,5.90,6.00,5.73,5.85,53223237
29-Mar-17,5.42,5.95,5.41,5.81,65130575
28-Mar-17,5.19,5.42,5.14,5.39,41414693
27-Mar-17,5.15,5.25,5.06,5.16,30975198
24-Mar-17,5.17,5.30,5.11,5.22,30847098
23-Mar-17,5.07,5.20,5.00,5.09,40379987
22-Mar-17,5.02,5.11,4.95,5.00,27661723
21-Mar-17,5.21,5.23,5.02,5.07,28774222
20-Mar-17,5.21,5.29,5.11,5.18,24882403
17-Mar-17,5.46,5.54,5.26,5.29,42125829
16-Mar-17,5.50,5.52,5.34,5.45,29209334
15-Mar-17,5.35,5.49,5.22,5.45,36035054
14-Mar-17,5.22,5.27,5.02,5.24,36130856
13-Mar-17,5.17,5.36,5.17,5.33,30986911
10-Mar-17,5.17,5.22,5.01,5.15,38059110
9-Mar-17,4.91,5.15,4.88,5.13,51048378
