Date,Open,High,Low,Close,Volume
28-Apr-17,72.88,73.16,72.53,72.70,1904175
27-Apr-17,72.83,73.29,72.51,72.81,1692833
26-Apr-17,73.16,74.27,72.43,72.81,5513873
25-Apr-17,77.73,78.31,77.46,77.70,1374946
24-Apr-17,77.00,77.83,76.90,77.59,1840100
21-Apr-17,76.97,77.10,75.59,76.54,1582424
20-Apr-17,75.58,76.54,74.29,76.45,1042173
19-Apr-17,75.50,75.89,75.20,75.34,797892
18-Apr-17,75.56,75.63,75.17,75.29,1066975
17-Apr-17,74.53,75.86,74.42,75.67,1605695
13-Apr-17,74.15,75.15,74.15,74.46,1572745
12-Apr-17,75.78,75.78,74.70,74.79,1144986
11-Apr-17,75.66,76.06,75.21,75.75,1225327
10-Apr-17,75.82,76.67,75.70,76.24,1187714
7-Apr-17,76.36,76.60,75.56,75.73,1535957
6-Apr-17,76.58,77.46,75.96,76.28,1324143
5-Apr-17,76.80,77.23,76.32,76.41,1122892
4-Apr-17,76.75,77.15,76.41,76.86,1012672
3-Apr-17,77.52,78.13,76.48,76.71,1573039
31-Mar-17,77.48,78.03,77.23,77.29,1385296
30-Mar-17,77.25,77.88,76.95,77.65,1118243
29-Mar-17,77.34,77.75,76.22,77.29,902599
28-Mar-17,77.02,77.92,76.59,77.52,1193881
27-Mar-17,76.93,77.38,76.34,77.02,993673
24-Mar-17,77.75,78.17,77.26,77.47,1374227
23-Mar-17,78.16,78.59,77.66,77.68,620882
22-Mar-17,78.54,78.70,77.70,78.09,823596
21-Mar-17,79.07,79.40,78.18,78.36,1114938
20-Mar-17,78.91,79.04,78.52,78.93,937921
17-Mar-17,78.19,79.13,77.81,78.92,1483990
16-Mar-17,78.50,78.86,78.11,78.21,740682
15-Mar-17,78.72,79.16,78.30,78.54,1440878
14-Mar-17,79.21,79.26,78.31,78.56,574951
13-Mar-17,79.33,79.62,78.62,79.31,580470
10-Mar-17,78.85,79.42,78.45,79.34,668622
9-Mar-17,78.77,79.02,78.33,78.52,729347
8-Mar-17,79.16,79.41,78.38,78.73,1182988
7-Mar-17,79.15,79.53,78.87,78.94,931199
6-Mar-17,78.86,79.65,78.86,79.28,1413057
3-Mar-17,80.52,80.86,79.28,79.77,1049825
2-Mar-17,81.12,81.12,80.21,80.53,881405
1-Mar-17,80.67,81.16,80.39,80.86,1499331
28-Feb-17,80.12,80.47,80.02,80.37,1651005
27-Feb-17,80.08,80.35,79.66,80.23,1080456
24-Feb-17,79.11,80.23,78.88,80.13,1386550
23-Feb-17,79.46,79.88,79.21,79.46,1294140
22-Feb-17,79.37,79.46,78.86,79.41,1232019
21-Feb-17,78.92,79.57,78.78,79.42,1388671
17-Feb-17,77.96,79.09,77.20,79.06,1755937
16-Feb-17,77.88,78.06,77.44,78.06,1091061
15-Feb-17,77.25,77.94,77.11,77.88,885160
14-Feb-17,76.97,77.25,76.56,77.20,931182
13-Feb-17,76.67,77.17,76.61,76.98,869035
10-Feb-17,75.92,76.82,75.91,76.56,726107
9-Feb-17,75.96,76.30,75.58,75.62,1724843
8-Feb-17,75.70,76.22,75.21,76.13,785028
7-Feb-17,75.32,75.87,75.02,75.62,1128469
6-Feb-17,75.45,75.89,74.75,74.83,895275
3-Feb-17,75.11,75.83,75.00,75.55,944071
2-Feb-17,74.86,75.56,74.46,74.94,1452286
1-Feb-17,74.60,76.00,73.27,75.11,2936117
31-Jan-17,76.74,76.74,75.75,76.06,1653757
30-Jan-17,77.36,77.36,76.33,76.51,2616130
27-Jan-17,75.87,77.65,75.58,77.58,2488130
26-Jan-17,74.45,75.91,74.42,75.75,1417376
25-Jan-17,75.00,75.08,74.13,74.68,982034
24-Jan-17,73.95,75.02,73.51,74.66,1168413
23-Jan-17,73.43,73.72,73.19,73.68,1615835
20-Jan-17,73.51,73.91,72.92,73.60,1251931
19-Jan-17,74.15,74.15,73.15,73.37,1198741
18-Jan-17,73.58,74.45,72.95,74.05,1188694
17-Jan-17,73.18,73.93,72.90,73.56,720200
13-Jan-17,73.55,73.64,73.16,73.38,1036578
12-Jan-17,73.36,73.51,72.89,73.44,843866
11-Jan-17,73.01,73.63,72.93,73.44,668609
10-Jan-17,73.12,73.72,72.84,73.14,651707
9-Jan-17,73.78,74.18,73.09,73.16,857606
6-Jan-17,73.67,74.31,73.45,74.15,782719
5-Jan-17,72.79,73.82,72.59,73.74,1122142
4-Jan-17,72.86,74.00,72.64,72.99,1012727
3-Jan-17,73.50,73.80,72.17,72.85,1851797
30-Dec-16,74.02,74.13,73.01,73.26,989077
29-Dec-16,73.68,73.95,73.51,73.73,835909
28-Dec-16,74.69,74.76,73.46,73.47,906107
27-Dec-16,74.65,75.02,74.20,74.48,581298
23-Dec-16,74.60,74.81,74.30,74.54,419951
22-Dec-16,74.23,74.69,74.16,74.47,671646
21-Dec-16,74.21,74.88,74.14,74.63,1102667
20-Dec-16,74.61,75.11,74.39,74.53,1159550
19-Dec-16,73.05,74.72,72.74,74.62,2129240
16-Dec-16,74.17,74.97,72.56,73.11,2834105
15-Dec-16,76.44,76.60,73.78,74.31,3268097
14-Dec-16,77.27,77.57,76.42,76.62,1563281
13-Dec-16,77.38,77.82,76.94,77.06,1560152
12-Dec-16,77.06,77.45,76.58,77.25,1210678
9-Dec-16,77.49,77.89,76.52,77.04,1417589
8-Dec-16,76.74,77.50,75.58,77.47,1274837
7-Dec-16,75.69,76.74,75.29,76.72,1755957
6-Dec-16,75.56,75.76,74.99,75.56,1434677
5-Dec-16,74.44,75.57,74.22,75.39,2429187
2-Dec-16,75.09,75.51,74.00,74.04,1530075
1-Dec-16,74.82,75.18,74.32,74.86,1440096
30-Nov-16,75.04,75.40,74.72,74.85,1504437
29-Nov-16,74.38,75.20,74.34,74.98,1450659
28-Nov-16,74.32,74.89,74.12,74.21,1642333
25-Nov-16,74.23,74.82,74.11,74.30,705345
23-Nov-16,74.04,74.22,73.56,74.12,1072354
22-Nov-16,73.91,74.38,73.75,73.94,2067145
21-Nov-16,74.67,74.88,73.95,74.37,1839999
18-Nov-16,73.89,74.59,73.71,74.40,2426920
17-Nov-16,74.20,74.42,73.01,74.01,1194068
