Date,Open,High,Low,Close,Volume
28-Apr-17,70.90,71.66,70.55,70.70,2982418
27-Apr-17,71.75,71.76,70.06,70.75,1937884
26-Apr-17,70.56,72.30,70.54,71.58,1933559
25-Apr-17,71.01,71.30,70.06,70.65,2260687
24-Apr-17,70.68,71.57,70.08,70.11,2404653
21-Apr-17,68.90,69.60,67.94,68.71,3358666
20-Apr-17,68.63,69.43,68.25,69.21,2607093
19-Apr-17,68.60,69.71,67.77,67.97,2668062
18-Apr-17,65.78,68.25,65.15,67.71,3805791
17-Apr-17,65.34,66.93,64.75,66.93,2723689
13-Apr-17,65.73,66.47,64.87,65.21,1503433
12-Apr-17,67.30,67.30,66.00,66.12,1542654
11-Apr-17,66.57,67.09,65.91,67.05,1396299
10-Apr-17,68.12,68.55,66.93,67.31,1357358
7-Apr-17,67.32,68.77,67.32,68.14,1287438
6-Apr-17,67.14,68.32,66.48,68.01,1469390
5-Apr-17,69.44,69.70,67.19,67.26,1121147
4-Apr-17,67.99,68.80,67.82,68.62,949733
3-Apr-17,68.74,69.17,67.16,68.44,972499
31-Mar-17,68.72,69.10,68.24,68.58,1144915
30-Mar-17,67.88,69.59,67.86,69.13,1303178
29-Mar-17,67.87,68.54,67.26,67.83,1134745
28-Mar-17,66.50,68.43,66.30,67.97,1780792
27-Mar-17,65.56,66.83,64.27,66.73,1847692
24-Mar-17,67.69,67.92,66.30,67.23,1458169
23-Mar-17,66.78,68.53,66.44,67.15,1760659
22-Mar-17,65.92,67.47,64.76,66.97,2007052
21-Mar-17,71.08,71.08,65.97,66.37,3305319
20-Mar-17,71.09,71.55,70.44,70.65,1324204
17-Mar-17,71.92,72.03,70.55,71.36,3373177
16-Mar-17,71.69,72.32,70.98,71.89,1301768
15-Mar-17,71.92,72.45,70.92,71.01,1166168
14-Mar-17,71.38,71.54,70.31,71.49,1360996
13-Mar-17,71.93,72.38,71.44,72.00,849007
10-Mar-17,73.00,73.00,70.88,72.16,1639514
9-Mar-17,72.76,73.32,72.02,72.48,1213262
8-Mar-17,73.77,74.08,72.29,72.40,2082754
7-Mar-17,73.12,73.50,72.50,72.63,1077973
6-Mar-17,72.70,73.36,72.13,73.25,1200484
3-Mar-17,72.70,73.62,72.39,73.46,2006199
2-Mar-17,74.88,74.94,72.45,72.63,1310199
1-Mar-17,73.35,75.00,73.22,74.58,2833750
28-Feb-17,71.27,71.72,70.66,71.28,1891015
27-Feb-17,71.30,71.83,71.25,71.67,1127716
24-Feb-17,70.78,71.32,67.91,71.20,1549745
23-Feb-17,72.26,72.40,71.48,71.95,1208974
22-Feb-17,72.00,72.79,71.53,72.00,1164472
21-Feb-17,72.71,73.37,72.29,72.66,1268095
17-Feb-17,72.00,72.50,71.58,72.37,1399670
16-Feb-17,72.99,73.10,72.02,72.55,1614047
15-Feb-17,72.71,73.85,72.36,73.24,4129398
14-Feb-17,69.99,72.23,69.75,72.03,2966471
13-Feb-17,69.36,70.60,69.36,69.84,2981147
10-Feb-17,69.17,69.53,68.55,68.99,1694312
9-Feb-17,68.21,68.97,67.77,68.91,1535830
8-Feb-17,67.56,67.82,66.90,67.75,1193537
7-Feb-17,68.53,68.81,67.75,68.25,1351482
6-Feb-17,67.92,69.10,67.84,68.22,1455397
3-Feb-17,68.44,68.71,67.71,68.49,2315963
2-Feb-17,67.41,67.95,66.80,67.27,1760835
1-Feb-17,68.31,69.24,67.78,68.14,1212534
31-Jan-17,68.00,68.61,66.88,67.53,1370442
30-Jan-17,68.78,68.78,67.43,68.10,1158672
27-Jan-17,69.50,69.54,68.83,69.11,884101
26-Jan-17,69.34,69.92,68.93,69.58,1358329
25-Jan-17,68.24,69.58,68.01,69.39,1668579
24-Jan-17,67.01,67.90,66.80,67.66,1531113
23-Jan-17,66.44,67.22,66.26,67.04,1134134
20-Jan-17,66.77,67.46,66.52,66.96,2102570
19-Jan-17,67.02,67.42,66.18,66.31,1795160
18-Jan-17,65.55,67.16,65.16,67.06,2350326
17-Jan-17,67.98,68.25,64.91,65.37,3748072
13-Jan-17,69.69,70.56,69.34,69.92,1885004
12-Jan-17,69.55,69.82,68.24,69.22,984835
11-Jan-17,69.43,69.88,68.83,69.81,1198928
10-Jan-17,69.16,70.27,68.92,69.61,1530402
9-Jan-17,69.59,69.95,68.75,69.54,1181412
6-Jan-17,70.00,70.99,69.56,70.27,2621865
5-Jan-17,69.87,71.20,68.23,69.54,3138778
4-Jan-17,69.31,69.70,69.03,69.54,1677010
3-Jan-17,68.93,69.87,68.00,68.96,1908236
30-Dec-16,68.30,68.42,67.74,68.11,1033765
29-Dec-16,68.82,68.92,67.45,67.92,1197866
28-Dec-16,69.62,69.72,68.43,68.63,726355
27-Dec-16,69.34,69.67,69.09,69.59,462427
23-Dec-16,68.99,69.50,68.83,69.25,429381
22-Dec-16,69.17,69.33,68.51,69.02,945090
21-Dec-16,68.76,69.54,68.39,69.15,1713628
20-Dec-16,68.64,69.34,68.25,68.72,7310947
19-Dec-16,67.98,68.10,67.25,67.89,1702734
16-Dec-16,68.97,68.97,67.67,67.67,4112666
15-Dec-16,68.48,69.23,67.75,68.61,2457575
14-Dec-16,67.47,69.40,66.40,67.53,3464480
13-Dec-16,68.95,69.08,67.43,68.04,2354210
12-Dec-16,69.66,70.44,68.30,68.85,2855508
9-Dec-16,69.54,70.05,69.01,70.03,1928690
8-Dec-16,68.88,70.40,68.05,69.62,2302774
7-Dec-16,67.62,68.68,67.00,68.35,3082053
