Date,Open,High,Low,Close,Volume
28-Apr-17,115.29,116.34,115.11,116.19,1904593
27-Apr-17,118.25,118.25,114.82,115.12,4256617
26-Apr-17,120.00,120.73,119.29,120.04,1252536
25-Apr-17,120.23,120.69,119.42,119.94,1627317
24-Apr-17,120.66,120.79,119.44,119.76,1094296
21-Apr-17,119.00,119.50,118.30,118.77,1302617
20-Apr-17,117.89,119.27,117.17,119.11,1217217
19-Apr-17,117.60,118.03,116.99,117.17,1033348
18-Apr-17,116.97,117.54,116.21,117.10,848557
17-Apr-17,116.33,117.53,115.37,117.44,936897
13-Apr-17,116.55,116.97,115.82,115.87,971142
12-Apr-17,116.58,117.36,116.23,116.62,1608495
11-Apr-17,116.95,117.18,116.02,117.07,1284998
10-Apr-17,117.85,118.53,117.00,117.09,1006491
7-Apr-17,117.01,118.47,117.01,117.99,1203321
6-Apr-17,117.67,118.44,117.07,117.81,938279
5-Apr-17,117.78,119.27,117.28,117.55,1539147
4-Apr-17,117.39,118.23,116.83,117.27,1669066
3-Apr-17,118.82,119.38,116.17,117.50,2447681
31-Mar-17,119.23,120.10,118.53,118.80,1753587
30-Mar-17,118.00,118.94,117.41,118.85,1577481
29-Mar-17,118.51,118.87,117.80,118.50,922049
28-Mar-17,117.69,119.47,117.10,118.82,1769587
27-Mar-17,118.64,119.19,117.57,118.24,1358780
24-Mar-17,119.60,120.41,119.03,119.88,1462028
23-Mar-17,119.36,120.53,118.97,119.19,1843985
22-Mar-17,120.38,120.82,118.79,119.33,2408012
21-Mar-17,124.43,124.87,120.16,120.28,2521996
20-Mar-17,124.07,124.93,123.65,123.93,1178240
17-Mar-17,125.00,125.60,124.29,124.59,2756393
16-Mar-17,125.32,125.49,124.21,124.74,1138629
15-Mar-17,125.15,125.15,124.07,124.74,1271981
14-Mar-17,124.26,125.14,123.59,124.45,1319687
13-Mar-17,124.14,125.16,123.71,124.83,1893585
10-Mar-17,124.24,124.69,122.78,123.73,1414156
9-Mar-17,123.36,124.19,123.01,123.81,1359745
8-Mar-17,123.88,124.45,123.16,123.20,1223153
7-Mar-17,123.71,124.04,123.20,123.56,1362881
6-Mar-17,123.45,124.53,123.04,124.05,1393458
3-Mar-17,124.34,124.72,123.55,124.05,1096888
2-Mar-17,127.25,127.39,124.13,124.24,1665696
1-Mar-17,123.01,127.60,122.67,127.00,2336295
28-Feb-17,122.46,122.75,121.30,121.46,1881239
27-Feb-17,122.62,123.30,121.00,122.83,1279146
24-Feb-17,122.08,123.01,121.61,122.62,1686189
23-Feb-17,122.58,123.50,121.58,122.52,1399185
22-Feb-17,121.63,123.32,121.50,122.51,2270259
21-Feb-17,122.41,123.40,120.87,121.05,1385690
17-Feb-17,121.60,122.77,121.01,122.62,2038541
16-Feb-17,122.11,122.56,120.86,121.83,1180654
15-Feb-17,121.48,122.67,120.56,122.11,1233985
14-Feb-17,121.44,121.60,120.25,121.01,1208194
13-Feb-17,119.65,121.90,119.45,121.38,1481057
10-Feb-17,118.94,119.45,118.51,118.98,1130130
9-Feb-17,116.94,119.03,116.18,118.58,1525440
8-Feb-17,118.36,118.52,115.60,116.57,2019220
7-Feb-17,120.26,120.40,118.66,118.73,1672610
6-Feb-17,119.50,119.90,119.05,119.81,1119983
3-Feb-17,121.74,122.07,119.35,119.95,1648209
2-Feb-17,120.51,123.55,118.62,121.26,2059280
1-Feb-17,121.50,122.28,120.85,120.90,2795623
31-Jan-17,120.26,121.69,120.20,121.08,2246797
30-Jan-17,119.83,120.55,119.19,120.44,1196187
27-Jan-17,120.78,120.81,119.89,120.31,1065132
26-Jan-17,120.00,121.08,119.04,120.74,1472645
25-Jan-17,118.23,120.36,117.79,120.15,1886901
24-Jan-17,116.39,117.67,116.39,117.44,1047425
23-Jan-17,116.30,116.98,115.69,116.24,800166
20-Jan-17,116.62,116.93,115.78,116.66,1175877
19-Jan-17,117.21,117.40,115.97,116.36,1191810
18-Jan-17,116.10,117.35,115.01,117.25,1449054
17-Jan-17,116.84,116.84,115.51,115.69,1198022
13-Jan-17,117.00,117.50,116.35,116.87,1057796
12-Jan-17,115.75,116.60,113.90,116.43,1243593
11-Jan-17,116.34,116.58,114.56,115.90,2239637
10-Jan-17,116.93,116.93,115.70,116.30,1061882
9-Jan-17,116.77,117.28,116.29,116.33,963359
6-Jan-17,116.06,117.32,115.81,117.19,1229446
5-Jan-17,115.50,116.91,114.90,115.92,1689448
4-Jan-17,114.83,116.46,114.66,115.52,2400796
3-Jan-17,116.16,116.28,113.27,114.40,2159178
30-Dec-16,116.07,116.48,114.90,115.35,898599
