Date,Open,High,Low,Close,Volume
28-Apr-17,481.87,481.87,473.45,474.47,937692
27-Apr-17,485.23,488.00,481.05,482.00,981844
26-Apr-17,474.66,497.48,474.60,482.99,3910022
25-Apr-17,471.10,474.27,468.27,471.76,2025360
24-Apr-17,482.75,482.82,465.20,468.79,1145091
21-Apr-17,479.00,481.99,476.42,479.09,798700
20-Apr-17,477.48,483.50,475.49,478.39,629100
19-Apr-17,474.05,481.77,473.00,476.96,1101858
18-Apr-17,471.00,471.57,464.14,468.51,486863
17-Apr-17,465.00,471.50,461.70,469.89,735729
13-Apr-17,457.03,466.77,455.51,463.62,974206
12-Apr-17,451.89,459.24,450.47,458.35,831583
11-Apr-17,454.99,459.93,445.25,453.00,825145
10-Apr-17,447.24,456.89,445.40,454.28,692190
7-Apr-17,449.75,450.67,446.76,447.34,532294
6-Apr-17,452.85,455.18,448.79,450.29,486115
5-Apr-17,454.69,458.83,447.07,452.44,793631
4-Apr-17,455.25,459.36,448.40,449.41,976586
3-Apr-17,449.20,459.45,447.75,452.75,1356485
31-Mar-17,447.13,453.08,444.15,445.52,914420
30-Mar-17,436.77,450.00,435.95,443.92,1715512
29-Mar-17,426.58,439.88,426.35,434.34,1439434
28-Mar-17,415.71,428.31,415.11,426.23,941727
27-Mar-17,409.87,415.44,409.49,414.96,584043
24-Mar-17,414.82,417.78,412.67,414.02,463051
23-Mar-17,417.00,418.67,413.38,414.88,590620
22-Mar-17,405.99,417.76,405.15,416.31,975180
21-Mar-17,403.34,408.60,400.50,407.52,1160461
20-Mar-17,402.55,402.90,394.19,396.37,773731
17-Mar-17,400.90,403.47,400.03,402.58,555933
16-Mar-17,400.96,402.49,399.63,400.95,578752
15-Mar-17,403.11,405.39,399.04,400.96,834651
14-Mar-17,404.85,404.85,397.81,403.10,733285
13-Mar-17,408.00,409.76,403.57,405.87,642089
10-Mar-17,411.35,412.98,404.41,407.75,615069
9-Mar-17,407.08,412.68,406.25,410.48,543234
8-Mar-17,404.01,407.00,402.85,406.50,507884
7-Mar-17,410.51,412.57,402.16,404.90,933124
6-Mar-17,411.10,417.57,410.01,411.68,699850
3-Mar-17,415.38,417.25,412.41,416.09,538769
2-Mar-17,419.26,420.21,415.37,416.29,474632
1-Mar-17,422.51,424.00,416.25,419.15,715598
28-Feb-17,419.53,425.58,417.67,418.74,496676
27-Feb-17,421.71,424.23,419.31,421.67,545118
24-Feb-17,419.47,421.44,411.62,420.90,942294
23-Feb-17,427.14,429.87,420.71,422.38,573631
22-Feb-17,432.00,434.37,426.99,427.61,666071
21-Feb-17,429.00,434.69,428.73,432.36,911531
17-Feb-17,424.46,428.52,423.19,427.61,543944
16-Feb-17,423.36,426.54,421.33,424.76,560368
15-Feb-17,420.05,425.59,419.01,423.34,822293
14-Feb-17,414.15,420.98,413.51,419.54,640046
13-Feb-17,415.72,419.47,413.55,414.14,586649
10-Feb-17,416.26,420.76,412.77,413.36,880002
9-Feb-17,404.35,417.51,403.63,415.31,1292887
8-Feb-17,400.50,408.23,398.69,402.94,1075651
7-Feb-17,396.25,401.50,395.72,398.64,1270291
6-Feb-17,398.81,402.00,395.08,395.59,1498846
3-Feb-17,430.94,434.58,402.89,404.08,3573867
2-Feb-17,420.00,427.67,413.67,423.30,1316199
1-Feb-17,420.31,422.58,417.61,420.23,750592
31-Jan-17,416.73,422.25,415.48,421.44,737863
30-Jan-17,416.21,421.70,414.74,417.95,587732
27-Jan-17,419.06,419.50,412.17,416.60,553453
26-Jan-17,421.00,425.10,417.50,418.73,470457
25-Jan-17,419.00,425.61,418.57,419.54,732060
24-Jan-17,407.72,419.57,405.78,417.88,687911
23-Jan-17,405.71,409.26,402.01,407.72,632364
20-Jan-17,408.91,409.98,404.81,405.20,581311
19-Jan-17,409.70,410.95,406.00,408.87,503020
18-Jan-17,407.35,411.00,399.03,409.74,823846
17-Jan-17,406.41,411.87,404.41,405.87,833798
13-Jan-17,409.93,413.95,409.01,410.75,572714
12-Jan-17,411.63,414.00,407.80,409.35,850428
11-Jan-17,412.85,418.32,410.35,413.93,1273917
10-Jan-17,412.64,420.23,408.20,414.48,3214128
9-Jan-17,398.70,399.25,392.11,395.06,793405
6-Jan-17,391.50,399.80,390.36,398.44,1149646
5-Jan-17,382.62,392.67,379.05,391.89,1316727
4-Jan-17,374.91,383.90,372.87,381.86,984463
3-Jan-17,379.11,380.38,374.08,374.77,868896
30-Dec-16,376.52,382.49,375.16,377.32,890470
29-Dec-16,385.57,387.00,375.13,376.61,894298
28-Dec-16,389.60,390.88,385.16,385.37,504863
27-Dec-16,388.52,392.33,388.02,388.75,557812
23-Dec-16,390.79,394.28,388.59,389.77,483199
22-Dec-16,393.89,396.45,390.23,391.16,826116
21-Dec-16,389.00,394.91,388.25,393.50,814613
20-Dec-16,390.51,392.91,387.26,389.47,624335
19-Dec-16,390.54,395.90,389.00,389.50,673329
16-Dec-16,383.05,394.88,383.05,392.07,1375953
15-Dec-16,376.00,385.79,375.05,382.35,1117929
14-Dec-16,376.83,385.20,374.00,375.70,1198801
13-Dec-16,379.00,381.00,375.00,377.22,1127288
12-Dec-16,375.31,384.52,374.25,382.48,2101789
9-Dec-16,369.03,371.60,366.07,370.00,1286670
8-Dec-16,368.15,375.23,366.49,369.06,1354234
7-Dec-16,368.75,369.95,362.45,368.06,1600270
6-Dec-16,379.92,381.77,362.55,366.37,4936986
5-Dec-16,400.02,410.83,395.40,396.27,1128907
2-Dec-16,399.84,408.25,398.40,400.03,839346
1-Dec-16,396.99,406.88,396.94,402.38,926609
30-Nov-16,396.20,402.86,395.64,396.33,905136
29-Nov-16,399.90,402.96,394.69,395.11,758016
28-Nov-16,406.99,409.88,399.28,399.39,838756
25-Nov-16,410.93,412.80,405.06,410.28,355646
23-Nov-16,406.00,414.74,404.70,410.41,617200
22-Nov-16,409.66,411.54,401.65,405.99,877167
21-Nov-16,410.59,413.50,407.36,412.38,815113
18-Nov-16,407.37,417.37,400.71,411.80,1500654
17-Nov-16,395.70,407.84,394.11,402.90,1118698
16-Nov-16,399.00,408.49,397.14,402.90,985154
15-Nov-16,412.99,413.20,397.92,400.00,1230102
14-Nov-16,398.56,419.30,397.63,414.18,1869860
11-Nov-16,390.35,398.95,388.13,397.08,1146396
10-Nov-16,372.55,396.82,372.40,391.83,2187877
9-Nov-16,371.50,380.99,368.90,369.52,2006935
8-Nov-16,379.94,381.02,370.79,378.54,1318465
7-Nov-16,377.05,386.79,373.67,382.49,1491750
4-Nov-16,374.59,379.00,369.76,370.43,1015493
3-Nov-16,367.32,376.73,366.51,374.71,1356830
2-Nov-16,361.58,370.60,358.63,369.63,1600826
1-Nov-16,360.28,364.78,352.96,359.92,1416781
31-Oct-16,370.11,372.51,360.15,360.76,1264481
28-Oct-16,368.68,373.00,366.19,370.08,1187432
27-Oct-16,369.39,373.45,363.58,368.59,1936101
26-Oct-16,387.24,388.85,362.82,368.02,6291276
25-Oct-16,410.51,417.61,403.78,405.67,2218517
24-Oct-16,416.44,417.83,407.93,413.35,1308913
21-Oct-16,405.53,415.46,403.38,411.94,1034395
20-Oct-16,403.79,410.36,402.00,405.10,765179
19-Oct-16,394.39,406.83,394.39,405.25,916877
18-Oct-16,395.70,398.00,389.10,393.96,1180670
17-Oct-16,401.05,401.92,393.00,394.35,1244549
14-Oct-16,411.15,414.95,403.16,404.14,974281
13-Oct-16,414.11,416.00,408.25,409.81,869874
12-Oct-16,423.22,425.00,417.09,418.52,712979
11-Oct-16,437.74,437.74,418.00,423.02,2031257
10-Oct-16,433.72,440.00,429.00,437.88,1281567
7-Oct-16,426.08,432.00,425.42,429.91,980473
6-Oct-16,425.90,428.86,423.10,424.49,564275
5-Oct-16,427.95,430.96,424.40,427.84,628819
4-Oct-16,433.09,434.14,425.33,427.27,655556
3-Oct-16,423.03,433.95,422.54,430.87,890573
30-Sep-16,421.36,428.90,418.01,423.50,996508
29-Sep-16,418.00,425.50,415.42,420.73,905388
28-Sep-16,419.81,421.33,413.22,418.31,819303
27-Sep-16,419.50,422.50,415.43,418.95,644091
26-Sep-16,412.73,422.60,408.59,419.88,1070845
23-Sep-16,409.18,417.74,408.72,413.81,1041529
22-Sep-16,404.00,410.43,403.06,410.16,959432
21-Sep-16,398.30,403.49,395.50,399.75,924212
20-Sep-16,402.76,404.90,395.11,400.42,1490731
19-Sep-16,409.48,410.66,401.32,402.76,1139757
16-Sep-16,413.06,414.89,406.50,409.32,1213942
15-Sep-16,414.90,418.94,411.58,413.96,1131809
14-Sep-16,423.66,424.59,412.11,414.90,875912
13-Sep-16,424.32,425.13,417.71,421.36,995763
12-Sep-16,423.39,429.74,422.99,428.90,778025
9-Sep-16,434.83,436.26,426.41,426.55,992495
8-Sep-16,437.55,440.24,434.76,436.31,1236815
7-Sep-16,431.23,441.20,430.00,438.45,3223095
6-Sep-16,408.25,415.48,406.02,414.07,1087634
2-Sep-16,414.25,414.89,408.05,408.41,1006994
1-Sep-16,415.81,415.89,410.64,414.68,793405
31-Aug-16,415.25,418.95,412.00,413.73,1141070
30-Aug-16,422.46,423.48,412.68,415.15,1221793
29-Aug-16,420.00,426.62,419.20,423.02,1179564
26-Aug-16,413.44,419.23,412.02,418.75,1026300
25-Aug-16,403.75,416.90,402.49,413.34,1503964
24-Aug-16,397.00,405.50,396.86,403.75,1085554
23-Aug-16,396.02,399.00,391.96,397.00,787342
22-Aug-16,389.00,397.25,388.53,396.04,1104885
19-Aug-16,393.76,395.01,387.01,388.50,1323767
18-Aug-16,396.97,397.81,392.57,394.91,1044792
17-Aug-16,401.00,401.88,395.16,399.18,792015
16-Aug-16,398.47,405.26,396.50,400.86,698512
15-Aug-16,397.33,399.89,394.40,397.48,703540
12-Aug-16,396.71,399.00,395.62,397.33,793199
11-Aug-16,395.07,399.16,394.20,398.22,677324
10-Aug-16,395.00,397.32,391.20,395.07,814212
9-Aug-16,401.17,404.76,394.36,395.10,655408
8-Aug-16,402.48,404.26,400.70,401.40,547058
5-Aug-16,399.45,403.64,398.27,401.13,808757
4-Aug-16,402.00,404.77,394.34,397.20,873215
3-Aug-16,402.00,407.64,400.00,402.56,785994
2-Aug-16,412.70,412.70,401.20,402.64,1195531
1-Aug-16,423.60,426.00,413.86,414.08,1004923
29-Jul-16,428.69,430.53,422.70,423.99,783723
28-Jul-16,425.56,432.77,421.27,430.55,844628
27-Jul-16,431.90,434.71,425.64,426.06,696244
26-Jul-16,431.95,439.24,429.85,430.85,1102579
25-Jul-16,443.00,443.50,435.00,441.52,1481416
22-Jul-16,414.65,444.13,412.19,442.48,4167945
21-Jul-16,419.68,420.16,412.42,418.07,2143500
20-Jul-16,415.24,420.62,414.09,419.68,846918
19-Jul-16,413.91,419.65,413.00,415.31,909572
18-Jul-16,404.92,410.90,402.26,408.90,750732
15-Jul-16,409.63,411.94,404.10,404.86,1579949
14-Jul-16,420.94,422.18,412.00,417.98,1165732
13-Jul-16,411.40,421.97,411.00,416.63,1420827
12-Jul-16,405.38,410.66,401.13,408.34,709588
11-Jul-16,407.01,413.00,402.09,403.18,1009546
8-Jul-16,393.00,404.09,392.10,399.71,1070873
7-Jul-16,393.99,395.56,386.10,390.78,1747843
6-Jul-16,393.85,402.06,393.85,401.05,786152
5-Jul-16,395.00,399.30,391.01,396.38,889114
1-Jul-16,400.00,405.28,391.51,393.91,1223426
30-Jun-16,409.49,409.87,401.57,402.76,1073913
29-Jun-16,396.43,410.34,395.49,409.49,1016559
28-Jun-16,396.39,397.44,389.00,391.67,722535
27-Jun-16,399.56,400.22,386.70,388.78,1196744
24-Jun-16,397.25,413.57,396.75,400.73,1701046
23-Jun-16,393.25,413.02,393.20,408.89,1575610
22-Jun-16,391.00,396.88,388.18,392.99,864985
21-Jun-16,399.37,399.66,387.89,391.96,1050020
20-Jun-16,399.79,401.96,396.69,396.94,936820
17-Jun-16,395.50,400.41,393.00,397.27,1275078
16-Jun-16,393.24,396.67,389.59,393.55,1072345
15-Jun-16,396.14,402.35,389.41,390.31,1201254
14-Jun-16,390.60,395.87,384.77,395.27,1633734
13-Jun-16,400.26,405.40,393.63,394.00,1846317
10-Jun-16,412.56,413.87,403.13,405.26,1562710
9-Jun-16,426.12,427.20,415.15,415.79,1198363
8-Jun-16,433.00,434.87,423.00,429.20,990189
7-Jun-16,446.56,447.08,432.52,433.39,944055
6-Jun-16,436.12,446.65,435.02,445.27,800716
3-Jun-16,440.37,441.23,433.64,433.94,874751
2-Jun-16,433.81,444.54,433.10,443.49,1019904
1-Jun-16,442.11,443.56,431.31,432.59,792583
31-May-16,445.00,446.92,439.13,441.96,983865
27-May-16,452.50,453.52,442.65,445.41,1012282
26-May-16,452.50,460.77,451.51,452.03,742864
25-May-16,458.50,462.94,455.62,458.04,693626
24-May-16,460.00,461.04,453.39,457.33,651513
23-May-16,452.62,467.00,451.07,456.44,1056279
20-May-16,448.90,450.23,439.81,449.92,1313101
19-May-16,447.18,454.37,447.18,450.64,606473
18-May-16,444.70,450.30,441.40,448.61,548771
17-May-16,445.03,449.84,444.26,446.08,735952
16-May-16,452.07,452.71,438.53,444.56,1492024
13-May-16,457.01,464.90,455.12,458.35,898953
12-May-16,457.08,461.30,456.34,457.01,1093228
11-May-16,455.97,459.30,450.27,454.00,1042515
10-May-16,456.63,456.77,449.01,455.59,778264
9-May-16,435.05,456.88,435.05,453.17,1418818
6-May-16,434.00,435.33,426.03,433.81,734156
5-May-16,433.83,438.26,430.75,435.00,609488
4-May-16,437.06,438.70,432.10,433.30,674577
3-May-16,433.60,447.46,433.28,437.95,1287977
