Date,Open,High,Low,Close,Volume
28-Apr-17,45.42,45.58,45.26,45.40,2022603
27-Apr-17,45.41,45.85,45.41,45.49,1286752
26-Apr-17,45.43,45.75,45.29,45.36,1294920
25-Apr-17,45.30,45.56,45.21,45.51,1258263
24-Apr-17,45.23,45.52,44.92,45.47,1725039
21-Apr-17,44.82,45.30,44.81,45.19,1848454
20-Apr-17,45.07,45.07,44.52,44.82,2972215
19-Apr-17,45.60,45.71,44.98,45.14,2974779
18-Apr-17,45.56,45.76,45.44,45.69,1434786
17-Apr-17,45.41,45.55,45.31,45.55,1368318
13-Apr-17,45.52,45.56,45.06,45.21,2159757
12-Apr-17,45.22,45.77,45.02,45.55,3647011
11-Apr-17,45.16,45.39,44.95,45.30,1757266
10-Apr-17,44.95,45.28,44.74,45.24,1523564
7-Apr-17,45.27,45.34,44.93,44.95,1974931
6-Apr-17,45.11,45.22,44.92,45.10,1816338
5-Apr-17,44.90,45.30,44.82,45.26,2054604
4-Apr-17,44.82,45.10,44.69,44.91,1022548
3-Apr-17,44.76,44.84,44.36,44.83,1477284
31-Mar-17,44.63,44.91,44.58,44.74,1735200
30-Mar-17,44.70,44.72,44.42,44.63,1549872
29-Mar-17,45.01,45.07,44.75,44.82,1581120
28-Mar-17,45.09,45.21,44.85,45.16,1943373
27-Mar-17,45.52,45.55,44.94,45.10,1344849
24-Mar-17,45.12,45.43,44.97,45.28,1797210
23-Mar-17,45.07,45.49,44.98,45.10,2001603
22-Mar-17,45.22,45.55,45.07,45.19,1985084
21-Mar-17,44.19,45.14,44.19,45.01,1841440
20-Mar-17,44.77,44.88,44.14,44.25,2242290
17-Mar-17,44.52,44.88,44.44,44.71,2783392
16-Mar-17,44.78,44.78,44.29,44.39,1903176
15-Mar-17,44.27,45.25,44.27,45.00,1547230
14-Mar-17,44.22,44.34,44.02,44.23,1379100
13-Mar-17,44.18,44.29,44.02,44.19,1770102
10-Mar-17,43.99,44.18,43.89,44.14,2791758
9-Mar-17,43.69,44.00,43.61,43.72,2087450
8-Mar-17,44.11,44.11,43.62,43.67,1493190
7-Mar-17,44.31,44.54,44.30,44.44,1507448
6-Mar-17,44.38,44.46,44.18,44.35,1835449
3-Mar-17,44.52,44.52,43.99,44.30,1642368
2-Mar-17,44.04,44.83,43.91,44.52,1799153
1-Mar-17,44.07,44.42,43.75,44.13,2982296
28-Feb-17,44.14,44.68,44.14,44.52,2874911
27-Feb-17,44.67,44.69,44.28,44.30,2001722
24-Feb-17,44.39,44.72,44.29,44.68,2406809
23-Feb-17,43.95,44.32,43.82,44.19,1701910
22-Feb-17,43.60,43.84,43.42,43.76,1138272
21-Feb-17,43.23,43.67,42.93,43.54,1188029
17-Feb-17,43.16,43.27,42.83,43.22,1827951
16-Feb-17,42.78,43.16,42.74,43.09,1297142
15-Feb-17,42.41,42.85,42.31,42.77,1737229
14-Feb-17,42.99,43.10,42.63,42.78,1308710
13-Feb-17,42.97,43.16,42.72,43.13,1192689
10-Feb-17,42.64,43.01,42.56,42.93,1357623
9-Feb-17,42.84,43.13,42.64,42.74,1255205
8-Feb-17,42.61,43.03,42.54,42.90,1673433
7-Feb-17,42.49,42.64,42.40,42.51,1375724
6-Feb-17,42.80,42.90,42.38,42.45,1415143
3-Feb-17,42.97,43.00,42.50,42.62,1740775
2-Feb-17,41.86,43.62,41.78,42.76,3616581
1-Feb-17,42.00,42.33,41.75,42.12,3072079
31-Jan-17,42.17,42.61,42.08,42.60,2529719
30-Jan-17,42.04,42.12,41.73,42.04,2357647
27-Jan-17,42.09,42.13,41.72,41.78,1110669
26-Jan-17,41.72,42.04,41.58,41.96,1375984
25-Jan-17,41.87,42.00,41.71,41.81,1498116
24-Jan-17,42.19,42.32,41.90,41.97,1300973
23-Jan-17,42.39,42.54,42.13,42.29,2148439
20-Jan-17,42.20,42.38,42.03,42.33,1972791
19-Jan-17,41.93,42.36,41.85,42.13,1975227
18-Jan-17,42.17,42.49,42.08,42.19,1907368
17-Jan-17,42.02,42.54,42.00,42.20,1649724
13-Jan-17,41.82,42.13,41.69,41.94,1039806
12-Jan-17,41.94,42.04,41.61,41.90,1595372
11-Jan-17,41.53,41.96,41.46,41.95,1150588
10-Jan-17,41.58,41.66,41.26,41.51,1300489
9-Jan-17,42.20,42.55,41.50,41.58,2057885
6-Jan-17,41.75,42.26,41.70,42.15,1792739
5-Jan-17,41.74,42.12,41.30,41.99,2408458
4-Jan-17,41.64,41.98,41.50,41.76,2443866
3-Jan-17,41.64,41.65,41.12,41.53,1746469
30-Dec-16,41.76,41.98,41.48,41.62,1681310
29-Dec-16,41.48,41.88,41.36,41.77,1325451
28-Dec-16,41.74,41.77,41.22,41.30,1070993
27-Dec-16,41.63,41.77,41.41,41.69,515491
23-Dec-16,41.76,41.76,41.51,41.70,602585
22-Dec-16,41.57,41.65,41.30,41.59,1178393
21-Dec-16,41.72,41.96,41.52,41.56,1028631
20-Dec-16,41.86,41.96,41.60,41.71,1730613
19-Dec-16,41.81,42.00,41.38,41.89,1802953
16-Dec-16,40.93,41.65,40.93,41.50,4077463
15-Dec-16,40.69,41.06,40.39,40.90,2354487
14-Dec-16,41.76,41.96,40.70,40.82,2522674
13-Dec-16,41.81,41.96,41.37,41.53,2935998
12-Dec-16,40.93,41.75,40.84,41.72,1866443
9-Dec-16,40.51,41.19,40.51,41.12,1656587
8-Dec-16,40.32,40.76,40.01,40.61,1610706
7-Dec-16,40.08,40.59,39.98,40.57,2024864
6-Dec-16,40.08,40.20,39.85,39.92,1349418
5-Dec-16,39.77,39.99,39.42,39.92,1809698
2-Dec-16,39.94,40.33,39.72,39.94,1676853
1-Dec-16,39.95,40.08,39.48,39.69,2025284
30-Nov-16,41.24,41.31,40.21,40.22,3212627
29-Nov-16,41.40,42.17,41.40,41.84,3253791
28-Nov-16,40.79,41.56,40.72,41.52,1870802
25-Nov-16,39.88,40.65,39.88,40.60,787274
23-Nov-16,40.07,40.50,39.64,39.72,2730326
22-Nov-16,40.28,40.69,40.04,40.53,2249395
21-Nov-16,39.75,40.28,39.69,40.18,2186601
18-Nov-16,39.74,39.99,39.52,39.72,1257027
17-Nov-16,39.75,40.12,39.66,39.77,1355767
16-Nov-16,40.05,40.27,39.66,39.92,1978268
15-Nov-16,39.66,40.12,39.66,39.99,2240239
14-Nov-16,39.48,39.63,38.92,39.49,1935215
11-Nov-16,39.46,40.22,39.43,39.75,2732821
10-Nov-16,40.13,40.33,38.78,39.49,3427966
9-Nov-16,41.16,41.16,40.29,40.34,2385528
8-Nov-16,41.77,42.27,41.71,41.98,1381131
7-Nov-16,41.02,41.71,40.58,41.71,1615997
4-Nov-16,41.36,41.69,40.77,40.78,1561341
3-Nov-16,40.67,41.30,40.59,41.16,1595208
2-Nov-16,41.20,41.21,40.47,40.87,1630075
1-Nov-16,42.14,42.20,41.46,41.53,2530640
31-Oct-16,41.47,42.54,41.44,42.15,2134677
28-Oct-16,41.24,41.52,41.12,41.30,2264236
27-Oct-16,41.52,41.80,41.19,41.36,2074497
26-Oct-16,41.60,41.87,41.28,41.65,2032946
25-Oct-16,41.27,41.62,41.25,41.61,1293555
24-Oct-16,41.36,41.53,41.06,41.38,1420362
21-Oct-16,41.15,41.31,40.89,41.16,1154207
20-Oct-16,41.47,41.86,41.25,41.35,1808404
19-Oct-16,41.34,41.53,41.05,41.36,2138608
18-Oct-16,41.17,41.60,40.83,41.42,1698168
17-Oct-16,40.83,41.08,40.75,41.04,1270872
14-Oct-16,40.73,41.11,40.51,40.70,1449634
13-Oct-16,40.47,41.24,40.38,40.85,2216582
12-Oct-16,40.07,40.54,40.05,40.41,1552430
11-Oct-16,40.45,40.59,40.03,40.11,2098974
10-Oct-16,40.36,40.67,40.29,40.61,1711517
7-Oct-16,40.77,41.15,40.22,40.26,1747166
6-Oct-16,40.23,40.59,40.01,40.45,1794797
5-Oct-16,40.52,40.98,40.15,40.38,2452340
4-Oct-16,41.35,41.40,40.22,40.46,2091802
3-Oct-16,41.92,41.92,41.12,41.40,1307344
30-Sep-16,42.38,42.66,41.72,42.01,2221250
29-Sep-16,42.87,42.87,41.98,42.31,1887503
28-Sep-16,43.23,43.40,42.56,43.00,1839461
27-Sep-16,44.15,44.44,43.20,43.26,2087112
26-Sep-16,43.87,44.15,43.67,44.02,2008535
23-Sep-16,43.60,44.22,43.48,43.87,2414404
22-Sep-16,43.84,43.90,43.42,43.76,1908647
21-Sep-16,42.66,43.62,42.58,43.60,1985104
20-Sep-16,43.01,43.13,42.68,42.70,1395941
19-Sep-16,42.56,42.87,42.41,42.81,1455559
16-Sep-16,41.75,42.41,41.52,42.33,3008133
15-Sep-16,41.60,41.89,41.41,41.88,2108663
14-Sep-16,41.63,41.88,41.42,41.68,2519700
13-Sep-16,41.83,41.85,41.14,41.40,4103458
12-Sep-16,41.32,41.96,41.19,41.86,2203542
9-Sep-16,42.51,42.54,41.26,41.31,2023678
8-Sep-16,42.67,43.04,42.64,42.93,1157454
7-Sep-16,42.75,42.96,42.48,42.84,1829552
6-Sep-16,42.47,42.93,42.38,42.80,1568546
2-Sep-16,41.89,42.42,41.79,42.31,1240812
1-Sep-16,41.95,42.01,41.72,41.85,1476759
31-Aug-16,41.69,42.02,41.49,41.97,1775398
30-Aug-16,42.25,42.52,41.75,41.79,1449728
29-Aug-16,42.08,42.47,42.08,42.33,1423168
26-Aug-16,43.05,43.17,41.90,41.95,1939311
25-Aug-16,42.88,43.04,42.78,42.96,1121906
24-Aug-16,42.81,42.93,42.43,42.86,1383451
23-Aug-16,43.18,43.45,42.82,42.82,1259289
22-Aug-16,43.12,43.38,43.00,43.18,1243069
19-Aug-16,43.35,43.51,42.72,43.06,1971590
18-Aug-16,43.00,43.57,42.96,43.57,2093533
17-Aug-16,42.21,43.11,41.92,43.03,2605621
16-Aug-16,42.93,43.01,42.30,42.30,2873281
15-Aug-16,43.85,44.01,43.00,43.01,1928106
12-Aug-16,43.91,44.24,43.81,43.86,1423601
11-Aug-16,43.68,43.84,43.55,43.72,1648158
10-Aug-16,43.69,43.87,43.59,43.75,1202650
9-Aug-16,43.51,43.90,43.45,43.65,1315839
8-Aug-16,43.74,43.98,43.44,43.55,1683442
5-Aug-16,44.18,44.18,43.62,43.69,2924641
4-Aug-16,44.19,44.64,44.08,44.32,1456635
3-Aug-16,44.79,44.90,43.94,44.13,1975289
2-Aug-16,44.98,45.17,44.68,45.03,1580917
1-Aug-16,45.05,45.37,45.05,45.15,1979250
29-Jul-16,45.00,45.41,44.98,45.18,2330495
28-Jul-16,44.70,45.10,44.46,44.99,2215455
27-Jul-16,44.91,44.98,44.25,44.68,2448003
26-Jul-16,45.65,45.74,44.88,45.00,1957870
25-Jul-16,45.54,45.67,45.23,45.57,1399154
22-Jul-16,45.13,45.61,45.05,45.54,1600257
21-Jul-16,44.71,45.13,44.56,45.11,1578853
20-Jul-16,45.00,45.12,44.72,44.84,1642759
19-Jul-16,44.99,45.12,44.73,45.00,1462268
18-Jul-16,44.85,45.10,44.80,44.93,1206106
15-Jul-16,44.82,45.02,44.61,44.82,1443365
14-Jul-16,44.64,44.90,44.48,44.76,1623687
13-Jul-16,44.89,45.08,44.76,45.03,1836897
12-Jul-16,45.09,45.23,44.55,44.58,1732828
11-Jul-16,45.33,45.55,44.75,45.38,2109620
8-Jul-16,45.19,45.54,44.75,45.51,3010771
7-Jul-16,46.05,46.25,45.16,45.26,2427348
6-Jul-16,46.11,46.19,45.68,46.17,2536616
5-Jul-16,45.76,46.23,45.72,46.08,2536192
1-Jul-16,46.09,46.15,45.22,45.63,3373507
30-Jun-16,44.95,45.86,44.81,45.86,2484813
29-Jun-16,45.12,45.31,44.77,44.84,2452853
28-Jun-16,44.90,44.99,44.25,44.98,2927004
27-Jun-16,44.39,45.08,44.26,44.94,2822943
24-Jun-16,43.39,44.75,43.16,44.36,5156913
23-Jun-16,43.66,43.69,43.35,43.59,2610556
22-Jun-16,43.73,43.88,43.53,43.65,1839983
21-Jun-16,43.57,43.92,43.29,43.71,1809355
20-Jun-16,44.54,44.54,43.16,43.56,2127055
17-Jun-16,43.65,43.85,43.33,43.82,2366420
16-Jun-16,43.30,43.90,43.30,43.71,1673780
15-Jun-16,43.85,43.94,43.17,43.42,1549263
14-Jun-16,43.34,43.86,43.05,43.84,2091961
13-Jun-16,43.40,43.54,43.11,43.31,1463462
10-Jun-16,43.35,43.60,43.18,43.31,1386752
9-Jun-16,42.84,43.44,42.84,43.39,1666061
8-Jun-16,42.64,42.89,42.49,42.83,1244550
7-Jun-16,42.75,42.96,42.44,42.58,1277309
6-Jun-16,42.82,43.03,42.46,42.63,1532346
3-Jun-16,42.31,43.12,42.30,42.82,2733686
2-Jun-16,41.90,42.02,41.55,42.01,1342780
1-Jun-16,41.77,42.03,41.49,42.02,1553651
31-May-16,41.46,41.85,41.36,41.82,1855365
27-May-16,41.53,41.64,41.22,41.59,1272039
26-May-16,40.98,41.46,40.81,41.43,1362939
25-May-16,41.06,41.23,40.80,40.93,1376670
24-May-16,40.76,41.24,40.60,41.21,1737947
23-May-16,40.89,40.99,40.54,40.60,2699878
20-May-16,41.01,41.01,40.48,40.85,1717737
19-May-16,40.13,40.87,39.85,40.83,2006375
18-May-16,40.71,41.26,40.12,40.32,2686939
17-May-16,41.71,41.85,40.67,40.92,1877605
16-May-16,41.90,41.95,41.60,41.83,2255120
13-May-16,42.07,42.13,41.59,41.93,1711392
12-May-16,41.61,42.19,41.42,42.09,2278077
11-May-16,41.76,41.82,41.42,41.65,1782089
10-May-16,41.50,41.78,41.28,41.64,1970696
9-May-16,41.16,41.49,41.03,41.39,2265349
6-May-16,40.95,41.23,40.56,41.11,2662306
5-May-16,41.24,41.72,40.95,41.21,1770859
4-May-16,40.64,41.62,40.59,41.35,2488661
3-May-16,41.15,41.38,40.62,40.98,2657392
2-May-16,40.73,41.33,40.69,41.10,2407282
29-Apr-16,40.07,40.78,39.75,40.68,2833926
28-Apr-16,39.53,40.58,38.92,40.37,2824512
27-Apr-16,39.61,40.26,39.31,40.05,3379313
26-Apr-16,39.72,39.77,39.37,39.47,2308163
25-Apr-16,39.65,39.70,39.32,39.59,3136479
22-Apr-16,39.48,39.80,39.29,39.65,2701857
21-Apr-16,40.16,40.16,39.24,39.38,2915003
20-Apr-16,41.90,41.99,40.25,40.33,3711362
19-Apr-16,41.71,41.90,41.49,41.79,2129578
18-Apr-16,41.54,41.65,41.28,41.65,2494657
15-Apr-16,41.32,41.68,41.21,41.55,2054764
14-Apr-16,41.20,41.43,41.14,41.29,1266251
13-Apr-16,41.82,41.82,41.04,41.33,1743743
12-Apr-16,41.70,41.82,41.48,41.72,1543993
11-Apr-16,41.78,41.94,41.52,41.61,1513094
8-Apr-16,41.72,41.99,41.62,41.71,1478850
7-Apr-16,41.67,42.07,41.43,41.57,2943356
6-Apr-16,41.63,41.90,41.50,41.85,2121367
5-Apr-16,42.21,42.65,41.74,41.77,2001421
4-Apr-16,42.75,42.87,42.16,42.69,1924687
1-Apr-16,42.39,42.75,42.17,42.71,2059940
31-Mar-16,42.26,42.49,42.05,42.44,2035795
30-Mar-16,42.18,42.33,41.88,42.22,1594481
29-Mar-16,41.78,42.29,41.66,42.23,2042618
28-Mar-16,41.79,42.11,41.45,41.66,1492143
24-Mar-16,41.58,41.85,41.52,41.68,1297747
23-Mar-16,41.15,41.87,40.95,41.59,2163419
22-Mar-16,41.43,41.56,41.06,41.09,1902409
21-Mar-16,41.09,41.60,40.82,41.32,2104713
18-Mar-16,41.86,41.92,41.31,41.31,4054719
17-Mar-16,41.50,41.86,41.36,41.78,3206144
16-Mar-16,40.92,41.50,40.60,41.39,2751825
15-Mar-16,40.86,41.18,40.86,41.07,2011487
14-Mar-16,40.99,41.18,40.70,40.96,1947334
11-Mar-16,41.12,41.32,40.79,40.99,2685154
10-Mar-16,40.92,41.16,40.63,41.01,3162143
9-Mar-16,40.66,41.15,40.66,40.90,2923983
8-Mar-16,40.53,41.12,40.39,40.88,3547620
7-Mar-16,40.48,40.61,40.13,40.56,2453744
4-Mar-16,39.42,40.48,39.27,40.39,3580578
3-Mar-16,39.33,39.71,38.78,39.69,3340689
2-Mar-16,39.26,39.46,38.32,39.45,2309729
1-Mar-16,39.71,39.89,39.09,39.44,2551339
29-Feb-16,39.41,39.89,39.33,39.56,2824108
26-Feb-16,40.31,40.46,39.40,39.50,2678097
25-Feb-16,40.39,40.79,40.12,40.59,2121668
24-Feb-16,39.94,40.28,39.75,40.20,2925275
23-Feb-16,39.58,40.00,39.20,39.93,2400254
22-Feb-16,39.47,39.84,39.36,39.68,1924879
19-Feb-16,39.65,39.79,39.27,39.40,3560592
18-Feb-16,38.98,39.85,38.83,39.68,2287652
17-Feb-16,39.19,39.28,38.80,39.00,2592361
16-Feb-16,39.34,39.34,38.63,39.18,2838143
12-Feb-16,39.33,39.64,38.85,39.19,3451943
11-Feb-16,39.45,39.61,39.08,39.27,2554818
10-Feb-16,39.75,40.13,38.96,39.48,3428698
9-Feb-16,39.83,40.21,39.53,39.87,3106123
8-Feb-16,39.97,40.58,39.39,39.84,3814618
5-Feb-16,39.06,40.00,38.63,39.88,2580186
4-Feb-16,37.57,39.76,37.57,39.26,4000562
3-Feb-16,39.78,39.78,39.20,39.44,4743659
2-Feb-16,39.28,39.61,38.97,39.46,3341773
1-Feb-16,38.87,39.44,38.66,39.19,2994310
29-Jan-16,38.24,39.10,38.04,38.88,4475873
28-Jan-16,37.35,38.31,37.04,37.87,2901966
27-Jan-16,36.86,37.60,36.74,37.37,3437207
26-Jan-16,36.49,37.26,36.44,36.88,3395983
25-Jan-16,36.64,36.66,36.20,36.38,1762596
22-Jan-16,36.22,36.64,35.81,36.55,2475466
21-Jan-16,36.02,36.27,35.60,35.96,2561392
20-Jan-16,36.67,36.85,35.49,35.96,2738356
19-Jan-16,36.50,36.98,36.28,36.87,3961650
15-Jan-16,36.24,36.74,35.87,36.19,3085995
14-Jan-16,36.10,36.95,35.91,36.71,3514663
13-Jan-16,35.94,36.46,35.94,36.13,3272504
12-Jan-16,36.23,36.27,35.50,35.91,2842190
11-Jan-16,36.15,36.42,35.82,36.08,2693032
8-Jan-16,36.16,36.39,35.99,36.10,3013336
7-Jan-16,35.59,36.24,35.52,36.16,3259507
6-Jan-16,35.67,36.07,35.54,35.94,1817338
5-Jan-16,35.56,36.02,34.96,35.89,2230425
4-Jan-16,35.83,36.09,35.26,35.61,4676247
31-Dec-15,36.57,36.72,35.83,36.08,1307705
30-Dec-15,36.64,36.82,36.59,36.68,987195
29-Dec-15,36.53,36.77,36.42,36.57,1213824
28-Dec-15,35.91,36.45,35.89,36.41,1708432
24-Dec-15,36.03,36.14,35.89,36.01,1003659
23-Dec-15,35.86,36.18,35.76,36.10,1996444
22-Dec-15,35.69,35.82,35.00,35.69,1947786
21-Dec-15,35.71,35.98,35.25,35.59,1883832
18-Dec-15,36.05,36.09,35.34,35.61,2619858
17-Dec-15,36.17,36.42,35.86,36.20,2303965
16-Dec-15,35.35,36.25,35.29,36.23,2145439
15-Dec-15,35.11,35.49,35.04,35.22,2504890
14-Dec-15,34.76,35.22,34.76,35.03,2824033
11-Dec-15,34.73,35.09,34.51,34.86,1700370
10-Dec-15,35.27,35.31,34.72,34.87,2808003
9-Dec-15,35.22,35.62,35.08,35.26,2391987
8-Dec-15,35.44,35.60,35.10,35.38,3038585
7-Dec-15,34.91,35.51,34.82,35.50,3442299
4-Dec-15,34.37,35.05,34.24,34.98,1858807
3-Dec-15,34.66,34.66,34.18,34.24,2896565
2-Dec-15,35.27,35.39,34.75,34.79,3155210
1-Dec-15,35.13,35.40,34.96,35.39,2018081
30-Nov-15,35.20,35.39,34.96,35.02,1717102
27-Nov-15,34.87,35.28,34.87,35.17,762059
25-Nov-15,35.07,35.07,34.62,34.81,1731735
24-Nov-15,35.11,35.31,34.70,35.02,1846372
23-Nov-15,35.67,35.83,35.12,35.27,1769526
20-Nov-15,35.59,35.92,35.51,35.64,1768802
19-Nov-15,35.41,35.70,35.24,35.44,1910114
18-Nov-15,34.97,35.40,34.63,35.34,2240493
17-Nov-15,35.41,35.74,34.85,35.01,2634833
16-Nov-15,34.71,35.58,34.55,35.56,2881186
13-Nov-15,34.85,35.15,34.49,34.62,1551644
12-Nov-15,35.27,35.64,34.68,34.82,1641764
11-Nov-15,35.06,35.52,35.00,35.34,2318938
10-Nov-15,34.44,35.10,34.40,34.99,2866734
9-Nov-15,34.02,34.45,33.84,34.40,3396318
6-Nov-15,35.25,35.78,33.91,34.24,4858720
5-Nov-15,35.77,36.11,35.70,35.83,3180385
4-Nov-15,36.01,36.19,35.62,35.80,3228620
3-Nov-15,35.81,36.27,35.54,36.24,2839736
2-Nov-15,36.06,36.22,35.75,35.95,2102469
30-Oct-15,35.87,36.26,35.65,36.07,2126666
29-Oct-15,35.56,36.22,35.13,35.75,3976737
28-Oct-15,36.56,36.69,35.83,36.25,2367154
27-Oct-15,36.73,36.89,36.32,36.53,2096871
26-Oct-15,36.58,36.82,36.22,36.82,1943618
23-Oct-15,37.08,37.13,36.53,36.74,2073294
22-Oct-15,36.77,37.30,36.68,37.17,1308067
21-Oct-15,36.90,37.16,36.66,36.67,1745006
20-Oct-15,36.53,36.89,36.44,36.79,1588201
19-Oct-15,36.31,36.63,36.17,36.59,2254297
16-Oct-15,36.37,36.68,36.27,36.39,1926183
15-Oct-15,35.70,36.30,35.64,36.24,1402915
14-Oct-15,35.85,35.99,35.58,35.60,1704186
13-Oct-15,35.78,35.99,35.56,35.75,3045157
12-Oct-15,35.58,36.12,35.58,35.89,1549223
9-Oct-15,35.89,35.94,35.36,35.62,2107726
