Date,Open,High,Low,Close,Volume
28-Apr-17,28.62,28.68,28.44,28.53,2269351
27-Apr-17,28.35,28.86,28.34,28.64,3380078
26-Apr-17,28.37,28.48,28.22,28.33,2352093
25-Apr-17,28.24,28.41,28.22,28.39,2443309
24-Apr-17,28.20,28.39,28.00,28.32,2544326
21-Apr-17,27.97,28.24,27.97,28.12,3182785
20-Apr-17,27.96,27.96,27.68,27.90,1938676
19-Apr-17,28.34,28.40,27.88,27.97,2107623
18-Apr-17,28.26,28.46,28.23,28.30,3478542
17-Apr-17,27.98,28.24,27.94,28.24,1895493
13-Apr-17,28.01,28.19,27.86,27.94,1960031
12-Apr-17,27.93,28.12,27.74,28.04,2092206
11-Apr-17,27.97,28.00,27.76,27.91,2883229
10-Apr-17,27.89,28.07,27.73,28.00,2995079
7-Apr-17,27.96,28.17,27.83,27.90,5284941
6-Apr-17,27.77,27.93,27.65,27.90,2909776
5-Apr-17,27.76,27.91,27.67,27.84,2323878
4-Apr-17,27.54,27.82,27.49,27.77,2132121
3-Apr-17,27.55,27.56,27.30,27.55,2247677
31-Mar-17,27.46,27.75,27.44,27.57,2643845
30-Mar-17,27.79,27.85,27.38,27.51,2028241
29-Mar-17,27.72,28.00,27.58,27.85,3482577
28-Mar-17,27.65,27.72,27.46,27.69,2801414
27-Mar-17,27.94,28.04,27.59,27.69,2003952
24-Mar-17,27.80,27.91,27.70,27.87,2125748
23-Mar-17,27.91,28.09,27.66,27.75,2982259
22-Mar-17,27.72,27.95,27.51,27.88,4599541
21-Mar-17,27.45,27.79,27.45,27.58,6466039
20-Mar-17,27.76,27.82,27.42,27.45,2932954
17-Mar-17,27.63,27.82,27.58,27.68,6295597
16-Mar-17,27.75,27.97,27.46,27.59,4063873
15-Mar-17,27.67,28.18,27.60,28.09,2624315
14-Mar-17,27.55,27.60,27.35,27.50,2635159
13-Mar-17,27.69,27.78,27.55,27.61,2365618
10-Mar-17,27.50,27.74,27.44,27.71,3190190
9-Mar-17,27.45,27.65,27.30,27.37,2603543
8-Mar-17,27.83,27.85,27.37,27.44,2920662
7-Mar-17,28.00,28.08,27.79,28.00,3184571
6-Mar-17,27.90,27.97,27.75,27.96,2488954
3-Mar-17,27.79,27.92,27.59,27.90,3263121
2-Mar-17,27.56,27.96,27.54,27.77,2950244
1-Mar-17,27.19,27.85,27.05,27.70,3461713
28-Feb-17,25.91,27.43,25.51,27.32,4792726
27-Feb-17,26.99,27.02,26.77,26.79,3093908
24-Feb-17,26.86,27.02,26.74,27.02,2578155
23-Feb-17,26.71,26.98,26.64,26.84,3625763
22-Feb-17,26.60,26.65,26.41,26.57,2071823
21-Feb-17,26.47,26.70,26.39,26.61,2217157
17-Feb-17,26.41,26.52,26.18,26.51,2342384
16-Feb-17,26.04,26.38,26.01,26.37,1927720
15-Feb-17,25.86,26.10,25.76,26.07,4074162
14-Feb-17,26.32,26.47,25.90,26.05,2620628
13-Feb-17,26.48,26.69,26.46,26.67,4106262
10-Feb-17,26.46,26.59,26.41,26.49,2013371
9-Feb-17,26.38,26.57,26.31,26.47,2441518
8-Feb-17,26.10,26.45,26.04,26.42,2140644
7-Feb-17,26.11,26.22,26.08,26.17,1937480
6-Feb-17,26.39,26.43,26.03,26.09,2696908
3-Feb-17,26.25,26.36,26.18,26.30,2057156
2-Feb-17,25.91,26.21,25.78,26.19,3369708
1-Feb-17,26.09,26.25,25.79,25.93,3624948
31-Jan-17,25.87,26.23,25.77,26.21,4814210
30-Jan-17,26.06,26.06,25.59,25.83,2448502
27-Jan-17,26.00,26.06,25.86,26.06,3104563
26-Jan-17,25.97,26.04,25.74,25.99,3079041
25-Jan-17,25.56,26.06,25.55,25.95,4044719
24-Jan-17,25.51,25.76,25.38,25.62,3809482
23-Jan-17,25.61,25.67,25.33,25.44,1844786
20-Jan-17,25.49,25.60,25.38,25.60,2922889
19-Jan-17,25.60,25.64,25.31,25.44,2461033
18-Jan-17,25.44,25.81,25.42,25.68,2759326
17-Jan-17,25.48,25.75,25.39,25.49,2604303
13-Jan-17,25.27,25.46,25.24,25.42,3594342
12-Jan-17,25.41,25.47,25.17,25.33,2354882
11-Jan-17,24.92,25.46,24.92,25.42,2702964
10-Jan-17,24.86,25.08,24.74,24.95,2923520
9-Jan-17,25.41,25.45,24.88,24.88,2497956
6-Jan-17,24.80,25.45,24.79,25.36,3202361
5-Jan-17,24.79,25.00,24.63,24.81,3079572
4-Jan-17,24.70,25.12,24.70,24.81,3758680
3-Jan-17,24.72,24.74,24.45,24.59,2246823
30-Dec-16,24.80,24.83,24.59,24.64,2037230
29-Dec-16,24.52,24.78,24.48,24.73,1629093
28-Dec-16,24.77,24.81,24.41,24.44,1722262
27-Dec-16,24.77,24.84,24.64,24.76,1190829
23-Dec-16,24.84,24.89,24.73,24.83,1767756
22-Dec-16,24.67,24.90,24.62,24.84,2292886
21-Dec-16,24.68,24.98,24.64,24.65,3527602
20-Dec-16,24.50,24.93,24.46,24.66,4507959
19-Dec-16,24.48,24.54,24.28,24.46,4417435
16-Dec-16,24.17,24.43,24.13,24.29,12803050
15-Dec-16,24.13,24.41,23.95,24.31,6275945
14-Dec-16,24.72,24.85,24.13,24.18,5227448
13-Dec-16,24.64,24.74,24.47,24.58,3741078
12-Dec-16,24.38,24.60,24.32,24.51,3196717
9-Dec-16,24.01,24.47,23.96,24.43,4378881
8-Dec-16,23.91,24.13,23.75,24.05,4740232
7-Dec-16,23.84,24.09,23.82,24.09,3910851
6-Dec-16,24.06,24.16,23.74,23.78,2609056
5-Dec-16,24.05,24.11,23.82,23.98,3686701
