Date,Open,High,Low,Close,Volume
28-Apr-17,81.43,82.17,79.91,80.38,6153764
27-Apr-17,83.19,83.62,82.26,82.31,3611598
26-Apr-17,82.00,84.26,81.99,83.06,7440303
25-Apr-17,85.37,86.03,85.22,85.58,3480160
24-Apr-17,84.63,85.05,84.14,84.68,2897655
21-Apr-17,83.64,83.96,82.65,82.67,2524853
20-Apr-17,82.33,84.05,82.33,83.72,2945338
19-Apr-17,82.43,82.92,81.58,81.91,2157822
18-Apr-17,82.55,83.22,81.16,81.90,3119402
17-Apr-17,80.58,83.03,80.05,83.00,3759420
13-Apr-17,82.05,82.96,80.90,81.02,3400095
12-Apr-17,82.64,83.17,82.03,82.42,2317110
11-Apr-17,82.40,83.11,81.62,83.09,2351190
10-Apr-17,83.55,83.82,82.53,82.77,2463343
7-Apr-17,83.25,84.33,82.79,83.54,2767335
6-Apr-17,83.93,84.75,82.55,84.23,4378949
5-Apr-17,86.58,86.62,83.98,84.13,2483680
4-Apr-17,85.38,85.90,85.12,85.26,1840287
3-Apr-17,86.88,86.91,84.67,85.80,3158771
31-Mar-17,86.67,87.24,86.28,86.66,2661912
30-Mar-17,84.82,87.26,84.52,87.14,4081656
29-Mar-17,84.89,85.19,84.03,84.68,2488421
28-Mar-17,82.01,84.63,81.90,84.17,3789256
27-Mar-17,81.93,82.87,81.32,82.13,4282097
24-Mar-17,83.99,84.52,83.18,83.80,1966056
23-Mar-17,83.60,85.06,83.23,83.78,2671234
22-Mar-17,83.08,84.44,82.15,83.68,3133651
21-Mar-17,87.10,87.10,83.34,83.65,4559025
20-Mar-17,88.11,88.23,86.58,86.78,2801965
17-Mar-17,90.43,90.70,88.01,88.23,3388267
16-Mar-17,90.38,91.09,89.96,90.21,1781858
15-Mar-17,91.01,91.96,89.13,89.92,3178963
14-Mar-17,91.36,91.78,90.78,91.75,1730819
13-Mar-17,92.20,92.41,91.65,91.79,1830233
10-Mar-17,92.82,93.00,91.57,92.19,1644275
9-Mar-17,92.77,93.35,91.85,92.11,1653535
8-Mar-17,94.02,94.43,92.28,92.40,2028560
7-Mar-17,93.07,93.34,92.48,92.82,1641333
6-Mar-17,93.50,93.68,92.85,93.00,1936761
3-Mar-17,94.19,94.64,93.33,93.94,2541665
2-Mar-17,96.21,96.32,94.28,94.33,1625881
1-Mar-17,95.00,96.92,94.81,96.12,3387946
28-Feb-17,93.04,93.93,92.99,93.86,3122357
27-Feb-17,92.39,93.72,92.06,93.66,1730363
24-Feb-17,92.53,92.80,91.77,92.61,2252300
23-Feb-17,93.25,93.52,92.89,93.41,2142975
22-Feb-17,92.42,93.24,92.09,92.89,1821376
21-Feb-17,91.70,93.57,91.61,92.85,3825225
17-Feb-17,90.34,92.04,90.08,91.81,4044661
16-Feb-17,90.98,91.25,89.82,90.51,1801044
15-Feb-17,90.49,91.36,89.60,90.93,2297708
14-Feb-17,89.01,90.50,88.70,90.18,2148217
13-Feb-17,88.77,89.58,88.71,89.03,1791275
10-Feb-17,88.89,88.89,88.09,88.40,1617333
9-Feb-17,87.56,88.70,87.11,88.54,1809247
8-Feb-17,87.60,87.91,87.05,87.54,2052559
7-Feb-17,88.10,88.42,87.20,88.11,3514042
