Date,Open,High,Low,Close,Volume
28-Apr-17,24.66,24.67,23.10,23.24,11866886
27-Apr-17,24.11,24.39,23.70,24.12,7577093
26-Apr-17,24.17,24.89,24.05,24.31,6312646
25-Apr-17,23.79,24.42,23.66,24.41,6935070
24-Apr-17,24.21,24.26,23.72,23.73,8173780
21-Apr-17,24.39,24.43,23.74,24.08,7291519
20-Apr-17,24.07,24.74,23.95,24.47,4903586
19-Apr-17,24.24,24.42,23.91,23.99,4016866
18-Apr-17,23.94,24.36,23.94,24.11,3775573
17-Apr-17,24.00,24.36,24.00,24.20,4486056
13-Apr-17,24.47,24.58,23.92,24.00,3987835
12-Apr-17,24.54,24.81,24.35,24.45,4419596
11-Apr-17,24.51,24.67,24.30,24.62,3451232
10-Apr-17,24.64,24.74,24.34,24.63,3398446
7-Apr-17,24.92,25.04,24.34,24.41,5095909
6-Apr-17,24.50,25.01,24.41,24.99,5064411
5-Apr-17,24.88,25.13,24.41,24.44,8571523
4-Apr-17,24.05,24.59,23.78,24.58,5349532
3-Apr-17,23.95,24.12,23.55,24.01,4202641
31-Mar-17,23.47,23.99,23.35,23.91,8901078
30-Mar-17,24.19,24.27,23.19,23.24,23084392
29-Mar-17,23.63,24.22,23.47,24.14,5603988
28-Mar-17,23.19,23.57,23.01,23.55,4743200
27-Mar-17,22.84,23.24,22.83,23.20,4531631
24-Mar-17,22.88,23.69,22.88,23.18,8034977
23-Mar-17,22.52,23.02,22.31,22.85,6934494
22-Mar-17,22.47,22.63,22.10,22.25,3859587
21-Mar-17,22.75,22.90,22.51,22.62,4673851
20-Mar-17,22.30,22.74,22.04,22.70,4952829
17-Mar-17,22.39,22.52,22.24,22.35,7897896
16-Mar-17,22.67,22.77,22.16,22.27,6007297
15-Mar-17,22.54,22.82,22.08,22.66,6344361
14-Mar-17,22.63,22.77,22.24,22.31,5464249
13-Mar-17,22.78,23.14,22.58,22.87,3962987
10-Mar-17,23.04,23.06,22.62,22.71,5998679
9-Mar-17,22.59,22.93,22.23,22.87,5299211
8-Mar-17,22.82,23.40,22.51,22.53,7794428
7-Mar-17,23.12,23.21,22.78,22.93,4592468
6-Mar-17,22.68,23.21,22.43,23.15,8581796
3-Mar-17,22.46,22.70,22.30,22.36,2975351
2-Mar-17,22.52,22.76,22.24,22.36,4524770
1-Mar-17,22.11,22.84,22.00,22.61,7213226
28-Feb-17,22.04,22.15,21.70,21.90,6903690
