Date,Open,High,Low,Close,Volume
28-Apr-17,39.84,39.84,39.18,39.39,3224759
27-Apr-17,39.62,39.94,39.45,39.82,2219853
26-Apr-17,39.54,39.77,39.29,39.42,2619314
25-Apr-17,39.63,39.84,39.31,39.57,2235521
24-Apr-17,39.49,39.53,38.82,39.30,4953929
21-Apr-17,39.75,39.79,39.01,39.11,3875064
20-Apr-17,39.68,39.90,39.50,39.78,3598622
19-Apr-17,39.72,39.88,39.35,39.41,3131940
18-Apr-17,39.43,39.61,39.15,39.52,2070273
17-Apr-17,39.82,39.99,39.50,39.72,1874312
13-Apr-17,40.07,40.27,39.72,39.73,1696311
12-Apr-17,40.11,40.27,39.91,40.14,3517276
11-Apr-17,39.59,40.09,39.42,40.06,2082097
10-Apr-17,39.71,40.04,39.36,39.62,2095876
7-Apr-17,39.79,39.97,39.51,39.63,2492514
6-Apr-17,39.48,40.36,39.34,40.04,4735698
5-Apr-17,39.60,39.87,39.27,39.34,2888607
4-Apr-17,40.41,40.44,39.26,39.56,4929668
3-Apr-17,41.32,41.37,40.53,40.62,3915735
31-Mar-17,41.62,41.65,41.18,41.33,3602327
30-Mar-17,41.14,41.70,41.08,41.69,3854331
29-Mar-17,40.77,41.56,40.76,41.39,4831857
28-Mar-17,40.00,41.00,39.85,40.91,4951407
27-Mar-17,38.79,40.06,38.78,40.03,4166020
24-Mar-17,39.16,39.28,38.84,39.09,2065281
23-Mar-17,38.93,39.14,38.72,38.88,1552635
22-Mar-17,38.54,38.58,37.92,38.54,3055611
21-Mar-17,39.25,39.25,38.15,38.68,3045787
20-Mar-17,39.79,39.81,38.91,39.15,2103117
17-Mar-17,39.69,39.81,39.28,39.74,3658945
16-Mar-17,39.79,39.99,39.44,39.67,2759939
15-Mar-17,39.05,40.15,39.05,39.86,5054353
14-Mar-17,38.80,39.08,38.73,38.97,2011011
13-Mar-17,39.26,39.49,38.74,38.91,4047277
10-Mar-17,38.63,39.30,38.61,39.27,4348167
9-Mar-17,38.61,38.70,38.33,38.48,2633629
8-Mar-17,37.68,38.80,37.55,38.70,3438968
7-Mar-17,37.97,38.02,37.53,37.82,3268238
6-Mar-17,38.03,38.09,37.62,38.02,2489768
3-Mar-17,38.55,38.59,37.73,38.07,2482295
2-Mar-17,38.47,38.77,38.35,38.43,2571249
1-Mar-17,38.29,38.43,37.80,38.39,3795346
28-Feb-17,38.59,38.77,37.92,38.09,3788983
27-Feb-17,38.00,38.86,37.90,38.71,3340954
24-Feb-17,37.89,38.29,37.54,38.02,2983724
23-Feb-17,38.67,38.78,37.86,37.95,3378218
22-Feb-17,38.66,38.71,38.43,38.63,2536968
21-Feb-17,38.45,38.96,38.36,38.66,2932913
17-Feb-17,37.77,38.24,37.75,38.21,4967322
16-Feb-17,38.19,38.45,37.62,37.96,3794468
15-Feb-17,38.00,38.26,37.94,38.15,3206091
14-Feb-17,38.04,38.55,38.04,38.10,3906112
13-Feb-17,38.15,38.64,38.05,38.13,2568631
10-Feb-17,37.71,38.18,37.58,38.07,4263917
9-Feb-17,37.62,37.95,37.46,37.53,2871782
8-Feb-17,36.80,37.49,36.69,37.47,2810366
7-Feb-17,36.78,37.16,36.75,36.88,3835196
6-Feb-17,36.69,37.18,36.51,37.16,4792168
3-Feb-17,36.97,37.20,36.61,36.77,3949945
2-Feb-17,38.02,38.07,36.92,36.99,4768325
1-Feb-17,37.86,38.30,36.95,37.81,8912876
31-Jan-17,36.33,37.58,35.63,37.35,13016446
30-Jan-17,35.46,36.12,35.26,35.98,4491674
27-Jan-17,35.92,35.99,35.41,35.58,2880177
26-Jan-17,36.12,36.49,35.85,35.90,2354262
25-Jan-17,36.75,36.90,36.19,36.26,4043166
24-Jan-17,35.78,36.80,35.77,36.75,4368776
23-Jan-17,34.95,35.62,34.33,35.44,2565095
20-Jan-17,35.25,35.34,34.71,35.31,2618548
19-Jan-17,35.47,35.56,34.94,35.10,1835616
18-Jan-17,35.64,35.64,35.05,35.35,2501391
17-Jan-17,35.28,36.15,35.24,35.73,2659443
13-Jan-17,35.21,35.33,34.89,35.08,1685462
12-Jan-17,34.94,35.30,34.85,35.11,1801447
11-Jan-17,35.54,35.60,34.95,35.14,3091669
10-Jan-17,35.11,35.82,35.04,35.48,2680514
9-Jan-17,35.58,35.60,34.89,34.99,2857814
6-Jan-17,35.39,35.66,35.04,35.54,2601903
5-Jan-17,35.01,35.42,34.41,35.29,4949445
4-Jan-17,35.68,36.85,35.61,36.24,3889772
3-Jan-17,34.84,35.90,34.84,35.51,3166383
30-Dec-16,35.07,35.30,34.88,35.02,2044197
29-Dec-16,35.09,35.38,34.79,35.01,2179696
28-Dec-16,34.66,35.20,34.22,35.14,3403209
27-Dec-16,34.39,34.71,34.32,34.44,2034734
23-Dec-16,34.37,34.98,34.24,34.36,2392468
22-Dec-16,35.68,35.70,34.16,34.24,3656108
