Date,Open,High,Low,Close,Volume
28-Apr-17,104.66,105.05,103.80,104.09,1644321
27-Apr-17,105.40,106.07,104.35,104.48,1977687
26-Apr-17,105.50,106.00,105.02,105.14,2181064
25-Apr-17,104.16,106.11,104.05,105.51,1617437
24-Apr-17,106.08,107.57,104.75,105.42,3553718
21-Apr-17,100.59,104.76,100.10,104.70,4133123
20-Apr-17,98.19,99.85,97.68,99.59,2386610
19-Apr-17,97.74,98.38,97.28,98.04,3983266
18-Apr-17,97.42,97.77,96.78,96.78,8697774
17-Apr-17,97.01,97.71,96.13,97.58,1961060
13-Apr-17,97.99,98.09,96.46,96.63,3236398
12-Apr-17,99.13,99.14,97.79,97.99,940353
11-Apr-17,99.18,99.52,98.68,99.35,844005
10-Apr-17,98.67,99.61,98.64,99.04,1009594
7-Apr-17,100.11,100.24,98.61,98.90,2132305
6-Apr-17,99.56,100.14,98.89,99.87,2524715
5-Apr-17,99.08,99.75,98.30,98.34,1995202
4-Apr-17,97.65,98.57,97.55,98.54,1255137
3-Apr-17,97.67,97.78,96.64,97.42,1076610
31-Mar-17,98.16,98.21,97.15,97.16,1280559
30-Mar-17,98.37,98.91,98.24,98.39,1176525
29-Mar-17,98.47,98.91,98.24,98.70,1140933
28-Mar-17,97.27,98.97,96.74,98.75,1203347
27-Mar-17,95.82,97.40,95.62,97.27,1124053
24-Mar-17,97.21,98.06,96.55,96.83,1396417
23-Mar-17,97.45,97.80,96.89,97.29,614886
22-Mar-17,97.25,97.68,96.54,97.44,994787
21-Mar-17,99.37,99.52,97.19,97.28,1153250
20-Mar-17,98.93,99.85,98.71,99.19,1727822
17-Mar-17,98.52,99.03,97.89,98.55,1404014
16-Mar-17,98.16,98.70,97.87,98.31,1199664
15-Mar-17,97.98,98.23,97.25,97.89,1854789
14-Mar-17,98.88,99.12,97.88,97.94,914776
13-Mar-17,98.63,99.34,98.10,99.30,2016116
10-Mar-17,97.57,97.75,96.75,97.21,1092018
9-Mar-17,97.66,98.93,96.40,97.02,3385980
8-Mar-17,97.31,97.71,97.04,97.65,1381491
7-Mar-17,97.12,97.69,96.83,97.47,2363987
6-Mar-17,96.60,97.40,96.46,97.25,938398
3-Mar-17,97.33,97.67,96.65,96.97,948414
2-Mar-17,97.89,98.12,97.24,97.41,1306584
1-Mar-17,96.60,98.03,96.50,97.88,1591910
28-Feb-17,96.42,97.61,95.41,95.59,2020569
27-Feb-17,94.97,96.59,94.81,96.20,2187377
24-Feb-17,93.40,94.57,93.11,94.56,921789
23-Feb-17,93.78,93.90,93.26,93.75,923530
22-Feb-17,93.97,94.02,93.26,93.62,780852
21-Feb-17,93.19,94.46,93.06,94.29,1531220
17-Feb-17,93.39,93.47,92.75,93.46,839869
16-Feb-17,93.00,93.55,92.35,93.52,1335879
15-Feb-17,92.79,92.99,92.14,92.82,1054686
14-Feb-17,92.00,93.04,91.88,92.61,1509997
13-Feb-17,91.40,92.00,91.23,91.95,1603356
10-Feb-17,90.58,91.18,90.07,91.17,911457
9-Feb-17,90.40,90.96,89.90,90.52,767318
8-Feb-17,90.69,91.69,90.40,90.51,835292
7-Feb-17,90.69,90.77,89.83,90.74,1206869
6-Feb-17,91.00,91.24,90.31,90.47,746267
3-Feb-17,90.66,91.29,90.54,91.02,1112450
2-Feb-17,89.87,90.73,89.85,90.52,620555
1-Feb-17,90.98,91.25,89.89,90.20,621839
31-Jan-17,90.68,90.78,89.90,90.76,877582
30-Jan-17,91.01,91.01,89.81,90.85,860787
27-Jan-17,91.32,91.63,90.63,90.91,995555
26-Jan-17,90.69,91.28,90.54,91.26,1022267
25-Jan-17,91.04,91.26,90.38,90.81,1379559
24-Jan-17,90.72,91.13,90.51,90.87,1253068
23-Jan-17,91.63,91.70,90.32,90.71,1433013
20-Jan-17,89.44,91.58,89.44,91.40,3515795
19-Jan-17,89.73,90.54,88.80,89.21,2670042
18-Jan-17,89.72,89.94,89.23,89.60,1503791
17-Jan-17,89.69,89.85,88.84,89.71,1335632
13-Jan-17,90.56,90.98,89.85,89.93,1720097
12-Jan-17,90.45,90.70,89.51,90.40,1584753
11-Jan-17,91.17,91.34,90.39,90.54,1513584
10-Jan-17,92.00,92.31,90.99,91.00,1147386
9-Jan-17,92.44,93.02,91.51,91.78,935966
