Date,Open,High,Low,Close,Volume
28-Apr-17,199.24,200.42,198.32,200.33,283098
27-Apr-17,200.35,200.89,198.53,199.37,263683
26-Apr-17,201.51,202.26,199.70,199.99,340336
25-Apr-17,202.25,203.48,200.98,201.32,280818
24-Apr-17,200.27,201.92,199.79,201.54,327406
21-Apr-17,199.99,201.00,198.73,199.14,237604
20-Apr-17,198.47,200.81,197.50,200.50,233105
19-Apr-17,197.75,201.30,196.47,198.23,344423
18-Apr-17,196.03,196.98,194.55,196.89,471953
17-Apr-17,196.82,197.12,196.25,196.62,261151
13-Apr-17,196.36,197.13,196.24,196.29,203747
12-Apr-17,198.68,200.15,196.05,197.06,203621
11-Apr-17,196.22,197.48,195.73,197.40,280162
10-Apr-17,197.10,197.72,196.50,197.04,287132
7-Apr-17,197.14,198.29,196.33,197.00,320913
6-Apr-17,197.00,197.11,194.29,197.04,272361
5-Apr-17,199.51,200.00,196.95,197.34,401079
4-Apr-17,199.35,200.11,197.04,199.80,632048
3-Apr-17,199.78,201.22,198.65,199.63,455204
31-Mar-17,198.71,200.49,197.90,199.89,309561
30-Mar-17,198.58,199.36,196.92,198.14,235962
29-Mar-17,198.51,199.91,198.06,199.33,396530
28-Mar-17,199.42,199.80,197.23,199.06,263571
27-Mar-17,198.82,200.73,197.60,199.82,301854
24-Mar-17,199.95,202.57,199.15,199.80,342656
23-Mar-17,199.56,202.70,199.06,199.70,531132
22-Mar-17,195.45,201.69,195.45,199.79,621673
21-Mar-17,196.48,197.84,194.78,195.34,447970
20-Mar-17,195.28,196.24,194.01,196.24,411288
17-Mar-17,194.12,196.00,194.12,195.14,302827
16-Mar-17,194.17,194.99,192.90,193.73,327756
15-Mar-17,193.86,194.99,193.09,194.69,262942
14-Mar-17,194.47,194.50,192.75,193.50,187160
13-Mar-17,194.32,194.67,192.24,194.45,265137
10-Mar-17,195.46,196.25,193.54,194.32,266410
9-Mar-17,194.52,194.85,193.20,194.61,256397
8-Mar-17,194.20,195.70,193.27,194.05,311021
7-Mar-17,193.61,194.53,191.64,193.46,449882
6-Mar-17,193.95,195.54,193.04,194.53,597250
3-Mar-17,199.28,200.50,193.91,194.46,1191686
2-Mar-17,200.63,201.83,199.49,201.14,698541
1-Mar-17,200.00,201.00,199.16,200.76,682117
28-Feb-17,198.51,199.94,197.69,199.14,439909
27-Feb-17,199.72,200.04,195.96,198.94,434357
24-Feb-17,197.15,200.03,195.88,199.72,405771
23-Feb-17,195.38,197.47,194.83,196.92,532026
22-Feb-17,195.43,197.06,194.50,194.97,307383
21-Feb-17,195.39,197.36,195.18,195.46,394716
17-Feb-17,190.58,196.03,190.18,195.91,539863
16-Feb-17,191.88,192.00,189.41,190.51,422327
15-Feb-17,190.88,192.04,190.44,191.31,565369
14-Feb-17,189.98,192.38,189.98,191.65,299863
13-Feb-17,191.11,191.84,190.44,191.24,255350
10-Feb-17,191.64,192.26,190.07,191.00,262891
9-Feb-17,189.37,191.06,188.75,190.50,262093
8-Feb-17,187.78,189.29,187.02,188.95,194733
7-Feb-17,188.04,189.00,186.83,188.12,453048
6-Feb-17,188.10,189.14,186.50,187.51,285561
3-Feb-17,187.78,188.16,186.30,188.10,292350
2-Feb-17,185.12,187.08,184.64,187.01,672803
1-Feb-17,184.00,185.82,183.17,185.71,475052
31-Jan-17,181.59,184.73,180.91,184.61,339423
30-Jan-17,183.51,183.69,180.90,181.76,277872
27-Jan-17,181.01,183.58,180.74,183.44,299292
26-Jan-17,180.50,182.18,180.39,181.12,512785
25-Jan-17,180.93,180.93,179.41,180.50,522212
24-Jan-17,180.43,181.12,179.70,180.14,291397
23-Jan-17,181.03,181.69,179.86,180.67,441785
20-Jan-17,182.15,183.33,179.96,181.53,328141
19-Jan-17,182.86,184.75,181.09,181.91,266399
18-Jan-17,183.00,184.14,181.99,183.01,438026
17-Jan-17,178.25,182.84,177.69,182.08,591651
13-Jan-17,177.63,180.64,177.06,179.54,387498
12-Jan-17,177.18,178.47,175.73,177.40,480736
11-Jan-17,181.08,181.89,175.98,177.76,668664
10-Jan-17,177.15,182.91,177.15,181.80,725501
9-Jan-17,177.61,178.73,176.55,178.08,527524
6-Jan-17,176.35,178.18,175.30,177.21,344047
5-Jan-17,177.99,177.99,175.46,176.37,506245
4-Jan-17,175.00,178.57,174.48,178.14,377911
3-Jan-17,175.68,176.20,174.05,175.15,612238
30-Dec-16,176.29,176.35,174.38,174.93,419204
29-Dec-16,175.30,177.34,174.62,175.49,317272
28-Dec-16,177.31,177.57,174.78,175.34,306714
27-Dec-16,175.93,178.11,175.33,177.44,376051
23-Dec-16,173.73,175.49,173.73,175.43,325653
22-Dec-16,174.60,175.44,172.83,173.10,764857
21-Dec-16,174.86,175.72,173.11,174.62,297030
20-Dec-16,175.13,175.73,174.24,175.39,449834
19-Dec-16,175.20,176.21,174.38,175.07,375229
16-Dec-16,176.66,177.20,174.64,175.21,666352
15-Dec-16,175.05,176.93,172.99,176.06,477429
14-Dec-16,175.93,178.49,174.46,175.19,676250
13-Dec-16,174.79,176.52,173.86,175.31,700411
12-Dec-16,171.06,174.42,169.39,174.20,730297
9-Dec-16,168.00,175.00,168.00,170.62,1200077
8-Dec-16,168.27,169.98,165.98,167.80,1083487
7-Dec-16,165.24,169.65,164.27,168.39,808858
6-Dec-16,163.61,165.75,162.94,165.71,859746
5-Dec-16,161.52,165.02,161.52,163.96,809335
2-Dec-16,159.92,162.91,159.23,162.12,663952
1-Dec-16,164.73,165.08,158.73,159.50,750918
30-Nov-16,169.28,170.32,162.70,164.49,1360263
29-Nov-16,169.60,171.81,168.50,170.15,499156
28-Nov-16,170.33,171.48,167.93,168.33,434973
25-Nov-16,168.81,170.92,167.55,170.70,376622
23-Nov-16,169.66,171.31,166.64,168.67,842937
22-Nov-16,172.69,173.04,167.56,170.00,613423
21-Nov-16,172.70,176.27,172.70,173.30,681960
18-Nov-16,174.27,175.26,171.86,172.00,349569
17-Nov-16,171.55,174.52,170.37,174.40,399394
16-Nov-16,172.20,173.33,170.75,172.00,446631
15-Nov-16,170.62,173.37,167.53,171.95,1257300
14-Nov-16,177.87,178.72,169.86,170.13,635795
11-Nov-16,179.83,183.26,176.75,177.27,373015
10-Nov-16,184.06,184.69,179.16,180.27,446087
9-Nov-16,182.00,182.24,177.96,181.76,447103
8-Nov-16,180.22,184.54,177.19,182.90,485800
7-Nov-16,176.89,180.37,176.89,180.22,342111
4-Nov-16,174.23,177.16,173.96,175.82,573851
3-Nov-16,174.24,175.54,173.12,173.64,293707
2-Nov-16,174.13,175.17,173.29,173.84,383329
1-Nov-16,175.07,175.45,172.92,173.77,287175
31-Oct-16,175.91,176.31,174.51,176.04,322387
28-Oct-16,175.25,177.01,175.00,175.36,332522
