Date,Open,High,Low,Close,Volume
28-Apr-17,48.15,48.32,47.74,47.91,6428976
27-Apr-17,47.83,48.14,46.86,47.86,7302663
26-Apr-17,48.27,49.53,48.24,48.34,6536870
25-Apr-17,47.97,48.90,47.80,48.79,7023235
24-Apr-17,48.00,48.19,47.71,47.91,5750672
21-Apr-17,47.86,48.13,47.30,47.74,6056267
20-Apr-17,48.02,48.68,47.89,47.95,6278788
19-Apr-17,48.76,49.07,47.82,48.00,6165247
18-Apr-17,48.61,49.26,48.43,48.69,6046632
17-Apr-17,48.59,49.02,48.46,48.95,5286622
13-Apr-17,49.60,49.78,48.54,48.62,8807145
12-Apr-17,50.14,50.62,49.30,49.44,7622973
11-Apr-17,50.15,50.24,49.57,50.15,7395200
10-Apr-17,49.79,50.47,49.73,50.15,6737361
7-Apr-17,49.85,50.00,49.38,49.54,5857440
6-Apr-17,49.39,49.97,49.16,49.81,6823848
5-Apr-17,50.01,50.40,48.95,49.11,7490852
4-Apr-17,49.43,49.79,49.04,49.73,6175883
3-Apr-17,49.90,49.93,48.80,49.45,7711956
31-Mar-17,49.64,50.05,49.02,49.87,13410488
30-Mar-17,49.33,50.41,48.61,50.00,40059849
29-Mar-17,45.33,46.06,45.00,45.95,6040817
28-Mar-17,44.41,45.49,44.20,45.38,7034758
27-Mar-17,43.49,44.44,43.26,44.29,6231896
24-Mar-17,44.64,44.88,43.97,44.10,8797147
23-Mar-17,44.65,45.00,44.35,44.48,9149363
22-Mar-17,45.03,45.32,44.63,44.65,7852167
21-Mar-17,46.04,46.17,44.88,45.18,6504187
20-Mar-17,45.40,45.98,45.05,45.86,5754178
17-Mar-17,45.97,46.36,45.64,45.69,8359693
16-Mar-17,45.95,46.13,45.51,45.84,6393734
15-Mar-17,45.47,46.12,44.85,45.84,7573389
14-Mar-17,45.15,45.20,44.19,44.94,10538326
13-Mar-17,45.68,46.16,45.54,45.84,6333786
10-Mar-17,46.88,46.88,45.48,45.67,8455360
9-Mar-17,45.61,46.63,45.48,46.48,7235876
8-Mar-17,47.41,47.66,45.80,45.91,9435487
7-Mar-17,48.45,48.51,47.60,47.72,5652837
6-Mar-17,47.78,48.47,47.34,48.32,6078519
3-Mar-17,48.19,48.44,47.64,47.82,5316706
2-Mar-17,48.62,48.82,47.91,48.21,5955304
1-Mar-17,48.00,49.23,47.86,49.05,9194533
28-Feb-17,47.17,47.67,47.00,47.57,6710562
27-Feb-17,47.23,47.64,46.96,47.36,6208296
24-Feb-17,47.01,47.49,46.71,47.04,6749541
23-Feb-17,47.79,47.86,47.03,47.30,7846378
22-Feb-17,47.80,47.94,47.03,47.10,8007744
21-Feb-17,48.13,48.52,47.82,48.13,9577221
17-Feb-17,48.22,48.24,47.10,47.51,10694026
16-Feb-17,49.59,49.65,48.27,48.34,9689101
15-Feb-17,49.83,50.29,49.31,49.36,7461768
14-Feb-17,50.00,50.18,49.33,50.14,6063387
13-Feb-17,50.04,50.04,49.22,49.70,6164249
10-Feb-17,50.03,50.54,49.82,50.14,5996045
9-Feb-17,50.04,50.33,49.48,49.81,6356981
8-Feb-17,49.05,50.16,48.51,49.60,8588624
7-Feb-17,49.55,50.23,49.08,49.42,7591584
6-Feb-17,50.50,50.98,49.35,50.09,8127533
3-Feb-17,48.85,50.49,48.82,50.43,8414350
2-Feb-17,48.75,49.34,47.28,48.69,8625117
1-Feb-17,49.00,49.15,47.44,48.50,10040876
31-Jan-17,47.81,48.79,47.37,48.76,7464489
30-Jan-17,49.01,49.18,47.19,47.48,10483193
27-Jan-17,50.33,50.46,49.20,49.43,5408068
26-Jan-17,50.63,51.02,50.34,50.63,4164084
25-Jan-17,50.41,51.23,50.32,50.69,5991240
24-Jan-17,50.14,51.40,50.01,50.27,5919240
23-Jan-17,50.26,50.57,49.58,49.94,5969486
20-Jan-17,50.39,51.09,50.32,50.73,5888520
