Date,Open,High,Low,Close,Volume
28-Apr-17,57.00,57.72,56.85,57.54,1523776
27-Apr-17,57.52,57.57,57.01,57.11,723303
26-Apr-17,57.57,57.63,57.07,57.40,1042588
25-Apr-17,57.97,58.04,57.54,57.59,1412564
24-Apr-17,57.75,58.20,57.54,57.98,1281623
21-Apr-17,57.30,57.66,57.27,57.35,1159196
20-Apr-17,57.22,57.62,56.61,57.50,1418593
19-Apr-17,57.16,57.41,56.92,57.28,1079783
18-Apr-17,56.56,57.44,56.56,57.19,1157675
17-Apr-17,56.27,56.64,56.18,56.59,1950145
13-Apr-17,56.94,57.12,56.14,56.14,1213482
12-Apr-17,56.56,57.15,56.36,57.03,2011000
11-Apr-17,56.42,56.64,56.21,56.64,1276226
10-Apr-17,56.11,56.71,56.05,56.50,1535840
7-Apr-17,56.76,56.94,56.40,56.41,2004349
6-Apr-17,56.65,56.75,56.38,56.59,1088159
5-Apr-17,56.77,57.37,56.59,56.77,1724723
4-Apr-17,56.72,56.97,56.42,56.78,1299500
3-Apr-17,57.27,57.55,56.70,56.89,2104693
31-Mar-17,57.15,57.89,56.97,57.24,1911250
30-Mar-17,57.56,57.62,57.05,57.11,785440
29-Mar-17,57.61,57.77,57.25,57.57,1006118
28-Mar-17,57.36,57.83,57.24,57.62,1001663
27-Mar-17,57.45,57.87,57.32,57.49,999016
24-Mar-17,57.58,57.72,57.30,57.44,1420257
23-Mar-17,57.41,58.00,57.25,57.60,1797698
22-Mar-17,57.23,57.59,56.54,56.91,1701881
21-Mar-17,58.03,58.74,57.04,57.09,3438890
20-Mar-17,59.22,59.34,59.00,59.00,1246063
17-Mar-17,59.08,59.33,58.84,59.20,1714671
16-Mar-17,59.20,59.27,58.57,58.83,1475367
15-Mar-17,59.04,59.60,58.95,59.36,1284190
14-Mar-17,59.07,59.21,58.78,58.95,1132964
13-Mar-17,59.16,59.25,58.61,59.05,2644381
10-Mar-17,59.36,59.44,58.98,59.19,1228879
9-Mar-17,58.65,59.16,58.60,59.03,969604
8-Mar-17,58.85,58.90,58.01,58.66,2061808
7-Mar-17,59.25,59.56,59.06,59.09,1430155
6-Mar-17,59.24,59.58,59.03,59.29,1206222
3-Mar-17,59.94,59.94,59.41,59.54,1472145
2-Mar-17,59.41,59.90,59.32,59.83,1869609
1-Mar-17,59.53,59.89,59.16,59.49,1484961
28-Feb-17,58.98,59.48,58.88,59.35,2239331
27-Feb-17,59.10,59.25,58.82,58.97,1095982
24-Feb-17,59.24,59.69,59.00,59.11,1571781
23-Feb-17,59.35,59.57,58.95,59.06,1660246
22-Feb-17,58.75,59.61,58.64,59.17,2504688
21-Feb-17,58.48,59.05,58.12,58.95,4824665
17-Feb-17,59.00,60.49,57.55,58.48,6122699
16-Feb-17,63.22,63.87,61.86,62.55,3361300
15-Feb-17,63.04,63.62,62.61,63.45,1888573
14-Feb-17,63.25,63.44,62.92,63.03,1364419
13-Feb-17,63.24,63.53,63.02,63.43,1337261
10-Feb-17,63.70,63.79,63.12,63.27,1283138
9-Feb-17,63.61,64.23,63.60,63.84,1429878
8-Feb-17,63.17,63.76,63.08,63.40,1209629
7-Feb-17,62.89,63.47,62.72,63.23,1150766
6-Feb-17,63.29,63.49,62.33,62.60,1382871
3-Feb-17,63.49,64.04,63.09,63.28,1390011
2-Feb-17,62.79,63.54,62.71,63.16,1028111
1-Feb-17,62.11,62.78,62.10,62.49,1768419
31-Jan-17,62.44,62.90,61.91,62.23,2401077
30-Jan-17,62.61,63.00,62.20,62.38,1547253
27-Jan-17,62.90,62.98,62.34,62.58,1082483
26-Jan-17,63.03,63.16,62.30,62.62,1283103
25-Jan-17,63.29,63.50,62.72,63.10,1126167
24-Jan-17,63.07,63.46,62.80,63.30,1330982
23-Jan-17,62.81,63.28,62.62,63.12,1452249
20-Jan-17,62.49,63.26,62.33,62.84,1212496
19-Jan-17,62.11,62.30,61.89,62.24,964698
18-Jan-17,62.05,62.39,61.90,62.29,1098944
17-Jan-17,62.06,62.42,61.69,62.09,1899333
13-Jan-17,61.42,61.81,61.05,61.72,1197133
12-Jan-17,60.35,62.16,60.26,61.57,2478300
11-Jan-17,59.87,60.49,59.43,60.15,2323322
10-Jan-17,60.05,60.16,59.73,60.01,1561521
9-Jan-17,60.30,60.34,59.54,59.75,1253379
6-Jan-17,60.81,61.08,60.57,60.70,888468
5-Jan-17,61.02,61.19,60.57,60.93,1488464
4-Jan-17,60.73,61.45,60.67,61.06,1257452
3-Jan-17,60.60,60.95,60.28,60.64,1185432
30-Dec-16,60.93,61.08,60.33,60.47,1204481
29-Dec-16,60.56,61.02,60.48,60.95,940311
28-Dec-16,60.51,60.84,60.30,60.53,860049
27-Dec-16,60.25,60.73,60.22,60.49,884622
23-Dec-16,60.21,60.32,59.89,60.28,690026
22-Dec-16,60.21,60.50,59.89,60.21,969454
21-Dec-16,59.65,60.71,59.58,60.21,1138971
20-Dec-16,59.31,60.24,59.31,60.13,1612352
19-Dec-16,59.84,60.05,59.52,59.82,1079722
16-Dec-16,59.85,60.31,59.28,59.53,2295501
15-Dec-16,58.82,59.81,58.69,59.46,2161169
14-Dec-16,59.55,60.42,58.87,59.10,2040392
13-Dec-16,59.45,60.05,59.39,59.99,1571842
12-Dec-16,59.06,59.61,58.79,59.36,1525394
9-Dec-16,58.24,59.30,58.09,59.11,2790771
8-Dec-16,58.27,58.50,57.85,58.28,1525358
7-Dec-16,57.54,58.69,57.54,58.67,2312934
6-Dec-16,57.69,57.95,57.43,57.63,1394210
5-Dec-16,57.65,57.71,57.09,57.54,2578076
2-Dec-16,57.39,58.20,57.16,57.63,3420496
1-Dec-16,56.62,57.20,56.08,57.15,2439007
30-Nov-16,57.22,57.75,56.82,56.89,2372890
29-Nov-16,57.36,57.80,57.25,57.65,2456451
28-Nov-16,57.25,57.85,57.10,57.37,2552700
25-Nov-16,57.00,57.77,56.96,57.52,1217654
23-Nov-16,56.84,57.65,56.60,56.82,2796291
22-Nov-16,57.16,57.84,56.25,57.02,4060637
21-Nov-16,54.02,55.37,53.84,55.04,2810452
18-Nov-16,54.09,54.35,53.62,54.23,3388548
17-Nov-16,54.07,54.45,53.98,54.22,1543760
16-Nov-16,54.98,55.11,54.28,54.45,1485726
15-Nov-16,54.66,55.21,54.66,54.94,2536234
14-Nov-16,53.26,54.50,52.97,54.48,2761807
11-Nov-16,53.28,53.71,52.73,53.50,3254559
10-Nov-16,54.64,54.77,53.12,53.31,4236937
9-Nov-16,54.42,55.20,52.93,54.96,3349692
8-Nov-16,53.85,56.05,53.83,55.61,3413082
7-Nov-16,52.94,53.87,52.77,53.85,1439389
4-Nov-16,52.75,52.99,52.58,52.61,1297335
3-Nov-16,52.96,53.10,52.64,52.73,1479601
2-Nov-16,53.48,53.65,52.84,52.90,1407353
1-Nov-16,54.40,54.53,53.23,53.41,1990845
31-Oct-16,54.22,54.43,54.04,54.34,1641583
28-Oct-16,53.06,54.58,53.06,54.21,1700353
27-Oct-16,53.64,53.75,52.95,53.00,1407816
26-Oct-16,53.53,53.85,53.29,53.66,925450
25-Oct-16,53.14,53.53,53.07,53.44,1887987
24-Oct-16,53.40,53.84,53.00,53.13,1050250
21-Oct-16,53.08,53.46,52.74,53.31,1101949
20-Oct-16,53.48,53.89,52.95,53.19,2223486
19-Oct-16,54.51,54.51,53.21,53.53,2585567
18-Oct-16,54.10,55.20,53.96,54.41,2846307
17-Oct-16,54.28,54.38,53.51,53.68,2018034
14-Oct-16,54.86,55.01,54.33,54.33,2073314
13-Oct-16,54.13,55.00,54.02,54.86,2101352
12-Oct-16,53.91,54.45,53.78,54.35,1241236
11-Oct-16,54.01,54.06,53.58,53.85,1688607
10-Oct-16,54.00,54.44,53.73,54.15,1871959
7-Oct-16,53.58,53.88,53.24,53.87,1987718
6-Oct-16,53.74,54.18,53.59,53.90,2149179
5-Oct-16,53.65,53.91,53.29,53.74,3162969
4-Oct-16,54.53,54.65,53.60,53.65,2648555
3-Oct-16,54.39,54.76,54.09,54.59,2280872
30-Sep-16,54.68,54.90,54.40,54.70,2026879
29-Sep-16,54.93,55.18,54.37,54.38,1181135
28-Sep-16,54.60,55.01,54.51,54.93,1547491
27-Sep-16,54.90,55.00,54.46,54.61,1464513
26-Sep-16,54.74,54.77,54.37,54.58,1707790
23-Sep-16,55.21,55.46,54.89,54.89,2563277
22-Sep-16,55.86,56.17,55.15,55.39,1598403
21-Sep-16,54.96,55.82,54.74,55.70,1847961
20-Sep-16,55.46,55.73,55.02,55.02,1386969
19-Sep-16,54.99,55.42,54.70,55.31,1701956
16-Sep-16,55.58,55.60,55.06,55.38,3821813
15-Sep-16,55.31,55.81,55.24,55.78,1481523
14-Sep-16,55.47,55.79,55.32,55.49,1784832
13-Sep-16,55.80,56.24,55.37,55.44,2110654
12-Sep-16,54.54,56.05,54.54,55.99,2440195
9-Sep-16,55.72,55.76,54.11,54.95,4382944
8-Sep-16,56.90,57.07,56.08,56.16,2189409
7-Sep-16,57.69,57.89,56.90,57.11,1966002
6-Sep-16,57.68,58.00,57.55,57.70,2145733
2-Sep-16,56.70,58.07,56.70,57.73,3420935
1-Sep-16,57.67,58.45,56.67,56.91,7931620
31-Aug-16,60.80,60.90,60.36,60.72,2213598
30-Aug-16,61.01,61.06,60.35,60.73,1419067
