Date,Open,High,Low,Close,Volume
28-Apr-17,51.50,51.57,50.75,50.84,6610365
27-Apr-17,50.79,51.62,50.69,51.25,7861784
26-Apr-17,51.06,51.56,50.63,50.79,8186313
25-Apr-17,50.19,51.10,50.10,50.94,11098865
24-Apr-17,51.48,51.66,50.07,50.13,11196959
21-Apr-17,49.83,50.80,49.50,50.77,16235464
20-Apr-17,50.20,51.28,49.36,49.56,25360716
19-Apr-17,46.98,47.32,46.68,46.93,6857090
18-Apr-17,46.94,47.34,46.52,46.63,5290518
17-Apr-17,46.66,47.26,46.39,47.23,3899674
13-Apr-17,46.37,46.99,46.04,46.42,4677147
12-Apr-17,47.52,47.52,46.30,46.40,5615057
11-Apr-17,47.46,47.58,46.49,47.21,6174348
10-Apr-17,47.60,47.92,47.46,47.68,5679891
7-Apr-17,47.56,47.94,47.20,47.43,5623965
6-Apr-17,47.29,47.92,47.21,47.71,4381297
5-Apr-17,47.51,48.17,46.91,47.14,5104811
4-Apr-17,46.60,47.31,46.50,47.29,3155914
3-Apr-17,46.66,47.04,46.37,46.60,6484599
31-Mar-17,47.10,47.48,46.53,46.55,6293739
30-Mar-17,47.24,47.69,47.21,47.34,4761055
29-Mar-17,47.18,47.29,46.86,47.28,3488979
28-Mar-17,46.21,47.56,46.21,47.34,8647254
27-Mar-17,45.88,46.50,45.52,46.21,5431920
24-Mar-17,46.25,46.80,46.04,46.32,5742567
23-Mar-17,46.40,46.66,46.00,46.11,5970392
22-Mar-17,45.64,46.71,45.43,46.45,8984757
21-Mar-17,47.04,47.04,45.41,45.62,17325592
20-Mar-17,46.96,47.20,46.51,46.88,6905277
17-Mar-17,47.82,47.83,46.88,46.88,15533315
16-Mar-17,47.90,48.08,47.48,47.60,7606368
15-Mar-17,48.11,48.18,47.62,47.95,8727542
14-Mar-17,48.02,48.19,47.40,47.83,4845350
13-Mar-17,47.90,48.40,47.87,48.08,17191335
10-Mar-17,48.05,48.11,47.54,47.80,7224894
9-Mar-17,47.68,48.21,47.48,47.58,10637109
8-Mar-17,48.31,48.67,47.52,47.65,11796486
7-Mar-17,49.70,50.31,48.38,48.44,17913905
6-Mar-17,49.12,49.94,48.96,49.79,11810556
3-Mar-17,48.52,49.63,48.23,49.48,11631146
2-Mar-17,49.21,49.26,48.47,48.56,8222346
1-Mar-17,49.20,49.79,49.16,49.21,9461500
28-Feb-17,49.43,49.60,48.37,48.56,8033008
27-Feb-17,48.28,48.81,47.99,48.71,8619027
24-Feb-17,47.62,48.49,47.57,48.48,8378555
23-Feb-17,48.58,48.70,47.55,47.91,8500728
22-Feb-17,48.79,48.79,48.03,48.39,8314723
21-Feb-17,48.53,49.00,48.43,48.91,8221536
17-Feb-17,47.53,48.63,47.49,48.54,11766424
16-Feb-17,47.52,47.71,46.22,47.69,17713954
15-Feb-17,46.99,47.84,46.76,47.34,12546927
14-Feb-17,47.63,48.21,47.62,48.00,6407422
13-Feb-17,48.11,48.45,47.75,47.91,6695755
10-Feb-17,48.50,48.93,47.41,47.77,15428519
9-Feb-17,48.10,48.15,47.53,47.75,6108289
8-Feb-17,47.58,48.06,46.96,47.96,8601313
7-Feb-17,47.27,48.29,47.27,47.68,14773744
6-Feb-17,46.55,47.26,46.54,47.26,8877459
3-Feb-17,46.24,46.96,46.16,46.79,8474918
2-Feb-17,46.69,46.92,46.10,46.31,10377199
1-Feb-17,46.55,47.19,46.41,47.09,11808919
31-Jan-17,46.97,47.49,46.06,46.39,17976347
30-Jan-17,47.80,48.09,46.72,47.49,15181303
27-Jan-17,48.83,48.93,47.67,48.06,12813125
26-Jan-17,47.79,49.13,47.56,48.60,18203048
25-Jan-17,47.24,47.84,46.90,47.79,18040044
24-Jan-17,45.89,47.28,45.86,46.69,16824563
23-Jan-17,44.66,46.07,44.56,45.99,23485053
20-Jan-17,44.50,44.70,42.88,44.33,45342351
19-Jan-17,43.23,45.61,42.66,45.51,98506114
18-Jan-17,36.54,37.40,36.21,36.88,20660656
17-Jan-17,38.75,38.80,37.86,38.09,18270995
13-Jan-17,38.21,38.82,38.10,38.80,13828079
12-Jan-17,38.06,38.39,37.80,38.38,8134467
11-Jan-17,37.32,38.11,37.32,38.04,9882619
10-Jan-17,36.89,37.57,36.78,37.42,8163501
9-Jan-17,37.57,37.65,36.98,36.99,7406908
6-Jan-17,36.71,37.72,35.96,37.52,12350244
5-Jan-17,36.41,37.38,36.40,36.99,11583171
4-Jan-17,36.05,36.71,35.95,36.63,7255928
3-Jan-17,36.15,36.64,35.59,35.89,6535008
30-Dec-16,36.35,36.40,35.79,35.93,5453783
29-Dec-16,36.61,36.64,36.16,36.23,3472928
28-Dec-16,36.82,37.01,36.50,36.52,3520441
27-Dec-16,36.80,36.99,36.63,36.86,2624445
23-Dec-16,36.69,36.81,36.56,36.65,2270127
22-Dec-16,36.39,36.70,36.23,36.69,4885431
21-Dec-16,36.62,36.85,36.50,36.50,4585529
20-Dec-16,36.42,36.64,36.36,36.62,4256994
19-Dec-16,36.17,36.31,35.96,36.23,4473441
16-Dec-16,36.60,36.70,35.88,36.04,12175619
15-Dec-16,36.42,37.00,36.10,36.67,7048084
14-Dec-16,37.00,37.09,36.45,36.48,7710846
13-Dec-16,37.03,37.19,36.64,37.04,7776861
12-Dec-16,37.27,37.38,36.61,37.02,6193265
9-Dec-16,37.20,37.42,36.92,37.27,5703936
8-Dec-16,37.13,37.32,36.78,37.22,6643405
7-Dec-16,36.03,37.15,35.86,37.13,12752830
6-Dec-16,36.24,36.40,35.84,36.05,12799080
5-Dec-16,36.69,36.72,36.30,36.53,12168744
2-Dec-16,36.68,36.69,36.19,36.48,15058018
1-Dec-16,36.07,36.86,36.03,36.62,12083268
30-Nov-16,35.39,36.09,35.35,35.81,11318035
29-Nov-16,34.64,35.19,34.48,34.80,5548572
28-Nov-16,34.79,34.95,34.44,34.67,6822762
25-Nov-16,35.00,35.23,34.83,35.19,2516480
23-Nov-16,35.03,35.22,34.82,34.93,5466012
22-Nov-16,34.61,35.06,34.59,35.02,8761090
21-Nov-16,34.01,34.80,34.01,34.61,7400690
18-Nov-16,33.89,34.14,33.82,34.00,8719796
17-Nov-16,33.91,34.09,33.79,33.96,10944800
16-Nov-16,34.48,34.48,33.83,33.87,12210449
15-Nov-16,34.65,34.77,33.98,34.53,9680461
14-Nov-16,34.72,35.12,34.54,34.78,11102255
11-Nov-16,34.21,34.61,34.06,34.58,12421999
10-Nov-16,34.06,34.75,33.94,34.53,15571903
9-Nov-16,32.40,34.28,32.39,33.88,23753045
8-Nov-16,32.06,32.14,31.63,32.07,10589085
7-Nov-16,31.30,32.07,31.30,32.05,10621664
4-Nov-16,30.94,31.38,30.92,30.92,9336851
3-Nov-16,30.86,31.21,30.64,31.13,12008472
2-Nov-16,30.53,30.88,30.43,30.74,10859406
1-Nov-16,30.64,30.76,30.15,30.41,6559946
31-Oct-16,30.46,30.86,30.38,30.51,5869600
28-Oct-16,30.22,30.68,30.01,30.28,6987267
27-Oct-16,30.40,30.46,30.22,30.31,5938601
26-Oct-16,30.79,30.83,30.34,30.38,8839781
25-Oct-16,30.32,31.02,30.16,30.85,8970343
24-Oct-16,30.56,30.70,30.38,30.41,8805299
21-Oct-16,30.12,30.39,30.04,30.29,7414486
20-Oct-16,30.83,30.94,30.22,30.34,13692057
19-Oct-16,30.51,31.28,30.51,31.07,6244645
18-Oct-16,31.35,31.44,30.95,31.02,6884503
17-Oct-16,31.03,31.20,30.82,31.01,6586874
14-Oct-16,31.45,31.73,31.01,31.02,9925996
13-Oct-16,30.63,31.28,30.26,31.15,15005821
12-Oct-16,30.43,30.44,30.11,30.21,12394219
11-Oct-16,30.81,30.82,30.30,30.47,9900627
10-Oct-16,31.10,31.31,30.76,30.83,9235919
7-Oct-16,30.97,31.15,30.82,31.05,10591620
6-Oct-16,30.78,31.16,30.60,31.06,13303389
5-Oct-16,30.36,30.77,30.24,30.71,5291769
4-Oct-16,30.48,30.66,30.15,30.17,5863068
3-Oct-16,30.33,30.50,30.23,30.43,4285799
30-Sep-16,30.16,30.60,30.01,30.50,7140932
29-Sep-16,30.06,30.23,29.79,29.99,7146863
28-Sep-16,29.76,30.05,29.60,30.01,4422436
27-Sep-16,29.76,29.90,29.59,29.62,5256563
26-Sep-16,29.43,29.92,29.39,29.71,6884047
23-Sep-16,29.38,29.71,29.32,29.64,4995726
22-Sep-16,29.95,30.11,29.56,29.57,5364060
21-Sep-16,29.24,29.76,29.21,29.71,6671214
20-Sep-16,29.50,29.53,29.09,29.10,5871928
19-Sep-16,29.46,29.59,29.20,29.27,4565037
16-Sep-16,29.13,29.40,28.87,29.33,11223811
15-Sep-16,28.99,29.32,28.74,29.23,9497092
14-Sep-16,28.51,29.19,28.46,28.95,9971170
13-Sep-16,28.51,28.88,28.41,28.59,10849532
12-Sep-16,28.00,28.85,27.91,28.67,10806176
9-Sep-16,28.64,28.78,27.89,27.89,8438188
8-Sep-16,28.68,28.98,28.56,28.95,6043694
7-Sep-16,28.27,28.82,28.20,28.81,7999473
6-Sep-16,28.13,28.27,28.02,28.12,4791136
2-Sep-16,28.27,28.44,28.12,28.14,2968013
1-Sep-16,28.37,28.38,27.93,28.18,4122077
31-Aug-16,28.39,28.49,28.22,28.28,5260938
30-Aug-16,28.39,28.55,28.32,28.49,5001055
29-Aug-16,28.14,28.73,27.99,28.38,6833266
26-Aug-16,28.18,28.41,28.00,28.19,5108287
25-Aug-16,28.48,28.49,28.02,28.05,5197879
24-Aug-16,28.49,28.58,28.40,28.48,4305911
23-Aug-16,28.62,28.74,28.40,28.53,2964663
22-Aug-16,28.59,28.59,28.34,28.45,3336636
