Date,Open,High,Low,Close,Volume
28-Apr-17,25.77,25.79,25.31,25.67,11581185
27-Apr-17,25.86,26.02,25.75,25.79,12118331
26-Apr-17,26.00,26.07,25.79,25.87,8972261
25-Apr-17,25.54,25.94,25.50,25.93,11383337
24-Apr-17,25.50,25.67,25.36,25.45,7725596
21-Apr-17,25.38,25.42,25.20,25.32,7432209
20-Apr-17,25.22,25.62,25.04,25.49,8716160
19-Apr-17,25.18,25.30,25.11,25.29,11207568
18-Apr-17,25.24,25.30,25.00,25.06,7294946
17-Apr-17,25.20,25.50,25.13,25.30,7318113
13-Apr-17,25.11,25.32,24.85,25.12,9958699
12-Apr-17,24.85,25.14,24.78,25.14,10806222
11-Apr-17,24.90,25.00,24.63,24.90,8899935
10-Apr-17,24.63,24.97,24.58,24.87,8136814
7-Apr-17,24.51,24.91,24.42,24.54,9662269
6-Apr-17,24.25,24.65,24.14,24.46,7640759
5-Apr-17,23.97,24.44,23.85,24.21,12561386
4-Apr-17,23.53,23.97,23.53,23.96,12820344
3-Apr-17,23.56,23.66,23.32,23.60,6992549
31-Mar-17,23.40,23.63,23.32,23.57,7533614
30-Mar-17,23.10,23.42,23.01,23.41,7466212
29-Mar-17,22.78,23.19,22.70,23.09,8208235
28-Mar-17,22.52,22.59,22.33,22.52,7325754
27-Mar-17,22.66,22.68,22.35,22.61,9057861
24-Mar-17,22.72,22.94,22.62,22.76,5890158
23-Mar-17,22.75,22.89,22.58,22.64,6887351
22-Mar-17,23.30,23.31,22.61,22.81,12577325
21-Mar-17,23.70,23.75,23.22,23.36,7234732
20-Mar-17,23.68,23.75,23.51,23.64,8138955
17-Mar-17,23.51,23.82,23.36,23.65,24891583
16-Mar-17,23.79,23.87,23.28,23.37,10728969
15-Mar-17,23.34,23.85,23.34,23.77,10642838
14-Mar-17,23.46,23.46,23.06,23.34,5893068
13-Mar-17,23.10,23.47,23.09,23.46,8358911
10-Mar-17,22.78,23.15,22.75,23.14,6382025
9-Mar-17,22.40,22.86,22.40,22.73,7984260
8-Mar-17,22.55,22.70,22.40,22.45,7310167
7-Mar-17,23.03,23.09,22.37,22.50,11620855
6-Mar-17,23.38,23.42,22.96,23.10,8175124
3-Mar-17,23.63,23.64,23.38,23.48,8419064
2-Mar-17,23.93,23.99,23.53,23.53,10003104
1-Mar-17,23.92,24.15,23.41,24.04,14735804
28-Feb-17,24.63,24.70,24.19,24.26,13031838
27-Feb-17,24.57,24.73,24.45,24.61,6722186
24-Feb-17,24.63,24.73,24.43,24.58,6056642
23-Feb-17,24.89,24.97,24.56,24.71,6597988
22-Feb-17,24.74,24.93,24.64,24.83,6431600
21-Feb-17,24.30,24.71,24.29,24.67,6846831
17-Feb-17,24.24,24.29,24.10,24.28,5122976
16-Feb-17,24.45,24.45,24.21,24.28,5162872
15-Feb-17,24.48,24.52,24.29,24.40,5599574
14-Feb-17,24.66,24.70,24.46,24.54,4962947
13-Feb-17,24.54,24.78,24.51,24.62,6555986
10-Feb-17,24.40,24.52,24.22,24.49,5882601
9-Feb-17,24.33,24.85,24.01,24.42,10179851
8-Feb-17,24.85,24.86,24.25,24.43,13671506
7-Feb-17,25.11,25.12,24.75,24.88,6022232
6-Feb-17,25.50,25.53,24.99,25.05,6353023
3-Feb-17,25.46,25.49,25.28,25.42,5228391
2-Feb-17,25.50,25.57,25.07,25.26,6190566
1-Feb-17,25.95,26.29,25.43,25.51,8832817
31-Jan-17,25.93,26.05,25.60,25.86,11316042
30-Jan-17,26.01,26.05,25.55,25.81,4880701
27-Jan-17,26.06,26.15,25.80,25.96,4935059
26-Jan-17,25.65,26.16,25.40,26.06,7653733
25-Jan-17,25.78,25.85,25.54,25.69,7489213
24-Jan-17,25.57,25.71,25.50,25.57,5655133
23-Jan-17,25.56,25.83,25.44,25.81,4439750
20-Jan-17,25.63,25.82,25.52,25.56,4866482
19-Jan-17,25.57,25.63,25.40,25.50,4364224
18-Jan-17,25.59,25.69,25.42,25.47,5841822
17-Jan-17,25.26,25.52,25.04,25.47,7753882
13-Jan-17,25.24,25.39,25.02,25.26,5313070
12-Jan-17,25.18,25.20,24.90,25.18,7340834
11-Jan-17,25.31,25.35,24.94,25.24,5567042
10-Jan-17,25.35,25.36,25.09,25.20,8274952
9-Jan-17,25.43,25.51,25.19,25.23,6765279
6-Jan-17,25.49,25.52,25.32,25.38,5736182
5-Jan-17,25.52,25.67,25.14,25.50,7921741
4-Jan-17,25.49,25.65,25.34,25.48,10443772
3-Jan-17,24.35,25.43,24.26,25.35,17376398
30-Dec-16,24.02,24.18,23.68,23.78,6971357
29-Dec-16,24.03,24.18,23.86,24.03,4556755
28-Dec-16,24.17,24.24,23.95,24.03,5067166
27-Dec-16,24.04,24.32,23.96,24.14,3957663
23-Dec-16,23.85,24.14,23.77,24.06,6512200
22-Dec-16,23.81,23.95,23.67,23.87,6008912
