Date,Open,High,Low,Close,Volume
28-Apr-17,82.79,82.86,82.17,82.44,6618391
27-Apr-17,82.69,82.90,82.03,82.79,6307271
26-Apr-17,81.80,82.18,81.32,82.00,5996921
25-Apr-17,81.40,82.40,80.68,82.17,8494295
24-Apr-17,79.98,80.19,79.66,80.05,6394056
21-Apr-17,79.24,79.50,78.96,79.28,6724304
20-Apr-17,77.85,79.54,77.79,79.43,6715397
19-Apr-17,78.06,78.09,77.59,77.83,4575576
18-Apr-17,77.63,78.50,77.50,78.25,7024596
17-Apr-17,78.03,78.74,78.01,78.73,4436075
13-Apr-17,77.99,78.36,77.80,77.96,3532026
12-Apr-17,77.84,78.15,77.74,77.96,4749840
11-Apr-17,77.72,78.19,77.54,78.17,4866676
10-Apr-17,77.08,77.85,76.96,77.81,4824320
7-Apr-17,77.05,77.22,76.56,77.08,5208024
6-Apr-17,77.18,77.22,76.60,77.01,6330966
5-Apr-17,77.82,77.87,76.75,77.03,13351924
4-Apr-17,78.01,78.22,77.63,77.87,5641016
3-Apr-17,78.38,78.55,77.72,78.05,7374110
31-Mar-17,77.60,78.61,77.57,78.50,7996113
30-Mar-17,78.65,79.11,78.44,78.85,3834598
29-Mar-17,78.50,78.86,78.36,78.76,3138168
28-Mar-17,78.39,78.95,78.28,78.61,5470045
27-Mar-17,78.13,78.95,78.02,78.51,4983516
24-Mar-17,78.25,78.66,78.01,78.49,3878592
23-Mar-17,78.46,78.73,77.98,78.30,9320878
22-Mar-17,78.75,78.87,77.92,78.46,5640697
21-Mar-17,78.89,79.01,78.28,78.61,6201263
20-Mar-17,78.87,79.11,78.55,78.82,5075846
17-Mar-17,79.63,79.65,78.58,78.88,19734810
16-Mar-17,79.65,79.98,79.23,79.56,6241096
15-Mar-17,79.77,80.22,78.68,79.73,7925519
14-Mar-17,80.44,80.59,79.42,79.89,5546221
13-Mar-17,80.40,80.59,79.97,80.44,6276825
10-Mar-17,81.00,81.07,80.23,80.40,6004401
9-Mar-17,81.06,81.41,80.43,80.70,5394387
8-Mar-17,80.74,81.52,80.53,81.04,5810391
7-Mar-17,80.49,81.00,80.38,80.81,6314203
6-Mar-17,80.85,81.29,80.61,80.85,4463938
3-Mar-17,81.52,81.69,80.54,81.02,5701325
2-Mar-17,80.50,81.56,80.41,81.35,5781248
1-Mar-17,81.10,81.38,80.64,80.70,4977455
28-Feb-17,80.80,81.13,80.18,80.58,7274939
27-Feb-17,81.55,81.86,81.31,81.41,4696152
24-Feb-17,80.83,81.75,80.64,81.48,5189175
23-Feb-17,80.22,81.43,80.01,80.86,6403537
22-Feb-17,79.75,80.47,79.45,80.16,5003351
21-Feb-17,79.61,80.39,79.13,79.76,6280996
17-Feb-17,79.45,79.99,79.32,79.69,6215697
16-Feb-17,79.50,80.20,79.26,79.45,4957509
15-Feb-17,78.88,79.52,78.83,79.41,5626296
14-Feb-17,78.76,78.95,78.06,78.67,5507644
13-Feb-17,78.98,79.23,78.35,78.70,5645832
10-Feb-17,77.44,79.12,76.95,78.53,9366970
9-Feb-17,77.80,77.80,75.21,77.31,13943993
8-Feb-17,76.21,77.14,76.13,77.03,6788496
7-Feb-17,76.12,76.73,75.50,76.36,5739937
6-Feb-17,75.60,76.82,75.53,76.07,9559537
3-Feb-17,75.34,76.42,75.28,75.46,11937043
2-Feb-17,76.35,76.35,74.05,74.80,18840243
1-Feb-17,78.65,79.10,77.69,77.97,6463085
31-Jan-17,78.55,79.30,78.51,78.81,6435182
30-Jan-17,77.46,79.02,77.32,78.68,7488549
27-Jan-17,79.83,79.89,77.03,77.75,10924374
26-Jan-17,79.08,80.42,78.44,79.33,7627541
25-Jan-17,81.92,82.20,79.42,79.49,10652194
24-Jan-17,81.35,82.15,81.12,81.78,4743742
23-Jan-17,81.50,81.93,81.02,81.25,6305901
20-Jan-17,83.29,83.43,81.31,81.56,8004129
19-Jan-17,83.17,83.86,82.32,83.20,5220710
18-Jan-17,84.49,84.72,83.20,83.54,5263133
17-Jan-17,81.96,83.98,81.91,83.92,7292726
13-Jan-17,82.70,82.91,81.75,81.98,4809230
12-Jan-17,82.92,83.21,82.38,82.60,5774701
11-Jan-17,82.22,83.11,81.73,82.77,6404156
10-Jan-17,81.72,82.89,81.51,82.67,7053260
9-Jan-17,82.20,82.38,81.16,81.70,6847689
6-Jan-17,81.41,82.46,80.94,82.20,7087061
5-Jan-17,79.85,81.52,78.80,81.42,8805421
4-Jan-17,80.34,80.42,79.44,79.75,7101759
3-Jan-17,79.58,80.45,78.97,80.35,5922807
30-Dec-16,78.96,79.31,78.46,78.91,4326899
29-Dec-16,78.89,79.47,78.80,79.00,3580026
28-Dec-16,79.30,79.37,78.64,79.04,3390691
27-Dec-16,78.95,79.72,78.90,79.29,2947682
23-Dec-16,78.79,79.30,78.69,79.14,2754878
22-Dec-16,79.54,79.75,78.50,78.79,5850387
