Date,Open,High,Low,Close,Volume
28-Apr-17,128.35,128.57,125.94,126.66,1228476
27-Apr-17,127.95,128.19,124.90,127.18,1238155
26-Apr-17,129.64,132.12,129.11,129.24,816241
25-Apr-17,130.03,131.39,129.16,130.98,915138
24-Apr-17,129.56,130.38,127.82,129.43,1005939
21-Apr-17,126.97,128.88,126.43,128.01,950451
20-Apr-17,126.44,128.91,126.21,127.46,1248060
19-Apr-17,129.61,130.17,125.18,125.72,1188168
18-Apr-17,130.09,131.78,129.01,129.44,996089
17-Apr-17,130.06,131.80,130.06,131.57,1187198
13-Apr-17,132.09,133.30,129.75,130.14,1497053
12-Apr-17,132.09,133.84,131.25,132.27,1399532
11-Apr-17,130.78,132.06,130.06,132.00,1153504
10-Apr-17,129.88,131.87,129.03,131.33,1164357
7-Apr-17,129.99,130.45,128.72,129.22,809450
6-Apr-17,128.12,130.17,127.52,129.99,961351
5-Apr-17,131.46,132.18,126.78,127.25,1475069
4-Apr-17,128.75,130.48,127.44,130.17,939599
3-Apr-17,128.13,128.45,126.11,128.38,947226
31-Mar-17,126.85,129.00,126.65,128.34,1024456
30-Mar-17,129.85,130.43,127.57,127.72,1611512
29-Mar-17,127.25,129.75,127.00,129.18,1195652
28-Mar-17,125.43,127.99,124.46,127.62,1217819
27-Mar-17,123.50,125.68,122.65,125.20,982459
24-Mar-17,125.95,126.60,124.72,125.18,948772
23-Mar-17,126.11,127.40,125.49,125.58,1735278
22-Mar-17,127.05,128.13,126.05,126.36,1542767
21-Mar-17,131.07,131.37,127.54,127.72,1249489
20-Mar-17,128.92,130.69,127.80,130.66,957852
17-Mar-17,130.79,131.90,130.07,130.47,1702629
16-Mar-17,131.57,132.02,130.00,130.17,1071863
15-Mar-17,129.62,132.12,128.00,131.62,1644913
14-Mar-17,126.55,128.95,125.19,128.50,1547140
13-Mar-17,126.91,129.00,126.91,128.85,1549860
10-Mar-17,128.85,128.85,125.99,126.70,1867385
9-Mar-17,125.56,128.30,125.10,127.75,1525608
8-Mar-17,132.49,133.81,126.39,126.61,1962154
7-Mar-17,134.49,134.71,132.71,133.54,972078
6-Mar-17,132.37,134.19,131.87,134.04,957287
3-Mar-17,132.81,133.48,132.18,132.41,616467
2-Mar-17,133.39,134.52,132.00,132.43,1108702
1-Mar-17,134.34,135.79,133.70,134.53,1195693
28-Feb-17,132.64,133.34,131.05,132.45,1497420
27-Feb-17,134.19,134.60,132.85,133.08,1417041
24-Feb-17,132.15,134.31,131.54,133.28,1187584
23-Feb-17,134.35,135.90,131.49,133.33,2958637
22-Feb-17,138.53,140.50,131.27,131.70,4436061
21-Feb-17,142.06,142.78,140.40,141.35,1664968
17-Feb-17,139.49,141.54,138.67,140.06,1014078
16-Feb-17,142.97,143.35,139.91,140.19,1009015
15-Feb-17,144.25,144.25,142.25,142.82,1227847
14-Feb-17,142.75,144.33,140.86,144.26,698107
13-Feb-17,142.55,143.29,140.98,142.25,684593
10-Feb-17,141.64,143.41,140.28,143.11,1521676
9-Feb-17,137.67,140.65,136.68,139.86,2096831
8-Feb-17,133.38,135.51,130.45,135.39,1729014
7-Feb-17,140.33,141.30,133.07,135.00,2758178
6-Feb-17,143.03,143.19,139.58,141.58,1303109
3-Feb-17,140.05,143.22,139.92,142.70,1140553
2-Feb-17,139.76,140.52,137.27,140.05,998115
1-Feb-17,140.78,141.92,137.07,139.82,1113270
31-Jan-17,139.10,139.53,137.92,139.44,1032279
30-Jan-17,143.60,143.60,136.58,138.78,1999225
27-Jan-17,143.45,144.73,142.68,144.04,1030058
26-Jan-17,143.76,145.60,142.94,144.46,1264230
25-Jan-17,141.65,144.87,141.05,143.12,1777356
24-Jan-17,136.83,139.74,136.38,139.04,1406089
23-Jan-17,135.13,137.43,135.13,135.99,1641934
20-Jan-17,136.20,140.22,135.69,136.15,1651478
19-Jan-17,135.13,136.08,133.78,134.48,854149
18-Jan-17,133.89,136.04,133.70,135.68,868265
17-Jan-17,136.63,138.01,133.98,135.42,1187216
13-Jan-17,133.11,135.31,133.04,134.76,1257851
12-Jan-17,136.65,137.48,133.81,134.39,1047692
11-Jan-17,133.92,135.37,132.07,135.22,1243948
10-Jan-17,134.82,135.60,133.39,133.69,1066204
9-Jan-17,134.37,136.03,133.84,134.67,1213830
6-Jan-17,135.72,136.81,134.47,135.60,817162
5-Jan-17,135.77,137.38,134.01,135.14,999755
4-Jan-17,136.28,136.89,134.50,135.67,1179725
3-Jan-17,135.26,136.71,133.33,136.66,1476013
30-Dec-16,134.22,135.37,131.93,132.60,1042992
29-Dec-16,135.06,135.47,133.32,134.14,853678
28-Dec-16,136.71,136.84,133.86,135.04,1018448
27-Dec-16,137.25,138.07,136.22,136.98,642116
23-Dec-16,136.17,137.76,135.73,136.33,745317
22-Dec-16,136.85,138.50,135.53,136.49,1158595
21-Dec-16,138.07,138.07,136.21,136.60,1051096
20-Dec-16,138.90,139.45,136.48,136.84,1117169
19-Dec-16,138.68,139.98,137.42,138.57,1209971
16-Dec-16,139.12,139.34,136.77,138.25,2589990
15-Dec-16,137.08,139.57,135.73,139.22,1548462
14-Dec-16,140.15,142.87,137.25,137.71,1941930
13-Dec-16,138.48,144.17,138.48,142.00,1597172
12-Dec-16,146.62,147.55,139.60,140.84,2586644
9-Dec-16,143.66,144.00,141.01,142.36,1251192
8-Dec-16,143.82,144.53,140.08,142.78,1868989
7-Dec-16,142.09,142.99,139.75,142.50,1611651
6-Dec-16,141.21,143.78,140.22,143.25,1067486
5-Dec-16,144.15,146.38,142.54,142.72,1573645
2-Dec-16,141.75,143.62,140.21,142.60,1332843
1-Dec-16,146.47,146.87,140.98,141.79,2345665
30-Nov-16,135.92,143.66,135.88,143.02,3413646
29-Nov-16,127.03,128.90,124.90,127.33,1895261
28-Nov-16,135.83,135.91,129.20,129.50,1556302
25-Nov-16,137.19,138.20,133.71,134.26,689689
23-Nov-16,137.39,139.27,135.74,138.39,1052549
22-Nov-16,137.66,138.87,136.05,138.54,1859440
21-Nov-16,133.46,137.93,132.76,136.96,1699214
18-Nov-16,131.12,131.97,129.33,130.05,1555254
17-Nov-16,133.45,135.99,129.88,130.44,1207643
16-Nov-16,133.11,135.08,130.77,131.50,983335
15-Nov-16,130.48,134.12,130.19,133.59,1772357
14-Nov-16,126.49,128.62,125.16,128.41,1557822
11-Nov-16,130.23,131.38,125.22,126.89,1909531
10-Nov-16,131.37,133.26,129.41,131.25,1408237
9-Nov-16,133.34,137.99,130.03,132.68,3558445
8-Nov-16,129.94,135.46,129.14,134.06,2341854
7-Nov-16,129.33,131.18,127.76,131.10,2005336
4-Nov-16,128.75,129.96,124.34,126.68,2186088
3-Nov-16,129.07,129.95,125.10,129.04,2043896
2-Nov-16,126.25,128.92,123.88,128.39,1720316
1-Nov-16,128.07,129.44,126.25,128.60,1190748
31-Oct-16,128.70,129.65,126.10,126.94,1486724
28-Oct-16,133.50,135.32,128.95,129.13,1833318
27-Oct-16,134.94,135.35,133.24,133.65,980871
26-Oct-16,131.69,134.14,130.19,134.04,1260829
25-Oct-16,135.51,137.97,132.98,133.07,1515139
24-Oct-16,137.93,138.52,133.64,135.75,1481623
21-Oct-16,137.94,138.90,137.14,138.00,884660
20-Oct-16,137.85,140.39,137.09,139.49,1172648
19-Oct-16,138.19,141.41,137.90,139.47,1193402
18-Oct-16,138.89,140.45,135.41,136.55,693363
17-Oct-16,136.02,137.89,135.53,136.93,656197
14-Oct-16,139.66,140.29,136.40,136.70,1053222
13-Oct-16,137.61,139.26,135.74,138.29,1226369
12-Oct-16,138.76,139.76,137.49,138.69,974948
11-Oct-16,141.45,141.56,138.75,140.08,1241774
